,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level
Pipe,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40,41,41,41,42,42,42,43,43,43,44,44,44,45,45,45
Zone,"[""z1""]","[""z2""]",NA,"[""z1""]","[""z3""]",NA,"[""z1""]","[""z4""]",NA,"[""z1""]","[""z5""]",NA,"[""z1""]","[""z6""]",NA,"[""z1""]","[""z7""]",NA,"[""z1""]","[""z8""]",NA,"[""z1""]","[""z9""]",NA,"[""z1""]","[""z10""]",NA,"[""z2""]","[""z3""]",NA,"[""z2""]","[""z4""]",NA,"[""z2""]","[""z5""]",NA,"[""z2""]","[""z6""]",NA,"[""z2""]","[""z7""]",NA,"[""z2""]","[""z8""]",NA,"[""z2""]","[""z9""]",NA,"[""z2""]","[""z10""]",NA,"[""z3""]","[""z4""]",NA,"[""z3""]","[""z5""]",NA,"[""z3""]","[""z6""]",NA,"[""z3""]","[""z7""]",NA,"[""z3""]","[""z8""]",NA,"[""z3""]","[""z9""]",NA,"[""z3""]","[""z10""]",NA,"[""z4""]","[""z5""]",NA,"[""z4""]","[""z6""]",NA,"[""z4""]","[""z7""]",NA,"[""z4""]","[""z8""]",NA,"[""z4""]","[""z9""]",NA,"[""z4""]","[""z10""]",NA,"[""z5""]","[""z6""]",NA,"[""z5""]","[""z7""]",NA,"[""z5""]","[""z8""]",NA,"[""z5""]","[""z9""]",NA,"[""z5""]","[""z10""]",NA,"[""z6""]","[""z7""]",NA,"[""z6""]","[""z8""]",NA,"[""z6""]","[""z9""]",NA,"[""z6""]","[""z10""]",NA,"[""z7""]","[""z8""]",NA,"[""z7""]","[""z9""]",NA,"[""z7""]","[""z10""]",NA,"[""z8""]","[""z9""]",NA,"[""z8""]","[""z10""]",NA,"[""z9""]","[""z10""]",NA
t1,3.82333031144664e-5,0.0008976570281176582,0.024035694998764852,0.00017999152784855285,-0.00010281187210128741,0.009629436306223389,3.787557768301117e-5,8.209723032771062e-5,0.010292422209435229,11.896933685231964,-11.837391808451315,56.674158751588834,-9.349659180746072e-5,0.00012586055880634467,0.013631640808708708,0.00043051311585078143,0.0014260582517202146,0.059373676639918924,0.3115494334575512,7.750908191933967,29.509674512102144,0.0003017357884756442,6.690918199062741e-5,0.012991636498226024,8.25415417559172e-5,-2.1167339780724928e-5,0.013706592777610799,0.002386268042365265,-0.0015721155316845193,0.03080754346808764,0.08582886669276127,-0.08308642808579443,1.165134435095203,0.00118283118999117,0.0006556538780291333,0.03378671121807672,-3.897559126996093e-5,6.301856739147308e-5,0.013772230774242243,0.00021806180934280374,0.00014232851125715255,0.024000382996124583,12.630030801842318,29.697008385353023,331.2229906248037,0.0009314746431039805,-0.0001461203522828906,0.023801187193095378,0.00033591291367526875,-0.0001476780347693148,0.019415674020407465,0.405478714425749,2.140971247484362,8.697366245680826,-5.6581731065804674e-5,0.0001738648108073699,0.012228624465200807,-0.00014115795844737332,0.00014440477565270452,0.012136913964118434,-0.0002009099444721152,0.0003088574735872803,0.018287097054048757,-0.00026327698922902975,0.0004361669180471523,0.01108328344124113,3.938271365282801,-0.43425939724900964,20.044163412164256,0.00013980076776819964,0.00018958437828469124,0.01827960924277169,8.762385895634247e-5,6.457641418040997e-5,0.013703134899187674,-7.39305837701339e-5,8.880789975151715e-5,0.012318824006854088,2.735919372813246e-5,7.529650761622215e-5,0.01716629028082106,7.150392556741264e-5,0.00015447486328357,0.012409020529325293,0.005314166713572606,-0.0001785029736917623,0.06868360455453008,0.3034505712831598,-0.015369368754333116,3.440298736499634,-5.384579527303976e-5,0.0001851119525288747,0.01584990535997275,0.02070507416025469,1.5704920589202827,27.340305058550847,0.000949228941588251,0.0011321855561031674,0.031314179295001875,0.0002300094673152306,6.940686679344918e-5,0.015006405569809768,6.380306836572497e-5,-1.1308279502531004e-5,0.013050070255102983,4.161928792141534,1.418448768036896,57.42763408931677,0.0001327292400463651,-6.951371459442828e-5,0.014472668141805124,0.0002580814410744891,-7.378888773885555e-5,0.014688989645297483,7.592553767989934e-5,-7.344370102230793e-5,0.012850303135136323,0.0009773707678756654,0.00017081547221732248,15.828727024797377,0.0006894804651732234,-5.29744635483423e-5,0.0258346994164357,6.516846953190917e-5,-3.7189181628321784e-5,0.014554958839520649,0.0007334235776651559,2.0135708444710132e-5,0.018085378234792154,0.00013604876452900819,-2.52700919163159e-5,0.015424732108107774,0.013884559589283554,0.01304025903205259,0.20578371085739144
t2,5.528896167881093e-6,0.00093128920725651,0.023098876895340542,0.00017634800155849931,-0.00010802611814360075,0.009561114422808433,3.290379763667967e-5,7.107172088451031e-5,0.010188446690914024,11.896848167077872,-11.837858642682612,56.615169227193604,-9.936415331165846e-5,0.00012332010146994156,0.013607684860550391,0.00031728758711034827,0.001433492438530459,0.05762289661427818,0.3118567250889622,7.715826361508038,21.481991425505147,0.00029773442023011613,6.97419987038739e-5,0.012624160079292013,7.85244365134301e-5,-2.126809833459688e-5,0.01364933643943197,0.0024165875904186415,-0.0015958702951307286,0.02998682617279998,0.08587104460464809,-0.0832255439293917,1.1624889344199467,0.0011952908168806039,0.0006802356513739868,0.031911184749822026,-3.526087223005214e-5,6.141108178671486e-5,0.01374608056468562,0.0002259541937749265,0.00013752081099955215,0.023636907991350164,12.538931521504106,29.744124089389228,288.93993501391043,0.0009384195067030057,-0.00013574677470583232,0.022998514461098213,0.0003408678111951378,-0.00014773175721597526,0.01922253796642832,0.4051119775075028,2.141012916193684,6.151241351979634,-5.9177676679053495e-5,0.0001760328526800526,0.012111769289199823,-0.000143215423058517,0.0001433323160984153,0.012136797071078526,-0.00020453652938561776,0.0003052723402472096,0.018186361243187166,-0.0002708380849770968,0.00044326798511082403,0.010910853541107423,3.9382359412193013,-0.43084178876501955,16.536769259709974,0.0001325365759966456,0.00018786719848023852,0.017959205468294822,8.014682204513353e-5,6.689270084000423e-5,0.013556095376302547,-7.810201026133158e-5,8.753764458723623e-5,0.012309388372528225,1.8866065825734653e-5,7.206655174130566e-5,0.017075357663254114,5.837868579509876e-5,0.0001448634236236474,0.01220577841990657,0.005286519583323021,-0.00013971540204390023,0.06353680037325105,0.30339478825266913,-0.015412961105225326,3.15231690935219,-5.011861853383064e-5,0.00018374161316955985,0.015716282365336974,0.02063393188662879,1.5704903398753869,25.749180786788827,0.0009554270073460306,0.001148774200991659,0.02920997808666417,0.00023228308308060266,7.273734918132043e-5,0.014701385137547724,6.550148545830212e-5,-1.0294517786500626e-5,0.012994863287431366,4.161743100707704,1.4295071391839904,51.83638384942513,0.00013155809069367527,-8.344986413532615e-5,0.014424559915246727,0.00025727253261803953,-7.085860966178327e-5,0.014502575722341107,7.483562384698737e-5,-7.266570074200722e-5,0.012848133212031322,0.0009876479722516042,-0.0003258814772117008,15.828065258302338,0.0006852660668248194,-4.515772163665374e-5,0.025194591071247475,6.401253690633743e-5,-3.6024314134943704e-5,0.014526970616749166,0.0007213231831986025,2.7507456308355866e-5,0.01733654759528526,0.00012385467372334443,-2.4624468906446874e-5,0.015325501903290833,0.013903178074198925,0.013029975958098282,0.1788505568250944
t3,-3.8834839035262886e-7,0.0009708154100040122,0.02212844983372706,0.0001750643820690685,-0.00010951950570412135,0.009495569546443471,3.139655652611604e-5,5.933839483531416e-5,0.010097711739552704,11.896803849858074,-11.837995065945853,56.556360443281314,-0.00010049058258351865,0.00012145075974710485,0.013586724683386713,0.00030919101245538406,0.0014524408949131737,0.05586126470690949,0.3118759024157722,7.77885563775806,13.39125988533131,0.00029703331285795974,7.478342337971917e-5,0.012252343343054297,7.735277114896336e-5,-2.0118324325190957e-5,0.013592101992608225,0.0024575998223525753,-0.0016025014850500569,0.029131727835497386,0.08592224064444684,-0.0834631767201862,1.160029870495686,0.0012056808652428858,0.00069259534135713,0.030012908543222062,-3.1160938107232974e-5,6.033613737976086e-5,0.013716905365413016,0.00023299507938566184,0.00013592689393570668,0.023267986018028725,12.475355719074297,29.68048601781815,246.78409327701797,0.0009445520975967747,-0.00011916284552050845,0.022173125209021885,0.0003459682193829199,-0.0001468461615581022,0.01902341590860364,0.4040528359638208,2.1410215464801685,3.606166969535643,-5.928660267536174e-5,0.00017658874487927597,0.01199446714699583,-0.00014358646239375525,0.0001425421691218482,0.012137841364350463,-0.00020516963307388016,0.0003059849740165699,0.018085545902244548,-0.00027315204143269444,0.0004501548191724863,0.010733850763367596,3.9382296303913154,-0.43882343617530006,13.03736306549395,0.00013122066442918922,0.00018702548732892326,0.017640959316536697,7.202685280313859e-5,6.751529668504478e-5,0.013416553226814298,-8.197932787953495e-5,8.663969683980174e-5,0.012304728003568046,1.000307329745428e-5,7.234072176048981e-5,0.01699301386819604,4.297922360140796e-5,0.0001429072221843593,0.01201989197412084,0.005254113981381702,-7.772169645178881e-5,0.058360408088321165,0.30333184642811883,-0.015434221087748935,2.8644192840118206,-4.865385616402787e-5,0.00018253033950656384,0.015582405881994449,0.020384645898635142,1.5705038802310904,24.1582922606591,0.0009615002713380895,0.0011926568875872453,0.027055820927738807,0.00023361336690122167,7.684258874791509e-5,0.014390929181898554,6.678272957741675e-5,-8.363428562035687e-6,0.012936443986415948,4.161363941630724,1.444172631450399,46.23084727634402,0.0001304717613879238,-9.07946307471058e-5,0.014384882784605991,0.00025679496756203773,-6.664951747358997e-5,0.014312430272252484,7.408691466355937e-5,-7.057988862609334e-5,0.012844626185993916,0.0010041754337686256,-0.0003302634937626856,15.827391346362333,0.0006857958510416428,-3.4498624991549285e-5,0.02454329384519741,6.37918145359375e-5,-3.345548283939737e-5,0.014496634285052577,0.00071626509208139,3.715281066000661e-5,0.016583129692543816,0.00011710965989556317,-2.3128400336052638e-5,0.015231520643731343,0.01392077626046406,0.01303195217138774,0.15189782839324248
t4,-0.0001363114899817974,0.0010360486461427562,0.02122871267756609,0.00016218702230759262,-0.0001391838680330244,0.009472566392168914,1.9220213516226966e-5,3.086578693378244e-5,0.010047625739102643,11.842859661125026,-11.837922692792414,56.551423474948784,-0.00011154328289992866,0.00011066020356888712,0.013587607762717762,-6.216554309263172e-5,0.0014838924084546827,0.05443953784154733,-2.077093973121895,6.577101925335986,8.89125193311722,0.00028887756872167446,8.317209391747271e-5,0.011880293680415177,7.119566856859315e-5,-1.2478159129417554e-5,0.013533384483168997,0.002528286112377944,-0.001864654286550038,0.028468096009669555,0.08600099903416415,-0.08385264158161815,1.1578815130431401,0.0012166970644335307,0.000581281634731629,0.028214929844056984,-3.0731414500702575e-5,5.3832417620663985e-5,0.013693804362292995,0.00022433675459682828,0.00012410547577484184,0.022919543787657076,10.171887859626805,23.27747920547869,213.3347262119125,0.0009471407306059984,-8.865695852413474e-5,0.021314641436940042,0.00034632285007529416,-0.0001312532332840246,0.01880834629181229,-0.2474794671852296,2.14114000067902,1.7125064360418523,-7.753876133399936e-5,0.0001619046653277903,0.011910101243002008,-0.00015196471362055461,0.00013767906696364425,0.012152127011007315,-0.00023587946422127365,0.00030615227321576877,0.018015273093250156,-0.00033697854268771533,0.00044527715029013944,0.010625552155765158,3.736069304430788,-0.5293091242401986,9.83060288530337,5.783095379852186e-5,0.00020978850177194672,0.01737333986096623,5.131294536171732e-5,5.413458285164646e-5,0.013311105698600969,-9.082275356585387e-5,8.260243843091899e-5,0.012312948318703045,-1.2208528349113852e-5,6.946295580751653e-5,0.016935759440737712,1.4489322134990249e-6,0.00012073314024080121,0.011897709901666541,0.00521053254251033,1.854286252771231e-5,0.053131332683283204,0.3032616544449839,-0.014952716952173983,2.57611034651901,-6.685471464570159e-5,0.00017032485129869193,0.01547893574534147,0.019498774802960365,1.5705349027058053,22.56825858315033,0.000882615993840953,0.001228691909410078,0.024944513024487636,0.00022583114453271575,8.368973179486729e-5,0.014081408305571046,6.362077810205093e-5,-1.737875423744753e-6,0.012874561083737565,3.3294787788268065,1.5025297313436408,41.39883876617358,0.0001196626480031888,-0.00011512817158506494,0.014380348308187876,0.00025190962868102274,-5.921015194192039e-5,0.014119730795513425,7.128209915524086e-5,-6.526708952635609e-5,0.0128386111763651,0.0009319615510702197,-0.0006825724246156671,15.82714195723588,0.0006846718153849296,-1.2870655870305444e-5,0.02387149268568284,6.113804879289298e-5,-2.5307416479119116e-5,0.014460803652738712,0.0006886749990312171,5.259645855069581e-5,0.015841858234961828,9.806755137379923e-5,-1.3617217879912193e-5,0.015147070310237421,0.013970773418883389,0.013168015003716947,0.12475903997064257
t5,-0.00015707964452626598,0.000205772183199709,0.02118002013889263,0.0001572171148547463,-0.00014952906808527702,0.009464878345399422,1.5209396720415602e-5,-2.599504798230488e-5,0.010058411390364496,11.832072181796088,-11.839720058176956,56.55907135132961,-0.00011383067235918475,0.00011048115884963771,0.013590957276227281,-6.438716599473202e-5,0.0013061169945309935,0.053197808013011154,-4.509612679004168,6.8173486249004664,6.583515987220922,0.0002871254958366719,7.188078053027081e-5,0.011521287404048185,6.980650017990084e-5,-4.743136557986175e-5,0.013511009348568952,0.0021241427965553806,-0.0020171592579325383,0.028361112471046706,0.08444357904568013,-0.08532650589388628,1.1587644398913464,0.000748228334068655,0.0005004043195844773,0.026966297190403922,-6.78912540470633e-5,5.425544556234035e-5,0.013707440170777681,5.050675612666114e-5,3.679989181793689e-5,0.022832237139712608,-1.893092233100343,15.413359963286327,199.81445848172646,0.0008400037188100523,-0.00010792655135167335,0.020582564269481747,0.0002617556320763299,-0.00020284547963425457,0.01874943613937016,-0.95937497258024,1.867443626892943,0.8044377817291486,-8.293237692403308e-5,0.00016944286125626168,0.011823590758669846,-0.0001542829701295172,0.00013784753038398903,0.012168562450752854,-0.00024350284962898765,0.0002576343502905448,0.018001141592588636,-0.0003588842241891954,0.0003826916677112331,0.010601744712243132,3.575975834249281,-1.8439863585345564,8.09861340958864,3.955062999209805e-5,9.898418253348723e-5,0.01723480504844065,9.154032084547571e-6,6.582404272242708e-5,0.013236127623794017,-0.00010595619042986848,8.258750177552444e-5,0.012336317007357375,-5.913278275970768e-5,3.418780040119181e-5,0.0169607044230962,-9.961292013128747e-5,7.44678778790604e-5,0.011922854943918707,0.0040245749630711085,-0.00021609784774328372,0.049322855567955404,0.22768772443814475,-0.01700561928843346,2.365428241369299,-4.7632540227780405e-5,0.00017073265295673191,0.015355835632612502,0.019706195229161293,1.570297576216893,20.978254811704282,0.0006468863094826209,0.0010884855049689787,0.02320914121003606,0.00023451147311235094,7.763152255541576e-5,0.01376926530990333,7.117193782488432e-5,-2.7797850230338152e-5,0.012831186996143041,2.496634143645214,0.9323917837786786,37.96981283874974,0.0001201474670208079,-0.00013763169833428437,0.014397832539501488,0.00025263591134536026,-6.425988575876429e-5,0.01393135476992682,7.137414517218826e-5,-8.204287050916264e-5,0.012849279901702081,0.0006803232864631965,-0.000830014664422762,15.82729164861384,0.0006351811589348077,-2.9348358923924223e-5,0.023265659885672064,4.485640838920626e-5,-5.585008333005084e-5,0.01447179732767954,0.0006555169098184867,2.0739644176707506e-5,0.015165601680966596,8.02361756983186e-5,-6.408486519038093e-5,0.015130918999729515,0.01384786867343412,0.012523527351865215,0.09838764394534359
t6,-0.00015893424405627552,0.00014847477504173717,0.02119047960790717,0.00015698479811754594,-0.00016016809679341538,0.00946806164407529,1.64943009139102e-5,-2.5590435736884106e-5,0.01006750752518748,11.132253279965612,-11.908678419087257,57.335496490451355,-0.00011166798474159602,0.00010940141216129616,0.013593223848807632,2.110433830763937e-5,-0.0005255239996941401,0.053702227674397966,-6.2537137310683635,7.291206461017242,5.5460232572720445,0.00028984099336639194,-0.0005544307872414816,0.011785877197923292,7.174802667688466e-5,-7.633249064645784e-5,0.013515593812538697,0.0021109743538121305,-0.0021692059591691456,0.028419344076403674,0.0843784639981113,-0.08538137193371806,1.1597673478269535,0.0007337636431330749,-0.0011411105267828,0.02737364407405353,-6.834173827532092e-5,5.4562806880610094e-5,0.013721219102172492,3.512140890739074e-5,-0.000128431804189798,0.022925547534994938,-11.043692067812197,7.3078969930063336,203.55025355653234,0.0008392960276708988,-0.0013469732508675709,0.02109024149267845,0.00025672488388514054,-0.00027584248528821916,0.018768553740773308,-1.517501297512885,1.2127390801400992,1.1091999991019346,-8.90614114954681e-5,5.183205873609192e-5,0.01186082011142929,-0.0001564605590018274,0.00013784960566041435,0.012187173404094215,-0.00025112507964169167,0.0001650108362694951,0.0180872558359608,-0.0003823220355067753,0.0003478546141410663,0.010636212133608759,3.262407910201016,-3.945439646871061,8.781645146258704,2.0340529251722185e-5,-6.934258587703158e-5,0.017283807105065895,8.508663629067071e-6,-5.296465438287012e-5,0.013280583614547814,-0.00010650000472294392,8.278380810838946e-5,0.01236003320397186,-6.025663327601346e-5,-2.3825258391700936e-5,0.01704478631476386,-9.903397642545243e-5,5.2524636482805236e-5,0.011969364283861327,0.004012488773812972,-0.006830825798876001,0.0521411925930184,0.21481853507471088,-0.302039602134304,2.452649308428891,-0.00021650519851344264,0.00017016915328312905,0.015402171677842792,-1.5705664905791759,0.7691314898184259,21.779689812465033,-0.0017109110918165525,0.0010215363425634212,0.023898515959289136,0.00015998903836987637,-0.00039849092026392674,0.014007767191797485,2.7425971488309478e-5,-4.7191865450639514e-5,0.0128509528901054,1.6644184517080414,-3.753173815719239,40.05856820276098,0.00011933254238506963,-0.000146218243884652,0.014424718241001016,0.0002530875788016243,-0.00043406250851419433,0.014112329699639357,7.178461068587852e-5,-9.307127196443482e-5,0.01287056656298051,-0.22041923200604835,-0.00039249962094517607,16.048103380240835,0.0005420147456877708,-0.0010933985226695717,0.023817043662653865,2.169007157174337e-5,-7.839410250336335e-5,0.01452850135861128,0.0006439785661305447,-0.001149583272790585,0.015671206387626584,7.313768720565433e-5,-0.00010851831503560106,0.015166299627559495,-0.017544621758931338,0.0034991558549541724,0.11243310984932045
t7,-0.00016157571487154343,-0.00010225734260742433,0.02145431266538606,0.00015266293397807996,-0.00016810165645623782,0.009483500366553384,1.2095416793445838e-5,-3.2872711494263496e-5,0.010088284819888306,10.746797894619608,-11.908721045719304,58.49741964155103,-0.00011532370560351617,0.00010915563879058422,0.013599391915620571,5.821984608247836e-6,-0.0006779321059007879,0.05437433779569039,-9.53334759351453,1.8415632358326037,13.237807614953972,0.0002879804316173423,-0.0004911345541088174,0.011989031320414782,6.965094880340963e-5,-8.289429332594781e-5,0.013528837157061296,0.0019488990400783148,-0.0021895043634070402,0.028659949399732428,0.08410568257218028,-0.08557463671577309,1.1612363019705465,0.0005914528683025529,-0.0012387479983606512,0.028020939204111563,-7.510594141441182e-5,5.402059631530237e-5,0.013742304447271581,-5.281662721523376e-6,-0.00015641579878605783,0.02308724499650253,-21.94446429531571,1.3325490588749247,224.16216879297306,0.0008213718684215293,-0.0012738841132801135,0.021542753737537064,0.0002349041835975668,-0.00029092762318070427,0.018824577180356447,-1.7120176595121914,0.2332422573891036,2.5879754012250227,-9.487002547852206e-5,3.7898736435911244e-5,0.011917791400471986,-0.00015953920667474258,0.0001374107356899906,0.012209301875078937,-0.0002588148240091058,0.00014196248647792135,0.018204108173492134,-0.00039663683177063687,0.00032508797033348267,0.01070776099504592,2.148722407070107,-3.9453594835889048,10.578282222777494,1.2536427180566152e-6,-0.00010326246930268126,0.017385815931650526,3.405976128676802e-6,-6.420284423046702e-5,0.013341380482649583,-0.00010879736336530025,8.204062858770529e-5,0.012386789938749367,-6.537984661573158e-5,-3.502983223943308e-5,0.01714519599361917,-0.00010997915707823785,3.653323651265511e-5,0.012042810204426902,0.003997898167375764,-0.006762301785223616,0.05490559621086624,0.19601923031781948,-0.3021523360022956,2.5587824141133684,-0.00022819280457071984,0.00017055194868916587,0.01545981253372434,-1.5706963640448672,0.7032553360362549,22.647130840473643,-0.0017434143074161268,0.0009863852412959225,0.02465554502540937,0.00015407656006332466,-0.00033860610484257004,0.014192296736576694,2.1883006493146753e-5,-5.1700329189181945e-5,0.01288077021280156,0.4155639363976402,-4.269839672114344,43.91284393847764,0.00011911277794946954,-0.00015570488979989018,0.014461310352851595,0.0002528390088006717,-0.00039220642052198245,0.014251697111360486,7.097496024093848e-5,-9.548847195143105e-5,0.012895080074691022,-0.2363754204146585,-0.0004737471807849166,16.28495254783628,0.000530229416230249,-0.0010189143556970886,0.024305728602120553,1.768245222633709e-5,-8.339451712338717e-5,0.014594213423508426,0.0006334500578674979,-0.001076883582228387,0.016114639911987458,6.480513644144302e-5,-0.00011776220839424944,0.015219256699512422,-0.01745732394698168,0.003387833337608345,0.12650260045869377
t8,-0.00017507348068072806,-8.109615049470102e-5,0.02171048229656155,0.0001492781727476991,-0.00016687045825785403,0.009501092652063605,8.458188332257429e-6,-3.4527950243988656e-5,0.010114354581799994,10.734515680909942,-11.908721316200522,59.67162527684156,-0.00011890763282140847,0.00010775442390534984,0.013610545124536712,-7.800500489916953e-6,-0.0006271586070971523,0.055009296903277646,-9.521021019825811,1.8738097941985545,20.88501884058123,0.0002859030494857613,-0.0004923163803804608,0.012195444651309522,6.704433150881014e-5,-8.453196897043069e-5,0.013546324794522906,0.0019924851707151174,-0.0021786437599132695,0.02884610798893055,0.08418749350127724,-0.08560555921155719,1.1626543676808263,0.0006325653666869231,-0.0012514884200015954,0.02863986225742619,-7.169198731105054e-5,5.310077118289271e-5,0.01376089566339985,6.150022589744434e-6,-0.00014644671041765965,0.02322754168433032,-20.852797684175897,1.300121080001769,243.71484539714726,0.0008323249653006694,-0.0012760322621010207,0.02198646103433738,0.0002414743544500035,-0.0002967910048997192,0.018879893830806193,-1.690028931986188,0.23410175436785638,4.043902578843353,-9.435160204892531e-5,3.7974762850332083e-5,0.011974168239670645,-0.00015972669671471463,0.00013679772830541906,0.012232230843488259,-0.00025846837616351503,0.00014962671573876115,0.0183129498339169,-0.0003937048298055843,0.0003190939114016962,0.010782371913449822,2.1262797323146154,-3.9453635454994926,12.397366035962373,3.825520723508961e-6,-0.00011462582102178694,0.017496616231948765,2.5981316966079693e-6,-6.398735386556586e-5,0.013402769704818546,-0.00010924338778870818,8.143562553073993e-5,0.012414597701007299,-6.61483933929142e-5,-2.8836993438641754e-5,0.017240181380450758,-0.00011208108624989794,3.21558325262893e-5,0.012122735458150563,0.004002703367051549,-0.00676463994411683,0.05766753278793142,0.19512164130716836,-0.30220676809189323,2.665867540898093,-0.00022846037571425148,0.0001694048742183325,0.015518868035220224,-1.5707214594654764,0.7468838467170914,23.47096845322203,-0.001747201561965853,0.000982934176743377,0.025419812410631827,0.0001549667544088471,-0.00033969964550144705,0.014377029627669123,2.1818162070335288e-5,-5.316026826224991e-5,0.012912112318993568,0.41550686156756167,-3.9978794943953626,47.495216571305455,0.00011787577956450581,-0.00015914683187435633,0.014502581405161434,0.0002523005995452928,-0.00039292868210213385,0.01439232519391745,7.056565823284337e-5,-9.614026616048353e-5,0.012920654682618568,-0.23217071886667828,-0.0004970891665866117,16.517620355869543,0.0005366687487441929,-0.0010203964047466282,0.02478945625812282,1.939980690817409e-5,-8.47795136033789e-5,0.014659593130203721,0.0006313417123704232,-0.001078326796014008,0.0165616249956311,6.187798526590679e-5,-0.00012071708681396108,0.015278095801060525,-0.017459214130765184,0.0033811759994460014,0.14058063859001327
