Zone,1,2,3,4,5,6,7,8,9,10,Total
CO2_Price_1,-985.2750863991766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_2,0.0,-1026.7434169590065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_3,0.0,0.0,-990.0447845691941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_4,0.0,0.0,0.0,-989.0803004267938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_5,0.0,0.0,0.0,0.0,-1000.5511149339267,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_6,0.0,0.0,0.0,0.0,0.0,-965.5159160970139,0.0,0.0,0.0,0.0,0.0
CO2_Price_7,0.0,0.0,0.0,0.0,0.0,0.0,-1007.2047399103961,0.0,0.0,0.0,0.0
CO2_Price_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-989.5058220747534,0.0,0.0,0.0
CO2_Price_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1117.012538642779,0.0,0.0
CO2_Price_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-989.0813183881804,0.0
AnnualSum,0.0012717335243151201,0.0018837831701140454,0.0011199477300608965,0.0015761391677230508,0.0017622235827001829,0.0009230995111947712,0.0015235641861876595,0.0012314204198537904,0.0009059216436368281,0.0010830961314902373,0.013280929067276582
t1,1.5266187780900816e-6,2.2474298843971312e-6,1.3349957143156083e-6,1.8793467456094023e-6,2.0988038743401837e-6,1.0944638861821245e-6,1.7747471229194813e-6,1.4623530745033027e-6,1.0790947713048401e-6,1.2883271717033967e-6,1.5786181023365552e-5
t2,1.5261993779872542e-6,2.2481537899328297e-6,1.3349145926909505e-6,1.8790713326486666e-6,2.0975199454139014e-6,1.0954760407959957e-6,1.7708204535012117e-6,1.4611336297963679e-6,1.0797682133519212e-6,1.2885056588365206e-6,1.5781563034955617e-5
t3,1.5258506089278147e-6,2.2493310645056446e-6,1.334951039073304e-6,1.87919636146517e-6,2.0976218839056153e-6,1.095116648325373e-6,1.7697925741944713e-6,1.4608527197171557e-6,1.0799475144377087e-6,1.2885809766854898e-6,1.5781241391237745e-5
t4,1.5251772308543465e-6,2.250012754424884e-6,1.335032073141228e-6,1.8797294867096923e-6,2.097929459337379e-6,1.0942831079855187e-6,1.7691999186119632e-6,1.4604201177634563e-6,1.079993634401254e-6,1.288512990074981e-6,1.5780290773304704e-5
t5,1.5250119326942169e-6,2.2502155584292284e-6,1.335092964407762e-6,1.8797704888224244e-6,2.0982044206729012e-6,1.0940292443934902e-6,1.7685327993158859e-6,1.4601881266569259e-6,1.0802015219566436e-6,1.2885925403440856e-6,1.5779839597693564e-5
t6,1.5271412496091941e-6,2.249761860418926e-6,1.3350835814115595e-6,1.8791230100307595e-6,2.097383994346119e-6,1.0940465418520728e-6,1.7671198063237979e-6,1.4606008638375776e-6,1.0798195630653915e-6,1.2879083169869908e-6,1.5777988787882388e-5
t7,1.5260085606917756e-6,2.249394692578554e-6,1.3348252672516122e-6,1.8784827462057375e-6,2.097779936266968e-6,1.0945840463268865e-6,1.7643880049118647e-6,1.459132579777688e-6,1.0800189341659908e-6,1.2879417533529255e-6,1.5772556521530002e-5
t8,1.5245503934746242e-6,2.249297991448028e-6,1.3346541694156573e-6,1.8783550399630203e-6,2.0983190515186544e-6,1.094214643158433e-6,1.7618499817605464e-6,1.4581459853135141e-6,1.0801228774363297e-6,1.2880754272587416e-6,1.5767585560747548e-5
t9,1.52377552150626e-6,2.2493100622515883e-6,1.3344936123322603e-6,1.8783411297391407e-6,2.0992850068278345e-6,1.0923897389245786e-6,1.76032509928994e-6,1.4579122412219748e-6,1.0802098963786684e-6,1.2883700432938047e-6,1.576441235176605e-5
t10,1.5234064239634015e-6,2.2487503021613097e-6,1.3345167864583545e-6,1.8785503038840103e-6,2.1009255841012807e-6,1.0933507893529695e-6,1.760981954041005e-6,1.457591536402228e-6,1.0800629542275263e-6,1.2886534192410336e-6,1.576679005383312e-5
t11,1.5239902747543561e-6,2.2478580855072842e-6,1.3342895438977075e-6,1.878071365193711e-6,2.1008619882513027e-6,1.091953979260721e-6,1.761144743574059e-6,1.4578172098851923e-6,1.07932717726135e-6,1.2880856946419796e-6,1.5763400062227664e-5
t12,1.523492887377471e-6,2.2484177522528452e-6,1.3342754187772388e-6,1.8784226492865654e-6,2.1025790600601925e-6,1.091449128090483e-6,1.7620144627717035e-6,1.4582592575010096e-6,1.0794843873702184e-6,1.2882299869793913e-6,1.576662499046712e-5
t13,1.5234798187761909e-6,2.2481972537840273e-6,1.3343081299006972e-6,1.878414488288835e-6,2.1027028161932987e-6,1.0909606749899908e-6,1.7625091970076564e-6,1.4581940598214577e-6,1.079679461408688e-6,1.288484191530914e-6,1.5766930091701754e-5
t14,1.523423252471567e-6,2.2483997490392856e-6,1.3342899829246726e-6,1.8784597111247709e-6,2.1011786645599443e-6,1.0908785182741526e-6,1.7624170498594358e-6,1.4581283509577169e-6,1.0799365028665739e-6,1.2886588161264298e-6,1.576577059820455e-5
t15,1.5235850324604692e-6,2.248381968335208e-6,1.3342983767790915e-6,1.878568428918921e-6,2.1006548624202092e-6,1.0910786765778604e-6,1.7619032492059116e-6,1.457514032990873e-6,1.0802342590603351e-6,1.288872889012892e-6,1.5765091775761774e-5
t16,1.5252308153624163e-6,2.2476549322330023e-6,1.3343214941687475e-6,1.8780600121449325e-6,2.098989422186315e-6,1.0915498232232834e-6,1.759828929304493e-6,1.4575315841648663e-6,1.0797288385288721e-6,1.2881499589240032e-6,1.5761045810240933e-5
t17,1.525332563172172e-6,2.247751346048132e-6,1.3342589106093313e-6,1.8782308329799973e-6,2.0979699088377585e-6,1.0922282963228092e-6,1.7579735002995538e-6,1.4578122921453574e-6,1.0798433191606977e-6,1.2883297801811277e-6,1.5759730749756935e-5
t18,1.5253178508667468e-6,2.247776746467761e-6,1.334197523359502e-6,1.8785643990405797e-6,2.0974321836663528e-6,1.0920415251406937e-6,1.7576808092484698e-6,1.4580750353847508e-6,1.0799475143858962e-6,1.288614605661741e-6,1.5759648193222495e-5
t19,1.525361938667473e-6,2.2479955430001422e-6,1.3343172736206273e-6,1.8789060937054974e-6,2.0974641368502743e-6,1.0926644185005323e-6,1.760463013029391e-6,1.4585414496210308e-6,1.0799803197807595e-6,1.2888004709573982e-6,1.5764494657733126e-5
t20,1.5253424106186779e-6,2.248568693404303e-6,1.334453170850481e-6,1.879366178091031e-6,2.097389711352573e-6,1.0926105317438225e-6,1.7666087266351928e-6,1.4590156896011198e-6,1.079979006693638e-6,1.2891379400220077e-6,1.5772472059012845e-5
t21,1.5271007118334015e-6,2.2486108056738745e-6,1.3345250295013047e-6,1.8792810384795903e-6,2.0961517451489792e-6,1.0935895106360454e-6,1.7727879838761248e-6,1.4604673479837437e-6,1.0792296136125003e-6,1.288584123411194e-6,1.578032791015676e-5
t22,1.5279505289131686e-6,2.2486010890043453e-6,1.33451471070603e-6,1.8793308814842162e-6,2.096292428666053e-6,1.0926783241952384e-6,1.7785577133559915e-6,1.4619605367456778e-6,1.079354978049262e-6,1.2888053997005802e-6,1.5788046590820562e-5
t23,1.5279158633300086e-6,2.248457442707806e-6,1.3343389280393068e-6,1.8790565827794905e-6,2.096463884181876e-6,1.093616893319762e-6,1.7862752393928679e-6,1.4627855416377906e-6,1.0797908823196408e-6,1.2891894743199985e-6,1.5797890732028546e-5
t24,1.527524256538662e-6,2.2490861958547716e-6,1.3344481361966709e-6,1.8793504597851897e-6,2.096882733403591e-6,1.0941133722045505e-6,1.7919950598529263e-6,1.4640744031314564e-6,1.0798904759260597e-6,1.2894399176095947e-6,1.5806805010503472e-5
t25,1.5269224941258956e-6,2.249710662752524e-6,1.3345099128583161e-6,1.8794378335701915e-6,2.0972755839119176e-6,1.0939596283185798e-6,1.7953137855347303e-6,1.4643599167755603e-6,1.0795471561561302e-6,1.289647335599434e-6,1.581068430960328e-5
t26,1.5267714155415049e-6,2.2496774513022322e-6,1.334643882646063e-6,1.8792474983873667e-6,2.096486484938245e-6,1.0942466857249695e-6,1.7974914369016069e-6,1.4652821597044103e-6,1.0789942939412022e-6,1.2889498644034626e-6,1.5811791173491062e-5
t27,1.5261662247439156e-6,2.2497284808783514e-6,1.3345965571881571e-6,1.8794449313785663e-6,2.096959492280002e-6,1.0944983093644518e-6,1.7994455578032814e-6,1.4662107768387142e-6,1.0791944393333755e-6,1.2891131929124631e-6,1.5815357962721276e-5
t28,1.5252991431934598e-6,2.249769159090363e-6,1.3346564870839475e-6,1.8795611953101048e-6,2.0977821267332665e-6,1.094066048453279e-6,1.8007120598762814e-6,1.4651364835797492e-6,1.0798356720020418e-6,1.2893005871838595e-6,1.5816118962506352e-5
t29,1.5256782675053368e-6,2.2495933537405647e-6,1.3346528857544963e-6,1.8796876538727965e-6,2.0981658193027396e-6,1.0944810994384846e-6,1.8024422692103717e-6,1.4665853999836966e-6,1.0800094698554291e-6,1.2895912544069368e-6,1.5820887473070853e-5
t30,1.5248170133473366e-6,2.2493393293073866e-6,1.3345666693209908e-6,1.8797523699698183e-6,2.098444309915069e-6,1.0945232181376376e-6,1.8032921997502685e-6,1.4657585001616764e-6,1.0802493363198139e-6,1.290025823554487e-6,1.5820768769784486e-5
t31,1.525432082041345e-6,2.2483846645877818e-6,1.3345454880730294e-6,1.878920500347212e-6,2.0974655768100535e-6,1.094888624069523e-6,1.8024119614469587e-6,1.46517790460949e-6,1.0795167478293982e-6,1.2893659949294012e-6,1.5816109544744192e-5
t32,1.524565974721924e-6,2.2475046432823547e-6,1.3343800281654855e-6,1.8785605206532964e-6,2.0977880008850505e-6,1.094748446098725e-6,1.8021205755839315e-6,1.4644551014276707e-6,1.0794278569911681e-6,1.2894507137167416e-6,1.5813001861526347e-5
t33,1.5238710422872737e-6,2.2473400001080152e-6,1.3342206459911091e-6,1.8784399622605596e-6,2.0987259319799003e-6,1.0947249893578615e-6,1.8024073232146687e-6,1.4638281495998033e-6,1.0790105803432931e-6,1.289473240633699e-6,1.5812041865776183e-5
t34,1.5242261781702056e-6,2.248578615418386e-6,1.3343176344406764e-6,1.8790005791120769e-6,2.0998160680988886e-6,1.0953265510598198e-6,1.803223604515649e-6,1.463726151782311e-6,1.0788397730163013e-6,1.289584797143236e-6,1.581663995275755e-5
t35,1.5247763126182267e-6,2.2463984342955775e-6,1.334038358701956e-6,1.8787161237108299e-6,2.1000988445779014e-6,1.0946704618469743e-6,1.8031553346100566e-6,1.4633856935466352e-6,1.0788969452926916e-6,1.2898117339205067e-6,1.5813948243121355e-5
t36,1.5251724781205994e-6,2.246891063856005e-6,1.3342907327806363e-6,1.8786663837414884e-6,2.0994996655033793e-6,1.0951263441970207e-6,1.8022329667627377e-6,1.464168573136069e-6,1.07815036821628e-6,1.2891972903394518e-6,1.581339586665367e-5
