Zone,1,2,3,4,5,6,7,8,9,10
t1,-3.155652108232073e-5,-4.880871594910568e-6,-0.00010953589254411536,-0.00013997027808814784,-5.078290408770577e-6,-0.0002734370026855695,-7.756298161947087e-6,-2.2096555403837725e-5,-2.2526685401842027e-5,-2.07717250422508e-5
t2,-3.254793324293165e-5,-5.00976504176203e-6,-0.00011085384817031284,-0.00014164877321574663,-5.2417180852295e-6,-0.00027527127217946056,-7.816965124350421e-6,-2.2623422056150554e-5,-2.2563661735816222e-5,-2.0862841053797334e-5
t3,-3.3288697390107316e-5,-5.040530417002321e-6,-0.00010937087910201958,-0.0001397587130025935,-5.412530402219842e-6,-0.0002796531638308358,-7.965290246644475e-6,-2.268748781371223e-5,-2.258852474683973e-5,-2.081682878554703e-5
t4,-3.3623534941067544e-5,-5.043794729408488e-6,-0.00010880477706139582,-0.00013906090840666154,-5.448242607827864e-6,-0.0002909409462790817,-8.34647467273682e-6,-2.281510477627264e-5,-2.2431603811398927e-5,-2.0614156126514104e-5
t5,-3.25711710788424e-5,-4.825339869071786e-6,-0.0001042834905216163,-0.00013338198346203207,-5.159240840568093e-6,-0.00030050540646591915,-8.666988615537788e-6,-2.2258321542300096e-5,-2.189311472503045e-5,-1.9894320361014944e-5
t6,-3.0283508412088425e-5,-4.577043951698262e-6,-8.996245695680022e-5,-0.00011552008613548228,-4.6779302206517085e-6,-0.00029752400810735124,-8.575238363294582e-6,-2.0117477846502432e-5,-2.0562174505871837e-5,-1.833397407493811e-5
t7,-2.9002198958990767e-5,-4.440446336127065e-6,-7.808713040106604e-5,-0.00010080195234904914,-4.512153288936547e-6,-0.00026914699839541165,-7.610118958487742e-6,-1.752396491589177e-5,-1.9318102208480673e-5,-1.7387431599209152e-5
t8,-2.901060929442034e-5,-4.3675741557134625e-6,-7.472319389516924e-5,-9.67139810735685e-5,-4.46393510476557e-6,-0.00024075810739338175,-6.632467086479568e-6,-1.6102451385361176e-5,-1.869632488699386e-5,-1.7055024519797785e-5
t9,-2.8591370499660307e-5,-4.340590247047117e-6,-7.404940066051756e-5,-9.589418260313785e-5,-4.516750457959785e-6,-0.00022687106554560808,-6.1470353310292e-6,-1.544711437480229e-5,-1.8528206228150797e-5,-1.69915194364514e-5
t10,-2.8127261105625677e-5,-4.259318457753991e-6,-7.23057486897126e-5,-9.378403276138948e-5,-4.592811592796537e-6,-0.00021792913922111403,-5.833473203326269e-6,-1.5195693435651391e-5,-1.85710249118042e-5,-1.6779105132349644e-5
t11,-2.7974737769051563e-5,-4.19220954412563e-6,-7.313396596274372e-5,-9.478106832472186e-5,-4.664304274668071e-6,-0.00021913862191132936,-5.884840168156261e-6,-1.5163819474698122e-5,-1.890733076459894e-5,-1.6837650145449167e-5
t12,-2.8600760926934662e-5,-4.200438045352694e-6,-7.490421630488892e-5,-9.692649479476371e-5,-4.8043960516955575e-6,-0.00022112214477239522,-5.951368756848344e-6,-1.530736301028814e-5,-1.923355809331143e-5,-1.692469741026572e-5
