Region,Resource,Zone,Cluster,AnnualSum
BE0 0,BE0 0 CCGT,1,1,0.0
BE0 0,BE0 0 OCGT,1,1,0.0
BE0 0,BE0 0 biomass,1,1,0.06728575
BE0 0,BE0 0 coal,1,1,0.0
BE0 0,BE0 0 nuclear,1,1,2.1120404e7
BE0 0,BE0 0 offwind-ac,1,1,0.02693788
BE0 0,BE0 0 offwind-dc,1,1,0.03933347
BE0 0,BE0 0 onwind,1,1,0.02703368
BE0 0,BE0 0 ror,1,1,4.6509467e-5
BE0 0,BE0 0 solar,1,1,0.006507983
DE0 0,DE0 0 CCGT,2,1,0.0
DE0 0,DE0 0 OCGT,2,1,0.0
DE0 0,DE0 0 biomass,2,1,0.07902189
DE0 0,DE0 0 coal,2,1,0.0
DE0 0,DE0 0 lignite,2,1,0.0
DE0 0,DE0 0 nuclear,2,1,8.960077e7
DE0 0,DE0 0 offwind-ac,2,1,0.035395555
DE0 0,DE0 0 offwind-dc,2,1,0.053803924
DE0 0,DE0 0 oil,2,1,0.0
DE0 0,DE0 0 onwind,2,1,0.035384115
DE0 0,DE0 0 ror,2,1,0.00032584474
DE0 0,DE0 0 solar,2,1,0.0054388307
DK0 0,DK0 0 OCGT,3,1,0.0
DK0 0,DK0 0 biomass,3,1,0.054544058
DK0 0,DK0 0 coal,3,1,0.0
DK0 0,DK0 0 offwind-ac,3,1,0.038072284
DK0 0,DK0 0 offwind-dc,3,1,0.023076858
DK0 0,DK0 0 onwind,3,1,0.05508113
DK0 0,DK0 0 solar,3,1,0.004942373
BE0 0,DK0 0 nuclear,3,1,0.020799981
DK3 0,DK3 0 CCGT,4,1,0.0
DK3 0,DK3 0 OCGT,4,1,0.0
DK3 0,DK3 0 biomass,4,1,0.07777262
DK3 0,DK3 0 coal,4,1,0.0
DK3 0,DK3 0 offwind-ac,4,1,0.043374617
DK3 0,DK3 0 offwind-dc,4,1,0.052882675
DK3 0,DK3 0 oil,4,1,0.0
DK3 0,DK3 0 onwind,4,1,0.072744176
BE0 0,DK3 0 nuclear,4,1,0.025753057
FR0 0,FR0 0 CCGT,5,1,0.0
FR0 0,FR0 0 OCGT,5,1,0.0
FR0 0,FR0 0 coal,5,1,0.0
FR0 0,FR0 0 nuclear,5,1,1.5128304e8
FR0 0,FR0 0 offwind-ac,5,1,0.027891675
FR0 0,FR0 0 offwind-dc,5,1,0.044309635
FR0 0,FR0 0 oil,5,1,0.0
FR0 0,FR0 0 onwind,5,1,0.019435018
FR0 0,FR0 0 ror,5,1,2.5516481e-5
FR0 0,FR0 0 solar,5,1,0.005758372
GB4 0,GB4 0 CCGT,6,1,0.03326303
GB4 0,GB4 0 coal,6,1,0.012208839
GB4 0,GB4 0 offwind-ac,6,1,0.104299925
GB4 0,GB4 0 offwind-dc,6,1,0.09443651
GB4 0,GB4 0 oil,6,1,0.014586859
GB4 0,GB4 0 onwind,6,1,0.14426589
GB4 0,GB4 0 solar,6,1,0.011021972
GB5 0,GB5 0 CCGT,7,1,0.027612656
GB5 0,GB5 0 OCGT,7,1,0.018719692
GB5 0,GB5 0 biomass,7,1,0.15440023
GB5 0,GB5 0 coal,7,1,0.01122598
GB5 0,GB5 0 nuclear,7,1,1.21314744e8
GB5 0,GB5 0 offwind-ac,7,1,0.053849038
GB5 0,GB5 0 offwind-dc,7,1,0.07873373
GB5 0,GB5 0 oil,7,1,0.015462155
GB5 0,GB5 0 onwind,7,1,0.07116487
GB5 0,GB5 0 ror,7,1,0.0008835572
GB5 0,GB5 0 solar,7,1,0.009426053
NL0 0,NL0 0 CCGT,8,1,0.019927388
NL0 0,NL0 0 OCGT,8,1,0.013518757
NL0 0,NL0 0 coal,8,1,0.008158526
NL0 0,NL0 0 nuclear,8,1,5.060342e6
NL0 0,NL0 0 offwind-ac,8,1,0.040686082
NL0 0,NL0 0 offwind-dc,8,1,0.060622603
NL0 0,NL0 0 onwind,8,1,0.049491134
NL0 0,NL0 0 solar,8,1,0.005451245
NO3 0,NO3 0 CCGT,9,1,-0.017539648
NO3 0,NO3 0 OCGT,9,1,-0.010731689
NO3 0,NO3 0 offwind-ac,9,1,-0.0051606335
NO3 0,NO3 0 offwind-dc,9,1,-0.0066220504
NO3 0,NO3 0 onwind,9,1,-0.0127756465
NO3 0,NO3 0 solar,9,1,-0.0012579589
SE3 2,NO3 0 coal,9,1,-0.006301079
NL0 0,NO3 0 nuclear,9,1,-0.021687953
SE3 0,SE3 0 CCGT,10,1,0.01424168
SE3 1,SE3 0 biomass,10,1,0.027680587
SE3 2,SE3 0 coal,10,1,0.0059378496
SE3 3,SE3 0 nuclear,10,1,0.0
SE3 4,SE3 0 offwind-ac,10,1,0.007167356
SE3 5,SE3 0 offwind-dc,10,1,0.008235897
SE3 6,SE3 0 oil,10,1,0.008279305
SE3 7,SE3 0 onwind,10,1,0.022707473
SE3 8,SE3 0 ror,10,1,0.0
SE3 9,SE3 0 solar,10,1,0.0016161973
DE0 0,DE0 0 hydro,2,1,1.594757
FR0 0,FR0 0 hydro,5,1,0.37342772
GB5 0,GB5 0 hydro,7,1,0.0
NO3 0,NO3 0 hydro,9,1,-0.0954095
SE3 0,SE3 0 hydro,10,1,0.234122
DE0 0,DE0 0 PHS,2,1,0.22929685
FR0 0,FR0 0 PHS,5,1,0.23008513
GB5 0,GB5 0 PHS,7,1,0.18996754
NO3 0,NO3 0 PHS,9,1,-0.0
SE3 0,SE3 0 PHS,10,1,0.0
BE0 0,BE0 0 Battery,1,1,0.06467573
DE0 0,DE0 0 Battery,2,1,0.07699111
DK0 0,DK0 0 Battery,3,1,0.059823997
DK3 0,DK3 0 Battery,4,1,0.067772746
FR0 0,FR0 0 Battery,5,1,0.06672072
GB4 0,GB4 0 Battery,6,1,0.12790874
GB5 0,GB5 0 Battery,7,1,0.101227485
NL0 0,NL0 0 Battery,8,1,0.07726935
NO0 0,NO0 0 Battery,9,1,-0.061445177
SE3 0,SE3 0 Battery,10,1,0.057864334
