Resource,Zone,Investment_Cost,Fixed_OM_Cost,Var_OM_Cost,Startup_Cost
Liquid_DAC_1,1,0.0,0.0,0.0,0.0
Liquid_DAC_2,2,0.0,0.0,0.0,0.0
Liquid_DAC_3,3,0.0,0.0,0.0,0.0
Liquid_DAC_4,4,0.0,0.0,0.0,0.0
Liquid_DAC_5,5,0.0,0.0,0.0,0.0
Liquid_DAC_6,6,1.2663982657798223,0.4312304439508878,3.98892223014684e-5,0.0
Liquid_DAC_7,7,1.4031319661584338,0.4777906264073977,4.474925650206975e-5,0.0
Liquid_DAC_8,8,1.2763609724861318,0.43462291735519143,3.9597217317753616e-5,0.0
Liquid_DAC_9,9,1.2331362668616241,0.4199041598365013,3.802159304320309e-5,0.0
Liquid_DAC_10,10,1.2318573992096273,0.41946868335155413,3.817618277162243e-5,0.0
Solid_DAC_1,1,0.0,0.0,0.0,0.0
Solid_DAC_2,2,0.0,0.0,0.0,0.0
Solid_DAC_3,3,0.0,0.0,0.0,0.0
Solid_DAC_4,4,0.0,0.0,0.0,0.0
Solid_DAC_5,5,0.0,0.0,0.0,0.0
Solid_DAC_6,6,5.471274155194682,0.6006060350815214,6.749300546942785e-5,0.0
Solid_DAC_7,7,6.727407328306986,0.7384973458141504,8.327622442177387e-5,0.0
Solid_DAC_8,8,5.902498298470148,0.6479434222380764,7.28100293033448e-5,0.0
Solid_DAC_9,9,5.581648805675789,0.6127223500967407,6.853897449126572e-5,0.0
Solid_DAC_10,10,5.902755673320297,0.6479716754171154,7.272232655804376e-5,0.0
