Resource,Zone,Capacity
GEO_SEQ_INJECT_1,1,0.0
GEO_SEQ_INJECT_2,2,0.0
GEO_SEQ_INJECT_3,3,0.0
GEO_SEQ_INJECT_4,4,0.0
GEO_SEQ_INJECT_5,5,0.0
GEO_SEQ_INJECT_6,6,0.00017698101260602833
GEO_SEQ_INJECT_7,7,0.00018489456379059609
GEO_SEQ_INJECT_8,8,0.00017647434391736402
GEO_SEQ_INJECT_9,9,0.00017691494497705783
GEO_SEQ_INJECT_10,10,0.00017571144835425737
GEO_SEQ_GAS_INJECT_1,1,0.0
GEO_SEQ_GAS_INJECT_2,2,0.0
GEO_SEQ_GAS_INJECT_3,3,0.0
GEO_SEQ_GAS_INJECT_4,4,0.0
GEO_SEQ_GAS_INJECT_5,5,0.0
GEO_SEQ_GAS_INJECT_6,6,0.0
GEO_SEQ_GAS_INJECT_7,7,0.0
GEO_SEQ_GAS_INJECT_8,8,0.0
GEO_SEQ_GAS_INJECT_9,9,0.0
GEO_SEQ_GAS_INJECT_10,10,0.0
Total,n/a,0.0008909763136453037
