,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10
AnnualSum,1.6701506262441515e6,0.004107765831784147,-0.006177476288848803,0.0,0.0,0.0,2.9172629130405982e-5,4.749465621915715e-6,-770302.0546326527,-62308.869219413726,-836097.215493594,6.104966945826885e6,0.004372367178085626,-0.024220274090118152,0.0,0.0,0.0,3.392573774616692e-5,4.956434001957888e-6,4.919813099735353e6,-370378.75449409755,-5.837842577084098e6,0.01842732214887125,0.00467460435590227,-0.006592392440899112,0.0,0.0,0.0,2.871489290891722e-5,4.22257862338315e-6,339259.88529615983,-92995.58431911068,-245647.39737558088,0.0216678891158047,0.004608105142608753,-0.006344403381920686,0.0,0.0,0.0,2.878621178100955e-5,4.173140997625165e-6,397405.2584298019,-205428.40189398962,-187606.18106838217,1.1963096953302331e7,0.0042664022109710235,-0.02738802740253435,0.0,0.0,0.0,3.246596635205607e-5,4.631100319972424e-6,-5.048055769169583e6,-380359.2721098973,-4.442440326779204e6,0.016914223600024533,0.0054508033711680145,-0.006737133523003054,0.0,0.0,0.0,2.9079258923242e-5,4.019060445837672e-6,101633.47020390912,-7622.526967989259,-94001.68495720519,6.06291517917397e6,0.0050034254674003525,-0.0175735900300433,0.0,0.0,0.0,3.245647538826059e-5,5.0854707785695716e-6,1.2775296142929732e6,-111086.88057210282,-3.8291177148526027e6,348900.1693780126,0.00552117635747393,-0.0063503081913957645,0.0,0.0,0.0,2.998405319950062e-5,4.968001368968305e-6,1.278201262888015e6,-112081.20245447283,-1.4950070881913463e6,0.016358721094493267,0.006042068452558795,-0.006684464170601687,0.0,0.0,0.0,2.9539098891567813e-5,4.833582288689873e-6,2.023180760654363e6,-392616.157828569,-1.1587208156345596e6,0.030237761995715862,0.005754557883282615,-0.006295454646467337,0.0,0.0,0.0,2.9775625097837027e-5,4.908778832051044e-6,2.282895810572359e6,-373437.57973449567,-1.3053392423487806e6
t1,1581.9433229074943,5.182888691785281e-6,-6.888760292281772e-6,0,0,-0.0,3.481569312146763e-8,5.684291599806135e-9,-516.683239096933,-38.751289421109156,-1026.5078314627049,7302.600019467188,5.581364127419814e-6,-2.945380051132145e-5,0,0,-0.0,4.0117138021937093e-8,5.9375343795289495e-9,6098.4174455610955,-457.38138002982765,-6434.719255940436,2.872264970226343e-5,6.166338555855741e-6,-7.368377090971514e-6,0,0,-0.0,3.419938866497103e-8,5.004022251034078e-9,369.2602050557024,-113.3055790882575,-255.6868966778219,3.6928848384911296e-5,5.714484048615809e-6,-7.064462189847629e-6,0,0,-0.0,3.4306294405790665e-8,4.944026952868384e-9,442.63584189931805,-240.53205933277277,-195.2735618547422,16182.87322320923,5.32131898544923e-6,-3.2675592631302737e-5,0,0,-0.0,3.949783172004142e-8,5.464120461755014e-9,-6716.187018472396,-503.7140883860325,-6410.64808316778,1.1275457503742465e-5,7.4697101824629295e-6,-8.054174134152747e-6,0,0,-0.0,3.459088825286386e-8,4.781527144648414e-9,119.708157025981,-8.978133319513562,-110.72929084798248,7252.360437595476,6.786860458626747e-6,-2.0089036180049344e-5,0,0,-0.0,3.860405973799419e-8,5.9288924386826656e-9,1880.2902700164955,-158.97805302824136,-4510.509460347883,436.4998488996134,7.0740900952827615e-6,-7.125280854765544e-6,0,0,-0.0,3.537565299168297e-8,5.830771452497501e-9,1216.6830228277395,-91.25131705071713,-1536.2938005516678,1.8579425038956064e-5,6.103691617544058e-6,-7.491132710883192e-6,0,0,-0.0,3.533412278816662e-8,5.84036692078586e-9,2543.148736113085,-472.19427365515037,-1502.5053153529107,3.6172349819637e-5,7.101466769043419e-6,-7.020811501760311e-6,0,0,-0.0,3.559121294820741e-8,5.9010144118608235e-9,2929.023836371769,-443.2537340360968,-1668.31354227165
t2,1542.5289804573645,5.178344923076387e-6,-7.216141652969805e-6,0,0,-0.0,3.476657953671454e-8,5.661229424225021e-9,-512.9262900999001,-38.469507413836695,-991.1321856559799,7302.600023218035,5.582452538798572e-6,-2.9177994967428135e-5,0,0,-0.0,4.002845382312046e-8,5.947551962876745e-9,5958.062052926198,-446.85471456826076,-6304.890512647214,2.8035682917326942e-5,6.1369297209109965e-6,-7.67438579287968e-6,0,0,-0.0,3.4201896104009615e-8,5.000259910625847e-9,366.1448113560209,-113.53923365499605,-252.33893891319335,3.369451380519781e-5,5.739647587608124e-6,-7.382759698355269e-6,0,0,-0.0,3.431201505185986e-8,4.940102738080708e-9,441.4850691588247,-241.95715026907806,-192.71665463726984,15847.980270664655,5.317808127525671e-6,-3.2923822019329304e-5,0,0,-0.0,3.9334221763183436e-8,5.447458468054875e-9,-6565.754151259188,-492.4317299825019,-6237.47812170969,9.882016099478602e-6,7.104369761102779e-6,-8.083855178366837e-6,0,0,-0.0,3.459241006633587e-8,4.779954469356021e-9,118.79699637772148,-8.909796767968064,-109.8864227322532,7252.360435442405,6.82207705960236e-6,-2.0642829762120155e-5,0,0,-0.0,3.85773547963025e-8,5.925557626046652e-9,1916.1072588050633,-161.52764537700602,-4476.175592079271,436.4993411909863,7.017924559634647e-6,-7.398092654587817e-6,0,0,-0.0,3.5323932500361484e-8,5.82961834316829e-9,1178.0187588816793,-93.58745723960163,-1495.292009241081,1.8704265550786048e-5,6.159784724620805e-6,-7.78177334306948e-6,0,0,-0.0,3.53327628954633e-8,5.8402949956991185e-9,2540.812410852965,-472.1161151424002,-1499.907595965985,3.656937380045595e-5,7.115512541544019e-6,-7.3518650435112015e-6,0,0,-0.0,3.557870821784932e-8,5.898573620294755e-9,2920.8776829830895,-443.6113125405326,-1659.8098099325803
t3,1542.5289868282202,5.184237246309355e-6,-7.2394537472535525e-6,0,0,-0.0,3.473438490701221e-8,5.639999396939006e-9,-536.3535738933533,-40.2265539330893,-965.9478620319853,7302.600024207829,5.580272102045117e-6,-2.8803713022391068e-5,0,0,-0.0,4.000875989543926e-8,5.950224636441311e-9,5922.249495394824,-444.1687728102754,-6271.763897287239,2.7685338461397123e-5,6.12733740269457e-6,-7.761930385792734e-6,0,0,-0.0,3.4197530788829464e-8,5.003067309781351e-9,369.6189911580352,-113.27867011051802,-256.07619410786134,3.283034837959732e-5,5.740005636412292e-6,-7.489519401783174e-6,0,0,-0.0,3.4305009486815743e-8,4.94286651050474e-9,442.29340676528705,-240.68776199863777,-195.57087653419538,15648.916020157418,5.324899891005556e-6,-3.31316839180429e-5,0,0,-0.0,3.922051856568745e-8,5.450380125794935e-9,-6538.808381244743,-490.4107956450742,-6067.359206198578,8.805875775408703e-6,6.9080068078760315e-6,-8.092293682419312e-6,0,0,-0.0,3.4599069886141084e-8,4.776254175606725e-9,116.69219949460717,-8.751937345948718,-107.93944589098724,7252.360435009195,6.799234383948422e-6,-2.065728572666609e-5,0,0,-0.0,3.851095477964451e-8,5.924483475967818e-9,1943.6953852992187,-163.28103559430608,-4396.866338999509,436.4993549084306,7.000522111345166e-6,-7.415398996725467e-6,0,0,-0.0,3.531914496782206e-8,5.834415491218388e-9,1175.9627437730521,-97.25575280803264,-1489.5677340799664,1.8826221008127586e-5,6.1827579616850665e-6,-7.863452714474743e-6,0,0,-0.0,3.532959173102833e-8,5.839490318735411e-9,2539.871525580435,-472.0850416402162,-1498.0520833482014,3.6909120121298564e-5,7.108677012534891e-6,-7.460286294757717e-6,0,0,-0.0,3.5582536568682826e-8,5.898024018650263e-9,2924.5210372121765,-443.23642111838,-1663.8280569063606
t4,1542.528942249291,5.1841745941671605e-6,-7.428324170351742e-6,0,0,-0.0,3.4718736279643206e-8,5.630279623323374e-9,-545.6516854162246,-40.92391081715103,-954.908566353128,7302.600022924427,5.5083353090444696e-6,-2.911173894935687e-5,0,0,-0.0,4.0007281711289375e-8,5.951192103528045e-9,5917.030351666469,-443.7773349256972,-6266.9361801193245,2.772911247311334e-5,6.127399106449828e-6,-7.895765724047723e-6,0,0,-0.0,3.4195974671501895e-8,5.004155698288673e-9,371.42633252730934,-113.14311951066568,-257.5095382960284,3.65995932315934e-5,5.690378053420045e-6,-7.576183693182183e-6,0,0,-0.0,3.430277687718704e-8,4.945355844489781e-9,440.63938890701866,-240.21514054574564,-196.66555231371004,15430.577921954125,5.332022252785032e-6,-3.343184899551196e-5,0,0,-0.0,3.919821604302373e-8,5.451240942709865e-9,-6364.441105200442,-480.61670038670246,-6033.1213604202585,7.38182247915066e-6,6.681632262713622e-6,-8.36299600871566e-6,0,0,-0.0,3.461711912408185e-8,4.766902004285965e-9,111.62317278624926,-8.371761598298464,-103.2444055144058,7252.360399807222,6.644578445830392e-6,-2.1080425470216406e-5,0,0,-0.0,3.8343051494232456e-8,5.92357625840765e-9,1785.9668498004094,-150.69104566579378,-4205.615913828995,424.21197956711353,6.945196402548938e-6,-7.619820579362062e-6,0,0,-0.0,3.5306566999142906e-8,5.838211415068814e-9,1176.5864846829595,-95.32023800466821,-1479.7050800116367,1.902699899429375e-5,6.21386179282914e-6,-7.99908239211585e-6,0,0,-0.0,3.534231360197729e-8,5.840776970825503e-9,2556.4623144074603,-472.6920476593199,-1509.8153382959335,3.7215637899466365e-5,7.0765980698388115e-6,-7.6149097782906494e-6,0,0,-0.0,3.5604453180614246e-8,5.899766308637905e-9,2943.2823006680155,-443.6806414485311,-1682.1450934063178
t5,1542.5289407129308,5.189707339281811e-6,-8.143369756493603e-6,0,0,-0.0,3.4762978231079e-8,5.659312247981641e-9,-511.84943667683456,-38.38874214543216,-990.0241981034442,7302.600023603242,5.536034479761046e-6,-2.986232138631116e-5,0,0,-0.0,4.015508516056123e-8,5.9335583113834315e-9,6030.883054103479,-452.3162874185301,-6499.2855908011825,2.8072500471364192e-5,6.13570082402072e-6,-8.573274413160766e-6,0,0,-0.0,3.418516997712894e-8,5.014804893419548e-9,382.90278097717044,-112.28238575161478,-269.6096318189561,3.7540459425517754e-5,5.861702689609889e-6,-8.238486757936915e-6,0,0,-0.0,3.428174772124012e-8,4.955497096625853e-9,442.4276784788527,-234.89400608310632,-205.9066529653463,15767.09122056898,5.355361921132274e-6,-3.4277818780593934e-5,0,0,-0.0,3.9379978574643376e-8,5.4410195904593875e-9,-6408.10848014838,-481.0714802944299,-6325.479797377759,6.308203362300667e-6,6.525685098523044e-6,-9.088973423378814e-6,0,0,-0.0,3.4633439096490024e-8,4.759303692477779e-9,107.63584400699744,-8.072712107950306,-99.55596586769728,7252.360398370039,6.554266879673948e-6,-2.2919886613943398e-5,0,0,-0.0,3.8206793173704537e-8,5.919009031913494e-9,1622.8910699513785,-137.8622628977271,-4055.3689295633544,434.5004976881905,6.917405720731642e-6,-8.3157853428882e-6,0,0,-0.0,3.535966045418148e-8,5.849072082845748e-9,1203.2936425514442,-91.06713672645006,-1520.9615425821426,1.907861013952382e-5,6.336886241828154e-6,-8.690236120940886e-6,0,0,-0.0,3.53961644452794e-8,5.8487778813474505e-9,2601.506157934117,-474.35421383371727,-1551.6379095146228,3.740475965199868e-5,7.017642644496759e-6,-8.269548596385365e-6,0,0,-0.0,3.569039080409498e-8,5.906850936888405e-9,3011.429780811415,-443.61003493811916,-1750.363149547054
t6,1823.2993622448842,5.217757884875154e-6,-6.802934567982608e-6,0,0,-0.0,3.488258149400875e-8,5.732573642836018e-9,-692.7992731081531,-51.95999196539834,-1075.4104852704447,7302.600024274728,5.517513050398736e-6,-2.7904707343762667e-5,0,0,-0.0,4.0674313904305406e-8,5.875029228948424e-9,5722.462648259439,-429.1847697253935,-7299.047114246746,2.839411986884355e-5,6.124227296296555e-6,-7.2777562141986155e-6,0,0,-0.0,3.4160005680125477e-8,5.052890438290777e-9,426.03461031583413,-109.04749824832072,-315.89003882067595,3.6146366141542835e-5,5.872630455298872e-6,-7.04711497279384e-6,0,0,-0.0,3.4220135556777095e-8,4.989294623007886e-9,478.20812458703745,-235.29976023735514,-241.25199141246023,16015.529632753189,5.40435374819707e-6,-3.2058027342812764e-5,0,0,-0.0,3.9721758915179764e-8,5.426925998732482e-9,-6170.479417608283,-462.7860214114014,-6880.793681975575,5.3203094140055084e-6,6.340865705086496e-6,-7.893772799057086e-6,0,0,-0.0,3.462718981805676e-8,4.762154364572054e-9,108.85222140792553,-8.16394068109141,-100.68062668642675,7252.360398026855,6.467861729659995e-6,-1.985040214881111e-5,0,0,-0.0,3.824948808726382e-8,5.9226277777039165e-9,1668.725152827889,-141.4822903632172,-4101.181497738066,436.4998500341929,6.9355955390862095e-6,-7.009990894694374e-6,0,0,-0.0,3.5589647436336906e-8,5.873792982385753e-9,1392.7991704775854,-104.46001633853234,-1699.2012607387005,1.908173112251207e-5,6.677812942172689e-6,-7.460732767644659e-6,0,0,-0.0,3.554595813906109e-8,5.872537352105998e-9,2718.959610033625,-478.7333921917094,-1664.71218611188,3.7992525953470505e-5,7.018626429194165e-6,-7.086516348551427e-6,0,0,-0.0,3.59048107199405e-8,5.92586060867939e-9,3065.1561580868593,-452.76874472334794,-1918.4766947138357
t7,2194.6247356036965,5.215540360826968e-6,-7.132446887205474e-6,0,0,-0.0,3.495226115582443e-8,5.7752904163187196e-9,-986.6578467356558,-73.99938542024479,-1129.1128647967525,7302.6000265963,5.513143068053111e-6,-2.821770027584715e-5,0,0,-0.0,4.096193404399961e-8,5.825484740171359e-9,4890.916143607856,-366.81878096211426,-7870.666635960808,2.8536362398495218e-5,6.098277255665898e-6,-7.618069997093802e-6,0,0,-0.0,3.415361061431857e-8,5.091073328425126e-9,473.03625413283487,-105.52237477734604,-366.351864938772,3.5339013745656545e-5,5.875316263981495e-6,-7.372303027844741e-6,0,0,-0.0,3.418413249804937e-8,5.02275834089742e-9,533.7305345427392,-252.2695082740291,-279.7907694279442,15088.687315087194,5.410889225121714e-6,-3.240665607659516e-5,0,0,-0.0,3.984249378586818e-8,5.420561667959563e-9,-5311.680823101889,-398.3761262788868,-7092.403719215262,4.981775838454259e-6,6.217195194801982e-6,-8.222833680283086e-6,0,0,-0.0,3.457020853160251e-8,4.785435933692251e-9,121.82899948414911,-9.13719905139789,-112.6841301935757,7252.360402788916,6.3311588564979955e-6,-2.0605873717281108e-5,0,0,-0.0,3.8670275016578115e-8,5.91856487767919e-9,1713.8667297126808,-146.8144254278886,-4590.1389883801385,436.4998499299857,6.918957956788368e-6,-7.363814003963328e-6,0,0,-0.0,3.5925340748948195e-8,5.901715424757129e-9,1686.657749684139,-126.49940927927472,-1971.0204489099333,1.9215404087142353e-5,8.8719312731309e-6,-7.768468665018478e-6,0,0,-0.0,3.569607775782224e-8,5.8887686158367886e-9,2787.6941094919657,-481.3028021374885,-1783.5753163698114,3.84182550724128e-5,7.032255190285388e-6,-7.3862164035882745e-6,0,0,-0.0,3.6045470378109486e-8,5.933231747761118e-9,2945.9961541699035,-469.43024303247324,-2032.9052447185254
t8,2407.205557170387,5.207431556113972e-6,-7.221168686040762e-6,0,0,-0.0,3.495016235317728e-8,5.774730340485036e-9,-1184.6868347148666,-88.85155991867623,-1128.8188839243626,7302.600025719456,5.500157020828333e-6,-2.8576273230450206e-5,0,0,-0.0,4.110368949626859e-8,5.800635606868724e-9,4960.048498884244,-372.00370737270305,-8154.9282438265855,2.862258823188799e-5,6.078376737794068e-6,-7.700373101660604e-6,0,0,-0.0,3.4155207794798054e-8,5.104428435330806e-9,488.52515700835147,-104.36070700116377,-383.0137944478203,3.56612622608929e-5,5.874137770798503e-6,-7.458239474672556e-6,0,0,-0.0,3.4176394128019575e-8,5.033153936771485e-9,548.1412279278206,-253.95607435209195,-292.51584206367573,15238.361161418341,5.411957985573655e-6,-3.262856574161502e-5,0,0,-0.0,3.988039092183392e-8,5.419644959801074e-9,-5412.082989641793,-405.9062884785819,-7155.268619398394,4.78570184272981e-6,6.135019725479145e-6,-8.333582436330605e-6,0,0,-0.0,3.450842452927847e-8,4.811504814360191e-9,138.11549478549557,-10.35868631540633,-127.74917017289471,7252.360409008917,6.233353840587718e-6,-2.080654031193737e-5,0,0,-0.0,3.914865056495296e-8,5.915021351542888e-9,1732.8884647647974,-150.68402997886375,-5203.806833310468,436.4998508034558,6.916636952407507e-6,-7.4835114481032e-6,0,0,-0.0,3.6144525135033696e-8,5.913585315620859e-9,1884.6867470629213,-141.35158332209147,-2154.1972809700947,1.9301807792659772e-5,9.190819634949305e-6,-7.850345187143737e-6,0,0,-0.0,3.5776669079037445e-8,5.894098071604824e-9,2850.4947748631225,-483.65859215920415,-1848.611054287468,3.853364344835924e-5,7.038445547405362e-6,-7.4725141521477e-6,0,0,-0.0,3.609783857768751e-8,5.935475216018773e-9,2974.858795100913,-474.3313850369595,-2075.9845898539966
