Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,1.160386142761684e-7,0.00032541934592282654,0.0003253033073085504
Fuel_cell_1.0,1.0,0,5.435470490823637e-8,0.00013233812995581352,0.0001322837752509053
CCGT-H2_2.0,2.0,0,1.1606245036820931e-7,0.0003193360246410389,0.0003192199621906707
Fuel_cell_2.0,2.0,0,5.4342743687773554e-8,0.0001330286280681796,0.00013297428532449182
CCGT-H2_3.0,3.0,0,1.1604007106641524e-7,0.0003180983904583626,0.0003179823503872962
Fuel_cell_3.0,3.0,0,5.438304768474149e-8,0.00012981109207919054,0.00012975670903150579
CCGT-H2_4.0,4.0,0,1.1603959207143177e-7,0.00036558193736555195,0.00036546589777348054
Fuel_cell_4.0,4.0,0,5.4391566508020413e-8,0.00012913159919733066,0.00012907720763082265
CCGT-H2_5.0,5.0,0,1.1602866923576448e-7,0.00033278691043003985,0.0003326708817608041
Fuel_cell_5.0,5.0,0,5.446880788397123e-8,0.00013243695646370575,0.0001323824876558218
CCGT-H2_6.0,6.0,0,1.1586657223580751e-7,0.00046224728912256556,0.00046213142255032975
Fuel_cell_6.0,6.0,0,5.441683714648288e-8,0.00013727696306987,0.00013722254623272352
CCGT-H2_7.0,7.0,0,1.1587422715069505e-7,0.0003704184235155208,0.0003703025492883701
Fuel_cell_7.0,7.0,0,5.4348048423037616e-8,0.0001333624980016203,0.00013330814995319724
CCGT-H2_8.0,8.0,0,1.159464622041986e-7,0.00037440891876243615,0.00037429297230023195
Fuel_cell_8.0,8.0,0,5.437641053621569e-8,0.00013041925944717829,0.00013036488303664207
CCGT-H2_9.0,9.0,0,1.1599574242312826e-7,0.0003936794244661652,0.0003935634287237421
Fuel_cell_9.0,9.0,0,5.441000705438778e-8,0.00013085011225460945,0.00013079570224755507
CCGT-H2_10.0,10.0,0,1.159857384345429e-7,0.0003852201300786474,0.0003851041443402129
Fuel_cell_10.0,10.0,0,5.44256859160499e-8,0.00013165099000597943,0.00013159656432006338
Total,n/a,0,1.7037959992152786e-6,0.004967503023306633,0.004965799227307418
