Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
Sum,1.0368491,-23016.736,-1.3736569e6,-0.08594477,-152656.52,-1.3643829e6,-2.3125725e6,0.0,-117138.266,0.0,-0.07613092,-503979.97,216393.84,0.0,-587998.2,0.0,4876.5156,4876.5156,-56015.977,-96827.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-789597.8,-7.151695e6
t1,0.0012809741019736975,-29.886032658745535,-1578.2065964814608,-2.7969031179964077e-5,-198.5630387066194,-1551.6020143541716,-2774.972992634353,0.0,-142.43301191494913,0.0,-3.8469830997200916e-5,-599.9762993465285,255.58783126113383,0.0,-699.997830327225,0.0,5.744210196517685,5.744210196517685,-67.70375777753875,-117.77860219520477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974020536297,-8434.040112261018
t2,0.001253836101568595,-26.77213869431216,-1579.3442147202059,-3.628603008110076e-5,-202.37207835043318,-1552.6989662643239,-2775.062503010872,0.0,-145.3978963933563,0.0,-4.783063968716306e-5,-599.9762835887199,255.62291467268994,0.0,-699.9978274028228,0.0,5.700483491067445,5.700483491067445,-67.77855855162699,-118.00224404672076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9973997735593,-8440.375059422697
t3,0.0012449693176677101,-24.76193382261954,-1579.161669352514,-2.609050443425076e-5,-203.7084546483793,-1552.7982389448134,-2775.848327699614,0.0,-146.58505055783246,0.0,-5.01903534768644e-5,-599.9762770761446,255.63627185719622,0.0,-699.9978269953336,0.0,5.599536827755742,5.599536827755742,-67.6841105213509,-117.76360764379746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9973991987312,-8441.446382259961
t4,0.0012453159661163227,-23.810811623623522,-1580.0273579828483,-1.7426732483727392e-5,-205.64936968707843,-1554.3354381888892,-2780.102107804543,0.0,-146.37388947188128,0.0,-5.099819532006222e-5,-599.9762800100955,255.66615394446694,0.0,-699.9978281981901,0.0,5.356148283076408,5.356148283076408,-67.44663766565634,-117.13133339219348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9973998198618,-8448.468826443202
t5,0.0012559516299006646,-26.529524929146646,-1575.7206744580774,-1.9229289137001615e-5,-198.38450538459165,-1551.7486860999106,-2785.0271798285457,0.0,-147.22271947381853,0.0,-3.7472341318789404e-5,-599.9762933201646,255.43242945329916,0.0,-699.9978323874909,0.0,5.1649810678097765,5.1649810678097765,-67.14451373137103,-116.31873704163627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974022183669,-8442.304478034202
t6,0.001263520224711101,-33.8969390614302,-1655.5587223935647,-4.303600508137606e-5,-183.8995291251058,-1652.2431087362093,-2796.1598656706396,0.0,-138.43017555826066,0.0,2.080118019875954e-5,-599.9763016085062,258.5668876873931,0.0,-699.9978367472511,0.0,5.223253260937923,5.223253260937923,-66.0122677644456,-113.32077702888483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.99740520772,-8610.47829340735
t7,0.0012633619799089502,-38.379563004862575,-1764.8728684580942,-0.00018783383347908966,-169.2461553385965,-1788.8297186837449,-2751.5214962290256,0.0,-124.26154793866385,0.0,1.0730537042036303e-5,-599.9764106704732,263.34543704912926,0.0,-699.9978513413495,0.0,5.845428749502588,5.845428749502588,-64.75522866961435,-110.07416687132576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.997423454207,-8776.87504985314
t8,0.0012576470899148262,-38.02513817012459,-1773.3035148156744,-0.00018038361122307833,-158.20027436966393,-1800.4095720957241,-2753.156958127057,0.0,-119.32542140024577,0.0,-1.3032621154707158e-5,-599.9764001388118,263.74378809989093,0.0,-699.9978525733842,0.0,6.626280391028331,6.626280391028331,-64.33959296995789,-109.00375483709388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974242617529,-8778.738490646685
t9,0.0012524890153144952,-39.57667400639184,-1770.1074028319488,-0.00018618137619341724,-151.68163771920354,-1796.8216337939589,-2753.9028139933025,0.0,-115.84173161784088,0.0,-3.396342685846321e-5,-599.9763866464589,263.61390167857166,0.0,-699.9978541043582,0.0,7.085424530693501,7.085424530693501,-64.24912990174064,-108.7820207286992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974252351029,-8763.148927494836
t10,0.00124423469787871,-41.41517651017239,-1702.4845617910403,-0.00014218074284144677,-147.694390798727,-1715.4974829413916,-2792.289005984322,0.0,-114.5635331526255,0.0,-2.8094829303881852e-5,-599.9762779952633,260.6257915559585,0.0,-699.9978511175652,0.0,7.412190305523666,7.412190305523666,-64.00935116670502,-108.1932758159844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974189968483,-8650.667080144514
t11,0.001240606598003069,-42.06241873011459,-1698.0954871778042,-0.0001354764954157872,-147.55625662678176,-1709.778407093713,-2788.706441550004,0.0,-113.52013709490791,0.0,-1.3518083960661897e-5,-599.9762443843105,260.39596310073796,0.0,-699.9978524285958,0.0,7.365593912932752,7.365593912932752,-64.11934138923002,-108.47869957398854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.997415701704,-8637.160459212533
t12,0.0012343869093456306,-39.4338259018723,-1698.3004378981575,-0.00013557025067711947,-150.37345862426082,-1709.3595463342901,-2785.1645555314603,0.0,-115.31673047752986,0.0,-1.72066897903278e-5,-599.9762317227294,260.461936534649,0.0,-699.9978526277522,0.0,7.29008342080806,7.29008342080806,-64.35374543305474,-109.07117160340528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974166739364,-8636.301787842212
t13,0.0012334923039816204,-38.063954704614844,-1697.504693153015,-0.00014146150806482183,-150.93220813466087,-1708.4247080654354,-2783.096577195743,0.0,-115.80872848591127,0.0,-1.7915849184646504e-5,-599.976222684735,260.4320623389449,0.0,-699.9978523465305,0.0,7.199342240252463,7.199342240252463,-64.3445588291917,-109.05273592229389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974173119487,-8632.367835899684
t14,0.001233411448993138,-36.83679385950654,-1697.8169936208349,-0.00014224645929061808,-152.67193882860738,-1708.3380606964486,-2781.0581896629606,0.0,-117.05487146416738,0.0,-1.6763832718424965e-5,-599.9762231535238,260.4217653879547,0.0,-699.997850952068,0.0,7.0395538222195455,7.0395538222195455,-64.48311164622942,-109.40742783266506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974172079983,-8633.13693149146
t15,0.0012342410200290033,-36.653548931084515,-1703.1340151939607,-0.00017382753867423162,-153.1240465804076,-1714.0409706474272,-2781.4614953473433,0.0,-117.5706848137255,0.0,-2.0270448658266105e-5,-599.9762463470925,260.68024182744955,0.0,-699.9978504349388,0.0,6.954939466025166,6.954939466025166,-64.73107634124469,-110.03482201915386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.99741776937,-8646.131013523214
t16,0.0012137167377659352,-35.047421812586435,-1769.2192145615938,-0.00028952581942576217,-155.2068927642522,-1793.9462236765971,-2738.647142963098,0.0,-118.56611030175043,0.0,-8.561032768739096e-5,-599.9763407747159,263.56066425604445,0.0,-699.9978504918603,0.0,6.841841917279055,6.841841917279055,-64.8045744034855,-110.23412843898024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974215107361,-8748.398135028463
t17,0.0012253318909642985,-37.11115743652681,-1767.003777855392,-0.0002810137930282508,-152.22005947776142,-1794.0709173278456,-2740.5465446955964,0.0,-117.067854806593,0.0,-7.827151284800493e-5,-599.9763290520457,263.45943574379487,0.0,-699.9978515397077,0.0,7.074533304838951,7.074533304838951,-63.90932353148514,-107.9556944486169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974235113145,-8742.247565282827
t18,0.0012548227859952021,-43.11724057649917,-1768.168862392923,-0.00023238595258590067,-147.5094605354452,-1796.1763597568306,-2746.3296624162926,0.0,-114.50335947803,0.0,-5.2007356089234236e-5,-599.976340460211,263.56512517527983,0.0,-699.9978540549046,0.0,7.611664315338487,7.611664315338487,-63.713378788215465,-107.44330986878992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974249949692,-8748.143829087678
t19,0.0012614106362889288,-41.49249592756951,-1765.1586742861432,-0.00022691567937727086,-151.00446398898566,-1790.6258054465914,-2751.238256935312,0.0,-117.1001940039231,0.0,-8.471031446788402e-5,-599.9763799096662,263.48613211963095,0.0,-699.9978517546948,0.0,8.02880290643759,8.02880290643759,-64.34503809920827,-109.02044133504023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974237304644,-8750.41233770045
t20,0.0012740077554553864,-37.85816802694353,-1658.599955188729,-0.00010629556800267892,-152.56563977394944,-1659.7681268737297,-2811.5023417828306,0.0,-126.17443932964682,0.0,-6.209771845533396e-5,-599.9762993852215,258.83122761246204,0.0,-699.9978429367831,0.0,7.872342902745174,7.872342902745174,-64.86582049525879,-110.31633727284498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974135773591,-8587.045365610875
t21,0.0012714077911368804,-32.596716367401314,-1659.7928212090371,-7.178375199146103e-5,-164.89536152396704,-1659.0896742834093,-2807.633001601948,0.0,-130.7172737793752,0.0,-7.375177438007086e-5,-599.9762982976123,258.82077242796936,0.0,-699.9978373372887,0.0,7.389062477571997,7.389062477571997,-65.51010337105751,-111.98446023683437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974083280338,-8598.590933080586
t22,0.0012805590386051335,-34.95381788593204,-1664.21794840489,-5.6883099205151666e-5,-172.78859234327138,-1662.0707741146848,-2801.587160688301,0.0,-135.10817363067167,0.0,-8.060698110057274e-5,-599.9762929440268,258.9869125390261,0.0,-699.997836650351,0.0,6.805847055508082,6.805847055508082,-66.24156568849708,-113.9066545385329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974059965865,-8618.246473166746
t23,0.0012833034952564049,-34.83569205491585,-1663.6195362626474,-3.547333926690044e-5,-181.1071601167023,-1658.9522526174414,-2793.778667056557,0.0,-139.71992228539023,0.0,-9.582861866874737e-5,-599.9762437809935,258.8360561663112,0.0,-699.9978343323994,0.0,6.113052450340319,6.113052450340319,-66.93376442249894,-115.75034110097954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974021203619,-8623.605503082357
t24,0.0012912633619635017,-33.036725144187585,-1578.7113588834834,-5.762992259406019e-6,-193.7555038672108,-1553.4385546963103,-2786.3796747419433,0.0,-135.06387207839828,0.0,-0.0001396553245740506,-599.9762161892605,255.3710439553514,0.0,-699.9978280118435,0.0,5.823676405301853,5.823676405301853,-67.34208586003805,-116.84678291317078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.997398853006,-8437.526458627852
t25,0.001294353486628097,-29.527195805048905,-1579.5556394064552,1.6817284631542861e-7,-197.24903130231633,-1553.640342670365,-2783.4046341038006,0.0,-142.55162160162126,0.0,-0.00014756718451280904,-599.9761943262795,255.3525973772223,0.0,-699.997826926343,0.0,5.70433077204882,5.70433077204882,-67.53780317956117,-117.39215925284367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9973981384427,-8444.067440837282
t26,0.0012809439795091748,-26.854403639798875,-1580.1074441543835,5.800998224003706e-6,-200.63712767994184,-1553.959151997206,-2782.6403847125107,0.0,-145.2917789822095,0.0,-0.0001556061429255351,-599.9761852858551,255.29139366495656,0.0,-699.9978235931717,0.0,5.658420876012315,5.658420876012315,-67.6115698076139,-117.60345430797514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9973954140172,-8448.067353018869
t27,0.0012703698603218072,-25.29459356075222,-1580.6748025633253,4.295352482586168e-6,-202.45167203400433,-1554.7631058687123,-2783.964228037896,0.0,-145.74953576230757,0.0,-0.0001582655345373496,-599.9761894150032,255.3732914529836,0.0,-699.997822748849,0.0,5.529080544564891,5.529080544564891,-67.59885129234175,-117.56064930512912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.997395321646,-8451.596276968176
