,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.007215172728284971,0.009004227197721563,0.0065418173189251815,0.008659015872901637,0.008156615815553317,0.007388661099121134,0.008463587268306986,0.00730382333807178,0.007142415403080829,0.006989245604524766
t1,8.587029888893619e-6,1.0718566055026704e-5,7.785546180892569e-6,1.0308193347236738e-5,9.709497511348863e-6,8.782907914526207e-6,1.0072573086722213e-5,8.691691761229948e-6,8.500760359418591e-6,8.31903571153943e-6
t2,8.58706372062737e-6,1.0717786299779943e-5,7.78628567354891e-6,1.0307539246233507e-5,9.70568825089624e-6,8.784220402608766e-6,1.0071802158093243e-5,8.691511050493636e-6,8.499446513790753e-6,8.318460976945276e-6
t3,8.587439858067701e-6,1.0717668698484837e-5,7.786427283222548e-6,1.0307637379506094e-5,9.704527232812493e-6,8.78564464232358e-6,1.0071562312900186e-5,8.691557175086568e-6,8.499275601335722e-6,8.318425350020817e-6
t4,8.587793102800406e-6,1.0717749475181995e-5,7.786498120689471e-6,1.030800550155954e-5,9.704266175281174e-6,8.784258129303823e-6,1.0071667775076004e-5,8.691856812258642e-6,8.499516125007393e-6,8.318655140471479e-6
t5,8.587905673609294e-6,1.0717788041309155e-5,7.786564292795835e-6,1.0308343576080987e-5,9.70425067942614e-6,8.782276513120714e-6,1.00717042229727e-5,8.691964194836413e-6,8.499665746583392e-6,8.318870088282546e-6
t6,8.587538440386872e-6,1.0717668443017672e-5,7.786562087609184e-6,1.0308398832181052e-5,9.704127049047744e-6,8.781467685082313e-6,1.0071548051123754e-5,8.691621695766994e-6,8.499566236674193e-6,8.318853026915631e-6
t7,8.58757954513666e-6,1.0717608764402199e-5,7.786773728568506e-6,1.0308497060154887e-5,9.704291685032372e-6,8.78038273722507e-6,1.0071509186986848e-5,8.691624513387097e-6,8.499648356373882e-6,8.319015064901396e-6
t8,8.587638653603132e-6,1.071754322637692e-5,7.786882035945382e-6,1.0308502150757475e-5,9.704646220613911e-6,8.779635110439468e-6,1.0071506930311033e-5,8.691624103794703e-6,8.499739216685112e-6,8.319098704069487e-6
t9,8.58774219327832e-6,1.0717579244798422e-5,7.787005430685395e-6,1.0308553125020421e-5,9.705357447567877e-6,8.779334766620649e-6,1.0071448571906119e-5,8.691634406179853e-6,8.499867077357767e-6,8.319173314977835e-6
