Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
BE0 0 CCGT,1,3641.0,3640.999994483899,6.187871127850221e-6,1.170397217720165e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 OCGT,1,3641.0,3640.9999944767073,1.093478978596899e-7,5.632640750263818e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 biomass,1,672.0,671.9999846770229,1.2589717546740705e-6,1.6581948898419796e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 coal,1,0.0,0.0,1.98709257037139e-6,1.98709257037139e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 nuclear,1,5943.0,2828.8523765042974,1.713811457036186e-7,3114.147623667084,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 offwind-ac,1,1127.0,1126.9999846708333,6.427263902244621e-7,1.5971893162713968e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 offwind-dc,1,1127.0,1126.999985774652,3.6967801282151566e-7,1.4595025959351915e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 onwind,1,2629.0,2628.99997061115,1.2371132771802348e-6,3.062596351810498e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 ror,1,176.0,175.9999999849567,0.0,1.5043298162709107e-8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 solar,1,4788.0,4787.999983966479,1.1386713917109862e-6,1.7172192201542202e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 CCGT,2,15971.0,15970.999992282406,1.1194742611624383e-8,7.728787750238553e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 OCGT,2,15971.0,15970.999994668346,1.8350315575620403e-8,5.350004357751459e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 biomass,2,8400.0,8399.9999819585,8.320365468186676e-6,2.636186582094524e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 coal,2,23499.0,23498.99999776145,6.7220091154116166e-9,2.245273208245635e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 lignite,2,20487.0,20486.999997852286,5.8578496360733815e-9,2.1535706764552742e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 nuclear,2,8114.0,4.040530313401469e-7,1.3394044523133978e-6,8114.000000935352,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 offwind-ac,2,3887.0,3886.9999839469247,1.0883770446007323e-6,1.714145219011698e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 offwind-dc,2,3887.0,3886.9999800717924,2.4852134767465377e-7,2.017672886722721e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 oil,2,4184.0,4183.999997073503,2.3857505941756058e-8,2.9503544283215888e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 onwind,2,54499.0,54498.99995612835,4.02151198732239e-6,4.7893161536194384e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 ror,2,3814.0,3813.999999900725,0.0,9.927498467732221e-8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 solar,2,53302.0,53301.99998598081,8.057318892467089e-6,2.2076506866142154e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 OCGT,3,358.1050901,358.1050894205334,9.172164329433612e-6,9.851630920820753e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 biomass,3,810.6078944,810.6078819993097,3.773226877712964e-6,1.617391717445571e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 coal,3,1478.320166,1478.3201639594927,1.0899671819276959e-7,2.149504098269972e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 offwind-ac,3,368.064482,368.06445850368743,1.8533929311886685e-6,2.5349705481403362e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 offwind-dc,3,368.064482,368.06445250228785,6.578423733806671e-7,3.015555449792373e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 onwind,3,1940.349345,1940.3493151569528,1.1510233013207806e-7,2.99581495255552e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 solar,3,562.9221489,562.9221292717099,1.4322962402975044e-6,2.106058639128605e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 nuclear,3,0.0,0.0,5.829216959653007e-6,5.829216959653007e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 CCGT,4,468.8949099,468.89490240152713,6.679111798991182e-6,1.4177584660046705e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 OCGT,4,468.8949099,468.89490605216866,1.3989011474859306e-6,5.246732484920358e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 biomass,4,1061.392106,1061.3920925277048,4.6369901803154514e-7,1.3935994275016128e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 coal,4,1935.679834,1935.6798323482328,4.593983521234054e-7,2.1111654859851114e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 offwind-ac,4,481.935518,481.9355040841724,3.874276849336369e-6,1.779010443669904e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 offwind-dc,4,481.935518,481.9354883702493,1.7195372355587505e-6,3.1349287951343285e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 oil,4,572.652792,572.6527893544736,6.801272130545081e-7,3.325653551655705e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 onwind,4,2540.650655,2540.650624019603,1.2547060744510963e-6,3.2235102935374016e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 nuclear,4,0.0,0.0,6.049895502409257e-6,6.049895502409257e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 CCGT,5,6109.0,6108.999992400224,3.999713665646966e-7,7.999747140274849e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
