Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,1,2,3,4,5,6,7,8,9,10,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0022809277,0.0024326567,0.0024528687,0.0,0.00063047075,0.0,0.0,0.0,0.0,0.0,0.0,0.0031752556,0.0039627734,0.0,0.0033456704,0.0,0.0006925274,0.0,0.0,0.0,0.0043385155,0.0058294474,0.0039713704,0.0006572761,0.0,0.0,0.0,0.0,0.0,0.0030594124,0.0063836467,0.0,0.0045533865,0.0,0.0,0.0,0.0,0.0,0.003964265,0.0036951553,0.0,0.0022555955,0.0,0.00073876785,0.0,0.0,0.005264112,0.0046459055,0.0,0.007112402,0.0006560097,0.0,0.0,0.0,0.0,0.0,0.003028108,0.004607494,0.0,0.0064733834,0.0,0.0006353357,0.0,0.0,0.0,0.0,0.0035678465,0.0066479645,0.003162053,0.0006041012,0.0,0.0,0.00095433166,0.001153335,0.0017202169,0.00022037316,0.0,0.0,0.0,0.0,0.0,0.0,0.0011873074,0.0013220053,0.0,0.0022161657,0.0,0.00026318396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11386163
t1,6.209301941203206e-6,2.830608227603667e-6,2.947230166554636e-6,5.545125191752233e-7,1234.7009994342452,0.0,0.0,0.0,2.8421709440330175e-15,0.0,3.873095811179864e-6,2.6850789512385125e-6,4.750693132377713e-6,6.590082565030754e-7,6.319241612291242e-7,0.0002881638447433943,6.7331752488400595e-6,6.4100318586712454e-6,8.64026859999922e-7,4.213813218485663e-6,5.0931703296425245e-14,0.0,5.2157551414904015e-6,2.9620175938072177e-6,6.134955874003392e-7,8.886168820777701e-6,1.1330382076152436e-5,7.201507842081738e-6,0.0,1.0138611374861652e-6,7.4591515565529504e-6,2.593805858342552e-6,2.5126658670239935e-6,6.042331063316389e-7,6.52527814493517e-6,1.1711496120131502e-5,9.83040128773037e-7,1.0193270076784772e-5,1.0239742836408336e-6,3.979709635800937e-6,2.8159889273589696e-6,6.295063504456565e-7,2066.7529561542633,3.617444081489522e-6,1.5743945943984703e-6,9.791292260057598e-7,2.1630013813861747e-6,5.3660187404616e-13,0.0,4.507401962495378e-6,8.900654071769928e-7,3.1437451338372868e-6,5.097528353529416e-6,6.697687479598194e-7,4.7465151649964756e-6,0.0,4.051234222406319e-6,2.8134859939805852e-6,2.6970337562347e-6,6.96733822763468e-7,0.00025343193283333676,1.2836026972503432e-6,1.3791538669932323e-6,9.41050751043955e-7,2.120026323878853e-6,-5.229594535267129e-14,0.0,4.086454758499823e-6,2.833839640194404e-6,6.969840531800478e-7,0.00024009417273873623,5.24070077538004e-7,3.307107240875818e-6,5.840133863004997e-7,0.0,7.707173967186749e-6,3.502826630748425e-6,8.005627993128591e-7,1.05223297415479e-6,1.3261382773791857e-6,0.0,5.677939796276751e-7,9.973275361924634e-7,3.4310828243249587e-6,1.279390585485299e-6,5.828384057911959e-7,6183.900000000001,2.6863997604622553e-6,2.710350061019942e-6,8.08640075020956e-7,4.123464791500986e-6,0.0,0.0,9.489375751259698e-5,3.7891682684757006e-5,0.0,7.532832186684873e-6,2.0143988320806583e-5,7.539145117941276e-5,7.236405377939566e-5,0.00011102717056795572,0.0,0.0,4.4242953527548404e-5,4.4444873081294995e-5,4.437395322801363e-5,4.4333121984225744e-5,4.438753390648723e-5,4.5812900060068334e-5,4.4097405733900045e-5,4.4348434375864294e-5,4.4570066296890004e-5,4.423306251422484e-5,9485.355819965516
t2,6.209150433398538e-6,2.8310113837748297e-6,2.955984204058321e-6,5.544983955630378e-7,1245.6586771662705,0.0,0.0,0.0,2.8421709440330175e-15,0.0,3.872387864852149e-6,2.6847162556567916e-6,4.745637291823093e-6,6.589374367175724e-7,6.318567007883226e-7,0.0002893781411330565,7.018339400117583e-6,6.910773083379883e-6,8.639236725716812e-7,4.819627514960304e-6,5.0931703296425245e-14,0.0,5.214835565748773e-6,2.960635737008381e-6,6.134986844307074e-7,8.905112992721713e-6,1.0662602086263628e-5,6.851546399586891e-6,0.0,1.0131024903127517e-6,7.45688515524901e-6,2.593877724850796e-6,2.5142463012289e-6,6.042466776201559e-7,6.392493054270251e-6,9.82292757138583e-6,9.829998240666187e-7,9.076065865307705e-6,1.0235082600050461e-6,3.978885224074929e-6,2.8153826674594257e-6,6.293560152725621e-7,2397.7355216261676,3.362199665485114e-6,1.2817946501239182e-6,9.78893459890347e-7,2.013521669785732e-6,5.3660187404616e-13,0.0,4.509016803878895e-6,8.895233575877799e-7,2.594355352660615e-6,4.659336068614045e-6,6.696157113831584e-7,3.6873415369484738e-6,0.0,4.049877563150276e-6,2.812981212971378e-6,2.6760317181344846e-6,6.965004637067403e-7,0.0002468361863066093,1.1149496651584703e-6,1.2659442888455004e-6,9.406476845017617e-7,1.8580547994151991e-6,-5.229594535267129e-14,0.0,4.087383869462758e-6,2.834183599422677e-6,6.97115804605428e-7,0.0005525414906060178,8.341393017290993e-7,4.763112775477069e-6,9.451297255852297e-7,0.0,7.70657182047453e-6,3.502466389735086e-6,8.002759505386643e-7,8.214999615679308e-7,1.4613847809302045e-6,0.0,5.677536227943181e-7,9.971144565576332e-7,3.43112626644172e-6,1.2805143209634993e-6,5.82881401206701e-7,6183.900000000001,2.7541257253663575e-6,2.739615938015999e-6,8.087345903078665e-7,4.378469747374969e-6,0.0,0.0,9.5055263317379e-5,3.756758272911246e-5,0.0,7.459865474258037e-6,1.989169407717753e-5,7.534506111733427e-5,7.232370057727969e-5,0.00011278645303523627,0.0,0.0,4.53271881299768e-5,4.534465576343405e-5,4.54119562765517e-5,4.526271861990372e-5,4.542655354507819e-5,4.652111612440634e-5,4.520470815364697e-5,4.528108200686234e-5,4.559315992624889e-5,4.522514713941357e-5,9827.2963774994
t3,6.208510607539153e-6,2.8308844445036176e-6,2.958398101163132e-6,5.544766045571202e-7,1245.6586819325034,0.0,0.0,0.0,2.8421709440330175e-15,0.0,3.8719867208783304e-6,2.684517998975325e-6,4.745145697619245e-6,6.588753860132675e-7,6.317982629042404e-7,0.0002897602253142395,6.570205997245912e-6,6.841395528698618e-6,8.638340617829508e-7,5.607671758470284e-6,5.0931703296425245e-14,0.0,5.214255706261545e-6,2.957543626673402e-6,6.135005996225727e-7,8.914274580303991e-6,9.745963144801417e-6,6.872612035634233e-6,0.0,1.0120462620770056e-6,7.456017715987924e-6,2.593813954682174e-6,2.5141497509496997e-6,6.042347155986157e-7,6.530483260748895e-6,8.603827496541899e-6,9.829539514692377e-7,8.954544234048965e-6,1.0230228858719561e-6,3.978546890694138e-6,2.8151841137301645e-6,6.2929631896962e-7,2593.5632826744823,3.110283624282807e-6,1.0878921345088968e-6,9.787958729778696e-7,2.0174179933045027e-6,5.3660187404616e-13,0.0,4.508844023749344e-6,8.890037192551944e-7,2.1744899571472118e-6,4.148430051296377e-6,6.69403940702508e-7,3.042364366369175e-6,0.0,4.049502527393741e-6,2.812787195517283e-6,2.6686933404574964e-6,6.964416668655088e-7,0.00023429376597050577,1.0310847867188043e-6,1.2649392665326095e-6,9.405503112132632e-7,1.5883699164297924e-6,-5.229594535267129e-14,0.0,4.086869679631422e-6,2.8339053962154007e-6,6.971135785217837e-7,0.0005156889625368422,1.238009160061499e-6,5.7566030048671216e-6,1.187762656992373e-6,0.0,7.706806121108688e-6,3.502392705312093e-6,8.320982375275899e-7,7.920569716567841e-7,1.5967381462007949e-6,0.0,5.677415133774906e-7,9.981415524744263e-7,3.431056706697202e-6,1.2792186723130214e-6,5.828807546758466e-7,6183.900000000001,2.857841656737061e-6,2.6751193436495163e-6,8.087325150787468e-7,4.632952465662619e-6,0.0,0.0,9.514800300417924e-5,3.7405780712869703e-5,0.0,7.48442725677282e-6,1.989136616466432e-5,7.552992448363448e-5,7.242371365753612e-5,0.00011284448259734134,0.0,0.0,4.5452119433530216e-5,4.5567788477477936e-5,4.563414263724359e-5,4.547724561163682e-5,4.5683038777839856e-5,4.668370781527151e-5,4.5433816784464245e-5,4.5352799444375495e-5,4.5806378442376844e-5,4.543457607183181e-5,10023.12409439056
t4,6.209115021037238e-6,2.831203727138255e-6,2.9634241655116e-6,5.54506353444081e-7,1245.6588422504149,0.0,0.0,1.3766894692870853e-7,2.8421709440330175e-15,0.0,3.8717966676073826e-6,2.6844309345025636e-6,4.736076590125457e-6,6.58846257499441e-7,6.317710562315389e-7,0.0002915753384513664,6.1883425410256725e-6,6.7068532958772955e-6,8.637917996898519e-7,5.977490920743417e-6,5.0931703296425245e-14,0.0,5.213893360828128e-6,2.952083785500905e-6,6.134901428059141e-7,8.906334588787671e-6,9.039543966139835e-6,7.1316682379052365e-6,0.0,1.0110200461660814e-6,7.457553746900941e-6,2.5934153350911004e-6,2.5118363691296913e-6,6.041941852917894e-7,6.660166842557333e-6,1.1125376242830718e-5,9.829076157877903e-7,1.01421429784057e-5,1.0226335245514737e-6,3.9782976579555344e-6,2.815048092441885e-6,6.292678682985562e-7,2836.0670290534545,2.983924686080495e-6,9.8951481249018e-7,9.787386828735277e-7,2.018823930549734e-6,5.3660187404616e-13,0.0,4.51099131381905e-6,8.887292245197506e-7,1.6104514958397883e-6,3.2883656343520305e-6,6.693627083341976e-7,2.3883720955482247e-6,0.0,4.050571923803467e-6,2.8132670397068263e-6,2.6720240068141444e-6,6.964956907663468e-7,0.0003681832331494661,9.488494660662056e-7,1.2667627781914391e-6,9.406522675599848e-7,1.5924910478225417e-6,-5.229594535267129e-14,0.0,4.087306701806454e-6,2.834086029071527e-6,6.971409465624059e-7,14.918920595413113,1.6381341727766931e-6,6.060025381929468e-6,1.6838013079719445e-6,0.0,7.707327812043179e-6,3.5023830096086455e-6,8.31929254787989e-7,9.661114378143259e-7,1.7318796813518145e-6,0.0,5.677392112599063e-7,9.988489562022653e-7,3.4307602403524483e-6,1.2762992586080083e-6,5.828499571902307e-7,6183.900000000001,2.925593604030472e-6,2.863542914810952e-6,8.086710564544099e-7,4.756246234151628e-6,0.0,0.0,9.542226031512892e-5,3.732823676383163e-5,0.0,7.558430810955169e-6,1.9856300444381634e-5,7.56919093189022e-5,7.255229507930483e-5,0.0001131905776398637,0.0,0.0,4.570651622499776e-5,4.571090875151719e-5,4.5755410565611956e-5,4.5622660965853946e-5,4.581928055036804e-5,4.7138748054833946e-5,4.575688985314588e-5,4.5596743105799796e-5,4.594902933383084e-5,4.5562724774700984e-5,10280.546547542035
t5,6.208512436597053e-6,2.831044335787401e-6,2.9606687789650944e-6,5.544753380669133e-7,1245.6588431392206,0.0,0.0,1.376676167731768e-7,2.8421709440330175e-15,0.0,3.871661968826747e-6,2.6843648403420785e-6,4.71935642160136e-6,6.588395659653162e-7,6.317646710841454e-7,0.00028713431129290257,6.57009011786685e-6,6.427661442043276e-6,8.637815905775408e-7,6.155205652004333e-6,5.0931703296425245e-14,0.0,5.2135728792292155e-6,2.9479104633780254e-6,6.134939302696196e-7,8.786567091808884e-6,8.555700144255642e-6,7.657426936456169e-6,0.0,1.0105972802052094e-6,7.456856922335589e-6,2.5933898079598298e-6,2.5123574811387653e-6,6.042015711578604e-7,6.587548186989141e-6,1.261291930127574e-5,9.829247029214621e-7,1.004435755364038e-5,1.0225308418512473e-6,3.978084211185567e-6,2.814904292846423e-6,6.292573909457871e-7,2481.7330796097704,2.857310740031588e-6,8.9091554696599e-7,9.78696977382872e-7,1.8636334960569793e-6,5.3660187404616e-13,0.0,4.512481086544665e-6,8.884491121520967e-7,1.3226340621050466e-6,2.4207144340156426e-6,6.692315852865733e-7,1.938229637965729e-6,0.0,4.050124016305268e-6,2.8130415664354438e-6,2.6706883355289173e-6,6.96471115392835e-7,0.0003677669265016448,8.646555282384461e-7,1.2659157475790504e-6,9.406057065397553e-7,1.316991019082753e-6,-5.229594535267129e-14,0.0,4.086780360498874e-6,2.8338786795978133e-6,6.970979902248078e-7,5.995405471165952,1.8334289930131842e-6,5.775548895547233e-6,1.811612326106087e-6,0.0,7.707024726538114e-6,3.502349185875488e-6,7.996464525994597e-7,1.0231098632189854e-6,1.7301856286117887e-6,0.0,5.677353995653319e-7,9.986639920395066e-7,3.430723436756962e-6,1.2733210471305125e-6,5.828509025467449e-7,6183.900000000001,2.92398973921077e-6,2.9884873783559364e-6,8.086648410012549e-7,4.757175828876033e-6,0.0,0.0,9.496303466339731e-5,3.721622362167981e-5,0.0,7.4438698355212005e-6,1.9864581791760443e-5,7.57892886650655e-5,7.270846243228346e-5,0.00011352452457759259,0.0,0.0,4.6157904759603994e-5,4.615650102857933e-5,4.621021268639971e-5,4.608501879744915e-5,4.624835998721625e-5,4.7665487892311735e-5,4.6136752423003684e-5,4.603164009459001e-5,4.641904103416411e-5,4.6028899184138417e-5,9917.28908276396
t6,6.206962410547003e-6,2.83022620040226e-6,2.9517547526912988e-6,5.543732102502965e-7,994.5290087961655,0.0,0.0,1.3763260933271998e-7,2.8421709440330175e-15,0.0,3.872522697224251e-6,2.684833262286018e-6,4.739544882447511e-6,6.589077285121464e-7,6.318279925056125e-7,0.0002736263750193757,6.479502316830572e-6,5.893253342125223e-6,8.638952494275565e-7,6.181760991363226e-6,5.0931703296425245e-14,0.0,5.215423267588425e-6,2.9579816816978834e-6,6.135792355467876e-7,8.888249876673793e-6,8.914099898919586e-6,7.831315139247258e-6,0.0,1.0129695684487327e-6,7.4571614040914555e-6,2.5942141344019755e-6,2.518310496124258e-6,6.042922432335022e-7,6.609918299001985e-6,1.2616982417879407e-5,9.831514146665123e-7,9.110020613439518e-6,1.0242821033501673e-6,3.979003406843183e-6,2.8154415328558278e-6,6.293126076538486e-7,1999.6243218529416,2.8593563605192623e-6,6.936816074275866e-7,9.788554921939015e-7,1.8648961691018889e-6,5.3660187404616e-13,0.0,4.511041214342953e-6,8.88183329082987e-7,8.877724596010439e-7,1.7165944653555463e-6,6.690629270293499e-7,1.4777236965113189e-6,0.0,4.050221107468711e-6,2.81314767429131e-6,2.6751034743591578e-6,6.964816376258826e-7,0.000366109044989571,7.811673525842605e-7,1.484896142951315e-6,9.406092475989922e-7,1.3174469628691144e-6,-5.229594535267129e-14,0.0,4.085182178111334e-6,2.8331487513462276e-6,6.969922502545488e-7,0.0002252303588079485,1.8254761839949997e-6,5.588827200548202e-6,1.8073701541212134e-6,0.0,7.707262884674173e-6,3.502518570470733e-6,7.680054111445584e-7,1.0236270229661482e-6,1.7304101123477803e-6,0.0,5.677641844500008e-7,9.992524761437981e-7,3.4315237374757133e-6,1.2740804212477921e-6,5.82889681532873e-7,6183.900000000001,2.970909244200988e-6,3.0011837543514665e-6,8.087208932902181e-7,4.901115000044599e-6,0.0,0.0,9.337807006307635e-5,3.7151728820389785e-5,0.0,7.584827463318694e-6,2.089693702613351e-5,7.491665071539933e-5,7.200221861983458e-5,0.00011103776614848289,0.0,0.0,4.4165492836180064e-5,4.435141254651171e-5,4.441246677789801e-5,4.4327006031521546e-5,4.4460578803903086e-5,4.565009545044049e-5,4.43910268070857e-5,4.409917003240573e-5,4.4574528025560014e-5,4.422221167650085e-5,9178.055269712282
t7,6.206485375456124e-6,2.830080314425173e-6,2.94733694684393e-6,5.54335442514978e-7,624.860985292371,1.433163668995547e-7,1.9648947165182864e-7,1.3763229088853676e-7,2.8421709440330175e-15,0.0,3.872654666339241e-6,2.684910353705649e-6,4.717053829716247e-6,6.589270573490798e-7,6.318455457901805e-7,0.0002717385104915593,7.056694667214093e-6,4.97879040086336e-6,8.639260226580871e-7,6.361152667135358e-6,5.0931703296425245e-14,0.0,5.215329560362376e-6,2.959795325078702e-6,6.136294803173559e-7,8.988368663436819e-6,9.49897496229766e-6,7.754360604753525e-6,0.0,1.0132751302587875e-6,7.45522492306901e-6,2.594447542363251e-6,2.5211529868600426e-6,6.043328634533551e-7,6.5463713810418154e-6,1.2616000405616854e-5,9.83201707398806e-7,8.58193058442129e-6,1.0243472424833506e-6,3.978959469903147e-6,2.815391494953515e-6,6.293207699786073e-7,2853.084964182999,2.859120896377425e-6,6.936563484210796e-7,9.788493053682767e-7,1.8625120045511087e-6,5.3660187404616e-13,0.0,4.511141827541408e-6,8.879920626876987e-7,7.411123448678777e-7,1.5081545955032762e-6,6.688761045463138e-7,1.2370357651903133e-6,0.0,4.048801176970968e-6,2.812664522368119e-6,2.6717542684928488e-6,6.964263496843431e-7,0.00030086556853348156,6.95991998735527e-7,1.6909845986689318e-6,9.404472363887493e-7,1.0453017420310903e-6,-5.229594535267129e-14,0.0,4.0846723011019305e-6,2.8329807037242604e-6,6.969574848497818e-7,0.00022827708204431474,2.1077870774335343e-6,5.303581683862546e-6,1.9422148302339797e-6,0.0,7.706690019986774e-6,3.5024730605266593e-6,7.677785330848785e-7,1.1378043993102905e-6,1.7287897954273252e-6,0.0,5.677607895399046e-7,9.989311347040482e-7,3.4319359339241844e-6,1.2727004024343315e-6,5.829352355655268e-7,6183.900000000001,3.0074065815933617e-6,3.003428395511996e-6,8.087949924379019e-7,4.912314867806317e-6,0.0,0.0,9.331163213177287e-5,3.7172506483999214e-5,0.0,7.536824549750977e-6,2.141094212960764e-5,7.499237452348723e-5,7.228332671594332e-5,0.00011265630461500104,0.0,0.0,4.526576294392453e-5,4.534098409556916e-5,4.5441411568558084e-5,4.5295914435009084e-5,4.542587889222708e-5,4.6806850793673616e-5,4.532368702212163e-5,4.5178532899738206e-5,4.560063336300911e-5,4.522953854363145e-5,9661.847836814442
t8,6.206389585696898e-6,2.8300247777484696e-6,2.9456720729307714e-6,5.543199848664287e-7,413.039210522385,2.857577141697556e-7,3.9189147483958276e-7,1.3763119391683355e-7,2.8421709440330175e-15,7.709901141292869e-8,3.872732119849257e-6,2.6849696866438734e-6,4.697778025016733e-6,6.589376614788939e-7,6.318554548194688e-7,0.00026896881172433496,6.692159156261084e-6,3.964092970915854e-6,8.639400947531974e-7,6.348964233424211e-6,5.0931703296425245e-14,2.9751060645205756e-7,5.21527012611757e-6,2.9584631404522735e-6,6.136421392305747e-7,8.992299371947144e-6,1.0421548081250151e-5,7.4941665422312215e-6,9.44834809491564e-8,1.0129748798658374e-6,7.454532821104533e-6,2.5943938651796876e-6,2.5217604609681767e-6,6.04333006925646e-7,6.5483504996922054e-6,1.2611371078114625e-5,9.831854145383957e-7,8.814520602296516e-6,1.0241101951259952e-6,3.978876311749157e-6,2.8153607796210885e-6,6.293200929256284e-7,2789.4516965540806,2.8591111949069152e-6,7.922597446354443e-7,9.788387393879596e-7,1.7087487324700508e-6,5.3660187404616e-13,6.780602565912172e-8,4.512006071900632e-6,8.879783307122386e-7,5.944085207484632e-7,1.5082620149032068e-6,6.688295825391178e-7,9.91676640962585e-7,0.0,4.047229827265092e-6,2.812142431764434e-6,2.673746466027953e-6,6.963340345889935e-7,0.0002969194038087153,6.956123787541832e-7,1.6821946548621847e-6,9.402292194373902e-7,7.856714144738578e-7,-5.229594535267129e-14,0.0,4.084336462261298e-6,2.83286369398694e-6,6.969393009500547e-7,0.0002276176743976066,2.2914829718777393e-6,4.877926920941832e-6,2.07567222096398e-6,0.0,7.706759243705938e-6,3.5024949790602503e-6,7.357125602984911e-7,1.2522690914528595e-6,1.727911320559375e-6,0.0,5.67761621676256e-7,9.992232619348627e-7,3.4320495756610684e-6,1.2718768674697879e-6,5.829556277232252e-7,6183.900000000001,3.0425321761777295e-6,3.0035745096275694e-6,8.088313796841318e-7,4.786559413441007e-6,0.0,1.3160766577715792e-7,9.313503349473468e-5,3.7171405635779144e-5,0.0,7.608399981718335e-6,2.1501505250000457e-5,7.51060588838984e-5,7.250793661884282e-5,0.00011290733028571712,0.0,0.0,4.550989996421075e-5,4.5567517263868897e-5,4.562516456556636e-5,4.54881990290665e-5,4.564365528655371e-5,4.713436771690797e-5,4.559987668722907e-5,4.541289502911994e-5,4.581448896134918e-5,4.543467005049862e-5,9386.392789589878
