Zone,1,2,3,4,5,6,7,8,9,10
t1,12.64579422689174,14.696481053060014,10.881261028204582,12.64580933349732,12.645809068785013,18.24403949713002,15.698363729508687,14.696463063824742,-10.881276932204244,10.881277665457675
t2,11.623075344007148,14.69648100303476,10.881258945230295,12.645809289024093,12.645809047371618,18.24403838263362,15.698362817972225,13.507897897844682,-10.881276890115917,10.881277621309073
t3,11.6230670754468,14.696480989131334,10.88126120028687,12.645809279680517,12.645809039249551,18.244026939759454,15.698353098922398,13.507888305027395,-10.881276886206058,10.881277615034255
t4,10.88128766338942,14.69648096557611,10.881262190621221,12.645809260468312,12.645809021928379,17.079693679515653,14.696485223417472,12.645820316911111,-10.881276862808932,10.881277601503278
t5,10.881306023302155,14.69648101561993,10.881266516753568,12.645809314865796,12.645809040725345,17.07969071524126,14.696482896031352,12.645841632306546,-10.881276886996952,10.881277656803489
t6,12.64580826979291,14.696481033362753,10.881272451208424,12.645809330749241,12.645809078113071,17.079693127474826,14.696484912728625,14.696479519565615,-10.881276753954243,10.881277617319952
t7,12.645809137706944,14.696480834113528,10.881274451795079,12.64580913835596,12.645809008864825,17.518467720233197,15.074034445167712,14.696480680240162,-10.881276418904333,10.881277341426292
t8,12.64580931458754,14.696480849024113,10.88127489338374,12.645809146746824,12.645809023162881,17.518631965602165,15.074175065486736,14.696480951613829,-10.881276322185828,10.881277319356604
t9,12.645809584632925,14.696480843033541,10.881274970604622,12.64580914142702,12.645809008883687,17.518632612076953,15.07417527135344,14.696481294867631,-10.881276286014979,10.881277309774422
t10,12.645809785940346,14.696481059233987,10.881275363763281,12.645809363950821,12.645809085572767,17.518633423544106,15.07417569663422,14.696481534207772,-10.881276510618024,10.881277582751238
t11,12.645809862979512,14.696481085337012,10.881275295400238,12.645809392290488,12.645809079357594,17.518633375121983,15.074175673393677,14.69648162671792,-10.88127660935862,10.881277622953935
t12,12.645809560080794,14.696481069393409,10.88127508136165,12.645809377658646,12.645809065787734,17.518633282434365,15.074175631468105,14.696481266733459,-10.881276661839516,10.881277625930803
t13,12.645809565465745,14.696481050928329,10.881275080073175,12.645809365585649,12.645809051470167,17.518633187348538,15.07417560063143,14.696481271437898,-10.881276679331933,10.881277621225797
t14,12.645809432708477,14.696481022355501,10.881274924601184,12.645809341007064,12.645809035452263,17.518633004749805,15.074175554080137,14.696481109525937,-10.881276675546218,10.881277601575798
t15,12.645809426921845,14.696481006630066,10.881274645179353,12.645809317398397,12.64580904071422,17.518632911154146,15.074175545926268,14.696481097372052,-10.881276622265197,10.8812775719652
t16,12.645809310337143,14.69648079168835,10.88127436055197,12.645809098721994,12.64580896554703,17.51863235687452,15.074175213053088,14.696480959215673,-10.881276391729035,10.881277303271894
t17,12.6458094751152,14.696480817219651,10.881275247311638,12.645809146691704,12.645808987671074,17.51863265740118,15.074175317190468,14.696481152143809,-10.881276416955819,10.881277362155595
t18,12.645809826009492,14.69648087182404,10.881275434555748,12.645809187674802,12.64580903176617,17.518633242505082,15.074175516898034,14.69648155548725,-10.881276401853096,10.881277385365095
t19,12.645809450538101,14.69648083738972,10.88127489264438,12.64580914513142,12.645808995120856,17.51863384292765,15.074175738737154,14.696481094525746,-10.881276392412037,10.881277354633363
t20,12.645809342504187,14.696481127909893,10.881274598208279,12.645809423820436,12.64580909039365,18.244042933631274,15.698365072680978,14.696480960278016,-10.881276629733922,10.881277679823729
t21,12.645808965574114,14.696481027009197,10.8812735692972,12.645809317111848,12.645809032096091,18.244038732340623,15.698361724206135,14.696480479463133,-10.88127657410125,10.881277574317975
t22,12.645808771216258,14.696480999894572,10.881271787506304,12.645809271473254,12.645809044276275,17.518635091128917,15.07417759345144,14.696480175298,-10.881276594354874,10.881277518326904
t23,12.645808474935974,14.69648090661821,10.881268335917929,12.645809175695868,12.645809006298599,17.51863349167358,15.074176801315991,14.696479755426981,-10.88127657426387,10.881277421584358
t24,12.645808184286766,14.69648113432295,10.88126758809421,12.645809409174868,12.64580908073882,18.244052476532392,15.698374787168348,14.696479362811425,-10.881276886150768,10.881277706682216
t25,12.64580466995371,14.696481032594319,10.881264983918067,12.64580931734492,12.645809044847724,18.244051577158825,15.698374114709836,14.696475214846975,-10.881276822867386,10.881277625322511
t26,11.623084746519368,14.696480995921481,10.881263820210114,12.645809284990657,12.6458090306335,18.244050628986496,15.698373341422991,13.507908804046894,-10.881276806617969,10.881277599082669
t27,10.8813539006153,14.696481001278212,10.881264069099966,12.645809288233439,12.645809030876435,17.079801372671962,14.696577599198688,12.64589728578972,-10.881276800764924,10.881277600513563
t28,10.881289424298863,14.696480972757099,10.881264757345352,12.645809263540114,12.64580901071108,17.07969235335055,14.696484054353897,12.645822345412538,-10.88127676653421,10.881277577132346
t29,10.881330040353177,14.696481070557175,10.881268880498723,12.64580936071658,12.645809037472599,17.079689978952644,14.696482298194063,12.645869531665197,-10.881276826164136,10.881277673384508
t30,12.645808356675927,14.696481082658776,10.88127311466749,12.64580937001295,12.645809072572122,17.079690634125043,14.696482817630207,14.696479618178405,-10.881276616207629,10.881277626326076
t31,12.645809115179746,14.696480852840676,10.881274689737934,12.645809142968954,12.645809006135064,17.079708569704078,14.696497534010854,14.696480647102447,-10.881276174808205,10.881277302480763
t32,12.645809311464971,14.696480866305906,10.881275108207332,12.6458091539636,12.645809023811932,17.518644065051262,15.074185431656089,14.696480940151941,-10.881276059859132,10.881277284510016
t33,12.645809495307017,14.69648086020637,10.881275162058687,12.645809154715264,12.645809008544441,17.51864491680472,15.074185706417067,14.69648117729379,-10.881276063027235,10.881277292322878
t34,12.645809627058371,14.696481106802459,10.881275502410054,12.645809404585329,12.645809096213364,17.518646053067656,15.07418634777719,14.69648133041482,-10.881276371868289,10.881277605209275
t35,12.645809602124347,14.696481141587682,10.88127543780132,12.645809439446108,12.645809098142578,17.518646197075594,15.0741864358049,14.696481303369495,-10.881276496837724,10.881277652799767
t36,12.645809449131896,14.696481131377094,10.881275225252363,12.645809428413383,12.645809085629564,17.518646352226995,15.074186536216533,14.69648112208703,-10.881276575091041,10.881277656033722
t37,12.645809432966665,14.696481112295812,10.881275254602516,12.645809419389266,12.645809071566784,17.51864637012748,15.074186540216163,14.696481102966532,-10.88127662574922,10.88127765824607
t38,12.645809364974086,14.696481075986611,10.881275131666662,12.645809389922572,12.645809050601356,17.51864620470425,15.0741864214165,14.696481024242802,-10.88127659594914,10.881277627685067
t39,12.645809384908755,14.696481060971076,10.881274832321596,12.645809378046978,12.645809054723724,17.51864609433418,15.07418636305943,14.696481045186328,-10.881276612400574,10.881277623777937
t40,12.64580928523895,14.696480820849356,10.881274605100492,12.64580913850511,12.645808976874294,17.518645340166568,15.074185850792414,14.69648093452891,-10.881276371844088,10.881277343655439
t41,12.645809406047375,14.696480846282402,10.881275408385083,12.645809186502937,12.645808997141279,17.518645443744123,15.07418589935518,14.69648108284907,-10.881276355545662,10.881277395679023
t42,12.645809794895323,14.696480914505075,10.881275564413375,12.645809238351564,12.645809046913008,17.518645936475973,15.074186049961389,14.696481538130795,-10.881276333014345,10.88127741862323
t43,12.645809550881447,14.6964808942559,10.881275072590778,12.645809208589224,12.645809015137344,17.518646357885654,15.074186225110708,14.69648124395179,-10.881276333026147,10.881277402110339
t44,12.645809467495612,14.696481314843862,10.881274905574026,12.645809602195909,12.64580915888372,18.244056684486754,15.698376673461466,14.696481146390626,-10.88127668889062,10.881277836047971
