,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,2.906308526065955,2.8453744957704683,2.6634410533381145,2.7524375520172173,3.242384823865562,3.6313401346084366,2.91591438112445,2.5307539626227533,2.807838388526606,1.9336360831976456
t1,0.0041027045037928134,0.003970957017718298,0.0037227078479671613,0.00383867216056407,0.0044401741808693575,0.004348750526136119,0.0039020845927393837,0.0038745577628462257,0.0032889551098391574,0.002388413535854511
t2,0.004135943107104822,0.004015624955667098,0.0036973630429223913,0.0038617967728347313,0.004373952502484714,0.004399071299533983,0.003827460323806449,0.003863284712147813,0.003243362729632292,0.002379073479668985
t3,0.004116866182893429,0.004013855088224911,0.00368783897515324,0.003848723856908502,0.004325498346000229,0.004381893858515102,0.0037539062724730376,0.0038060786066959475,0.0032181304640609802,0.002381899624237343
t4,0.0041150855168665575,0.003997515285692681,0.0036826334469774,0.0038374886669504896,0.00432961230333891,0.004412410303638583,0.003786573562510504,0.0037828616015778576,0.0031965242434913617,0.0023797134982152563
t5,0.004131130737235275,0.003996389203789521,0.003699010249146577,0.0038593254035552524,0.004362753471876924,0.004357163816257228,0.0037137325561989103,0.003806223002800104,0.0031846211392180983,0.0023750388647994346
t6,0.0034678870373266698,0.0037886433267403192,0.003603300718624879,0.0035924461512793523,0.0038668884802173266,0.00452695710000047,0.003356492817697871,0.0029476168575783487,0.003273819552252844,0.0024597130049321438
t7,0.0014126591653402677,0.0017642660161153313,0.0032596266366474265,0.0019682646957004234,0.0017658058238416616,0.0027903031264225778,0.0018236703210014625,0.0014684589527639354,0.003602600021548075,0.0029225978441392462
t8,0.0008760661726047256,0.001185001566518558,0.0030396113714813186,0.0013554069558035777,0.0011219080420480283,0.0005530770825687208,0.0005075287692059781,0.0007290502991022635,0.0037861311016112787,0.003265197584620576
t9,0.0009185093887965522,0.0012330380486354165,0.001840517115494296,0.0013953053786747724,0.0011943755740725314,0.0005692279324142094,0.0005315051635052638,0.0007638988751884372,0.003784476227438456,0.002114212924811757
t10,0.0009767491682097678,0.001287795133945842,0.001690486595436269,0.001459846886910531,0.0012621455731719824,0.0002144765151729832,0.00022872910575112143,0.0008220657946973757,0.003804632233886665,0.0016491240751954476
t11,0.0008071862193613397,0.001084330735416796,0.001475303946124532,0.0012493879891554462,0.0010355562924229515,0.0002205318490819129,0.00023527252651333488,0.0008763852081968052,0.003842133160672954,0.0013860647665787376
t12,0.0009841830220042144,0.0012862873428075806,0.0016888995047907918,0.0014657885913114102,0.001246535580338905,0.00020999041020055708,0.00022768628714236842,0.0008324057386660097,0.003816673387768389,0.0018991326878276481
t13,0.000944197829003467,0.0012895967919682458,0.0016971184222243875,0.0014678312228080675,0.0011869293201954923,0.00024293476658976597,0.00022496203703740834,0.0008303860795134017,0.0038097306971607825,0.0018983423816295508
t14,0.0009371796435832854,0.0012906843612022292,0.0016860283796957022,0.0014676787661482952,0.0011668348802291206,0.0002407559885782833,0.0002691430658575965,0.000828863262108407,0.0038006402583711783,0.0019289165436606342
t15,0.0009182432611417515,0.0012854468114213782,0.0016880637301355,0.0014622491372014153,0.0011430720330187043,0.0003460129646234041,0.00026426815507545,0.0008204697442699515,0.0037865699436949365,0.0019114827775188132
t16,0.0009868685524255787,0.0014457679310172574,0.002826801699608041,0.001626404374084829,0.0012027884990963894,0.00035993314725109776,0.0002601901228123357,0.0007749206010192005,0.003793665869258513,0.003028510333987154
t17,0.0009185269553629487,0.001294599535817847,0.0017002031353299397,0.0014683935330634052,0.0011089155673356262,0.0003778877184749855,0.00027908374824055454,0.000806318098700362,0.0038051344902096805,0.0016036127496674626
t18,0.0007872259789713577,0.0010883932375925513,0.0014626954242775623,0.0012414950151862108,0.000934024937730192,5.5163953725753456e-5,4.871632107003626e-5,0.0008706089981460341,0.003834434655082223,0.0013765755430612625
t19,0.000977296625220179,0.0013120358851657625,0.001727236759617328,0.0014961500594686068,0.0011495509196279047,2.2834411156215033e-5,2.028594621094516e-5,0.0008187325988371023,0.0038215927740791514,0.00166440094222394
t20,0.0008894512686145613,0.0012298704207238048,0.0030869951925994567,0.003297616459671596,0.0010460025476473774,6.747312671351363e-5,4.963868661790115e-5,0.0007788578533203396,0.003802714869936156,0.003175857262287967
t21,0.0010107337936857827,0.0013576236761808679,0.0035446039190255535,0.003232747919963704,0.0011989705014482602,0.00041174827422558514,0.00033389785098982965,0.0007240264905871442,0.0037967554460895596,0.003154296489511707
t22,0.001007008780942116,0.0012398802398273872,0.003450929725591998,0.0033044981314369424,0.0012158584427381977,0.0009264781646694758,0.000762210124431062,0.0006473865373388484,0.00376677003283707,0.003102809035742688
t23,0.0008895151027167494,0.0011349308959718797,0.0035008120125246634,0.0030775856932662026,0.001082237766041043,0.0010823206626360419,0.0009065339284500794,0.0006380738405251433,0.0037644601014511386,0.0030956252198148042
t24,0.001108197851597111,0.001433225398530677,0.0033516182630886886,0.002994118577458472,0.0013230489150502735,0.0009523670931709389,0.003733025989115825,0.0007883152416575563,0.003667361313434307,0.002963228794494834
t25,0.003639250896511443,0.0036413450217099843,0.0036446710899571176,0.00363706917143676,0.003932910757291497,0.000849033415336459,0.004447382262967214,0.003074031171889073,0.003375950612177085,0.0025539970433873307
t26,0.004369080585425584,0.004276710069111946,0.0038117676608877137,0.004156832109147983,0.004605860746210655,0.0008097910734007301,0.00405277548793778,0.004009836668584062,0.003332694008847865,0.0024824690027575535
t27,0.004289023237093466,0.004154360428403769,0.0037691132905585283,0.003935032044129644,0.004539815766670442,0.0008401633868024201,0.004012615549614941,0.0039537575753058685,0.0033388199209389425,0.00249713720643827
t28,0.004454826386386475,0.004272782167153626,0.0038533002626934374,0.004032629230744502,0.004684625949412042,0.0013168591757086604,0.003973702275231283,0.00413894545195449,0.0033004206751654575,0.0024624935134453774
t29,0.0037670102461501726,0.004034709944449138,0.003553302583090085,0.003661201241072398,0.004108032843016224,0.004729051791130833,0.0036167589527947384,0.0034078458961743184,0.0032432510338933915,0.002405240946975434
t30,0.0007447519718560582,0.0011293416369610523,0.003300437281580949,0.0013336045845192335,0.0010500108549874414,0.005214765256581021,0.00415100243680616,0.0005789213640154434,0.0035988812913880924,0.0029635628228950025
t31,0.0007354948650808312,0.0009666084082854917,0.00125661830893352,0.001119926435875822,0.0009709501956076211,0.00516812697585298,0.004781643754377886,0.0006754896100268349,0.003664170508578615,0.001231173241043109
t32,0.0008215808993658232,0.0009231901906910275,0.001097517271770532,0.0010995327100006215,0.0011157542809515063,0.001363032414684036,0.0011974085758866277,0.0007121665589188109,0.0038239080272702147,0.0012390443615518274
t33,0.0008202066501515657,0.000919249632988561,0.0011195225034037201,0.0011203442896213242,0.0011330269226842546,0.001210283311411684,0.0009272405639112644,0.0007385090569949686,0.003840476670383304,0.0012656146622133605
t34,0.0008382286207051376,0.0009244668706911199,0.0011180398859784314,0.001116694593091039,0.0011194529283810243,0.0012049678339148444,0.0009029414863829796,0.0007492986896366256,0.003843980787289482,0.0012581999022330242
