,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
AnnualSum,14220.89440778691,0.0,0.0,13.572608563702536,-13.572608563702573,0.0,-9153.190437915702,0.0,117.98723083991729,-4949.716735156999,28611.439049427998,0.0,0.0,1501.6331643479627,-1501.633164347974,0.0,58183.126192815405,0.0,862.1921204690988,-85932.3731179,0.7943522784308796,0.0,0.0,7.12939114675016,-7.1293911467501445,0.0,3074.9389507464953,0.0,1308.6501556166322,-1767.083143534,3.684014146892359,0.0,0.0,8.47926059173242,-8.479260591732402,0.0,1722.094754764405,0.0,376.21950352300337,-1349.5592615139994,47822.398205202146,0.0,0.0,1250.3527354870466,-1250.352735487037,0.0,-13350.201410202504,0.0,0.6595398073576383,-34471.53725131799,1.0893780324665154,0.0,0.0,4.36081090328357,-4.360810903283732,0.0,13839.22386939489,0.0,12154.315703660062,-1685.9975398930003,136375.95972122892,0.0,0.0,11.904735918803896,-11.904735918803881,0.0,-61880.64603188868,0.0,5816.937864425953,-68678.37582104001,2.1274982304481966,0.0,0.0,10.263233282943208,-10.263233282943183,0.0,43456.52508580585,0.0,28030.28930399585,-15428.363279546002,54416.890860379266,0.0,0.0,7.108204473554472,-7.108204473554473,0.0,-48362.19832542332,0.0,0.24292910065092285,-6054.449601981,0.310306959547715,0.0,0.0,3091.621536957733,-3091.621536957748,0.0,12470.32735183509,0.0,0.7292740713298465,-12469.908380848998
t1,22.149891278488006,0,0,0.018599967376876143,-0.015045595837436108,0.0,-9.935113081867001,0,0.0005730335481212469,-12.21775953,45.56223227214549,0,0,0.02462125768815333,-0.16214782388104282,0.0,166.68917448517286,0,0.0005155865131569807,-212.1133646,0.001591756153993182,0,0,0.012888979658060993,-0.011665412925098739,0.0,4.359679752001267,0,0.000670329275989191,-4.361824741,0.006785581356653304,0,0,0.0136739666795037,-0.013344706207718004,0.0,3.3246093931769307,0,0.0005052113931263757,-3.331219019,71.91111545701501,0,0,3.100326064822821,-0.012408480784309048,0.0,10.090175238509529,0,0.0005102149508604158,-85.08869806,0.00024165984549288607,0,0,0.005718528028523328,-0.002531393918530761,0.0,17.132780736857345,0,12.974534502200555,-4.161675024,207.5442340578796,0,0,0.00951506637044048,-0.013697237288303236,0.0,-38.01552915443197,0,0.0005023279152968467,-169.5240204,0.003567031831777651,0,0,0.01830363449268059,-0.013796377537670296,0.0,38.07549189713261,0,0.000572235330744156,-38.08299395,165.24956671983549,0,0,0.008507879556520541,-0.008416525764745924,0.0,-150.30461783309786,0,0.00038516591725709697,-14.94465507,0.002891056586291558,0,0,12.265919725879426,-0.0023460530656832113,0.0,18.513989361042785,0,3.7725830782802465e-5,-30.78041636
t2,22.149989105633107,0,0,0.016978207712539498,-0.01669431151742949,0.0,-9.931964521185682,0,0.000548946030136889,-12.21775953,45.56224135744891,0,0,0.022662587538722613,-1.5071082860771894,0.0,168.03607362622094,0,0.0005046805199362694,-212.1133646,0.001697177814765053,0,0,0.012087008151603731,-0.012019473571309277,0.0,4.3607236668487435,0,0.0006636336314952843,-4.361824741,0.006864698103247408,0,0,0.01370559250499166,-0.01383621396769345,0.0,3.324971329396843,0,0.00048638242512522435,-3.331219019,71.91117093222155,0,0,2.5543991338358762,-0.013611486149037155,0.0,10.637240455042589,0,0.0005009703386425583,-85.08869806,0.00019881041015520947,0,0,0.004356443086868574,-0.003211110814574643,0.0,19.480333207772915,0,15.320002321843154,-4.161675024,207.58806915366213,0,0,0.0068057874445318295,-0.016129666236478483,0.0,-38.0541600011175,0,0.0005648691404926951,-169.5240204,0.0036322640467421037,0,0,0.01592316227228055,-0.015439711568534534,0.0,38.079427227224585,0,0.0005489913851579448,-38.08299395,178.93927372385824,0,0,0.008225027017961337,-0.008502037313723653,0.0,-163.99397177652418,0,0.00036986242582869814,-14.94465507,0.002892614214079023,0,0,12.266015379009692,-0.0023964605324285717,0.0,18.513941339393504,0,3.650747262606721e-5,-30.78041636
t3,22.15005844454048,0,0,0.015796631141744365,-0.017151408227763478,0.0,-9.930402003296054,0,0.0005421295461310204,-12.21775953,45.56223832097496,0,0,0.021313999563657794,-1.6299822871085954,0.0,168.16029605677548,0,0.0005014855937868585,-212.1133646,0.0017671319195880718,0,0,0.011758173368466532,-0.012152756431738016,0.0,4.361110223785744,0,0.0006580270299012161,-4.361824741,0.0068663092219132475,0,0,0.013077559809142873,-0.014157099344077377,0.0,3.3259110277826354,0,0.0004787738573589831,-3.331219019,71.91108916630375,0,0,2.224196642275585,-0.01388681863391386,0.0,10.967796635222802,0,0.0004975605557587544,-85.08869806,0.00019871120037747843,0,0,0.003978607895881197,-0.0036842239567527633,0.0,21.17797301714735,0,17.016791083674544,-4.161675024,207.5842241885344,0,0,0.00917932637340959,-0.01361285900292623,0.0,-38.05518439868011,0,0.0005858526141693922,-169.5240204,0.003685590315150978,0,0,0.01476699817319732,-0.01572988052768939,0.0,38.08081190022547,0,0.0005406575969552988,-38.08299395,179.3160158659205,0,0,0.008092046611596099,-0.00852293940585647,0.0,-164.370569464338,0,0.0003604341763984014,-14.94465507,0.0028961011991501047,0,0,12.266105152277825,-0.002455452291625224,0.0,18.513906771660157,0,3.6208233320429915e-5,-30.78041636
t4,22.150073512477192,0,0,0.014191960760426163,-0.0179539778993726,0.0,-12.371566656929117,0,0.0005372097967821142,-9.774207624,45.56222424776371,0,0,0.02384106038495496,-1.7378606081806582,0.0,125.84298609621082,0,0.0004990915663988906,-169.6906917,0.0018006084060194917,0,0,0.011273142470904404,-0.012354822013738177,0.0,3.4893938980182098,0,0.0006530292693516049,-3.489459793,0.006853941604236406,0,0,0.011367946740536015,-0.014581052299426304,0.0,2.6618088790131136,0,0.0004744954462048841,-2.664975215,71.91104801167393,0,0,0.01186030497344925,-2.087419017649067,0.0,-1.7640280229644758,0,0.0005028214213469977,-68.07095845,0.00019904205356093875,0,0,0.003645383745589711,-0.004463944547983422,0.0,22.182206109697546,0,18.852246567336493,-3.329340019,207.5877079166737,0,0,0.00855679855648353,-0.015078665950732342,0.0,-71.9614096520331,0,0.0005600926337198803,-135.6192163,0.003690425701482247,0,0,0.013290947448754004,-0.016309025092337524,0.0,30.466256368373696,0,0.0005335558412736258,-30.46639516,179.5062999302381,0,0,0.00784711901668144,-0.008635080371341645,0.0,-167.54943510602462,0,0.0003527982457687264,-11.95572406,0.002899371870979826,0,0,6.111612056926858,-0.003955225608845997,0.0,18.51381291167883,0,3.6020255727110634e-5,-24.62433309
t5,22.14989628960827,0,0,0.011278632112667417,-0.019437642360049252,0.0,-14.810544104680345,0,0.0005374520682216007,-7.330655718,45.56214084853059,0,0,0.02396072809607301,-2.0303396290025777,0.0,83.71275404742453,0,0.0004971904365177004,-127.2680188,0.0017668043425060657,0,0,0.010363725456684686,-0.012810414867334792,0.0,2.618423934005327,0,0.0006491993250154932,-2.617094845,0.006832675911574659,0,0,0.009049296982213548,-0.01512988757245462,0.0,1.9984499736013905,0,0.0004706423104691495,-1.998731412,71.91101201796317,0,0,0.010008484010132027,-5.792465862197554,0.0,-15.074831798450356,0,0.0005039967133167087,-51.05321884,0.00019918115083536095,0,0,0.0032962675078840936,-0.005528841518377008,0.0,23.46441061687724,0,20.9653722054053,-2.497005014,207.58770870954598,0,0,0.008861641032432237,-0.01501466244372327,0.0,-105.86658353306244,0,0.0005599504610373884,-101.7144122,0.0035213270473075154,0,0,0.01102497336382444,-0.017770778278414744,0.0,22.8535465230253,0,0.0005256745677965276,-22.84979637,179.65067762085485,0,0,0.00728585678686413,-0.009129402264167133,0.0,-170.68169778441413,0,0.0003432413513478137,-8.966793045,0.0028910093039305625,0,0,0.003906324992239219,-0.051658039515501256,0.0,18.513148174498863,0,3.7654667167345555e-5,-18.46824981
t6,0.001993108665419941,0,0,0.009063941122781506,-0.012272171131166795,0.0,4.88908348475746,0,0.000764546802226917,-4.887103812,45.541502105003886,0,0,0.01250130623223305,-0.021905133882862724,0.0,39.313898459314345,0,0.0006508820553963405,-84.84534585,0.0010691568918093012,0,0,0.006995367856784236,-0.014071614121649954,0.0,1.7515087198975576,0,0.0007717299122101038,-1.744729896,0.002379567287835232,0,0,0.005946751113195171,-0.009161568298663218,0.0,1.3339866351970322,0,0.0006637726871277083,-1.332487608,17.176086461853025,0,0,0.009282287011848385,-0.012866356136348385,0.0,16.86343600877683,0,0.0004591668931009259,-34.03547923,0.0001980262409731595,0,0,0.0027233892332644196,-0.008010637771549053,0.0,26.828384367461783,0,25.158625131552125,-1.664670009,191.81088313378012,0,0,0.006445546147338291,-0.014083765806272016,0.0,-123.99301204536292,0,0.0006247141456998467,-67.80960815,0.0007814915072757772,0,0,0.007401526045298973,-0.01220580192574217,0.0,15.238000469772894,0,0.0007801048109801858,-15.23319758,179.87100504709073,0,0,0.006525972721522085,-0.010230087609540186,0.0,-173.88912531469927,0,0.0003135828904054312,-5.97786203,0.0028740071480704184,0,0,0.0011612784204539338,-6.205076652146877,0.0,18.513255505539508,0,4.7594348826861526e-5,-12.31216654
t7,8.902070318025641e-5,0,0,0.002049440733182502,-0.0020611109373006057,0.0,1.2228079965949372,0,0.001109389481882155,-1.221775953,0.00014613709674625355,0,0,0.00277053080823619,-0.002785838407209019,0.0,21.211489473783086,0,0.00028383866952232464,-21.21133646,0.0015045859871024346,0,0,0.0046612361982341505,-0.004681607834635672,0.0,0.43491227801549176,0,0.0002140137546678382,-0.436182474,0.00019573886501110722,0,0,0.0021730104354341,-0.0021720614896776846,0.0,0.3331698839501241,0,0.00024466514863715047,-0.333121902,0.00011536415713891267,0,0,0.001447367359181861,-0.0014677525989645458,0.0,8.509087998507756,0,0.0003131668128578711,-8.508869806,5.2269761020595923e-5,0,0,0.0010212396792021522,-0.001036249531191925,0.0,33.74796439489969,0,33.331834148197174,-0.416167502,43.94070982945266,0,0,0.0030282556550033637,-0.0030370950656567037,0.0,-26.988192532379877,0,0.00010641304612504824,-16.95240204,5.916829342197522e-5,0,0,0.0016630820668471012,-0.001675602757985996,0.0,129.34586922639502,0,125.53761647842362,-3.808299395,182.59390161709626,0,0,0.00845760912487997,-0.008344265915808027,0.0,-181.09946721692893,0,8.223176753585408e-5,-1.494465507,0.002716742708502767,0,0,3.241630432694244e-5,-10.194859129615454,0.0,13.270249033409822,0,9.742219520428528e-5,-3.078041636
t8,2.9803398580974614e-5,0,0,0.004470699014293735,-0.00038269426259418814,0.0,1.2182886906026316,0,0.000630541140659088,-1.221775953,9.139845350913067e-5,0,0,0.0048101947633072285,-0.0006697376772205252,0.0,21.207173728548607,0,6.91194758428701e-5,-21.21133646,0.0022708573299588973,0,0,0.024341332366993887,-0.0030096585857846267,0.0,0.41263946177846383,0,5.95142784221352e-5,-0.436182474,0.00011174316332066852,0,0,0.0037318796207383084,-0.0005624353258317876,0.0,0.32993172391367537,0,9.100475964695555e-5,-0.333121902,3.7690258040411094e-5,0,0,0.02548152298685461,-0.00022012337427061506,0.0,8.483676121667525,0,0.00010540092589475407,-8.508869806,1.7351373149855633e-5,0,0,0.0004056635565323823,-0.0003052221068938081,0.0,42.90545855356339,0,42.489408839774,-0.416167502,3.351831674080725e-5,0,0,0.0007138037779506714,-0.0006771772359598396,0.0,16.952487341838605,0,0.00015544208509079622,-16.95240204,2.0329670652530663e-5,0,0,0.005524195935929774,-0.00029789253711030134,0.0,234.25379847283529,0,230.45074571031415,-3.808299395,182.593935841662,0,0,0.012106015367316033,-0.006695983208360772,0.0,-181.10484137396762,0,3.898824075834168e-5,-1.494465507,0.002920435511569063,0,0,0.004051976026904098,-7.069466795853602,0.0,10.14057116373837,0,3.5138810949231135e-5,-3.078041636
