Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
1,1.0,0.0,1.0,0.255533934,0.0,1.0,0.371049285,1.0,1.0,1.0
2,1.0,0.0,1.0,0.157546759,0.0,1.0,0.49363941,1.0,1.0,1.0
3,1.0,0.0,1.0,0.199761152,0.0,1.0,0.41943267,1.0,1.0,1.0
4,1.0,0.0,1.0,0.195887998,0.0,1.0,0.531292915,1.0,1.0,1.0
5,1.0,0.0,1.0,0.206376255,0.0,1.0,0.592756748,1.0,1.0,1.0
6,1.0,0.0862,1.0,0.220516995,0.0741,1.0,0.609481633,1.0,1.0,1.0
7,1.0,0.1147,1.0,0.063040741,0.1331,1.0,0.483346254,1.0,1.0,1.0
8,1.0,0.2431,1.0,0.109704487,0.2546,1.0,0.374912441,1.0,1.0,1.0
9,1.0,0.3828,1.0,0.179136857,0.3673,1.0,0.332571357,1.0,1.0,1.0
10,1.0,0.492,1.0,0.200069875,0.4812,1.0,0.315493822,1.0,1.0,1.0
11,1.0,0.5487,1.0,0.356357276,0.5556,1.0,0.482944906,1.0,1.0,1.0
12,1.0,0.5534,1.0,0.50347507,0.5748,1.0,0.596071005,1.0,1.0,1.0
13,1.0,0.558,1.0,0.717685103,0.5721,1.0,0.662995458,1.0,1.0,1.0
14,1.0,0.5522,1.0,0.871921659,0.5592,1.0,0.620360613,1.0,1.0,1.0
15,1.0,0.5321,1.0,0.800152361,0.5415,1.0,0.672803819,1.0,1.0,1.0
16,1.0,0.4367,1.0,0.725072324,0.4812,1.0,0.770771027,1.0,1.0,1.0
17,1.0,0.315,1.0,0.708724082,0.3599,1.0,0.863388896,1.0,1.0,1.0
18,1.0,0.1671,1.0,0.657537103,0.207,1.0,0.812877953,1.0,1.0,1.0
19,1.0,0.0824,1.0,0.363562495,0.1017,1.0,0.831174731,1.0,1.0,1.0
20,1.0,0.0091,1.0,0.504807055,0.0396,1.0,0.849172294,1.0,1.0,1.0
21,1.0,0.0,1.0,0.408079177,0.0,1.0,0.785294414,1.0,1.0,1.0
22,1.0,0.0,1.0,0.531135499,0.0,1.0,0.757732749,1.0,1.0,1.0
23,1.0,0.0,1.0,0.233968467,0.0,1.0,0.876612186,1.0,1.0,1.0
24,1.0,0.0,1.0,0.317590177,0.0,1.0,0.811368525,1.0,1.0,1.0
25,1.0,0.0,1.0,0.431610733,0.0,1.0,0.694496393,1.0,1.0,1.0
26,1.0,0.0,1.0,0.574139476,0.0,1.0,0.712165236,1.0,1.0,1.0
27,1.0,0.0,1.0,0.5398283,0.0,1.0,0.687352419,1.0,1.0,1.0
28,1.0,0.0,1.0,0.201132476,0.0,1.0,0.659404457,1.0,1.0,1.0
29,1.0,0.0,1.0,0.107555799,0.0,1.0,0.697532237,1.0,1.0,1.0
30,1.0,0.0587,1.0,0.144015923,0.0126,1.0,0.66704905,1.0,1.0,1.0
31,1.0,0.1202,1.0,0.071583487,0.1019,1.0,0.370624304,1.0,1.0,1.0
32,1.0,0.2267,1.0,0.205921009,0.2045,1.0,0.198139548,1.0,1.0,1.0
33,1.0,0.3121,1.0,0.161220312,0.3112,1.0,0.115637213,1.0,1.0,1.0
34,1.0,0.3871,1.0,0.336054265,0.3663,1.0,0.137585416,1.0,1.0,1.0
35,1.0,0.4377,1.0,0.368090123,0.4167,1.0,0.213544935,1.0,1.0,1.0
36,1.0,0.4715,1.0,0.454866886,0.4684,1.0,0.296501637,1.0,1.0,1.0
37,1.0,0.481,1.0,0.460774302,0.4928,1.0,0.341858566,1.0,1.0,1.0
38,1.0,0.4752,1.0,0.431218863,0.4656,1.0,0.504923463,1.0,1.0,1.0
39,1.0,0.4683,1.0,0.424021393,0.3782,1.0,0.555706739,1.0,1.0,1.0
40,1.0,0.3812,1.0,0.402401239,0.3149,1.0,0.58567667,1.0,1.0,1.0
41,1.0,0.2652,1.0,0.201657325,0.2465,1.0,0.529349804,1.0,1.0,1.0
42,1.0,0.1535,1.0,0.31398356,0.1617,1.0,0.271917343,1.0,1.0,1.0
43,1.0,0.0289,1.0,0.642302394,0.0083,1.0,0.68558681,1.0,1.0,1.0
44,1.0,0.0,1.0,0.458561152,0.0,1.0,0.740724802,1.0,1.0,1.0
45,1.0,0.0,1.0,0.278454691,0.0,1.0,0.761210203,1.0,1.0,1.0
46,1.0,0.0,1.0,0.406244844,0.0,1.0,0.765236795,1.0,1.0,1.0
47,1.0,0.0,1.0,0.48908928,0.0,1.0,0.627387524,1.0,1.0,1.0
48,1.0,0.0,1.0,0.247558758,0.0,1.0,0.580875278,1.0,1.0,1.0
49,1.0,0.0,1.0,0.342755079,0.0,1.0,0.632006764,1.0,1.0,1.0
50,1.0,0.0,1.0,0.309545279,0.0,1.0,0.578805923,1.0,1.0,1.0
51,1.0,0.0,1.0,0.171430543,0.0,1.0,0.609469712,1.0,1.0,1.0
52,1.0,0.0,1.0,0.143114701,0.0,1.0,0.574605167,1.0,1.0,1.0
53,1.0,0.0,1.0,0.098292246,0.0,1.0,0.354392409,1.0,1.0,1.0
54,1.0,0.0,1.0,0.035499647,0.0,1.0,0.486296773,1.0,1.0,1.0
55,1.0,0.0152,1.0,0.059476066,0.001,1.0,0.380780578,1.0,1.0,1.0
56,1.0,0.0911,1.0,0.11565797,0.0361,1.0,0.511300564,1.0,1.0,1.0
57,1.0,0.1895,1.0,0.450230718,0.1556,1.0,0.576747477,1.0,1.0,1.0
58,1.0,0.2332,1.0,0.528750181,0.2229,1.0,0.583429992,1.0,1.0,1.0
59,1.0,0.2898,1.0,0.409164637,0.3207,1.0,0.519946456,1.0,1.0,1.0
60,1.0,0.3538,1.0,0.186176032,0.3915,1.0,0.605123937,1.0,1.0,1.0
61,1.0,0.3662,1.0,0.088073134,0.4183,1.0,0.509155095,1.0,1.0,1.0
62,1.0,0.3455,1.0,0.035387903,0.4072,1.0,0.443727702,1.0,1.0,1.0
63,1.0,0.2894,1.0,0.104915872,0.3946,1.0,0.44295612,1.0,1.0,1.0
