Network_zones,Time_Index,ESR_1
z1,1,0.0532
,2,0.0542
,3,0.0574
,4,0.0592
,5,0.0599
,6,0.0590
,7,0.0568
,8,0.0547
,9,0.0497
,10,0.0460
,11,0.0437
,12,0.0421
,13,0.0408
,14,0.0402
,15,0.0400
,16,0.0404
,17,0.0409
,18,0.0400
,19,0.0374
,20,0.0385
,21,0.0404
,22,0.0426
,23,0.0463
,24,0.0510
,25,0.0561
,26,0.0599
,27,0.0623
,28,0.0629
,29,0.0624
,30,0.0594
,31,0.0547
,32,0.0512
,33,0.0468
,34,0.0428
,35,0.0405
,36,0.0396
,37,0.0393
,38,0.0396
,39,0.0401
,40,0.0404
,41,0.0401
,42,0.0374
,43,0.0342
,44,0.0343
,45,0.0354
,46,0.0373
,47,0.0401
,48,0.0436
,49,0.0462
,50,0.0476
,51,0.0485
,52,0.0476
,53,0.0453
,54,0.0406
,55,0.0348
,56,0.0318
,57,0.0312
,58,0.0311
,59,0.0311
,60,0.0318
,61,0.0328
,62,0.0339
,63,0.0349
,64,0.0354
,65,0.0344
,66,0.0306
,67,0.0264
,68,0.0254
,69,0.0252
,70,0.0258
,71,0.0269
,72,0.0284
,73,0.0293
,74,0.0295
,75,0.0293
,76,0.0288
,77,0.0278
,78,0.0258
,79,0.0234
,80,0.0224
,81,0.0231
,82,0.0247
,83,0.0268
,84,0.0292
,85,0.0318
,86,0.0342
,87,0.0362
,88,0.0372
,89,0.0367
,90,0.0333
,91,0.0291
,92,0.0283
,93,0.0281
,94,0.0287
,95,0.0302
,96,0.0319
,97,0.0330
,98,0.0331
,99,0.0327
,100,0.0319
,101,0.0305
,102,0.0281
,103,0.0249
,104,0.0240
,105,0.0254
,106,0.0282
,107,0.0312
,108,0.0339
,109,0.0362
,110,0.0382
,111,0.0398
,112,0.0406
,113,0.0403
,114,0.0375
,115,0.0335
,116,0.0332
,117,0.0336
,118,0.0351
,119,0.0376
,120,0.0404
,121,0.0425
,122,0.0434
,123,0.0432
,124,0.0426
,125,0.0406
,126,0.0367
,127,0.0319
,128,0.0301
,129,0.0313
,130,0.0336
,131,0.0360
,132,0.0379
,133,0.0393
,134,0.0405
,135,0.0414
,136,0.0418
,137,0.0419
,138,0.0402
,139,0.0368
,140,0.0375
,141,0.0386
,142,0.0403
,143,0.0426
,144,0.0457
,145,0.0488
,146,0.0505
,147,0.0513
,148,0.0512
,149,0.0499
,150,0.0475
,151,0.0444
,152,0.0414
,153,0.0391
,154,0.0387
,155,0.0392
,156,0.0402
,157,0.0410
,158,0.0418
,159,0.0426
,160,0.0431
,161,0.0432
,162,0.0418
,163,0.0384
,164,0.0393
,165,0.0408
,166,0.0429
,167,0.0457
,168,0.0493
,169,0.0529
,170,0.0552
,171,0.0560
,172,0.0558
,173,0.0546
,174,0.0522
,175,0.0486
,176,0.0449
,177,0.0417
,178,0.0412
,179,0.0414
,180,0.0418
,181,0.0417
,182,0.0419
,183,0.0420
,184,0.0423
,185,0.0420
,186,0.0409
,187,0.0375
,188,0.0384
,189,0.0399
,190,0.0424
,191,0.0469
,192,0.0521
,193,0.0571
,194,0.0602
,195,0.0616
,196,0.0613
,197,0.0591
,198,0.0527
,199,0.0442
,200,0.0405
,201,0.0405
,202,0.0403
,203,0.0396
,204,0.0392
,205,0.0390
,206,0.0390
,207,0.0389
,208,0.0390
,209,0.0390
,210,0.0380
,211,0.0350
,212,0.0353
,213,0.0372
,214,0.0404
,215,0.0447
,216,0.0504
,217,0.0559
,218,0.0596
,219,0.0615
,220,0.0617
,221,0.0599
,222,0.0539
,223,0.0452
,224,0.0417
,225,0.0414
,226,0.0410
,227,0.0400
,228,0.0396
,229,0.0388
,230,0.0385
,231,0.0384
,232,0.0384
,233,0.0384
,234,0.0373
,235,0.0348
,236,0.0355
,237,0.0372
,238,0.0399
,239,0.0449
,240,0.0507
,241,0.0563
,242,0.0599
,243,0.0622
,244,0.0627
,245,0.0615
,246,0.0558
,247,0.0477
,248,0.0435
,249,0.0424
,250,0.0412
,251,0.0398
,252,0.0392
,253,0.0391
,254,0.0395
,255,0.0400
,256,0.0402
,257,0.0400
,258,0.0383
,259,0.0352
,260,0.0359
,261,0.0374
,262,0.0401
,263,0.0443
,264,0.0497
,265,0.0548
,266,0.0579
,267,0.0596
,268,0.0598
,269,0.0581
,270,0.0526
,271,0.0444
,272,0.0411
,273,0.0410
,274,0.0405
,275,0.0397
,276,0.0392
,277,0.0390
,278,0.0387
,279,0.0387
,280,0.0387
,281,0.0386
,282,0.0378
,283,0.0349
,284,0.0352
,285,0.0367
,286,0.0395
,287,0.0438
,288,0.0493
,289,0.0547
,290,0.0581
,291,0.0599
,292,0.0605
,293,0.0589
,294,0.0531
,295,0.0447
,296,0.0405
,297,0.0397
,298,0.0387
,299,0.0378
,300,0.0379
,301,0.0382
,302,0.0390
,303,0.0396
,304,0.0399
,305,0.0394
,306,0.0373
,307,0.0342
,308,0.0345
,309,0.0353
,310,0.0367
,311,0.0391
,312,0.0419
,313,0.0449
,314,0.0467
,315,0.0473
,316,0.0469
,317,0.0455
,318,0.0428
,319,0.0391
,320,0.0356
,321,0.0328
,322,0.0323
,323,0.0329
,324,0.0345
,325,0.0361
,326,0.0376
,327,0.0389
,328,0.0394
,329,0.0389
,330,0.0368
,331,0.0332
,332,0.0328
,333,0.0326
,334,0.0328
,335,0.0337
,336,0.0352
,337,0.0364
,338,0.0367
,339,0.0366
,340,0.0359
,341,0.0348
,342,0.0332
,343,0.0312
,344,0.0291
,345,0.0283
,346,0.0303
,347,0.0332
,348,0.0359
,349,0.0384
,350,0.0405
,351,0.0422
,352,0.0433
,353,0.0433
,354,0.0413
,355,0.0369
,356,0.0366
,357,0.0367
,358,0.0379
,359,0.0396
,360,0.0418
,361,0.0438
,362,0.0442
,363,0.0441
,364,0.0433
,365,0.0416
,366,0.0386
,367,0.0351
,368,0.0327
,369,0.0323
,370,0.0336
,371,0.0354
,372,0.0371
,373,0.0385
,374,0.0398
,375,0.0409
,376,0.0416
,377,0.0415
,378,0.0394
,379,0.0358
,380,0.0360
,381,0.0375
,382,0.0400
,383,0.0436
,384,0.0483
,385,0.0526
,386,0.0548
,387,0.0553
,388,0.0545
,389,0.0521
,390,0.0464
,391,0.0390
,392,0.0362
,393,0.0369
,394,0.0382
,395,0.0387
,396,0.0392
,397,0.0393
,398,0.0394
,399,0.0396
,400,0.0397
,401,0.0395
,402,0.0387
,403,0.0355
,404,0.0357
,405,0.0374
,406,0.0404
,407,0.0448
,408,0.0504
,409,0.0555
,410,0.0586
,411,0.0599
,412,0.0596
,413,0.0574
,414,0.0517
,415,0.0436
,416,0.0402
,417,0.0402
,418,0.0400
,419,0.0392
,420,0.0389
,421,0.0388
,422,0.0386
,423,0.0385
,424,0.0383
,425,0.0379
,426,0.0366
,427,0.0346
,428,0.0351
,429,0.0367
,430,0.0394
,431,0.0433
,432,0.0484
,433,0.0533
,434,0.0561
,435,0.0571
,436,0.0566
,437,0.0544
,438,0.0485
,439,0.0404
,440,0.0370
,441,0.0368
,442,0.0373
,443,0.0378
,444,0.0383
,445,0.0389
,446,0.0394
,447,0.0398
,448,0.0400
,449,0.0399
,450,0.0389
,451,0.0356
,452,0.0352
,453,0.0363
,454,0.0382
,455,0.0414
,456,0.0453
,457,0.0489
,458,0.0504
,459,0.0508
,460,0.0500
,461,0.0481
,462,0.0435
,463,0.0371
,464,0.0346
,465,0.0353
,466,0.0368
,467,0.0381
,468,0.0388
,469,0.0393
,470,0.0397
,471,0.0400
,472,0.0401
,473,0.0403
,474,0.0400
,475,0.0374
,476,0.0380
,477,0.0398
,478,0.0421
,479,0.0455
,480,0.0496
,481,0.0543
,482,0.0573
,483,0.0592
,484,0.0600
,485,0.0588
,486,0.0562
,487,0.0520
,488,0.0478
,489,0.0439
,490,0.0418
,491,0.0409
,492,0.0405
,493,0.0403
,494,0.0405
,495,0.0406
,496,0.0408
,497,0.0409
,498,0.0404
,499,0.0378
,500,0.0385
,501,0.0405
,502,0.0427
,503,0.0459
,504,0.0501
,505,0.0545
,506,0.0582
,507,0.0602
,508,0.0609
,509,0.0605
,510,0.0586
,511,0.0549
,512,0.0508
,513,0.0459
,514,0.0432
,515,0.0418
,516,0.0409
,517,0.0401
,518,0.0398
,519,0.0397
,520,0.0398
,521,0.0401
,522,0.0396
,523,0.0366
,524,0.0368
,525,0.0387
,526,0.0417
,527,0.0456
,528,0.0505
