Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,CCS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,CCS_Percentage,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster
Nuclear_1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,412000,0,0,119000,0,0,2,0,10,uranium,0,1000,208,0,24,24,0.17,0.17,0,0.5,0,1,1,0,0,0,0,1,0.5,0.1,0,0,2,0,0,0,1,Nuclear,0.93,0,0,1,1
Hydro_Res_1,1,0,0,0,0,2,0,0,0,0,-1,332.4,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0.1,0,1,1,0,0,0,0,1,1,1,0,0,7,1,0,0,1,Hydro_Res,0.8,1,1,1,1
Hydro_RoR_1,1,0,0,0,0,3,0,0,0,0,-1,381.2,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Hydro_RoR,0.93,0,0,1,1
PV_1_0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2192850.95,-1,-1,0,0,0,65441.39902,0,0,8000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,1,0,1,PV,0.8,1,1,1,1
Wind_1_0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,56513.0141,-1,-1,0,0,0,86705.69152,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,Wind,0.8,1,1,1,1
Wind_1_1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,42243.37448,-1,-1,0,0,0,91818.56005,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Wind,0.93,0,0,1,1
Wind_1_2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,9175.083422,-1,-1,0,0,0,93682.54877,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,0,0,1,Wind,0.8,1,1,1,1
Nuclear_2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,412000,0,0,119000,0,0,2,0,10,uranium,0,1000,208,0,24,24,0.17,0.17,0,0.5,0,1,1,0,0,0,0,1,0.5,0.1,0,0,12,0,0,1,0,Nuclear,0.95,0,0,2,2
Hydro_Res_2,2,0,0,0,0,2,0,0,0,0,-1,142.1,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0.072733804,0,1,1,0,0,0,0,1,1,1,0,0,12,0,0,1,0,Hydro_Res,0.95,0,0,2,2
Hydro_RoR_2,2,0,0,0,0,3,0,0,0,0,-1,974.3,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Hydro_RoR,0.95,0,0,2,2
PV_2_0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1540315.798,-1,-1,0,0,0,58184.63226,0,0,8000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,PV,0.93,0,0,2,2
Wind_2_0,2,0,0,0,0,0,1,0,0,3,1,0,0,0,37312.0513,-1,-1,0,0,0,79883.01316,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,1,0,0,1,Wind,0.8,1,1,2,2
Wind_2_1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,28128.70316,-1,-1,0,0,0,83830.8216,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Wind,0.93,0,0,2,2
Wind_2_2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,10833.57869,-1,-1,0,0,0,84579.88181,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,1,0,1,Wind,0.8,1,1,2,2
Nuclear_3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,412000,0,0,119000,0,0,2,0,10,uranium,0,1000,208,0,24,24,0.17,0.17,0,0.5,0,1,1,0,0,0,0,1,0.5,0.1,0,0,7,0,0,0,1,Nuclear,0.8,1,1,3,3
Hydro_Res_3,3,0,0,0,0,2,0,0,0,0,-1,67.7,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0.1,0,1,1,0,0,0,0,1,1,1,0,0,2,0,0,0,1,Hydro_Res,0.93,0,0,3,3
Hydro_RoR_3,3,0,0,0,0,3,0,0,0,0,-1,50.8,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,0,0,1,Hydro_RoR,0.8,1,1,3,3
