Network_Lines,StartZone,EndZone,Line_Name,Line_Max_Flow_MW,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,Line_Voltage_kV,Line_Resistance_ohms,Line_X_ohms,Line_R_ohms,Thetha_max,Peak_Withdrawal_Hours,Peak_Injection_Hours,After_Tax_WACC,LineDistance_km,DerateCapRes_1,CapRes_1,CapRes_Excl_1
1,z1,z2,1,2000,196.9746679,0.031720853,30000,23920.76894,230,1.234,1.234,1.234,1.5,All,all,0.071,317,0.95,0,0
2,z2,z3,2,2950,123.6528672,0.019916629,30000,15019.17607,230,1.234,1.234,1.234,1.5,All,all,0.071,199,0.95,0,0
3,z3,z4,3,760,61.51574801,0.009884415,30000,7453.86037,230,1.234,1.234,1.234,1.5,All,all,0.071,99,0.95,0,0
4,z4,z5,4,1528,134.2161775,0.021626266,30000,16308.41759,230,1.234,1.234,1.234,1.5,All,all,0.071,216,0.95,0,0
5,z3,z5,5,600,98.17664834,0.015783722,30000,11902.54113,230,1.234,1.234,1.234,1.5,All,all,0.071,158,0.95,0,0
6,z2,z5,6,800,111.2254434,0.017904757,30000,13502.01881,230,1.234,1.234,1.234,1.5,All,all,0.071,179,0.95,0,0
7,z5,z6,7,5400,115.5750417,0.01860922,30000,14033.2562,230,1.234,1.234,1.234,1.5,All,all,0.071,186,0.95,0,0
8,z2,z6,8,150,211.2662053,0.034017917,30000,25652.98998,230,1.234,1.234,1.234,1.5,All,all,0.071,340,0.95,0,0
9,z6,z7,9,2600,0,0.024,0,100000,230,1.234,1.234,1.234,1.5,All,all,0.071,0,0.95,0,0
10,z2,z7,10,1650,0,0.024,0,100000,230,1.234,1.234,1.234,1.5,All,all,0.071,0,0.95,0,0
11,z1,z7,11,800,0,0.024,0,100000,230,1.234,1.234,1.234,1.5,All,all,0.071,0,0.95,0,0
