SYN_Resource,Zone,SYN_FLEX,SYN_GEN_TYPE,SYN_STOR,LDS,CCS,New_Build,etaP2F_MWh_p_tonne,etaH2F_tonne_p_tonne,etaC2F_tonne_p_tonne,etaFuel_MMBtu_p_tonne,Inv_Cost_p_tonne_p_hr_yr,Inv_Cost_Charge_p_tonne_p_hr_yr,Inv_Cost_Energy_p_tonne_yr,Fixed_OM_Cost_p_tonne_p_hr_yr,Fixed_OM_Cost_Charge_p_tonne_p_hr_yr,Fixed_OM_Cost_Energy_p_tonne_yr,Var_OM_Cost_p_tonne,Var_OM_Cost_Charge_p_tonne,Fuel,CCS_Percentage,Max_Cap_tonne_p_hr,Min_Cap_tonne_p_hr,Max_Charge_Cap_tonne_p_hr,Min_Charge_Cap_tonne_p_hr,Max_Energy_Cap_tonne,Min_Energy_Cap_tonne,Existing_Cap_tonne_p_hr,Existing_Charge_Cap_tonne_p_hr,Existing_Energy_Cap_tonne,Cap_Size_tonne_p_hr,Ramp_Up_Percentage,Ramp_Down_Percentage,SynGen_min_output,SynStor_min_level,SynStor_max_level,SynStor_self_discharge_rate_p_hour,SynStor_Charge_MWh_p_tonne,SynStor_Charge_MMBtu_p_tonne,SynStor_eff_charge,SynStor_eff_discharge,Start_Cost_per_tonne_p_hr,Up_Time,Down_Time,Flexible_Demand_Energy_Eff,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance
Small_Electrolyzer_1,1,0,2,0,0,0,1,45,0,0,0,2033333,0,0,30500,0,0,0,0,none,0,-1,0,-1,0,-1,0,0,0,0,2,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Small_Electrolyzer_2,2,0,2,0,0,0,1,45,0,0,0,2033333,0,0,30500,0,0,0,0,none,0,-1,0,-1,0,-1,0,0,0,0,2,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Small_Electrolyzer_3,3,0,2,0,0,0,1,45,0,0,0,2033333,0,0,30500,0,0,0,0,none,0,-1,0,-1,0,-1,0,0,0,0,2,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Small_Electrolyzer_4,4,0,2,0,0,0,1,45,0,0,0,2033333,0,0,30500,0,0,0,0,none,0,-1,0,-1,0,-1,0,0,0,0,2,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Small_Electrolyzer_5,5,0,2,0,0,0,1,45,0,0,0,2033333,0,0,30500,0,0,0,0,none,0,-1,0,-1,0,-1,0,0,0,0,2,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Small_Electrolyzer_6,6,0,2,0,0,0,1,45,0,0,0,2033333,0,0,30500,0,0,0,0,none,0,-1,0,-1,0,-1,0,0,0,0,2,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Large_SMR_1,1,0,1,0,0,0,1,0,0,0,170.13797,3032616.996,0,0,142532.9988,0,0,0,0,natural_gas,0,-1,0,-1,0,-1,0,0,0,0,9.167,0.5,0.5,0.9,0,0,0,0,0,0,0,5,3,3,0,0,0
Large_SMR_2,2,0,1,0,0,0,1,0,0,0,170.13797,3032616.996,0,0,142532.9988,0,0,0,0,natural_gas,0,-1,0,-1,0,-1,0,0,0,0,9.167,0.5,0.5,0.9,0,0,0,0,0,0,0,5,3,3,0,0,0
Large_SMR_3,3,0,1,0,0,0,1,0,0,0,170.13797,3032616.996,0,0,142532.9988,0,0,0,0,natural_gas,0,-1,0,-1,0,-1,0,0,0,0,9.167,0.5,0.5,0.9,0,0,0,0,0,0,0,5,3,3,0,0,0
Large_SMR_4,4,0,1,0,0,0,1,0,0,0,170.13797,3032616.996,0,0,142532.9988,0,0,0,0,natural_gas,0,-1,0,-1,0,-1,0,0,0,0,9.167,0.5,0.5,0.9,0,0,0,0,0,0,0,5,3,3,0,0,0
Large_SMR_5,5,0,1,0,0,0,1,0,0,0,170.13797,3032616.996,0,0,142532.9988,0,0,0,0,natural_gas,0,-1,0,-1,0,-1,0,0,0,0,9.167,0.5,0.5,0.9,0,0,0,0,0,0,0,5,3,3,0,0,0
Large_SMR_6,6,0,1,0,0,0,1,0,0,0,170.13797,3032616.996,0,0,142532.9988,0,0,0,0,natural_gas,0,-1,0,-1,0,-1,0,0,0,0,9.167,0.5,0.5,0.9,0,0,0,0,0,0,0,5,3,3,0,0,0
Large_SMR_wCCS_90pct_1,1,0,1,0,0,1,1,0,0,0,186.98241,4265299.444,0,0,127958.9833,0,0,0,0,natural_gas_ccs,0.9,-1,0,-1,0,-1,0,0,0,0,9.167,0.5,0.5,0.9,0,0,0,0,0,0,0,100,3,3,0,0,0
Large_SMR_wCCS_90pct_2,2,0,1,0,0,1,1,0,0,0,186.98241,4265299.444,0,0,127958.9833,0,0,0,0,natural_gas_ccs,0.9,-1,0,-1,0,-1,0,0,0,0,9.167,0.5,0.5,0.9,0,0,0,0,0,0,0,100,3,3,0,0,0
Large_SMR_wCCS_90pct_3,3,0,1,0,0,1,1,0,0,0,186.98241,4265299.444,0,0,127958.9833,0,0,0,0,natural_gas_ccs,0.9,-1,0,-1,0,-1,0,0,0,0,9.167,0.5,0.5,0.9,0,0,0,0,0,0,0,100,3,3,0,0,0
Large_SMR_wCCS_90pct_4,4,0,1,0,0,1,1,0,0,0,186.98241,4265299.444,0,0,127958.9833,0,0,0,0,natural_gas_ccs,0.9,-1,0,-1,0,-1,0,0,0,0,9.167,0.5,0.5,0.9,0,0,0,0,0,0,0,100,3,3,0,0,0
