Resource,Zone,Capacity
Liquid_DAC_1,1,0.03290150593307231
Liquid_DAC_2,2,0.08260785972605299
Liquid_DAC_3,3,0.08186039564532456
Liquid_DAC_4,4,0.08044972351862067
Liquid_DAC_5,5,0.08069395503900093
Liquid_DAC_6,6,0.08013849237523105
Liquid_DAC_7,7,0.08122597602732531
Liquid_DAC_8,8,0.05315425376641575
Liquid_DAC_9,9,0.042669760523883646
Liquid_DAC_10,10,0.061943109175019176
Solid_DAC_1,1,196.67101671548824
Solid_DAC_2,2,617.466279257361
Solid_DAC_3,3,3.7970550128312732
Solid_DAC_4,4,1.7673694736765369
Solid_DAC_5,5,68.54370538022476
Solid_DAC_6,6,34.3408431073089
Solid_DAC_7,7,1108.1525157012743
Solid_DAC_8,8,750.4606475287449
Solid_DAC_9,9,0.49576440780387665
Solid_DAC_10,10,7.779932076085821
Total,n/a,2790.15277369253
