,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,37956.89242164016,119172.02106054383,752.0858023043406,358.8411315597069,13244.900216417105,6641.966450522243,213985.81681698153,144827.11285985925,103.57573462716238,1516.9982243738486
t1,45.24025757598432,142.0408304269794,0.8967256576937536,0.4280842684555384,15.786091532258341,7.919762422619143,254.8958477765491,172.61816950441846,0.12328983026992538,1.8059843506848323
t2,45.240351968187454,142.04083057839233,0.8967286459801994,0.4280974804620828,15.786174454665463,7.919795668585001,254.89607540958855,172.61833401507056,0.12328810860631709,1.8059852493330382
t3,45.24034987792108,142.04082458655398,0.8967284040140234,0.42809713651939424,15.786158217530708,7.919784430079464,254.8960935371367,172.6183425052472,0.12328760572894583,1.80598643240623
t4,45.24034378780531,142.04082465706733,0.896729219074051,0.4280934347864292,15.786154755017618,7.91996382733691,254.89639739921506,172.61833931085957,0.12328677262582617,1.8059874439846624
t5,45.24032743957733,142.04081942081527,0.8967197453608308,0.42807899720994863,15.78614415815914,7.919978740366704,254.89642831125903,172.6183421510473,0.12328243373846182,1.805986806168224
t6,45.240055951736416,142.04015115532903,0.8963750307482801,0.42738324368177905,15.785790651360037,7.9198404678330485,254.8963002399292,172.6182355294513,0.1232859942275191,1.8059878606260338
t7,45.23992759871508,142.04000495388897,0.8963563518270613,0.4272269773333054,15.78561471896454,7.919835640077886,254.89616746371973,172.61811256602908,0.12328095982067044,1.8059874337667718
t8,45.23990320897073,142.0399851257744,0.8963336977084512,0.42719400743795294,15.785583038852005,7.91966237146451,254.89626286465764,172.61808982809455,0.123277242705503,1.8059858083260216
t9,45.23988204943023,142.03998816133583,0.8961419604367348,0.4271863073774924,15.785556794139643,7.919673982741014,254.89627241140988,172.61808984369122,0.12327484367919264,1.8059835416538894
t10,45.2398874771584,142.03998887483857,0.8961279194452029,0.4271823903602469,15.785557978876874,7.919290037764681,254.89595309079172,172.61774155418223,0.12327373599123985,1.8059837838441326
t11,45.239799256904746,142.03993408955327,0.8960809219931039,0.42711335854889476,15.785445681811867,7.919633297738448,254.89620204603355,172.61760803141044,0.12328257390847376,1.805982207850645
t12,45.240014649359196,142.03999280492937,0.8961302191695788,0.4271767471818393,15.78572838554415,7.919691740483468,254.89624069247503,172.61808591710664,0.12328173415444407,1.8059830548652236
t13,45.24003509322542,142.03999700091285,0.8961335339318746,0.42718325521604344,15.785754541190714,7.9198682476664155,254.89623062249274,172.61810802866503,0.12328097530304202,1.8059826771669185
t14,45.24016303860799,142.03999534358542,0.896135364340284,0.42718717864791533,15.785920241438895,7.919940069988547,254.89622668189963,172.61810590800386,0.12327925696659289,1.805983165544913
t15,45.24016856616007,142.0399936670809,0.8961509008320564,0.427190741515668,15.785930002419637,7.919938228521471,254.89622432366022,172.61810496952967,0.12327601175822875,1.805983112111364
t16,45.24016218223551,142.03999233262232,0.8963130156975534,0.42719175947116667,15.785924228325944,7.919901973281215,254.89620856208677,172.61810554237914,0.12328177660195803,1.805980654113144
t17,45.240150720520056,142.03998678847083,0.8961351999574817,0.4271785968731653,15.785907476897753,7.919484486124662,254.8959164431627,172.61812072872436,0.12327873132746861,1.8059834129437473
t18,45.239794786753436,142.0398881642733,0.8960589129396997,0.4270794941906243,15.785439423341591,5.549337207048156,254.86536643401223,172.6179839815451,0.12327614270601793,1.805982952359822
t19,45.23988697112656,142.03998709332802,0.8961461133128203,0.42718661581081585,15.785564640502646,1.58580487880941,127.4627135781845,172.61818553820123,0.12327474216445326,1.8059818223961503
t20,45.24002408111566,142.0400314871289,0.8963423641239219,0.42723294831941605,15.785744565531603,5.5496406894400065,254.8650111769694,172.6181173865682,0.12327332988837936,1.8059822002463646
t21,45.24014186572535,142.0401163863097,0.8963516666115554,0.427343959739429,15.785902607782194,7.919544607337996,254.89606498564308,172.6182307834597,0.1232821167513981,1.805981180713073
t22,45.24004552316955,142.0401175899462,0.896356861927506,0.42747076339556367,15.785775682212662,7.919831486735576,254.89618908585282,172.61823730526584,0.12328205934966913,1.805982889114913
t23,45.24017992881566,142.04012281612444,0.8963646289029167,0.4273701546299389,15.785951941348147,7.919855184233518,254.8961888924293,172.61824089160766,0.12328079029991935,1.8059797977088992
t24,45.24014811122389,142.0401302210665,0.8964948229346246,0.42737838894706565,15.785918215023592,7.919852687414379,254.89630011118211,172.61823645336634,0.12328010991012221,1.8059810334254713
t25,45.24016358763122,142.0402158752433,0.8964764963274046,0.4274853493494051,15.785932171752702,7.919984968550712,254.89644980024454,172.61836471836995,0.12328098904080788,1.8059802711598814
t26,45.24017324921674,142.04022638129504,0.8964761081355973,0.4275031775950883,15.78594356769308,7.919979187331928,254.89647276672088,172.61836561071513,0.12328793455578387,1.805981121988464
t27,45.240503359609185,142.04040824348553,0.8964751778612804,0.4276606523517785,15.78635239688219,7.919979282828995,254.89710581084583,172.6185537196867,0.12328603212708034,1.8059803173763265
t28,45.2405653002633,142.04046755801545,0.8964702983241638,0.4277249940481069,15.78642428615785,7.919983535456309,254.89713115689688,172.61864530112328,0.12328159394883122,1.8059788728954183
t29,45.24017305899363,142.04022647725546,0.8963695456879973,0.4275136250385721,15.785914858567741,7.919989979845768,254.8971629713309,172.6183719904173,0.12327926857304207,1.8059760798738258
t30,45.24018251371803,142.04011742352273,0.8963506448791095,0.4273402105343732,15.78576995107501,7.919992649925958,254.89715891448776,172.61824715269736,0.12327435665494693,1.8059744116753185
t31,45.240190945013175,142.04001216514752,0.8961481547054531,0.4272028509697325,15.785735378484274,7.919992711329595,254.897154429887,172.61822878153725,0.12327819430819023,1.8059658443628395
t32,45.240198644913384,142.0400122220157,0.8961296923021117,0.42721644376830337,15.78557276726305,7.919992364345547,254.89620892032553,172.618105280923,0.12327478168692554,1.8058045262298352
t33,45.24021256400506,142.04001695142694,0.8960384619722339,0.42722701031260646,15.7854630231161,7.9200219698452665,254.8961689279494,172.61807381135546,0.12327451670509623,1.8057300537346705
t34,45.240212379046966,142.04001986474387,0.8961321260619988,0.42721864200555004,15.785731213580002,7.920023437940966,254.8961714743094,172.61824159862118,0.12327458457202795,1.8058000842577235
t35,45.24020633501333,142.0400266402649,0.8960386148581857,0.42721871422153934,15.785744289005741,7.919827624533515,254.8961736283859,172.61806470052252,0.12327454837647665,1.805736503556398
t36,45.240196385868046,142.04002731176578,0.8961341844344493,0.4271968497453458,15.785743997171163,7.920027420400202,254.89617859163423,172.6181731631976,0.12328394754693808,1.805959009113547
t37,45.240190787989285,142.04002492547585,0.8961405926544801,0.4271988133950519,15.78579009643734,7.9200304331870095,254.8961830255623,172.61812815789602,0.12328068439882446,1.805966125453361
t38,45.24018158049824,142.0400232304689,0.8961517086932942,0.4272183694345679,15.785915807557961,7.920023890469967,254.8961808958132,172.61814073969867,0.12327948627240483,1.80595823424009
t39,45.24017999602508,142.04001664955254,0.8961566666794821,0.4272296245182007,15.78592571381363,7.920019494575028,254.89618146199786,172.61814049128589,0.12327761315201763,1.8058104462076734
t40,45.240157742907236,142.03998690150664,0.8961402832424812,0.42722176118464017,15.785900103566574,7.920011479269885,254.89617006834538,172.61810417238104,0.1232737730441056,1.8057963441850302
t41,45.240173225397854,142.04000651482698,0.8959112041540378,0.4272454100780083,15.785915046303385,7.920011150959679,254.89617991134517,172.61812331659556,0.12327843291926958,1.8057477492279501
t42,45.24004610092653,142.0398344712563,0.8957339159588633,0.4270814329129782,15.785735868388578,7.919873144237092,254.8959877415873,172.6179041377718,0.12327653133767964,1.8056425141881849
t43,45.24017655078562,142.0400086122505,0.8958930399447387,0.4272413896519308,15.785762801057288,7.920016445210589,254.89617225998992,172.61810866282488,0.12327287325878661,1.8057322061780723
