Resource,Small_Electrolyzer_1.0,Large_SMR_1.0,Large_SMR_wCCS_90pct_1.0,Above_ground_storage_1.0,Small_Electrolyzer_2.0,Large_SMR_2.0,Large_SMR_wCCS_90pct_2.0,Above_ground_storage_2.0,Small_Electrolyzer_3.0,Large_SMR_3.0,Large_SMR_wCCS_90pct_3.0,Above_ground_storage_3.0,Small_Electrolyzer_4.0,Large_SMR_4.0,Large_SMR_wCCS_90pct_4.0,Above_ground_storage_4.0,Small_Electrolyzer_5.0,Large_SMR_5.0,Large_SMR_wCCS_90pct_5.0,Above_ground_storage_5.0,Small_Electrolyzer_6.0,Large_SMR_6.0,Large_SMR_wCCS_90pct_6.0,Above_ground_storage_6.0,Small_Electrolyzer_7.0,Large_SMR_7.0,Large_SMR_wCCS_90pct_7.0,Above_ground_storage_7.0,Small_Electrolyzer_8.0,Large_SMR_8.0,Large_SMR_wCCS_90pct_8.0,Above_ground_storage_8.0,Small_Electrolyzer_9.0,Large_SMR_9.0,Large_SMR_wCCS_90pct_9.0,Above_ground_storage_9.0,Small_Electrolyzer_10.0,Large_SMR_10.0,Large_SMR_wCCS_90pct_10.0,Above_ground_storage_10.0
Zone,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10
t1,0.0,0.0,0.0,0.6501568961439217,0.0,0.0,0.0,31.835868311566973,0.0,0.0,0.0,0.4971553408518781,0.0,0.0,0.0,0.47234843635004253,0.0,0.0,0.0,17.224722001274333,0.0,0.0,0.0,0.5858731357080753,0.0,0.0,0.0,32.194668431047695,0.0,0.0,0.0,0.3782578856668788,0.0,0.0,0.0,0.5261023758204317,0.0,0.0,0.0,78.10858831634211
t2,0.0,0.0,0.0,0.621235058418991,0.0,0.0,0.0,28.26017442690765,0.0,0.0,0.0,0.4814114478930714,0.0,0.0,0.0,0.46129159047580665,0.0,0.0,0.0,17.01442273403663,0.0,0.0,0.0,0.554765880672335,0.0,0.0,0.0,31.468765589076213,0.0,0.0,0.0,0.5509487743483663,0.0,0.0,0.0,0.5089365063609823,0.0,0.0,0.0,64.48320124077276
t3,0.0,0.0,0.0,0.6058079819376636,0.0,0.0,0.0,24.701625914143225,0.0,0.0,0.0,0.47765919386739564,0.0,0.0,0.0,0.4645452909449419,0.0,0.0,0.0,16.833350946444103,0.0,0.0,0.0,0.5333831093265431,0.0,0.0,0.0,31.006787038662893,0.0,0.0,0.0,0.6475888094773128,0.0,0.0,0.0,0.5047257622237035,0.0,0.0,0.0,50.668628442410366
t4,0.0,0.0,0.0,0.5999978893461192,0.0,0.0,0.0,20.946056572282806,0.0,0.0,0.0,0.5050856659988738,0.0,0.0,0.0,0.4948972692733057,0.0,0.0,0.0,16.68040416143824,0.0,0.0,0.0,0.5228589103871603,0.0,0.0,0.0,30.472621612359024,0.0,0.0,0.0,0.7228678387349728,0.0,0.0,0.0,0.5033271238128176,0.0,0.0,0.0,42.78931093062609
t5,0.0,0.0,0.0,0.602725689998571,0.0,0.0,0.0,16.418986891851528,0.0,0.0,0.0,0.5963024192813628,0.0,0.0,0.0,0.6127348471364182,0.0,0.0,0.0,16.542973703682115,0.0,0.0,0.0,0.5182658028976501,0.0,0.0,0.0,29.97724727728129,0.0,0.0,0.0,0.7893933952308358,0.0,0.0,0.0,0.4991277398964156,0.0,0.0,0.0,40.64043630329874
t6,0.0,0.0,0.0,0.5869120575990513,0.0,0.0,0.0,13.607258388557554,0.0,0.0,0.0,0.5524152528434851,0.0,0.0,0.0,0.5687380011573991,0.0,0.0,0.0,16.406988032684175,0.0,0.0,0.0,0.5108916365345078,0.0,0.0,0.0,29.521563786893115,0.0,0.0,0.0,0.8119035613077581,0.0,0.0,0.0,0.3011024517372688,0.0,0.0,0.0,40.64095315464548
t7,0.0,0.0,0.0,0.5708901759541505,0.0,0.0,0.0,18.964649588873375,0.0,0.0,0.0,0.5425075151655779,0.0,0.0,0.0,0.5412875215202556,0.0,0.0,0.0,16.240794276920525,0.0,0.0,0.0,0.5065139664248187,0.0,0.0,0.0,29.227672521917306,0.0,0.0,0.0,0.8222129780748895,0.0,0.0,0.0,0.441924052634339,0.0,0.0,0.0,48.4964355892664
t8,0.0,0.0,0.0,0.557135821065219,0.0,0.0,0.0,24.3220409969341,0.0,0.0,0.0,0.5447512329813046,0.0,0.0,0.0,0.522884841853796,0.0,0.0,0.0,16.003799503912994,0.0,0.0,0.0,0.4981370880158212,0.0,0.0,0.0,28.940474814887907,0.0,0.0,0.0,0.8322866963916402,0.0,0.0,0.0,0.5509428320100228,0.0,0.0,0.0,56.35185769992794
t9,0.0,0.0,0.0,0.544997904974488,0.0,0.0,0.0,29.67952574201621,0.0,0.0,0.0,0.5290722465843812,0.0,0.0,0.0,0.510501146975721,0.0,0.0,0.0,15.76092800565872,0.0,0.0,0.0,0.4920789119185299,0.0,0.0,0.0,28.657022446116176,0.0,0.0,0.0,0.8429831546616785,0.0,0.0,0.0,0.6871803832680006,0.0,0.0,0.0,64.20736539441886
t10,0.0,0.0,0.0,0.5341684315069786,0.0,0.0,0.0,28.372378723915848,0.0,0.0,0.0,0.5163639055848175,0.0,0.0,0.0,0.5022366308701667,0.0,0.0,0.0,15.580255068576834,0.0,0.0,0.0,0.4800466124317594,0.0,0.0,0.0,28.236136272882508,0.0,0.0,0.0,0.8397348009330194,0.0,0.0,0.0,0.563988140709648,0.0,0.0,0.0,66.89709072992287
t11,0.0,0.0,0.0,0.5212500389212891,0.0,0.0,0.0,27.019496929894903,0.0,0.0,0.0,0.5008441776427259,0.0,0.0,0.0,0.49162566829255216,0.0,0.0,0.0,15.423294337533036,0.0,0.0,0.0,0.4734345342832457,0.0,0.0,0.0,27.825929863204905,0.0,0.0,0.0,0.8345328387886161,0.0,0.0,0.0,0.5109104023828477,0.0,0.0,0.0,69.58652561832763
t12,0.0,0.0,0.0,0.5152818595354818,0.0,0.0,0.0,25.63840062350334,0.0,0.0,0.0,0.49113065481582285,0.0,0.0,0.0,0.48610307682004794,0.0,0.0,0.0,15.278375601846422,0.0,0.0,0.0,0.46843722674784316,0.0,0.0,0.0,27.424385876535098,0.0,0.0,0.0,0.8452997298597431,0.0,0.0,0.0,0.4981324202980798,0.0,0.0,0.0,72.2752658532006
t13,0.0,0.0,0.0,0.5098232836619231,0.0,0.0,0.0,24.190829795532494,0.0,0.0,0.0,0.48354917649724777,0.0,0.0,0.0,0.48295626391510416,0.0,0.0,0.0,15.146687460958944,0.0,0.0,0.0,0.4698333032779142,0.0,0.0,0.0,27.02914518348044,0.0,0.0,0.0,0.8566359733992662,0.0,0.0,0.0,0.48970360385373646,0.0,0.0,0.0,74.96230728923128
t14,0.0,0.0,0.0,0.511646546576701,0.0,0.0,0.0,22.614839843809424,0.0,0.0,0.0,0.47738447916678906,0.0,0.0,0.0,0.48199404839322585,0.0,0.0,0.0,15.029165369548474,0.0,0.0,0.0,0.47305156247334834,0.0,0.0,0.0,26.639401600374264,0.0,0.0,0.0,0.868742265157071,0.0,0.0,0.0,0.4605739115008413,0.0,0.0,0.0,77.64709862418604
