Zone,1,2,3,4,5,6,7,8,9,10,Total
CO2_Price_1,-2052.73633374866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_2,0.0,-2053.4144040070246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_3,0.0,0.0,-2037.387519576551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_4,0.0,0.0,0.0,-2015.4230700550559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_5,0.0,0.0,0.0,0.0,-2027.7100905459774,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_6,0.0,0.0,0.0,0.0,0.0,-2076.4182340463003,0.0,0.0,0.0,0.0,0.0
CO2_Price_7,0.0,0.0,0.0,0.0,0.0,0.0,-2052.3564265043387,0.0,0.0,0.0,0.0
CO2_Price_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2072.7852541832267,0.0,0.0,0.0
CO2_Price_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1839.5423278067494,0.0,0.0
CO2_Price_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2046.65188300802,0.0
AnnualSum,130.0207670935451,286.77770384075575,2.201320852439349,0.8130791890738612,1.296567902762486,21.188742424872302,640.040483303424,462.9559704652725,0.1337535566654208,0.17139487061088007,1545.5997834994216
t1,0.00036694640691167313,0.00025463136172039784,0.00010112312975199212,0.00023268441314155253,0.0003642307883235553,0.04221874713974782,0.8541908422853397,0.0008957622365106627,0.00015936702077073254,0.00019871095635752895,0.8989830457385756
t2,0.0002960663751300868,0.0002572225524007532,0.00010164597424092229,0.00023445974359899852,0.0003546834060195496,0.038987493691968356,0.7712276605601674,0.00047688256771117205,0.0001594576768992119,0.00019874702898344765,0.81229431957712
t3,0.00031625259893309094,0.00026170342082312094,0.00010244118342932963,0.0002381188305475035,0.00037052392524390156,0.04324660283282806,0.547197596890189,0.0004919473458116738,0.0001595003445455979,0.00019874115129761623,0.5925834285236489
t4,0.00035754856054120716,0.00026854099414020896,0.00010375295372529274,0.0002448630319291973,0.00039086109797421625,0.015858468415320428,0.3468737310968513,0.0005236142109111136,0.00015952392449608828,0.0001987170550414745,0.3649796213409306
t5,0.0005580725964246368,0.000284370380693325,0.0001068474997219592,0.00026151223644721894,0.00042860256352284166,0.01599218079841977,0.3468820508388452,0.0005757788735530523,0.00015956719595879528,0.00019876712136242603,0.3654477501049492
t6,1.1003202226774849,0.0005833864564176419,0.00012003808227026468,0.00040703359787057445,0.009233005364023905,0.05944432170210905,0.3469605655956634,1.0485650132014255,0.00015953453224208666,0.00019868009857870964,2.565991801308086
t7,1.121909842824762,0.40446336546229816,0.00012277142519254687,0.00047029000037664793,0.012298775616299093,0.10396622800826537,2.5397859755697887,3.123382724542456,0.00015958813242820854,0.00019877476991321042,7.3067583363517805
t8,1.1219225980566194,1.3062808244360302,0.00012687238032893896,0.0005015311829774236,0.011948910103806469,0.16167990315293834,5.716419427223174,2.8504789683143477,0.00015961724624067572,0.00019884709831899107,11.169717499194784
t9,1.1219397992134166,1.1967806875948115,0.00013675350874342828,0.0005210353637661782,0.011977794686039114,0.1552059287346873,5.3674762683080965,2.8504955170580137,0.00015962828095483265,0.00019895131992684226,10.704892364068456
t10,1.1219436826899853,1.1972715576471582,0.00013908510744319857,0.0005360747222089498,0.011975924388168083,0.15527739355467954,5.36577772790855,2.8508790108855595,0.00015962860278478423,0.00019906937934298965,10.70415915488588
t11,1.1219853202251615,1.1989739526342027,0.0001419616370329916,0.0005997900267308847,0.011981218616410575,0.15522356947164997,5.364414989823065,2.851064910281594,0.00015953752305428932,0.00019903960965852525,10.70474428984856
t12,1.121866713933039,1.197690181514799,0.0001403368004068335,0.0005476311974879272,0.01077596379341911,0.15521383624876461,4.528623842360906,2.8505107650423223,0.0001595457972391883,0.00019915690113789225,9.865727973589522
t13,1.121809758570034,1.1977750238657172,0.0001402584948009269,0.0005492303616460435,0.010174813278052513,0.1521097176146686,4.177637017863334,2.850461815057361,0.00015955128859888767,0.00019927547501016513,9.511016461869223
t14,1.119728726493784,1.1977691118585834,0.00013968005971885854,0.000549591899958691,0.003694714074313237,0.13650626797209656,3.906606301817366,2.85044677241069,0.00015956215838394734,0.00019938468659874025,9.215800113431493
t15,1.1201326265412819,1.197734030867705,0.00013802410753846695,0.0005460188558562595,0.0036753189707557153,0.1334134451366649,4.014395481006504,2.850446349088975,0.00015958944977594844,0.00019955445267320264,9.32084043847773
t16,1.1201058479833033,1.0410221322513715,0.00013280307844441098,0.0005466321887543948,0.0036822292065143234,0.13093816342792447,4.269567455412142,2.8504395517465926,0.00015953526418497038,0.00019957945095909417,9.416793930010192
t17,1.1202997878912098,1.1977318850082623,0.00013973813763983782,0.0005519360941980692,0.003713247455411434,0.1533624134118227,5.361319714636053,2.8503929829612806,0.00015956478723069882,0.00019973873341563931,10.687871009116524
t18,1.1220415974763982,1.1991051539740734,0.00014175946697904268,0.0006547737347153644,0.012325829806118228,0.15655648890875856,7.432572351632124,2.8504587100648395,0.0001595759765131666,0.00019992336324878824,12.774216164403768
t19,1.121910323278335,1.0209030403480894,0.00013621907203049708,0.0005163350574076836,0.01195830782650504,0.15843924811315335,7.7710651775655535,2.8503082238721573,0.00015957019320809638,0.00020014272376120786,12.9355965880502
t20,1.1218380310112712,0.09093860505748967,0.00012757949130643147,0.0004788234280353,0.008220876188906493,0.15646785857872356,6.64547409167723,2.8499100207130095,0.00015956905453470393,0.00020039060172095683,10.873815845802229
t21,1.120410657993494,0.0006231831732108404,0.00012584140121562929,0.0004262134547809137,0.0009675325174130377,0.1379581771082832,5.3555504310813715,0.9712580512823857,0.0001594784213564603,0.00020048857897037213,7.587680055012482
