,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10
AnnualSum,7.591916411583623e6,1349.0468535146779,-626.945009677468,0.0,0.0,0.0,8.091645611525045,0.36275187372162926,1.6263233503383966e6,-442604.0733876281,-8.737754670304481e6,6.1542725147417545e7,1023.1061579645705,-1.744618530393758e6,0.0,0.0,0.0,11.960630295408572,0.36176529940208574,180547.42652441064,-533829.2678459369,-6.08352927189197e7,2.092667641913366e6,2015.6694928389556,-457.34259230676764,0.0,0.0,0.0,5.981576275745709,0.3636163945146818,566534.6930199564,-114766.85130971056,-2.545290796015794e6,2.1597878377078474e6,1077.1346626268617,-440.54865874949337,0.0,0.0,0.0,1.8446887985218037,0.36400043462073034,84572.90030246087,-300508.3707280848,-1.9438931209994191e6,5.440252012508801e7,349.88860145210646,-1.0234859654011846e6,0.0,0.0,0.0,2.7804075659811884,0.3594536804832219,-6.827801473482187e6,-629716.530020635,-4.6629420127442345e7,463403.0766863639,342625.68557295203,-760.7040016358463,0.0,0.0,0.0,6.514236227232888,0.3654344753266443,201276.4090111338,-16651.486559993336,-983494.0009897754,4.0051907602277786e7,176523.88231766268,-1501.7215528356635,0.0,0.0,0.0,200.62422047969957,0.359360375580436,194659.71654896293,-143597.77770583142,-4.00621999845318e7,1.0705589940080214e7,1.2220431085352367e6,-536.1185272130595,0.0,0.0,0.0,77.99041700795594,0.35149404007979096,4.204549824101703e6,-381224.61967701756,-1.560555346585587e7,9.579188312812809e6,117.37240983786303,-433.19670193471154,0.0,0.0,0.0,2.200441686882217,0.3597022972137428,3.65876845879306e6,-416150.015396372,-1.21203600411668e7,9.40218475723085e6,2300.28879257716,-322.994047023688,0.0,0.0,0.0,2.2680707138073988,0.35884358243934616,4.767581391488264e6,-502875.03529474954,-1.3663444201717414e7
t1,6858.724931180761,3.3731885709732268,-0.1067678139476009,0,0,-0.0,0.0026584325722647266,0.0004348398614595232,4740.59697358228,-832.2498217196694,-10727.66830490192,74550.75429952495,0.051634527284735415,-1.85402223849052,0,0,-0.0,0.0033244536485924113,0.0004281341246824829,-13083.476850609844,-981.4826988340848,-67055.2561721752,3026.1775599029397,0.07222504047508847,-0.6450388939570454,0,0,-0.0,0.0022040668281809216,0.0004307185520935353,-267.07958178055094,-107.6439754289493,-2649.3156928541316,3736.7803969594825,0.07359077950105021,-0.48115154420045125,0,0,-0.0,0.002116175237718582,0.0004312585696553425,-1370.3582459817794,-341.4068422045653,-2023.3391642044444,68607.01098769467,0.2624811371993784,-0.2391516718258109,0,0,-0.0,0.003449611578027243,0.00043280765786306394,-3178.390405447709,-1249.4009145675734,-67288.4227520813,348.9283808177333,841.9908298599515,-0.1447542102622221,0,0,-0.0,0.0020211374653084577,0.00043825864764271053,-25.71554641222673,-1.9398095079104465,-1158.5068217917676,44681.95541675806,612.4463744189433,-0.12450919701872687,0,0,-0.0,0.003467147511234412,0.0004334204240847889,2317.6836289973553,-173.84617859547546,-47191.27106791893,5781.343837758885,2754.357662124404,-0.09395502097033474,0,0,-0.0,0.002784119534877497,0.00043461381822710893,8340.431261098423,-669.3591898695631,-16036.522658080828,12798.488410288353,0.10347418723731922,-0.47663478245627633,0,0,-0.0,0.0026426370496693127,0.00042909690451931547,4452.329040809981,-439.1432382282763,-15716.387537123128,9713.090375248124,0.27214133473009383,-0.3464729058015892,0,0,-0.0,0.0027211375319338912,0.00042878837154389834,8379.971340856173,-628.5137996356713,-17462.8236524797
t2,6858.691362162556,0.3850708882304469,-0.7604730824409602,0,0,-0.0,0.002625491625352046,0.00043367347313105005,4207.212035563759,-662.3532036354314,-10357.97001069068,80626.06588080413,0.05042998437057342,-369.72769692254644,0,0,-0.0,0.003319929659481431,0.00042805091999517663,-13406.520822982575,-1005.8323653246887,-65702.33007023195,2954.1563410019235,0.07243991081065697,-0.6686982857367876,0,0,-0.0,0.002200306089841087,0.00043078445597879,-226.7193052891979,-110.60594068811025,-2614.62562011247,3429.0598692916246,0.07172049575302919,-0.6668757451476683,0,0,-0.0,0.0021103479338881554,0.0004312156977735401,-1063.0769478695963,-366.90674018406173,-1996.8456109389117,68451.8879988584,0.17576835632809507,-42.4562953058779,0,0,-0.0,0.003423931153564366,0.0004320515831452117,-1778.9798983871058,-1144.4489500083628,-65470.76977481857,315.5917854367947,841.9976083802186,-0.2356529239868357,0,0,-0.0,0.002009846759008514,0.00043776151100804745,-0.058577001322930755,-0.029389181710777548,-1149.6883018277617,44612.643364094074,612.1659431016395,-0.42314153759402706,0,0,-0.0,0.003410711465131475,0.00043168020688493885,2013.3930896983306,-151.04056209217697,-46832.05246999379,6753.455905609098,1859.1896753647018,-0.6965719098207146,0,0,-0.0,0.0027425909188940672,0.00043389243687972376,7752.989581759236,-583.5174450100585,-15608.527599363533,12797.788623450127,0.10358611998164566,-0.5006194706135761,0,0,-0.0,0.0026420445834610742,0.0004290996607464229,4427.756844542262,-440.9571213755565,-15689.215077777762,9624.083738809499,0.2686863802447657,-0.35741446997171505,0,0,-0.0,0.0027193647141935807,0.00042887070518368665,8379.995793846845,-628.5149062322569,-17373.812100117146
t3,6858.777083685117,0.34007625811219827,-0.801423553120575,0,0,-0.0,0.002619127109573331,0.00043366195992798216,4094.572319403419,-812.9109946837444,-10094.777600422807,82344.62899236837,0.05105538816586826,-2331.9645504859654,0,0,-0.0,0.0033195549284885236,0.0004280296614948355,-13500.199449113627,-1012.8620376837712,-65357.122518709104,2927.802758453719,0.0730544617445928,-0.7143683668972651,0,0,-0.0,0.0022045125229988973,0.00043075962436716616,-156.27364812505584,-115.88971895655895,-2653.349422403796,3371.8594561411455,0.07181229435569059,-0.7165296135422567,0,0,-0.0,0.00211579470857112,0.00043118771701304483,-969.1863259734835,-373.91148904111674,-2026.4198087592765,68451.78223073571,0.17665766081046086,-809.3522725920116,0,0,-0.0,0.0034191004565685096,0.0004319566423088458,-2726.3649392888383,-1215.5050018074305,-63685.141651650585,294.7591742907031,842.0333572571923,-0.18283712552178627,0,0,-0.0,0.0020066691881787005,0.0004379211911856509,-0.027802785022231546,-0.03070862597952781,-1129.31802820636,43782.46774118048,612.1565087083713,-0.19677656902485086,0,0,-0.0,0.0034006041650775933,0.00043150436717343145,2013.3641899021522,-151.04161218240202,-46002.27825198503,7450.6614909102755,121.54078986093141,-0.7037398899605142,0,0,-0.0,0.0027414987690735906,0.00043402425375817054,8813.024633067722,-663.0195008265603,-15548.77505184343,12854.402629868177,0.1037174571626236,-0.5102383440467093,0,0,-0.0,0.0026416754729744456,0.0004291309986724861,4357.071566472226,-446.26705545102675,-15669.806191111524,9666.149389337272,0.26972661881008086,-0.36718987663680513,0,0,-0.0,0.0027201917293995467,0.00042878598452803825,8380.011207142956,-628.5162849515818,-17415.87250214427
t4,6882.53536552752,0.34646315251149074,-0.8684002857519987,0,0,-0.0,0.002614977700928569,0.00043366601859276327,3834.306133585561,-691.7095434307854,-9979.409847023622,83081.92005755333,0.05093401823353468,-3517.770977068055,0,0,-0.0,0.003319410360218222,0.00042803034535141335,-13129.667373757713,-985.0752610055569,-65306.81359324628,2942.999154384549,0.07327264987717438,-0.8545077819972321,0,0,-0.0,0.002205860108211959,0.00043074920201385,-156.38733407662812,-115.88412195650965,-2668.2011074150814,3726.0994103516914,0.07193780871488598,-0.8065805960476051,0,0,-0.0,0.002117735148306238,0.00043118075160184,-1339.7124024739537,-346.12538033830685,-2037.7623599769656,68451.77087494516,0.17942108047575306,-2582.498981422454,0,0,-0.0,0.003417851605449015,0.00043193526722672744,-1411.1980731630192,-1116.8746734744516,-63325.769149687614,174.98881775712505,772.2838127683316,-2.1177169581179838,0,0,-0.0,0.001977414935594439,0.00043683734345530427,154.5075634861746,-11.605160774611292,-1080.19609973375,43143.934433853356,0.5815931393313913,-3.910908082498869,0,0,-0.0,0.003317609445038714,0.00042942812633567487,1264.2184710983604,-148.65426048558749,-44001.317886993274,7819.0973415746985,73.86457734234303,-0.7186877820775439,0,0,-0.0,0.0027400623322550496,0.0004341712118793232,8352.744473082814,-626.4871219340353,-15445.82425208183,12977.358114226503,0.10380675697313463,-0.5226380843042246,0,0,-0.0,0.0026440358376464607,0.00042906015686288736,4357.173868925163,-446.25999926617357,-15792.85126227862,9857.902932993075,0.27170939144217265,-0.3780225529759773,0,0,-0.0,0.0027240126042768517,0.00042846300005303594,8380.00644977887,-628.5159469305023,-17607.603354966595
t5,6882.978583582767,0.5257776974964732,-1.3252068648579245,0,0,-0.0,0.002625850103642792,0.0004336751427232753,4208.184384727055,-698.7553833844921,-10346.390826796265,83608.35405874252,0.049159923265682484,-1544.7200581573934,0,0,-0.0,0.0033240638437482067,0.000428173171276873,-13202.27547138636,-990.4651355058645,-67728.09238335704,2996.476254843423,0.07377972321965304,-1.328150719686913,0,0,-0.0,0.002218473403166392,0.0004306643275695124,-78.0625821498549,-121.7408942439327,-2793.576979514183,3755.5788995753637,0.08149483782210491,-1.344296880875585,0,0,-0.0,0.002131902880476474,0.00043109176827843976,-1267.38590172278,-351.52636939355085,-2133.514599508089,68296.83593512923,0.2225248490386595,-175.4499889315558,0,0,-0.0,0.0034270975195610804,0.0004321247075484778,-651.5821594275533,-1059.9049974523416,-66394.46639307351,145.70635593478409,754.3410888829455,-2.597621216817274,0,0,-0.0,0.001965820315465512,0.00043679463511067825,164.36168184232872,-12.344278250343034,-1041.6057460905984,42968.14143583616,0.3857500745329825,-5.749510184782058,0,0,-0.0,0.0032851195776434864,0.0004290038315651364,-171.35544566465353,-107.28920549599391,-42429.35662098801,7717.006302058189,336.69661455095127,-1.1455014573436832,0,0,-0.0,0.002747384188810242,0.00043370057964266,8644.990369620753,-648.397603705093,-15876.477683454528,13498.7741146641,0.10390242005894064,-0.5595135076645692,0,0,-0.0,0.0026522186786861707,0.00042858920596527646,4279.11983408015,-452.1061939932799,-16230.320421525797,10571.996925903728,0.27647462408830925,-0.39569499986055406,0,0,-0.0,0.002738205033887101,0.00042664631980418523,8379.997612955758,-628.5146396583256,-18321.6657024307
t6,9430.883448059158,4.306584096993975,-0.1945016730480479,0,0,-0.0,0.002692467909523589,0.0004362731590928882,1998.6625081388138,-149.91597908869778,-11238.732549323073,83264.453695964,1.4368658072617917,-0.36416904377894765,0,0,-0.0,0.003493966128420212,0.00043351598982507947,-6075.006905614126,-986.8561424986815,-76062.28874814523,3028.5376408059624,0.34039148414445974,-0.2627840824916047,0,0,-0.0,0.0023107439646875604,0.0004330600452600213,362.03288167118967,-117.14742590320319,-3273.1142969694038,3550.611817175625,2.8795994101271267,-0.23690891287585203,0,0,-0.0,0.002251061548819898,0.0004350116205124229,-564.4652740020812,-488.88847184799323,-2499.747523580549,68317.10445786236,1.314748598593226,-0.31738213381999925,0,0,-0.0,0.0035084836358531385,0.0004346179773800388,2866.1574328940915,-514.6675274932851,-72223.23673612658,217.0044367372361,841.9932037017126,-0.29899912763285985,0,0,-0.0,0.001982361244286657,0.0004376813274300906,2.5682728159554244,-0.20674804741990171,-1053.3725263230192,43021.740066614584,148.04675512494822,-0.578514845185426,0,0,-0.0,0.0033154753382170004,0.00042982808210083,-5.526841743208024,-0.4440286059083089,-42908.67128423308,9805.19298178209,3059.476692731674,-0.2852048045552007,0,0,-0.0,0.002801879939930964,0.0004320844309043414,5454.375668085784,-409.2236322086175,-17737.023679123573,15504.636576069315,0.1042584955986065,-0.48400346690821705,0,0,-0.0,0.0026749915777884376,0.0004273298000130655,3513.156943015852,-509.47242738500915,-17413.091046909532,17895.458983101234,0.35494206037636683,-0.34522762467051227,0,0,-0.0,0.0027738724001577127,0.00041981390439173576,2754.0375842407816,-566.4328586380612,-20081.369210467477
t7,10208.940718646583,4.3757579066846075,-0.1268095153718326,0,0,-0.0,0.0027252451076591362,0.00043749330730962074,1763.6779552042385,-132.29608617881294,-11799.957020373895,84340.41938100003,3.49732614188241,-0.27082776844482137,0,0,-0.0,0.0035307000305517906,0.000434580310597541,-1610.176022473051,-579.6882222440591,-82019.0511082384,3031.038061678142,0.3623644672597223,-0.4136633069039489,0,0,-0.0,0.0023576189865967935,0.0004328303950625287,925.1195410834472,-159.3945470578169,-3795.9776488337093,3431.1446360275913,3.1357319441938953,-0.17789100871490127,0,0,-0.0,0.0023065724469346453,0.0004354440660114202,-82.23929652388563,-452.74313540807776,-2899.0694704875996,68330.2511120706,1.5169364503128486,-0.18568680204958826,0,0,-0.0,0.0035441053370308248,0.00043570575279453807,1735.1242638871686,-261.4213437038754,-74444.37030322322,345.29737553585295,841.9996300543625,-0.4999065249366262,0,0,-0.0,0.002013445095363943,0.00043777647421467693,-0.011450215901163574,-0.027532141462497474,-1178.9593569794613,47927.24819334912,612.3878238116662,-0.32607972640935484,0,0,-0.0,0.0034197550382636735,0.0004319081809755042,-242.36123660751912,-18.224938320180417,-48024.39616729313,15866.267189905038,3059.5853863710095,-0.18841075401684984,0,0,-0.0,0.002881002728733837,0.0004222039680298944,2112.937898770602,-291.7985048154537,-20574.394088640183,16748.19323178172,0.11062408901258552,-0.5021071187150355,0,0,-0.0,0.00269911598215912,0.00042514126801740967,3513.147605353462,-509.47284455597713,-18656.413782556836,19712.08341168569,2.622822326616664,-0.35739819157785374,0,0,-0.0,0.0027983775582085383,0.0004110561157173491,2190.773774907478,-608.6785729571515,-21279.133023389568
t8,10302.81465811511,4.37790305249846,-0.13905734149535365,0,0,-0.0,0.0027281175135225794,0.0004375980329217246,1659.0537433137674,-124.45081789670297,-11796.884730820593,86370.22276065484,3.503578833889801,-0.29377469850893617,0,0,-0.0,0.003537027302648081,0.00043469605449220056,-1976.5590293589144,-595.2185475661337,-84981.29921529561,3022.8807651115503,0.5230442513002967,-0.6530914397382557,0,0,-0.0,0.0023666821634008637,0.0004328093592119615,1120.7578225852492,-174.06189911048216,-3968.6212684133748,3477.4734584972744,3.1687405061588576,-0.2054961118874882,0,0,-0.0,0.002321710140564355,0.0004354336625794661,-2.5939774134742493,-446.7660353478525,-3030.9211025604263,68175.51998020444,1.5228795527692673,-0.20659396099798166,0,0,-0.0,0.0035480512917958258,0.0004358242964465418,2627.9180042970565,-339.66749249799165,-75104.22246246072,501.37748318773384,842.1107629559842,-0.2948885318964782,0,0,-0.0,0.0020710341937709084,0.0004389969808583043,1.19216375762619,-0.10472464921066549,-1336.5775576646574,57292.59452089089,612.38458653024,-0.5458634543721046,0,0,-0.0,0.0034604547273181536,0.0004328614878621843,-2981.28380790746,-223.63438954225467,-54444.90495246687,15682.980580567188,3059.5913633807263,-0.24834984505595725,0,0,-0.0,0.002924915716010691,0.00040646855321276076,4349.198284362047,-432.5448498930401,-22486.475890124642,17428.456724514177,0.11134291186574452,-0.5102120688395799,0,0,-0.0,0.00271247541252328,0.0004235235888090553,3513.143071480885,-509.4730556176844,-19336.695476360084,20372.993322144026,2.933026584298495,-0.36664344797033876,0,0,-0.0,0.002807676432282307,0.00040658700857727455,1995.167043010384,-623.3460227713699,-21730.05965564641
