Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,1,2,3,4,5,6,7,8,9,10,0
Sum,52.432728,136.3958,15.368906,0.028032338,0.34041062,0.0,0.0,0.0,0.0,0.0,269.5746,862.51337,483.59802,0.028102499,0.027917873,15.0418415,0.0,0.0,3.0276144,0.0,0.0,0.0,59.28892,36.495987,0.029156122,0.0,0.0,0.0,0.0,0.14682566,19.111769,56.957058,16.538733,0.029005779,0.0,0.0,0.485382,0.0,0.13808998,54.114677,45.415318,0.028084515,51.838802,0.0,0.0,0.2723175,0.0,0.0,0.0,28.94336,0.030120164,0.0,0.0,0.28767082,0.0,0.0,435.9554,1740.2476,134.60773,0.029398596,0.20314306,0.0,0.0,0.63379264,0.0,0.0,0.0,191.5181,670.6642,0.029282901,0.37098828,0.0,0.0,0.0,0.0,7.9263415,34.0181,0.0,0.0,0.0,0.0,0.028493235,0.14173083,7.9391713,3.832124,0.028299408,9.643171,0.0,0.0,0.15855454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5446.5034
t1,0.039173279945657224,0.09093161511007769,0.011151349658895679,3.251285636345336e-5,0.0002299575358394962,0.0,0.0,0.0,0.0,0.0,0.00976527932847769,0.04367368908699107,0.017584486068710735,3.31223218096463e-5,3.291703974869793e-5,0.0002747803156961187,0.0,0.0,0.0001750399104156631,0.0,0.0,0.0,0.02745586491257101,0.006162035698095579,3.362150170973124e-5,0.0,0.0,0.0,0.0,0.00012014430126537397,0.006425578821217739,0.030634054560630432,0.008165741282768103,3.40754733780352e-5,0.0,0.0,0.00016634987374348437,0.0,0.00014801691869662848,0.008779487954359332,0.032747395558786446,3.2143420815732975e-5,0.002902039480843602,0.0,0.0,0.00017947433706545695,0.0,0.0,0.0,0.015349675194380356,5.4433586590035936e-5,0.0,0.0,0.005581105161311912,0.0,0.0,0.05694152000611753,7.848747100759519,0.008655535994392147,5.7681549894763986e-5,0.00020252641767780756,0.0,0.0,0.12282647496582941,0.0,0.0,0.0,0.512051404351794,0.11876370291509354,3.616614139178902e-5,0.00028025899467257133,0.0,0.0,0.0,0.0,0.005707101992545687,0.03615113047711127,0.0,0.0,0.0,0.0,3.21657360875158e-5,9.110080539161389e-5,0.0058579036031502245,0.003418787600169569,3.1689042635005357e-5,0.00012075616324935722,0.0,0.0,0.000213565836579285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.078215840570214
t2,0.010164011245694817,0.07157697179060706,0.01095536778244657,3.251942951624915e-5,0.00022552105231716548,0.0,0.0,0.0,0.0,0.0,0.010797064466529836,0.04428141036168531,0.01842698814171296,3.320734791141591e-5,3.300034438452865e-5,0.000271720623252809,0.0,0.0,0.0001762032733570674,0.0,0.0,0.0,0.041869041727555366,0.0068599770778426964,3.3894776056545535e-5,0.0,0.0,0.0,0.0,0.00012197982930727272,0.008588551990929736,0.03469143568365974,0.008935589027219583,3.424702989012668e-5,0.0,0.0,0.00016865458885890498,0.0,0.0001484316540880673,0.009431147835199633,0.033813925646431174,3.22148348660823e-5,0.0029021907295168578,0.0,0.0,0.00018042873519391549,0.0,0.0,0.0,0.007226816518187935,5.5286982512587475e-5,0.0,0.0,0.0043613160915900034,0.0,0.0,0.006236128593810251,0.045658691379497615,0.007690137340407344,5.786847599844958e-5,0.00019608600180142792,0.0,0.0,0.005985895961959897,0.0,0.0,0.0,0.0072639161895844285,0.04302950461285857,3.6073116796366386e-5,0.000264967654471217,0.0,0.0,0.0,0.0,0.005713825177112054,0.03622140096631618,0.0,0.0,0.0,0.0,3.21395569558982e-5,9.11021262771819e-5,0.005866953156528013,0.0034200857722975625,3.1722979759848554e-5,0.00012077239154394692,0.0,0.0,0.00021379094872372596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49456017902102195
t3,0.009242134645978003,0.07380388141259915,0.011069551519056654,3.253513754927044e-5,0.0002226350930555915,0.0,0.0,0.0,0.0,0.0,0.013674636082277541,0.04733262816795938,0.019956240674954582,3.3301163605683185e-5,3.3092157300770216e-5,0.0002704630479374316,0.0,0.0,0.0001782110499805806,0.0,0.0,0.0,0.05094309011571428,0.007224557794074691,3.410318976302652e-5,0.0,0.0,0.0,0.0,0.0001227320704085091,0.010626882317356886,0.038506768733835496,0.009939128865172734,3.441358385026327e-5,0.0,0.0,0.00017140076921293938,0.0,0.00014924835341887434,0.011328063268512843,0.03709845861930427,3.226504093445864e-5,0.0028999957823335337,0.0,0.0,0.0001818669389966537,0.0,0.0,0.0,0.00758539789441281,5.6408383485811546e-5,0.0,0.0,0.003860682602641682,0.0,0.0,0.0065012304397673495,0.036562249175923954,0.007425122926549734,5.8354970974541246e-5,0.00019351944033437054,0.0,0.0,0.0035732111726481343,0.0,0.0,0.0,0.011241388961568713,0.049167946130019166,3.6083476101241466e-5,0.00026276781249747,0.0,0.0,0.0,0.0,0.005721734354690467,0.036336146606773576,0.0,0.0,0.0,0.0,3.210013806231312e-5,9.109629728328865e-5,0.0058511641649868305,0.0034211027285054882,3.174576879125592e-5,0.00012079200201166333,0.0,0.0,0.00021400400953631418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5234865350527103
t4,0.010198109241371921,0.09033696421501164,0.011360527019644144,3.2575634502977366e-5,0.00022076607304926554,0.0,0.0,0.0,0.0,0.0,0.02078607698552762,0.052744100952817397,0.022179511604639705,3.3396448807062874e-5,3.318589674415259e-5,0.00027027105570950064,0.0,0.0,0.00018066751195274332,0.0,0.0,0.0,0.0648512859573343,0.007606363622492629,3.429537483609845e-5,0.0,0.0,0.0,0.0,0.00012344415121561675,0.014366546963366965,0.04242436432481248,0.01122356943534202,3.457729418613383e-5,0.0,0.0,0.00017435409898292753,0.0,0.00015028255901928234,0.0156608739118981,0.04318478184549658,3.23071509745911e-5,0.002901685403797518,0.0,0.0,0.00018362796631462045,0.0,0.0,0.0,0.008820474219499753,5.7706710639566296e-5,0.0,0.0,0.0037144854696818594,0.0,0.0,0.007549923981107702,0.03758641767444466,0.0074338540792684505,5.916324825082679e-5,0.00019320529992334644,0.0,0.0,0.0028650226985679735,0.0,0.0,0.0,0.015568913643004178,0.06101278171156847,3.61168387628549e-5,0.0002618951612537033,0.0,0.0,0.0,0.0,0.005729146626485857,0.036464488938222614,0.0,0.0,0.0,0.0,3.2070991627489536e-5,9.108409951939211e-5,0.00583483728407468,0.0034222450530394157,3.1760044361311954e-5,0.00012081615281529151,0.0,0.0,0.0002141580675087336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6084290806934761
t5,0.012131026534035886,0.1356279504092145,0.011709015603993882,3.261800704830972e-5,0.00021925564614350677,0.0,0.0,0.0,0.0,0.0,0.04677564545999663,0.062236286335441156,0.025026369099621682,3.3493592605722834e-5,3.3282107720005805e-5,0.0002704452011699553,0.0,0.0,0.00018340450887552776,0.0,0.0,0.0,0.09327429179691063,0.008040227880324598,3.4476192012696026e-5,0.0,0.0,0.0,0.0,0.0001242053200076631,0.024017303500189206,0.04795663442169773,0.012902089591312609,3.4748789808186544e-5,0.0,0.0,0.00017748635380619265,0.0,0.0001514245934438211,0.02578283263835491,0.05405278975270192,3.2348338080277785e-5,0.0029003394778174367,0.0,0.0,0.0001855055356812593,0.0,0.0,0.0,0.012461204110376009,5.913551739953821e-5,0.0,0.0,0.0039233426887338866,0.0,0.0,0.010003623753473394,0.05268811742310546,0.007720993497313525,6.0292668285054836e-5,0.0001953335883659887,0.0,0.0,0.002815776738352786,0.0,0.0,0.0,0.024500971013608912,0.08705734355457831,3.6161405004111447e-5,0.00026155242712660754,0.0,0.0,0.0,0.0,0.0057287244684625154,0.036488021869532504,0.0,0.0,0.0,0.0,3.20476091239411e-5,9.106366713897391e-5,0.005835840948469171,0.003423236666559187,3.17730364713486e-5,0.00012083734143846127,0.0,0.0,0.00021429082140754182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8176951815023431
t6,0.013205326622926672,0.32146424107532084,0.011935180065364336,3.2646182763417416e-5,0.00021733332671450202,0.0,0.0,0.0,0.0,0.0,25.025906156074182,0.07801580888019992,0.028055148811032608,3.358288618732094e-5,3.3369875580551393e-5,0.00027005759682410645,0.0,0.0,0.00018589134454734607,0.0,0.0,0.0,0.19922347681096625,0.008560088922812122,3.4643814210716386e-5,0.0,0.0,0.0,0.0,0.00012502179125262568,0.09124869354195653,0.05727813000284083,0.015033915042391453,3.4914269973068916e-5,0.0,0.0,0.00018053067038166493,0.0,0.00015241971336018705,0.04078925068748136,0.07011421065544414,3.23880806717581e-5,0.0029013597329567956,0.0,0.0,0.00018709200229407354,0.0,0.0,0.0,0.016495571520964154,6.061423521114613e-5,0.0,0.0,0.004041444415367715,0.0,0.0,0.010125499755278081,0.10423189479609483,0.008016557329077207,6.150285822138134e-5,0.0001977440352462138,0.0,0.0,0.002563178703154979,0.0,0.0,0.0,0.03680153383217366,0.1711660412753101,3.6194635840014625e-5,0.00026094102377282707,0.0,0.0,0.0,0.0,0.005728134200275916,0.036537764215187854,0.0,0.0,0.0,0.0,3.202187422022406e-5,9.103878139136488e-5,0.005837468252065273,0.0034236534442728837,3.1780766184687585e-5,0.00012085111456908757,0.0,0.0,0.00021436150492294394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.371326671049438
t7,0.00851120958592826,0.2754945450629758,0.011417691077168491,3.259534630028084e-5,0.00021282580582440897,0.0,0.0,0.0,0.0,0.0,11.056080909088154,0.08551221367550088,0.028432003457953926,3.3628502384358666e-5,3.341446287225574e-5,0.0002664859617705782,0.0,0.0,0.0001868937268619739,0.0,0.0,0.0,0.5619250480602807,0.00883816124027994,3.477053846260552e-5,0.0,0.0,0.0,0.0,0.0001252576596001803,0.5420697660893178,0.06608389208741147,0.01713072357103019,3.50481286876831e-5,0.0,0.0,0.00018255331511748876,0.0,0.00015260535800699668,0.01961768225729444,0.0676918410739076,3.238563630391143e-5,0.0028868836209415445,0.0,0.0,0.00018694913420154013,0.0,0.0,0.0,0.02694324321013735,6.211834219608077e-5,0.0,0.0,0.00408916334044819,0.0,0.0,0.011233936262197021,88.20211823401361,0.008455239018644305,6.285183359877925e-5,0.00020048748119421924,0.0,0.0,0.002627287446822652,0.0,0.0,0.0,0.02018458094070054,36.32202305240856,3.622142272476855e-5,0.00025718637935102787,0.0,0.0,0.0,0.0,0.00572142428036302,0.03653422564221495,0.0,0.0,0.0,0.0,3.2028592227808723e-5,9.101542332146165e-5,0.005843818481268355,0.0034246926424868407,3.178765256350729e-5,0.00012086240178306737,0.0,0.0,0.00021441630094995508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.4035158570419
t8,0.006540821701659826,0.12340806602111958,0.010558896920044629,3.2521391664718964e-5,0.00020700680943098825,0.0,0.0,0.0,0.0,0.0,0.04990023785786228,0.08304741683700027,0.026846945303492034,3.36440361584866e-5,3.342914998412775e-5,0.0002608908746834699,0.0,0.0,0.0001868541237650803,0.0,0.0,0.0,0.269536580627707,0.008734613754955604,3.4829954912900436e-5,0.0,0.0,0.0,0.0,0.00012470464251582036,0.04953648783494252,0.057460236430093,0.017150450993271105,3.512608328128652e-5,0.0,0.0,0.00018220641074608867,0.0,0.0001512461180049219,0.012061004000053239,0.05535459323807631,3.236558212481285e-5,0.002859757578579844,0.0,0.0,0.00018583417920500043,0.0,0.0,0.0,0.007694151269141995,6.300621960781941e-5,0.0,0.0,0.0030594582447565836,0.0,0.0,0.008896472756558879,56.30887155647539,0.008247249888170171,6.376372131652832e-5,0.00020004417588381223,0.0,0.0,0.0022209492304754433,0.0,0.0,0.0,0.008270961014498927,19.786840076068,3.612501368050332e-5,0.00024690638088862047,0.0,0.0,0.0,0.0,0.005702226522143209,0.03644021567550262,0.0,0.0,0.0,0.0,3.2039159643822314e-5,9.099009722550806e-5,0.005856104387204812,0.003425632563109681,3.180318492809512e-5,0.00012086751843744724,0.0,0.0,0.00021449295017209356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.96112186097207
