Resource,Small_Electrolyzer_1.0,Large_SMR_1.0,Large_SMR_wCCS_90pct_1.0,Above_ground_storage_1.0,Small_Electrolyzer_2.0,Large_SMR_2.0,Large_SMR_wCCS_90pct_2.0,Above_ground_storage_2.0,Small_Electrolyzer_3.0,Large_SMR_3.0,Large_SMR_wCCS_90pct_3.0,Above_ground_storage_3.0,Small_Electrolyzer_4.0,Large_SMR_4.0,Large_SMR_wCCS_90pct_4.0,Above_ground_storage_4.0,Small_Electrolyzer_5.0,Large_SMR_5.0,Large_SMR_wCCS_90pct_5.0,Above_ground_storage_5.0,Small_Electrolyzer_6.0,Large_SMR_6.0,Large_SMR_wCCS_90pct_6.0,Above_ground_storage_6.0,Small_Electrolyzer_7.0,Large_SMR_7.0,Large_SMR_wCCS_90pct_7.0,Above_ground_storage_7.0,Small_Electrolyzer_8.0,Large_SMR_8.0,Large_SMR_wCCS_90pct_8.0,Above_ground_storage_8.0,Small_Electrolyzer_9.0,Large_SMR_9.0,Large_SMR_wCCS_90pct_9.0,Above_ground_storage_9.0,Small_Electrolyzer_10.0,Large_SMR_10.0,Large_SMR_wCCS_90pct_10.0,Above_ground_storage_10.0
Zone,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10
t1,0.0,0.0,0.0,24.55854712392301,0.0,0.0,0.0,257.38778066223176,0.0,0.0,0.0,24.505833066301133,0.0,0.0,0.0,23.47470723234462,0.0,0.0,0.0,38.07457061288223,0.0,0.0,0.0,23.84024129232788,0.0,0.0,0.0,217.139898326709,0.0,0.0,0.0,23.96005028024512,0.0,0.0,0.0,24.485864680473235,0.0,0.0,0.0,26.660670765698555
t2,0.0,0.0,0.0,24.2271900550352,0.0,0.0,0.0,235.30520383639964,0.0,0.0,0.0,24.470965273906607,0.0,0.0,0.0,23.7081825746534,0.0,0.0,0.0,33.19837964455378,0.0,0.0,0.0,23.882411326658488,0.0,0.0,0.0,194.41509922882793,0.0,0.0,0.0,23.65270725051152,0.0,0.0,0.0,24.058041516488473,0.0,0.0,0.0,24.96619398235687
t3,0.0,0.0,0.0,24.20941215360411,0.0,0.0,0.0,213.00119491278804,0.0,0.0,0.0,24.451025009698355,0.0,0.0,0.0,24.028656276229732,0.0,0.0,0.0,27.714505979136376,0.0,0.0,0.0,23.98479681119334,0.0,0.0,0.0,171.66029595598343,0.0,0.0,0.0,23.555205305387876,0.0,0.0,0.0,23.659990894258637,0.0,0.0,0.0,23.137253197921282
t4,0.0,0.0,0.0,24.46653220511399,0.0,0.0,0.0,213.46378428120346,0.0,0.0,0.0,24.617120948693,0.0,0.0,0.0,24.573376082642653,0.0,0.0,0.0,28.26483066470506,0.0,0.0,0.0,24.356646966884217,0.0,0.0,0.0,170.83714933181508,0.0,0.0,0.0,23.868331843361485,0.0,0.0,0.0,23.489081142604306,0.0,0.0,0.0,22.530928364104923
t5,0.0,0.0,0.0,24.85561923551178,0.0,0.0,0.0,219.1947606223262,0.0,0.0,0.0,25.03404778528733,0.0,0.0,0.0,25.311145369320382,0.0,0.0,0.0,30.913280492307173,0.0,0.0,0.0,24.77744759457368,0.0,0.0,0.0,174.18930130333393,0.0,0.0,0.0,24.44760512490109,0.0,0.0,0.0,23.508833740850015,0.0,0.0,0.0,22.616584194107723
t6,0.0,0.0,0.0,24.938182217028995,0.0,0.0,0.0,225.52083967437747,0.0,0.0,0.0,25.389088553748586,0.0,0.0,0.0,25.845631075468347,0.0,0.0,0.0,33.47528328046657,0.0,0.0,0.0,25.18006030059015,0.0,0.0,0.0,180.92559836583536,0.0,0.0,0.0,24.966362839564,0.0,0.0,0.0,23.721392527766373,0.0,0.0,0.0,23.24110436864049
t7,0.0,0.0,0.0,24.603584880278493,0.0,0.0,0.0,235.75930194315828,0.0,0.0,0.0,25.028542717041415,0.0,0.0,0.0,25.246582611738656,0.0,0.0,0.0,36.20352247846144,0.0,0.0,0.0,24.89780122277134,0.0,0.0,0.0,187.76165028245327,0.0,0.0,0.0,24.66776240810632,0.0,0.0,0.0,23.95064976058148,0.0,0.0,0.0,24.491576708696584
t8,0.0,0.0,0.0,24.41470526470079,0.0,0.0,0.0,243.22884992652428,0.0,0.0,0.0,24.819403992259247,0.0,0.0,0.0,24.876220990194287,0.0,0.0,0.0,38.473863934831726,0.0,0.0,0.0,24.69751240812166,0.0,0.0,0.0,194.09033324720522,0.0,0.0,0.0,24.579781662497087,0.0,0.0,0.0,24.197909629393543,0.0,0.0,0.0,25.555904039323767
t9,0.0,0.0,0.0,24.342187692905018,0.0,0.0,0.0,248.43900540970165,0.0,0.0,0.0,24.719955247754296,0.0,0.0,0.0,24.4221946265138,0.0,0.0,0.0,40.50375066818904,0.0,0.0,0.0,24.555582208541523,0.0,0.0,0.0,200.40049555325209,0.0,0.0,0.0,24.665833759133687,0.0,0.0,0.0,24.46688089094519,0.0,0.0,0.0,26.55256752059217
