Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
BE0 0 CCGT,1,3641.0,0.06385057054837062,1.4963154523696398,3642.4324648818215,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 OCGT,1,3641.0,649.2749547816672,8.101351809976306,2999.8263970283087,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 biomass,1,672.0,412.0345814235847,7.40270126464015,267.3681198410555,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 coal,1,0.0,0.0,56.15667175422961,56.15667175422961,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 nuclear,1,5943.0,0.0,1.558688551042966,5944.558688551043,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 offwind-ac,1,1127.0,0.030026433885738,1.8621196488672425,1128.8320932149816,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 offwind-dc,1,1127.0,0.023438834408367224,2.286732661746766,1129.2632938273384,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 onwind,1,2629.0,0.051361348839575494,1.6090101793656428,2630.557648830526,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 ror,1,176.0,0.20925013870384548,0.0,175.79074986129615,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 solar,1,4788.0,0.9948837190701361,0.8088513622668329,4787.8139676431965,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 CCGT,2,15971.0,0.03444083668863979,2860.0099696085736,18830.975528771887,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 OCGT,2,15971.0,32.388251637299746,3.434526803059584,15942.04627516576,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 biomass,2,8400.0,0.15242949133884096,3.773108236445662,8403.620678745106,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 coal,2,23499.0,23119.080404865967,33.48319515660885,413.40279029064186,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 lignite,2,20487.0,20303.28757232287,2.014946440109231,185.72737411723574,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 nuclear,2,8114.0,0.0,0.31856703272112435,8114.318567032721,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 offwind-ac,2,3887.0,0.022100228519845524,0.9414489771873886,3887.9193487486677,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 offwind-dc,2,3887.0,0.016652753902672377,51914.067878663285,55801.05122590938,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 oil,2,4184.0,2889.055435009901,9.63378347390766,1304.578348464007,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 onwind,2,54499.0,0.08990201191601821,191.54478406897374,54690.454882057056,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 ror,2,3814.0,0.3544047027628824,0.0,3813.645595297237,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 solar,2,53302.0,16650.86604172478,44.59704650559161,36695.73100478081,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 OCGT,3,358.1050901,0.08669229363453358,9.457107726382258,367.4755055327477,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 biomass,3,810.6078944,0.09727014411173142,12.945415866146714,823.456040122035,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
