Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,1,2,3,4,5,6,7,8,9,10,0
AnnualSum,1.3613431e7,1.4810981e6,1.4280658e6,159025.62,4.6001016e7,3.6213935e6,4.130556e6,4.750846e6,805393.44,3.7470058e6,7.9308984e7,1.7609788e7,4.9479376e7,1.03708225e6,600454.94,5.8409916e7,1.5231069e7,2.6241478e8,228846.83,8.007669e7,2.2201234e7,2.4836628e7,765810.25,4.4250495e6,4.6836745e6,1.3258634e6,1.5035592e6,1.0183699e7,368290.5,488076.1,1.7514878e6,615074.4,2.0021555e6,499880.97,1.7735411e6,2.0781465e6,111711.7,2.4683142e7,407995.88,1.5326003e7,398633.97,335023.8,4.519664e8,52130.71,86320.52,41045.43,2.3846378e7,3.2602502e7,631279.44,3.8885398e6,364017.12,546187.2,601142.75,52129.773,5.6524145e6,204505.0,1.224951e8,1.1784865e7,3.198603e7,1.0136288e7,6.2600996e7,2.0422624e7,7.963677e7,76280.586,5.2840308e7,6.3335005e6,9.253786e6,4.235138e7,6.349038e6,596742.1,4.1224268e6,4.275711e6,7.24828e7,1.1535603e7,5.8033345e6,3.2423708e7,801568.4,78750.95,193675.39,3.3868515e6,6863.7676,221965.0,382568.12,1.4874919e7,288614.28,220733.39,3.6457464e7,62124.58,310947.6,36041.543,1.5560623e7,0.0,10218.021,7.8855015e6,2.2662276e7,0.0,1.153069e8,6.1860584e7,1.1600241e7,3.9298212e6,63707.73,0.0,0.0,186396.22,210654.84,168934.64,196727.28,211303.4,265867.94,296889.72,174688.34,156307.02,156005.06,2.171168e9
t1,3222.416043805859,38.826199618619604,211.862489899136,22.581190034222885,5334.625222325259,0.0,0.0,0.0,158.21167487516655,0.0,493.56876945150896,23.42007822706539,7504.259364379769,72.51262431907588,52.53107825801859,7283.273191611252,3144.7235252911323,41176.08413266526,4.227732850724851,9838.742161961856,3294.989794336813,0.0,39.59911142286495,707.9701082992505,871.3430380157174,273.75962665352847,300.1318540252861,1834.3618398235947,0.0,59.17507565109895,76.3089208622872,19.706300921668134,259.88904830936644,61.12627437131864,390.97203493346547,391.1604587101679,4.297025749098459,5491.746413363807,47.77103773361472,5390.7002628200835,30.62854985172134,44.45687282645791,55228.97753939494,4.234859023731063,2.852135476471678,4.49107362117107,2321.0846286993806,4385.2604762758665,0.0,825.3440361506806,110.51753403664966,27.089214662226404,64.3250649162343,38.43510055732563,337.2598844138958,0.0,21313.8775172465,1223.5264635589822,3987.6371536372617,4877.011452766096,7249.433242395843,799.7883515893582,2129.560822638792,104.77131224959177,1449.2173979568659,1314.8107620752144,0.0,8271.13640508239,44.307029424091816,99.79530649090901,486.96419623682414,51.19000608236207,3262.572435944388,200.13177852584445,0.0,10163.904601315957,246.2793564697721,6.304869836065961,17.87834398955065,274.0410168552812,0.0,53.846267059077526,53.34134117451739,4341.013978005519,42.87076885152334,52.01084638724042,6173.890958559445,15.363957640614096,65.79873940900207,5.16917420885231,2707.827405467754,0.0,0.0,1285.3278466217744,27.62347549192515,0.0,3398.0152213859024,1179.4679032971972,14.38403462928791,13.191703734225447,21.325861239960627,0.0,0.0,27.20740423328125,21.336376277584733,9.41688852975591,12.341152252655217,18.20614294833584,64.24260867743611,215.19503608929688,86.73040208777331,14.433729885464501,15.183457502957273,249030.7331795
t2,3226.2173728353755,40.629955792968886,212.14453926895627,22.748724076718695,5334.672968277841,0.0,0.0,0.0,158.21167487516655,0.0,475.79936274587453,22.45749157328108,7502.180748095083,72.24972387741104,52.266291464117224,7283.28444972151,3284.5940175031255,45193.63046373855,4.22596887955169,11315.245951942836,3294.989794336813,0.0,40.59362626788977,713.5153653547424,827.8548897067224,274.4608726151589,280.7948398404081,1743.1365719126647,0.0,59.6614855941374,57.37534046891459,18.074795879774832,239.33262083256704,60.932477936545425,381.93772554165275,321.6590952283898,4.277701819684214,4859.93851484221,47.602272122536704,5354.007819074912,29.29042222425601,43.372209037753365,55228.89596452408,3.858181031846801,2.2366217258896306,4.485227389474289,2166.0010490977534,4385.2604762758665,0.0,820.2009247218812,105.83200942923251,21.76045024041303,58.864911719378874,40.2670189558572,256.4002805093613,0.0,21312.257658314804,1167.376371579893,3987.2417580698902,4880.330033372334,7249.420954299951,692.8611636573878,1951.879245711903,109.62064863078889,1267.7861978281242,1314.8107620752144,0.0,8163.494855583805,32.10788114399314,77.15757757359066,485.8894863919311,82.44962840683688,4745.982173885749,320.926806865324,0.0,10163.909318700737,246.2674662405413,6.305154344457859,13.699419735354354,301.6704207914201,0.0,53.849446691052364,53.35105504168345,4340.925548445044,42.857496136032914,52.02012277752222,6173.88608658262,15.812121479156298,66.60783215977106,5.16585564120629,2888.525789046664,0.0,0.0,1284.0495071576609,20.897399041112774,0.0,3333.2523521967237,921.2319588504813,13.549883356743123,11.937803198689835,5.925142756177351,0.0,0.0,20.666626276312435,21.641091744850844,20.076856459220032,16.23696757716125,18.639379225867447,24.399154809408902,36.753141361243664,13.376435102274378,13.64801278232415,14.333205081579909,254004.49251510977
t3,3224.799043642879,42.30704176828243,212.26266766064697,22.581067117492932,5334.674596026146,0.0,0.0,0.0,158.21167487516655,0.0,469.41560638596326,22.038573379733567,7496.787231546433,71.98304483130258,52.01957057032707,7283.142312598151,3074.5904275232056,44691.25943969811,4.227009147281728,13283.832712154657,3294.989794336813,0.0,40.7848078919138,713.6873187467712,888.7086949252315,274.5314974529636,254.1200908158913,1743.208443499968,0.0,59.72515509387719,53.20559642855553,17.353599856889055,226.15154264830684,60.83131809266223,390.8183576782737,278.1737034367344,4.264015190771796,4796.662128897216,47.519871905417595,4796.240029225575,28.599434362589157,42.70562582402425,55228.74307493154,3.4867595275519596,1.8405440386287768,4.481636260197186,2165.8817386870296,4385.2604762758665,0.0,816.3491351277902,98.17209754592237,17.85226572708658,52.22264182370318,41.88827539863421,207.9365305809843,0.0,21307.671693749206,632.0797833473287,3987.125884520153,4878.823982879495,7249.500718351426,639.4031408004716,1951.827653851386,112.5797213856963,1086.4161759952303,1314.8107620752144,0.0,7720.7804426366965,32.179245852024025,74.07736205096028,485.9622150909441,124.81152225777078,5784.936457429635,401.87771333414616,0.0,10163.890183096244,246.2604273980721,6.6038062825093915,13.177068715118775,329.3012099287603,0.0,53.85186021787617,53.355966521354866,4340.938161628808,42.8504467365478,52.021797207482265,6173.883148144639,16.49160865617877,64.98413220024753,5.1624792537937205,3069.2281398045943,0.0,0.0,1281.8720648995634,15.239756684922124,0.0,3287.726713611815,786.3594358827876,11.404193625724014,9.679714955919213,6.550489424336974,0.0,0.0,16.38358365949467,19.642355201061868,18.868942181086737,16.960381203193137,17.50173459000547,23.291649834441632,32.060288337928945,13.50345727127111,13.183782697954733,13.853593106578678,254481.47526972924
t4,3226.0349661953746,45.91797116047333,212.77662590551202,22.63325098849948,5334.758913675446,0.0,0.0,22.207160984356126,158.21167487516655,0.0,471.4929061610634,22.47574954055911,7496.600472566529,71.97041198495856,52.00921262673849,7283.123310148984,2899.6536276730567,43686.809753581096,4.234006140164129,14268.262700685196,3294.989794336813,0.0,41.390496568795825,713.6423193423144,866.9478192377221,274.5191303098973,234.04906109057683,1804.479386693514,0.0,59.73690635386731,52.73730109590871,17.278224141432972,224.59528483362078,60.76837919955334,399.77789422146384,369.29824621969067,4.255624399681261,5491.559889151098,47.532976917404646,3854.9394494442304,29.091343119284048,42.738931937257405,55228.80369491222,3.313529434649964,1.6511314207755072,4.484391140866398,2165.869424759977,4385.2604762758665,0.0,805.4750585066538,79.99333437921787,12.58035849363712,40.181864362847676,43.384454566356425,159.35161128711408,0.0,21286.76469403277,421.1874958431321,3985.2259560967827,3498.8392556942485,7249.074854216241,585.7375050503916,1951.5554659336772,114.69256348961312,1086.151994578816,1314.8107620752144,0.0,6975.909757652302,33.69713353555031,73.94554351321803,486.16088210865746,167.20695573230483,6081.792995017778,563.913826254897,0.0,10163.878335862648,246.31340239186093,6.603979202008776,16.311553653965827,356.9343522918244,0.0,53.86011923579693,53.36308786928764,4341.032845746366,42.852455884015974,52.01731793246427,6173.884018201558,16.945070553481408,69.85140512807354,5.15980539242674,3159.5851287867536,0.0,0.0,1281.6929125833417,13.863431507827373,0.0,3380.5336916408382,883.1505218984137,11.09047481241559,9.344250241240262,3.800266473181936,0.0,0.0,14.715838668385993,18.49613880287047,16.767841549189054,16.982929320861327,16.98777891257648,16.909447520174844,13.548214915929575,13.2985082895668,12.868891974068305,13.490737723789884,252466.65289884023
t5,3232.031014157882,53.790908578642316,213.81257355431785,23.150062230425647,5334.949025669216,0.0,0.0,22.243800570086158,158.21167487516655,0.0,488.71828506782504,24.127721352819474,7503.979962747189,72.34419131053588,52.37955506554847,7283.290191559111,3074.627625722045,41678.16252674138,4.249940175834004,14760.678515971931,3294.989794336813,0.0,43.07782197611631,713.5362248907373,896.918411898586,271.19922766863033,220.66501191225257,1927.036457695657,0.0,59.73245559571382,57.19010604827027,17.97647978613494,245.19520127321346,60.925194173909084,395.41716209636786,425.8208678109664,4.255785808989424,5428.504986726336,47.6783087348164,5371.481045698435,31.16068005151493,44.21605507571746,55229.13321295078,3.169075647135403,1.4728571476873298,4.497909975579312,2011.0073534713658,4385.2604762758665,0.0,807.5358906670078,79.62766023808754,10.051251139489407,28.487262509947442,44.95399185413798,127.07901950792483,0.0,21281.845460071832,417.8987395406409,3985.699223603052,3341.827512742602,7249.321321587645,532.3590731242426,1951.576579401847,116.63802822551462,904.8806967757914,1314.8107620752144,0.0,8171.878491152149,37.849703333854144,75.83805569015831,486.53835360167693,188.4630083297672,5785.033704203821,604.5188740887394,0.0,10163.859279198075,246.31364259803826,6.30493662948233,17.357498483024557,356.9341443591821,0.0,53.86121957206033,53.37000489419605,4341.116703234424,42.86298606756439,52.00272227339964,6173.886323436806,16.943786766969346,73.0992909525154,5.158232541135959,3159.5942830628583,0.0,0.0,1284.079553051822,19.554529586669315,0.0,3819.8556774019557,1596.8911496076184,13.483689470558007,11.653903680856466,5.3360437036350685,0.0,0.0,14.099750707402244,18.011729429486735,14.288922115667571,16.659942569922006,16.80550755338802,17.06084136510386,13.717994685109225,13.017815749373652,12.282306940915236,12.922346170787673,254379.36516140265
t6,3243.8028924369037,84.781481564474,215.75831338629163,24.293486247700137,5335.375454469413,0.0,0.0,22.389994115188856,158.21167487516655,0.0,7666.665102335366,27.983101925409446,7515.187632309704,74.6244726469442,54.48703305241742,7283.8987792078315,3005.09721305771,37661.12800594324,4.280412099617475,14761.31292632227,3294.989794336813,0.0,50.058690868679015,714.3891882180391,1295.8718002072053,274.7166959010669,230.90155324826367,1957.8875975096935,0.0,59.85225075016106,80.87522913516246,19.94244900014035,287.4931901437002,61.8716937584428,395.97635092693434,426.20538327121363,4.269649160387064,4860.338687206319,48.05773976069936,5444.262286142327,36.51201875765889,50.08968841002264,55230.03420498532,3.260069018153308,1.127938215900901,4.526600147858858,2011.52095644077,4385.2604762758665,0.0,818.0324221282267,94.12553927808668,6.377335832118609,19.373650486673274,46.5687774279715,94.8823946831416,0.0,21288.126270107463,429.6714263798905,3986.8154286020613,4837.905776432111,7249.667583703707,479.0166217353746,2306.795356269459,118.32807197402799,904.9356308232886,1314.8107620752144,0.0,8259.257753325028,51.004793721642535,92.23444653430529,487.3633834022188,188.70050458671855,5637.0652656687835,604.8671261546247,0.0,10163.854244717686,246.34021282989673,6.00729423024387,17.35841322312546,356.9349261193107,0.0,53.8685316210266,53.353824901517505,4341.321150666793,42.85658818326158,51.98999956554748,6173.878753915025,17.193843178018952,73.10210136824234,5.157526863388042,3249.9266501031343,0.0,0.0,1289.2826581564018,2727.225612980203,0.0,5007.405809788965,3280.283296351586,22.676661523007674,28.793238942421596,5.347385507946815,0.0,0.0,21.408076291087667,24.34864112782779,16.792523678192573,20.565350890422202,24.972568001085726,18.662671438042047,16.10530843088344,15.881937836094284,14.397169721266733,15.066620412812266,265087.8560716891
t7,3248.7198770844807,177.74858782962292,216.83775563331528,24.90765789901713,5335.616957701639,19.28973870239327,29.313634612697598,22.463205439581866,158.21167487516655,0.0,16802.26638624968,32.898006803095065,7519.475339729123,80.28123472237891,59.0440731488882,7284.26104436514,3250.3708642666634,31132.89547737792,4.310174360894039,15253.993181305977,3294.989794336813,0.0,87.62132888713532,715.9612546326947,1331.2081480427714,278.3901027962261,247.99147274324397,1927.6150816122527,0.0,60.14003398363852,269.15483501386433,23.341368840196946,303.60547336178973,65.09895834831954,392.22596379984043,426.7534465798338,4.294216189188522,4545.061218783632,48.58958353655443,5459.889017642685,42.03351720231255,55.111983019846974,55230.50126502647,3.3122849080658794,1.1364713430466757,4.54776717444694,2011.7780735929434,4385.2604762758665,0.0,837.1407699500149,114.07014339278686,5.4267518971121245,17.156741375508826,48.257945371915795,79.20430747275608,0.0,21307.792661821695,4980.486587728508,3989.789347137843,4881.878361296833,7250.697080221402,425.9162939323536,2662.3536748584925,120.00042131370824,723.9574522950626,1314.8107620752144,0.0,8295.005282990438,1680.0942461606928,114.67092222640727,488.3788092669345,220.8465429278444,5340.860956637797,645.9415432148154,0.0,10163.872310495235,246.35420286418653,6.007741700983153,19.457030072696494,356.9355644212839,0.0,53.874932848672785,53.36030303984732,4341.494564466323,42.891795076221335,51.98699349699585,6173.892091340904,17.42929092908423,73.10742423803994,5.156991959460158,3249.931764169549,0.0,0.0,1291.1609348666266,6624.259673006568,0.0,6337.605957892433,4833.2454595979925,64.84799968817686,2822.440152532287,9.184653924139313,0.0,0.0,24.629531883072787,27.535297632157302,22.799107030660945,30.488572352139514,27.416981663318474,37.411843760769685,39.31257114031842,27.9332075832708,13.721938386351576,14.417855000738998,284517.420354408
t8,3249.555025254018,199.70425123281356,217.30263825837878,25.00701803040481,5335.691482037951,39.46023368318773,59.60061438606936,22.464911885295788,158.21167487516655,41.041301836043736,16856.09128480273,37.61224095780386,7521.827946937433,91.4324887639232,65.81981942546577,7284.454455585426,3075.666868843144,24102.258146190044,4.335578813570319,15254.252404759167,3294.989794336813,987.4596130513006,104.25537035352727,716.2916213621692,1332.330472684397,278.4194080349805,274.78596750220305,1866.3577704817365,3.8162949730420483,60.19777555899347,314.00439797178814,25.014983597203734,305.03845984632034,66.43336550855464,392.31291724679585,426.80884228039497,4.302580165798834,4671.48538860879,48.71556099426718,5463.016820360759,44.06795809621762,56.291102122378746,55230.5767046162,3.3152995746194773,1.3201760440068984,4.554993651822628,1856.7776222773405,4385.2604762758665,4.260239182359858,838.3821815969306,114.14259340251262,4.23242335818435,17.184438846674265,49.530542679139344,63.08022860956926,0.0,21312.740789054795,11725.050853949262,3991.048375441307,4883.106426791862,7251.1608291295415,426.02746875366506,2662.519579107375,121.45592699512703,542.7922379452325,1314.8107620752144,0.0,8300.064212501185,4005.185244389954,115.67778427556527,488.5412966592383,242.03854516419344,4895.583175635473,686.5036834132884,0.0,10163.897141564703,246.37097620362445,5.711993718256011,21.55891459055045,356.93601381308474,0.0,53.88034464460992,53.35936266270242,4341.606580902622,42.92097323112281,51.987812419620184,6173.903541949529,17.66593383802651,73.1112109822558,5.157293685429202,3159.5897447244024,0.0,0.4459893126659761,1291.9381954207722,6625.893606224053,0.0,7039.099485765619,5531.636790682317,8988.593087142966,3570.5442590168263,6.8568300836901255,0.0,0.0,20.830662915664263,29.316830124238177,19.25786265266859,24.334777544098202,23.389368291460123,33.50058177605996,33.196937920092374,20.467452043601384,13.286702584621743,14.042235048923976,297969.4014565749
