Zone,1,2,3,4,5,6,7,8,9,10
t1,-0.003678836241270179,-0.0005094057582115479,-0.016127096085722385,-0.020549195629980616,-0.0005042711039070964,-0.033261294215340194,-0.0008001267406576348,-0.0023509615422927996,-0.002413354600055786,-0.0019970129044840266
t2,-0.003934220861681617,-0.000526373858187897,-0.016285896904574028,-0.020778220600882292,-0.00048762567543908964,-0.0334472317600343,-0.0008058892433277712,-0.002463344200167136,-0.002419418924644058,-0.0020157571937074897
t3,-0.00412797684984891,-0.0005282222480945538,-0.016073619115016313,-0.020491773459014456,-0.0004822755812566397,-0.033960488662904846,-0.0008193831801296304,-0.0024775501288493234,-0.00242383332232519,-0.002007642849821037
t4,-0.0041988675583811055,-0.0005307938521904388,-0.01599297284068704,-0.020391240607080273,-0.0004927146665752236,-0.03532823446849015,-0.0008537059671127617,-0.0025038656171716893,-0.002390260696443689,-0.0019694190190342855
t5,-0.003952649092034774,-0.0004986916254823388,-0.015358860253035468,-0.019530379110891647,-0.0005028618597978064,-0.03650373255870798,-0.0008816761355622209,-0.0023884300373120232,-0.002276958649328114,-0.0018302899283737107
t6,-0.0035619792668644726,-0.0004392863447935699,-0.013367659557270394,-0.016916631765107878,-0.0005477981630534939,-0.03618621092494857,-0.0008732162824927404,-0.0019463816442209917,-0.0019978983285068434,-0.0015536022710950154
t7,-0.0034829441450143026,-0.00046124223241639353,-0.011653392036489262,-0.014882309092594342,-0.0005677443862522705,-0.032634800937670086,-0.0007874798397965815,-0.0015339556259747946,-0.0017524336741866146,-0.0014803032958211578
t8,-0.0034843624689291333,-0.0005050691195310797,-0.011171182805892464,-0.014307695010842954,-0.0005673397458143615,-0.029118780571348056,-0.0006955810454086279,-0.0014330347229811681,-0.0016378214117895354,-0.0014563349057008684
t9,-0.0034502473534005385,-0.0005077476704153452,-0.01107158383573574,-0.01419096694316399,-0.0005612333860712484,-0.027369860516242638,-0.0006459520121602127,-0.0013874816128010667,-0.001607671142002045,-0.0014520411070893962
t10,-0.003406294776299179,-0.0004829707125889248,-0.010812625746387064,-0.013888986223537984,-0.0005482426584873397,-0.026198094659920373,-0.0006011929554493315,-0.0013704254650791314,-0.001616256832005488,-0.0014371709030212723
t11,-0.00338468810699501,-0.00047495861382092745,-0.010943002798907496,-0.01404229682638603,-0.0005275401512293078,-0.02644681986739129,-0.0006131102456277442,-0.0013699739297570288,-0.0016777392333518258,-0.0014405528188293321
t12,-0.0034487177936622293,-0.0004809054246379683,-0.011189076619469664,-0.014340459495721578,-0.0005275303396463295,-0.026640193837877784,-0.0006231953788030611,-0.0013796013956557055,-0.0017392355061563356,-0.0014471891840491173
t13,-0.0034811273508976183,-0.000480666074372794,-0.011175470275487544,-0.01432662271729812,-0.0005037493614921153,-0.026930822266640474,-0.0006355628877772829,-0.0013776187478984148,-0.0017693317539003064,-0.0014500615535403916
