Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,1,2,3,4,5,6,7,8,9,10,0
Sum,68.13086,183.25021,21.648706,0.03995111,0.4512716,0.0,0.0,0.0,0.0,0.0,280.7979,925.8136,486.25333,0.041155387,0.0401508,14.638142,0.0,0.0,2.2343824,0.0,0.0,0.0,108.36988,38.61165,0.04075602,0.0,0.0,0.0,0.0,0.21080548,29.079798,112.0876,27.30972,0.041293185,0.0,0.0,1.0637443,0.0,0.20717412,66.359055,111.959114,0.040797394,38.51075,0.0,0.0,0.34623358,0.0,0.0,0.0,41.3574,0.041956235,0.0,0.0,0.47707233,0.0,0.0,456.8784,1817.498,138.48236,0.042609222,0.27180454,0.0,0.0,0.77065325,0.0,0.0,0.0,204.05406,709.9453,0.04157802,0.47441715,0.0,0.0,0.0,0.0,19.795475,84.16517,0.0,0.0,0.0,0.0,0.040335942,0.21117158,19.725145,6.3866544,0.040226445,8.20548,0.0,0.0,0.2927306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6026.7764
t1,0.020456328463364145,0.09479692048232409,0.01151678897501777,3.7267009594366115e-5,0.0002264333804779198,0.0,0.0,0.0,0.0,0.0,14.164868880916556,0.1517481804142774,0.022902544619292576,3.6498277718580556e-5,3.514308508523682e-5,0.0002758873024249861,0.0,0.0,0.00032026225480423644,0.0,0.0,0.0,0.8231033345459768,0.014550010623217292,3.6498964215408555e-5,0.0,0.0,0.0,0.0,0.00019062985826253273,0.4374008680650601,0.23217166712552365,0.041925594327184956,3.781595435302376e-5,0.0,0.0,0.00036051598736568476,0.0,0.00022543269164741848,0.08569384996692288,0.16688976846996098,3.8702077955750555e-5,0.00038302514983336175,0.0,0.0,0.0003441504485107858,0.0,0.0,0.0,0.01889868129703217,3.1210710175664594e-5,0.0,0.0,0.00023688361875993114,0.0,0.0,0.015294867182846278,0.08293705781645097,0.009655149364848792,2.8952022851332073e-5,8.295348150703618e-5,0.0,0.0,0.00021683326683619918,0.0,0.0,0.0,0.020377239604914183,0.08916732960841793,3.7885217083879756e-5,0.00024464281241875975,0.0,0.0,0.0,0.0,0.016069092808475287,0.09281027707675954,0.0,0.0,0.0,0.0,3.9654915943860034e-5,0.00013563431138795116,0.016787573543636355,0.006058794077058094,3.866462074427463e-5,0.0001798022177140159,0.0,0.0,0.0003913541295909995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.640293533142383
t2,0.025798061840512684,0.10069378645860629,0.011383039839046413,3.618967352518063e-5,0.00022798775516309056,0.0,0.0,0.0,0.0,0.0,0.12437541044174286,0.13805699273563218,0.021020873008543994,3.662337214693202e-5,3.527965558238875e-5,0.0002727226482046111,0.0,0.0,0.0003204366050860029,0.0,0.0,0.0,0.14937654202198192,0.012889398433505934,3.824475084908802e-5,0.0,0.0,0.0,0.0,0.00018529547226549053,0.11060834469789266,0.1480415963159104,0.034027086143184664,3.8403309831523276e-5,0.0,0.0,0.00035826184370084483,0.0,0.00022116039489242521,0.06350650686890891,0.14695269641361758,3.876380902501098e-5,0.0003802011568737443,0.0,0.0,0.00034404391533653485,0.0,0.0,0.0,0.027004398592973267,3.1271146880300226e-5,0.0,0.0,0.00021662420431096968,0.0,0.0,0.023511715877158598,0.1846503973650142,0.009835271038810062,2.812684719036924e-5,8.122848680918075e-5,0.0,0.0,0.000217062955440514,0.0,0.0,0.0,0.11545320920050581,0.13677541355318693,3.6515589580371854e-5,0.00024839708682020784,0.0,0.0,0.0,0.0,0.016095210570143854,0.09281965622043586,0.0,0.0,0.0,0.0,3.9021072948745675e-5,0.0001358245614487375,0.01665244390159386,0.006045668361009741,3.948411163742765e-5,0.0001790234236525529,0.0,0.0,0.00039577062826374077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7197556843773847
t3,0.02910399889416921,0.10074762995614361,0.011178097976155215,3.579185460579703e-5,0.00022821622759227532,0.0,0.0,0.0,0.0,0.0,0.06185760969507462,0.12725529719252832,0.019361003078415165,3.655042862038749e-5,3.520867313888463e-5,0.00026984353279285787,0.0,0.0,0.0003180450826256254,0.0,0.0,0.0,0.1247119843346673,0.01229895036517557,3.849472807798836e-5,0.0,0.0,0.0,0.0,0.00018273842835627233,0.05172302195960277,0.12541676889040515,0.028908298761980228,3.8266039672771554e-5,0.0,0.0,0.0003513863378015559,0.0,0.0002171214873688269,0.05084276065588349,0.13266982682151704,3.8787378610644396e-5,0.00037711572645082075,0.0,0.0,0.0003414761212423053,0.0,0.0,0.0,0.028780087009969296,3.100792605322888e-5,0.0,0.0,0.00019759412916730125,0.0,0.0,0.028598543765309258,0.22710192740924376,0.009660483089725967,2.7830368099350188e-5,7.937531677148477e-5,0.0,0.0,0.00021864185086053136,0.0,0.0,0.0,0.0631923223874915,0.12282864449016026,3.5999247003002584e-5,0.0002462178247041582,0.0,0.0,0.0,0.0,0.01610062302129983,0.09278930848646265,0.0,0.0,0.0,0.0,3.858527794955256e-5,0.00013606123142989175,0.016591804208523697,0.0060360833250821715,3.961592961096688e-5,0.00017857161771809378,0.0,0.0,0.0003946657670737966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4918882843083843
t4,0.027606006657937762,0.09484770576724531,0.01087546603267141,3.5947262168615816e-5,0.00022763792308350516,0.0,0.0,0.0,0.0,0.0,0.039192139683624894,0.11554111538251763,0.017786504722930516,3.633057212981601e-5,3.4998160785282955e-5,0.0002667732268584048,0.0,0.0,0.0003141244151090956,0.0,0.0,0.0,0.1108171272833505,0.011827902512691193,3.7993535554724e-5,0.0,0.0,0.0,0.0,0.00018069284297620057,0.035384209981921155,0.11326885046856461,0.025170559854718937,3.792100984725764e-5,0.0,0.0,0.0003439936938219024,0.0,0.00021308214965518827,0.03631362844433167,0.11770702262146081,3.8766025480738336e-5,0.0003732961731582673,0.0,0.0,0.0003381889511954022,0.0,0.0,0.0,0.03358617292959654,3.076852476898835e-5,0.0,0.0,0.0001819653421434513,0.0,0.0,0.045203626239278386,0.2246295390244704,0.009337132207476596,2.7719990109943967e-5,7.748538186998777e-5,0.0,0.0,0.00021926469165138552,0.0,0.0,0.0,0.041088439171399996,0.10878694699679065,3.609891581564517e-5,0.00024325933542235784,0.0,0.0,0.0,0.0,0.016034313829592278,0.09274996470502353,0.0,0.0,0.0,0.0,3.855540810277946e-5,0.00013624462841607958,0.016574880301974362,0.00602630275947289,3.939894065154428e-5,0.0001782110867769396,0.0,0.0,0.0003927097725965125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.354436985539192
t5,0.023716853522002358,0.0873059812643206,0.01056004272355511,3.621145806394116e-5,0.00022684976620793954,0.0,0.0,0.0,0.0,0.0,0.02893507639458213,0.10424960085101731,0.016455411755527435,3.6232771588401246e-5,3.491449424062909e-5,0.0002632479559590197,0.0,0.0,0.0003110583551785881,0.0,0.0,0.0,0.09899321770397047,0.011362828724263125,3.76065098296339e-5,0.0,0.0,0.0,0.0,0.0001788174921227755,0.027324832519952016,0.10386225432802379,0.022346087305776533,3.7752179265570094e-5,0.0,0.0,0.00033770199815205573,0.0,0.00020915528209621307,0.027764948949426552,0.10481913115834884,3.8852181419984016e-5,0.00036940178421199736,0.0,0.0,0.00033590611837805396,0.0,0.0,0.0,0.02632173515127252,3.0531754480111494e-5,0.0,0.0,0.00016684012922769505,0.0,0.0,0.03568234190048447,0.13002708837332738,0.008505332854634071,2.7864698812130364e-5,7.530550160795684e-5,0.0,0.0,0.00021717060893597208,0.0,0.0,0.0,0.030154145255882437,0.09546477804881277,3.6400468214156496e-5,0.00023993271182141517,0.0,0.0,0.0,0.0,0.01606295873602823,0.09274837665362243,0.0,0.0,0.0,0.0,3.8815466027170366e-5,0.00013633791111783205,0.016590846520506318,0.006016998057997215,3.937516335731746e-5,0.0001778923511385177,0.0,0.0,0.0003918826220648826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1293029264868542
t6,0.018451364551359248,0.0812832124564952,0.010318522311804797,3.639740984395482e-5,0.0002264726317829341,0.0,0.0,0.0,0.0,0.0,0.02403875134479304,0.09490878620150275,0.015451003773150061,3.61228603126523e-5,3.4803493437210795e-5,0.0002597842740484312,0.0,0.0,0.00030763809483598634,0.0,0.0,0.0,0.08741582877218178,0.010893587571548043,3.7177319936438534e-5,0.0,0.0,0.0,0.0,0.00017709266998590153,0.022856518021885486,0.09565578334020329,0.020289465416251266,3.761146412831783e-5,0.0,0.0,0.00033209543113152195,0.0,0.00020568990073723868,0.02178447356698467,0.09584370499546513,3.873848299589199e-5,0.00036678180992218677,0.0,0.0,0.0003326520393046172,0.0,0.0,0.0,0.02034237235753572,3.0356590276053993e-5,0.0,0.0,0.00015177970875718662,0.0,0.0,0.029464428425620415,0.09380427740691206,0.007698284784590092,2.7578702559538262e-5,7.337762860130476e-5,0.0,0.0,0.0002112496595781206,0.0,0.0,0.0,0.02256500836709528,0.08489340400259375,3.649965165412364e-5,0.00023706700457611833,0.0,0.0,0.0,0.0,0.016015310318778314,0.09274981866134008,0.0,0.0,0.0,0.0,3.893082180833377e-5,0.00013651601978824384,0.016569826132620168,0.00601116838168842,3.923925841908926e-5,0.00017771779316455924,0.0,0.0,0.000390480762411532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9932847526463967
t7,0.017799983592580237,0.08329407162871053,0.010403816710371088,3.662002741015454e-5,0.00022781589953741762,0.0,0.0,0.0,0.0,0.0,0.021907096036969737,0.09433683337123172,0.015140723860163286,3.624669332161815e-5,3.489762896026987e-5,0.00025718027387591107,0.0,0.0,0.0003082221103565128,0.0,0.0,0.0,0.08104815967919812,0.010601499733031917,3.691903427703738e-5,0.0,0.0,0.0,0.0,0.0001753876583490711,0.020632948202465348,0.09254624074280728,0.019288193833402596,3.745452351970751e-5,0.0,0.0,0.00032858195498202146,0.0,0.0002029902685826013,0.02200848207601143,0.09911145248987453,3.8771556587378636e-5,0.00036703163928184955,0.0,0.0,0.00033476527882191943,0.0,0.0,0.0,0.012935291840975742,3.010525783697505e-5,0.0,0.0,0.00013470341937422584,0.0,0.0,0.021201481473358035,0.0749497784336225,0.007711960101871718,2.7504276128952663e-5,7.144595442651272e-5,0.0,0.0,0.0002005083104207218,0.0,0.0,0.0,0.017629824393387852,0.08016500108337613,3.6520519036725176e-5,0.00023572791383805156,0.0,0.0,0.0,0.0,0.01597942315262621,0.09275638467240827,0.0,0.0,0.0,0.0,3.895006321601237e-5,0.00013647410877563787,0.01654920210250855,0.00599856304606667,3.909098877556019e-5,0.00017735495137456193,0.0,0.0,0.00038931582775925897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9379369983958462
t8,0.018843222770922673,0.09284427287740026,0.010696665901793512,3.6886746893072345e-5,0.00023027539565396,0.0,0.0,0.0,0.0,0.0,0.022699630414834193,0.09928586044671406,0.015330597457858405,3.665011962618393e-5,3.5300198121758634e-5,0.00025555045213731674,0.0,0.0,0.0003128663492567561,0.0,0.0,0.0,0.08543261306056057,0.010678061892865017,3.6887678043113485e-5,0.0,0.0,0.0,0.0,0.0001747450870781243,0.022863626802299166,0.10087740588915388,0.019882247756791805,3.7490228152651796e-5,0.0,0.0,0.00033006103401652927,0.0,0.000201937303195183,0.024518478222897225,0.10924535392160328,3.88394244105967e-5,0.0003701381007730973,0.0,0.0,0.00033795893927893135,0.0,0.0,0.0,0.014796309071095432,3.0223913662014595e-5,0.0,0.0,0.00011508094505471216,0.0,0.0,0.022496463123751254,0.07393516067673303,0.0029010527037923155,2.756246075174685e-5,7.003264419793132e-5,0.0,0.0,0.00017613637395323458,0.0,0.0,0.0,0.019783943694027264,0.08361671066706357,3.66652126514621e-5,0.00023801350928037815,0.0,0.0,0.0,0.0,0.015950418721262145,0.09279741042373849,0.0,0.0,0.0,0.0,3.9035520646310334e-5,0.00013645380332469217,0.01655337549854767,0.005992716123290054,3.912960123671094e-5,0.00017713027353732631,0.0,0.0,0.000389276556262417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9859319259901914
