Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,1,2,3,4,5,6,7,8,9,10,0
Sum,68.13086,183.25021,21.648705,0.03995077,0.4512716,0.0,0.0,0.0,0.0,0.0,280.7979,925.8136,486.25333,0.041155048,0.04015046,14.638142,0.0,0.0,2.2343824,0.0,0.0,0.0,108.36988,38.611645,0.04075568,0.0,0.0,0.0,0.0,0.21080548,29.079798,112.0876,27.309717,0.041292846,0.0,0.0,1.0637443,0.0,0.20717412,66.359055,111.959114,0.040797055,38.51075,0.0,0.0,0.34623358,0.0,0.0,0.0,41.3574,0.041955896,0.0,0.0,0.47707233,0.0,0.0,456.8784,1817.498,138.48235,0.042608883,0.27180454,0.0,0.0,0.77065325,0.0,0.0,0.0,204.05406,709.9453,0.04157768,0.47441715,0.0,0.0,0.0,0.0,19.795475,84.16517,0.0,0.0,0.0,0.0,0.040335603,0.21117158,19.725145,6.386653,0.040226106,8.20548,0.0,0.0,0.2927306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6026.7764
t1,0.09151346203992115,0.1982969160444371,0.016255401949742794,4.2062615954897355e-5,0.0003281924633566492,0.0,0.0,0.0,0.0,0.0,0.024709679141979198,0.10542225436506017,0.020103629038352454,4.2340286704331714e-5,4.073471867347916e-5,0.00035941101555373453,0.0,0.0,0.00032539322316593446,0.0,0.0,0.0,0.07278716343972577,0.009931798337212513,4.1772973785214397e-5,0.0,0.0,0.0,0.0,0.00018586973859708426,0.01667575117986804,0.08203204200813949,0.013779723534574635,4.2115829196920734e-5,0.0,0.0,0.0003083502236146672,0.0,0.00022020875417322986,0.022781938077299408,0.1031722021320628,4.122545394988319e-5,0.00043283441067965586,0.0,0.0,0.0003390589425125795,0.0,0.0,0.0,0.03624725690839146,5.1367759237443726e-5,0.0,0.0,0.008544984632739082,0.0,0.0,0.16804381180542516,12.0450223981777,0.013274194384813327,7.728678981130295e-5,0.0002932704563946032,0.0,0.0,0.05594497537476162,0.0,0.0,0.0,0.904651870995979,0.24205237062165894,4.4258401178174274e-5,0.0005150391175241816,0.0,0.0,0.0,0.0,0.016043808138202387,0.09269624991284994,0.0,0.0,0.0,0.0,3.928772018396129e-5,0.00013887905969690788,0.016504616729287776,0.0059461813957952464,3.913229478621331e-5,0.00017542634790082182,0.0,0.0,0.0003869150533220614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.386945114015933
t2,0.034915667224232325,0.1792845900901145,0.016204446518873355,4.257385274881899e-5,0.0003222548299940547,0.0,0.0,0.0,0.0,0.0,0.028743773509090426,0.11131108304353977,0.021347609197648297,4.226307175300062e-5,4.073738364919861e-5,0.0003585524869250766,0.0,0.0,0.0003269477736922827,0.0,0.0,0.0,0.10350413301658186,0.010908924420880055,4.086711298196415e-5,0.0,0.0,0.0,0.0,0.0001901184650074222,0.022606981001030597,0.0945685410604043,0.015088534632786357,4.178693976084308e-5,0.0,0.0,0.0003102373527173939,0.0,0.00022220692315218482,0.02767261021305713,0.11064210504474523,4.1155458120959e-5,0.00043312590565537315,0.0,0.0,0.0003403014234298004,0.0,0.0,0.0,0.021323105613803163,5.159059350437398e-5,0.0,0.0,0.005931682007513913,0.0,0.0,0.02306662925580057,0.15771664754455858,0.012141438067689378,7.795413031040955e-5,0.0002895329059716476,0.0,0.0,0.015242468934335816,0.0,0.0,0.0,0.024081672600836507,0.12181830247837035,4.481572374132555e-5,0.00048648371404204013,0.0,0.0,0.0,0.0,0.016068886634343974,0.09277604868495021,0.0,0.0,0.0,0.0,3.9738233251688565e-5,0.00013867349864190803,0.016624890917651812,0.005964797567964008,3.869583408200168e-5,0.00017606522132156252,0.0,0.0,0.0003830060911684121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2940352542064262
t3,0.029019820969623834,0.18232999519234536,0.016307391038115487,4.247316911451576e-5,0.0003184148571609213,0.0,0.0,0.0,0.0,0.0,0.03610535351853707,0.11803872151579811,0.022989070650348317,4.235781746327375e-5,4.083507453650643e-5,0.0003582210253470604,0.0,0.0,0.0003308981571561587,0.0,0.0,0.0,0.11803487695898127,0.011412955466294334,4.083365893137806e-5,0.0,0.0,0.0,0.0,0.00019190707000834185,0.02718124413915495,0.1032540224623212,0.016678155320921536,4.1938500019526615e-5,0.0,0.0,0.00031575961191140955,0.0,0.00022426812844466844,0.031117208779666405,0.119226463029133,4.116090062605409e-5,0.0004339224712777263,0.0,0.0,0.00034356020993604904,0.0,0.0,0.0,0.02231044596640031,5.2122904228860726e-5,0.0,0.0,0.005200346161134976,0.0,0.0,0.020718425323573045,0.11834037782897638,0.011757265004013695,7.814005251256215e-5,0.0002895703893630388,0.0,0.0,0.009365144621917466,0.0,0.0,0.0,0.032670966620934314,0.13526583224078803,4.484240445198569e-5,0.0004822927684715621,0.0,0.0,0.0,0.0,0.01609131075965365,0.0928121530480669,0.0,0.0,0.0,0.0,3.9795499399343366e-5,0.00013839668440083705,0.016615026821561046,0.005977375986902888,3.864258190812921e-5,0.00017646753356286796,0.0,0.0,0.000383708361006009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3233104792564023
t4,0.030272562879545866,0.21817305783733243,0.01664131826348278,4.2148587296773676e-5,0.0003162508281488597,0.0,0.0,0.0,0.0,0.0,0.054073487511567334,0.1304676612928227,0.02556748266330374,4.257510939525969e-5,4.100448112588601e-5,0.00035918953698457794,0.0,0.0,0.0003367544068925664,0.0,0.0,0.0,0.13438285862409816,0.011895172328792522,4.109036673709056e-5,0.0,0.0,0.0,0.0,0.00019323022201812184,0.03480658061340083,0.11187803746139509,0.018718787327088073,4.224863039116308e-5,0.0,0.0,0.0003222707716691694,0.0,0.00022654346587698828,0.040836350424523514,0.13474665980636627,4.1208171934504925e-5,0.00043588089017984843,0.0,0.0,0.0003476427728530249,0.0,0.0,0.0,0.022290922832381835,5.265940376169115e-5,0.0,0.0,0.004844355638764368,0.0,0.0,0.01945616402528034,0.11439943083915335,0.011673153101070304,7.888051478285495e-5,0.0002913976156052873,0.0,0.0,0.006880461434104169,0.0,0.0,0.0,0.04300453267923703,0.16156121245731597,4.4602637615401935e-5,0.00048129779765840883,0.0,0.0,0.0,0.0,0.016117881148480947,0.09287830168986372,0.0,0.0,0.0,0.0,3.9682726878437876e-5,0.00013817744253266152,0.016621844927789377,0.005989896810410664,3.871586176501026e-5,0.00017678749422563364,0.0,0.0,0.00038530273332544287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4826937170872259
t5,0.03351699111368726,0.31963164504564867,0.017050627373082567,4.198847853256456e-5,0.00031463720834140336,0.0,0.0,0.0,0.0,0.0,0.1207535318906048,0.15281621673229415,0.029228335937509984,4.268975504231401e-5,4.112168600853119e-5,0.0003613724682870145,0.0,0.0,0.00034227112031495267,0.0,0.0,0.0,0.16170722796690215,0.012444244390233094,4.1370762419644235e-5,0.0,0.0,0.0,0.0,0.00019445403917630014,0.051656086464389045,0.12438693309098736,0.021396124166250145,4.243393859776688e-5,0.0,0.0,0.00032840794650071533,0.0,0.00022889360676633122,0.06393576420944455,0.16034280325509495,4.114688887994125e-5,0.0004383535752967543,0.0,0.0,0.000350869113774538,0.0,0.0,0.0,0.028804101121989542,5.331387079597948e-5,0.0,0.0,0.004987715802768036,0.0,0.0,0.02836719480225954,0.168102101620538,0.012560078084126519,7.979975836910842e-5,0.0002997887579428665,0.0,0.0,0.006188577025885569,0.0,0.0,0.0,0.06628531473910639,0.22342048360129982,4.4312208049137575e-5,0.0004819784971368743,0.0,0.0,0.0,0.0,0.01604117846622361,0.0928984156444916,0.0,0.0,0.0,0.0,3.941271676211003e-5,0.00013807059161517364,0.016634567438989112,0.006001625285210458,3.87313449674046e-5,0.00017707360777437567,0.0,0.0,0.0003859742673643034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9437063514777329
t6,0.03634406820704346,0.7250296627485245,0.017309191592503496,4.1900198889263344e-5,0.00031232773278963734,0.0,0.0,0.0,0.0,0.0,23.92029433152477,0.1918071002596165,0.033664338778126454,4.2856893585044695e-5,4.124718299037298e-5,0.000363343098353402,0.0,0.0,0.00034829688037486643,0.0,0.0,0.0,0.2305916448203718,0.013116285584641526,4.175079178618193e-5,0.0,0.0,0.0,0.0,0.00019560096803666126,0.11472872176711119,0.14565255247240944,0.024828995436665335,4.260103115959646e-5,0.0,0.0,0.00033436592439090615,0.0,0.00023090319554507625,0.10276214909183243,0.198084693649622,4.123703960722562e-5,0.00043855013622791475,0.0,0.0,0.0003549870833454287,0.0,0.0,0.0,0.03533370779016748,5.3918110930980006e-5,0.0,0.0,0.005077138132015813,0.0,0.0,0.03553262355603642,0.4028149266599895,0.013663914829306258,8.14269648848197e-5,0.0003083347359234032,0.0,0.0,0.005378591333513532,0.0,0.0,0.0,0.106487240799687,0.4510844786155846,4.4256930133661096e-5,0.00048163829161459705,0.0,0.0,0.0,0.0,0.016058732528694556,0.09291828489929166,0.0,0.0,0.0,0.0,3.931165390860327e-5,0.00013787859924702125,0.01668612547902954,0.006009372039943995,3.88197868570005e-5,0.00017723358914936715,0.0,0.0,0.0003872409276971841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.945838900343926
t7,0.026265581265678104,0.6179913100670777,0.016629070493829307,4.172837941914534e-5,0.00030655700649404255,0.0,0.0,0.0,0.0,0.0,10.397688568567075,0.21148841222247494,0.03443142738204075,4.2850416843606214e-5,4.125211105206753e-5,0.00036151826607286883,0.0,0.0,0.00034953159803479257,0.0,0.0,0.0,0.3315574673161309,0.01363564977955388,4.200915445389969e-5,0.0,0.0,0.0,0.0,0.0001966787380901171,0.3005662167320103,0.16402263833081543,0.02814981203311467,4.2792788002669294e-5,0.0,0.0,0.0003383146158147587,0.0,0.00023200014993395328,0.04728901909638962,0.19115802667817333,4.118427168246501e-5,0.0004349215798515087,0.0,0.0,0.0003533046063610804,0.0,0.0,0.0,0.04076506536200902,5.457952927300255e-5,0.0,0.0,0.005024770289454399,0.0,0.0,0.047040866734135905,87.17768719572973,0.014919788174903574,8.276192565800863e-5,0.000317516265803304,0.0,0.0,0.005142433274362498,0.0,0.0,0.0,0.06477447353452011,35.15830664604987,4.425259102600501e-5,0.00047444248355858065,0.0,0.0,0.0,0.0,0.016033169660947665,0.09295342435052825,0.0,0.0,0.0,0.0,3.930358672154076e-5,0.0001379039889333991,0.016687046970304042,0.006023769678617621,3.8929183961295564e-5,0.00017757500586479812,0.0,0.0,0.00038826150962273273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.03081201952628
t8,0.020874875271783607,0.2774645796806435,0.01555076675661452,4.145765037822932e-5,0.0002989860296997768,0.0,0.0,0.0,0.0,0.0,0.11199206732843518,0.196339740404202,0.03164841283365535,4.2575940229977444e-5,4.109181354277716e-5,0.0003566176084927122,0.0,0.0,0.00034584530060322504,0.0,0.0,0.0,0.25342557190120724,0.01353922672249218,4.205838922404036e-5,0.0,0.0,0.0,0.0,0.00019637963217685727,0.09035072039019523,0.14684822302119627,0.02838998145994086,4.277746821132844e-5,0.0,0.0,0.00033721291900458834,0.0,0.00023086137137639197,0.03061527527585701,0.16246479967476057,4.108807778844204e-5,0.0004285838927737845,0.0,0.0,0.00035023931127631757,0.0,0.0,0.0,0.0177420311444223,5.455935460310907e-5,0.0,0.0,0.00397597993901405,0.0,0.0,0.035168650156539444,49.83997693666615,0.01447869896785468,8.339233295319657e-5,0.00031898140213001367,0.0,0.0,0.004524838843882059,0.0,0.0,0.0,0.02950918678107285,21.05943130088784,4.40752308978365e-5,0.0004530929824168526,0.0,0.0,0.0,0.0,0.016000372810751798,0.0929696423827272,0.0,0.0,0.0,0.0,3.921798304649073e-5,0.00013790817124457127,0.016631053043521245,0.006030921330182712,3.889624191565834e-5,0.00017777898891302294,0.0,0.0,0.00038838265360214045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.52047591442144
