Biomass_Supply,Zone,Emissions_tonne_per_tonne,Cost_per_tonne,Max_tonne_per_hr
CA_1,1,0,44.09,379.68
CA_2,1,0,52.91,24.42
CA_3,1,0,66.14,48.54
CA_4,1,0,77.16,105.43
NW_1,2,0,44.09,59.35
NW_2,2,0,77.16,660.05
SW_1,3,0,44.09,8.58
SW_2,3,0,52.91,4.2
SW_3,3,0,66.14,1.6
SW_4,3,0,77.16,261.06
TX_1,4,0,44.09,13.41
TX_2,4,0,52.91,120.19
TX_3,4,0,66.14,84.56
TX_4,4,0,77.16,239.46
NCEN_1,5,0,44.09,16.01
NCEN_2,5,0,52.91,0.05
NCEN_3,5,0,66.14,0.11
NCEN_4,5,0,77.16,12724.62
CEN_1,6,0,44.09,11.06
CEN_2,6,0,52.91,131.43
CEN_3,6,0,66.14,252.65
CEN_4,6,0,77.16,5315.64
SE_1,7,0,44.09,104.56
SE_2,7,0,52.91,76.33
SE_3,7,0,66.14,38.9
SE_4,7,0,77.16,650.15
MIDAT_1,8,0,44.09,12.41
MIDAT_2,8,0,52.91,1.63
MIDAT_3,8,0,66.14,0.62
MIDAT_4,8,0,77.16,692.08
NE_1,9,0,44.09,20.92
NE_2,9,0,77.16,183.28
