CO2_Storage,Zone,MWh_per_tonne,Var_OM_Cost_per_tonne,Max_capacity_tonne_per_yr,Max_injection_rate_tonne_per_hr,CO2_Injection_Min_Output,CO2_Injection_Max_Output
CA_Repetto_Sst1,1,0,5.4,1144100,9239.9,0,1
CA_Temblor1a,1,0,6.5,3853300,32339.5,0,1
CA_Temblor2a,1,0,6.5,15263100,128780.6,0,1
CA_Temblor1b,1,0,7,3868900,32339.5,0,1
CA_Temblor2b,1,0,7,15324950,129358,0,1
CA_Moreno2,1,0,7.2,8601300,72186.4,0,1
CA_Repetto_Sst2a,1,0,7.5,542700,4042.4,0,1
CA_Panoche1a,1,0,7.6,6712500,56594.1,0,1
CA_Repetto_Sst2b,1,0,7.7,626450,5197.4,0,1
CA_Panoche1b,1,0,8,6731550,56594.1,0,1
CA_Repetto_Sst2c,1,0,8.2,522500,4042.4,0,1
CA_Repetto_Sst3b,1,0,9.9,230000,1732.5,0,1
CA_Repetto_Sst3a,1,0,10.5,190850,1155,0,1
CA_Repetto_Sst3c,1,0,10.6,155900,1155,0,1
CA_Repetto_Sst3d,1,0,11.8,99300,577.5,0,1
CA_Temblor3a,1,0,12.5,956400,8084.9,0,1
CA_Temblor3b,1,0,13,957250,8084.9,0,1
CA_Temblor3c,1,0,13.6,958100,8084.9,0,1
CA_Stevens1,1,0,18,115950,577.5,0,1
NW_Frontier3,2,0,5.3,1495900,12127.3,0,1
NW_Entrada2,2,0,7.3,4300650,35804.5,0,1
NW_Tensleep4,2,0,7.4,3751650,31184.5,0,1
NW_Lance1,2,0,7.5,520550,4042.4,0,1
NW_Tensleep5,2,0,7.8,2210800,18479.7,0,1
NW_Morrison7,2,0,8.2,798300,6352.4,0,1
NW_Red_River1,2,0,9,6868800,57749.1,0,1
NW_Maha01,2,0,9.2,1101100,9239.9,0,1
NW_Fort_Union2,2,0,9.9,432400,3464.9,0,1
NW_Entrada6,2,0,10.6,379100,2887.5,0,1
NW_Morrison8,2,0,10.7,1157550,9239.9,0,1
NW_Madison_GpMission_Canyon__Fm1,2,0,10.9,1925050,16169.8,0,1
NW_InyanKara2,2,0,11,1566450,12704.8,0,1
NW_Minnelusa2,2,0,11.1,1422150,11549.8,0,1
NW_InyanKara3,2,0,11.2,4651350,39269.4,0,1
NW_InyanKara1,2,0,11.5,4000000,33494.5,0,1
NW_Arbuckle3,2,0,11.6,257200,1732.5,0,1
NW_Red_River2,2,0,11.6,1672150,13859.8,0,1
NW_Arbuckle2,2,0,11.7,1043600,8662.4,0,1
NW_Madison_GpMission_Canyon_Fm4,2,0,11.8,2625900,21944.7,0,1
NW_Nugget1,2,0,11.8,1235400,10394.8,0,1
NW_Nugget2,2,0,13.1,4270500,35804.5,0,1
NW_Nugget4,2,0,13.7,464100,3464.9,0,1
NW_Madison1,2,0,13.8,964300,8084.9,0,1
NW_Morrison6,2,0,14.7,746750,5774.9,0,1
NW_Entrada1,2,0,14.8,2512150,20789.7,0,1
NW_Minnelusa1,2,0,15.1,949350,7507.4,0,1
NW_Madison_GpMission_Canyon_Fm2,2,0,16.6,139350,1155,0,1
NW_DuperowLower_1,2,0,16.9,139800,1155,0,1
NW_Basal_Cambrian1,2,0,17,1561950,12704.8,0,1
NW_Dakota02,2,0,18.5,735300,5774.9,0,1
NW_Basal_Cambrian7,2,0,19.3,1717150,14437.3,0,1
NW_Fountain1b,2,0,19.4,333800,2310,0,1
NW_Fountain2b,2,0,19.4,184900,1155,0,1
NW_Morrison3,2,0,19.4,756900,6352.4,0,1
NW_Weber2,2,0,19.5,176500,1155,0,1
NW_Basal_Cambrian4,2,0,19.7,1658450,13859.8,0,1
SW_Forbes,3,0,5.6,4697000,39269.4,0,1
SW_Mokelumne_River1,3,0,5.6,585150,4619.9,0,1
SW_Moreno1Starkey,3,0,5.9,6729200,56594.1,0,1
SW_Mokelumne_River2,3,0,6,9879200,83158.7,0,1
