Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3,Load_H2_MW_z4,Load_H2_MW_z5,Load_H2_MW_z6,Load_H2_MW_z7,Load_H2_MW_z8,Load_H2_MW_z9
1666500,1,1,0,1,8760,8760,1,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,2,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,3,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,4,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,5,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,6,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,7,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,8,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,9,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,10,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,11,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,12,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,13,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,14,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,15,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,16,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,17,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
