Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,BioNG_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
NW_Bio_NG_Herb,2,1,1.709,18.1,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
SW_Bio_NG_Herb,3,1,1.709,18.1,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
TX_Bio_NG_Herb,4,1,1.711,18.12,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
NCEN_Bio_NG_Herb,5,1,1.743,18.35,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
CEN_Bio_NG_Herb,6,1,1.723,18.2,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
SE_Bio_NG_Herb,7,1,1.715,18.16,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
MIDAT_Bio_NG_Herb,8,1,1.716,18.16,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
NE_Bio_NG_Herb,9,1,1.745,18.35,0.516,0,1,867993.28,500251.36,9.04,0.208,0,0,0,-1,0.85,0.9
NW_Bio_NG_CCS_40_Herb,2,1,1.709,18.1,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
SW_Bio_NG_CCS_40_Herb,3,1,1.709,18.1,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
TX_Bio_NG_CCS_40_Herb,4,1,1.711,18.12,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
NCEN_Bio_NG_CCS_40_Herb,5,1,1.743,18.35,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
CEN_Bio_NG_CCS_40_Herb,6,1,1.723,18.2,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
SE_Bio_NG_CCS_40_Herb,7,1,1.715,18.16,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
MIDAT_Bio_NG_CCS_40_Herb,8,1,1.716,18.16,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
NE_Bio_NG_CCS_40_Herb,9,1,1.745,18.35,0.512,0,1,1015075.04,586130.72,9.76,0.2528,0,0.3951,0,-1,0.85,0.9
NW_Bio_NG_CCS_99_Herb,2,1,1.709,18.1,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
SW_Bio_NG_CCS_99_Herb,3,1,1.709,18.1,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
TX_Bio_NG_CCS_99_Herb,4,1,1.711,18.12,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
NCEN_Bio_NG_CCS_99_Herb,5,1,1.743,18.35,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
CEN_Bio_NG_CCS_99_Herb,6,1,1.723,18.2,0.512,0,1,1125140.8,646257.92,14.86,0.9841,0,0.9911,0,-1,0.85,0.9
