Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3,Load_H2_MW_z4,Load_H2_MW_z5,Load_H2_MW_z6,Load_H2_MW_z7,Load_H2_MW_z8,Load_H2_MW_z9,Load_H2_MW_z10
1.26968004063e6,1,1,0,1,168,1,1,503.51375940580004,8741.53705645,179.75789824718,137.28495870782,3506.6437638034004,171.50940255152,6986.36084773,1569.46217648,615.8935641078,1268.5110657494001
,,,,,,,2,503.51375940580004,8741.53705645,179.75789824718,137.28495870782,3506.6437638034004,171.50940255152,6986.36084773,1569.46217648,615.8935641078,1268.5110657494001
,,,,,,,3,503.51375940580004,8741.53705645,179.75789824718,137.28495870782,3506.6437638034004,171.50940255152,6986.36084773,1569.46217648,615.8935641078,1268.5110657494001
,,,,,,,4,402.81100760340007,6993.2296451600005,143.80631856624,109.82796695838,2805.3150108852,137.20752203334,5589.088678184001,1255.5697411840001,492.7148513650001,1014.808852442
,,,,,,,5,302.10825576162,5244.922233870001,107.85473892468,82.37097520894,2103.9862583608,102.90564151516001,4191.816508638,941.677305888,369.53613846468,761.1066395284
,,,,,,,6,201.40550384108002,3496.6148225800002,71.90315928312,54.91398349888001,1402.6575054426,68.60376103636,2794.5443398796,627.7848705920001,246.35742564312002,507.404426221
,,,,,,,7,50.351375940580006,874.1537056450001,17.97578982078,13.728495874720002,350.66437638034,17.1509402394,698.6360847730001,156.94621764800002,61.589356410780006,126.85110657494
,,,,,,,8,50.351375940580006,874.1537056450001,17.97578982078,13.728495874720002,350.66437638034,17.1509402394,698.6360847730001,156.94621764800002,61.589356410780006,126.85110657494
,,,,,,,9,50.351375940580006,874.1537056450001,17.97578982078,13.728495874720002,350.66437638034,17.1509402394,698.6360847730001,156.94621764800002,61.589356410780006,126.85110657494
,,,,,,,10,151.05412786112,2622.4611169350005,53.92736946234,41.185487624160004,1051.9931291804,51.45282075758001,2095.9082547128,470.838652944,184.76806923234,380.5533197248201
,,,,,,,11,151.05412786112,2622.4611169350005,53.92736946234,41.185487624160004,1051.9931291804,51.45282075758001,2095.9082547128,470.838652944,184.76806923234,380.5533197248201
,,,,,,,12,151.05412786112,2622.4611169350005,53.92736946234,41.185487624160004,1051.9931291804,51.45282075758001,2095.9082547128,470.838652944,184.76806923234,380.5533197248201
,,,,,,,13,151.05412786112,2622.4611169350005,53.92736946234,41.185487624160004,1051.9931291804,51.45282075758001,2095.9082547128,470.838652944,184.76806923234,380.5533197248201
,,,,,,,14,151.05412786112,2622.4611169350005,53.92736946234,41.185487624160004,1051.9931291804,51.45282075758001,2095.9082547128,470.838652944,184.76806923234,380.5533197248201
,,,,,,,15,151.05412786112,2622.4611169350005,53.92736946234,41.185487624160004,1051.9931291804,51.45282075758001,2095.9082547128,470.838652944,184.76806923234,380.5533197248201
,,,,,,,16,50.351375940580006,874.1537056450001,17.97578982078,13.728495874720002,350.66437638034,17.1509402394,698.6360847730001,156.94621764800002,61.589356410780006,126.85110657494
,,,,,,,17,50.351375940580006,874.1537056450001,17.97578982078,13.728495874720002,350.66437638034,17.1509402394,698.6360847730001,156.94621764800002,61.589356410780006,126.85110657494
,,,,,,,18,50.351375940580006,874.1537056450001,17.97578982078,13.728495874720002,350.66437638034,17.1509402394,698.6360847730001,156.94621764800002,61.589356410780006,126.85110657494
,,,,,,,19,50.351375940580006,874.1537056450001,17.97578982078,13.728495874720002,350.66437638034,17.1509402394,698.6360847730001,156.94621764800002,61.589356410780006,126.85110657494
,,,,,,,20,201.40550384108002,3496.6148225800002,71.90315928312,54.91398349888001,1402.6575054426,68.60376103636,2794.5443398796,627.7848705920001,246.35742564312002,507.404426221
,,,,,,,21,201.40550384108002,3496.6148225800002,71.90315928312,54.91398349888001,1402.6575054426,68.60376103636,2794.5443398796,627.7848705920001,246.35742564312002,507.404426221
,,,,,,,22,201.40550384108002,3496.6148225800002,71.90315928312,54.91398349888001,1402.6575054426,68.60376103636,2794.5443398796,627.7848705920001,246.35742564312002,507.404426221
,,,,,,,23,201.40550384108002,3496.6148225800002,71.90315928312,54.91398349888001,1402.6575054426,68.60376103636,2794.5443398796,627.7848705920001,246.35742564312002,507.404426221
,,,,,,,24,553.8651357008,9615.690764064,197.73368806796,151.01345458254002,3857.3081400656006,188.66034279092,7684.996934472,1726.408394128,677.4829204792,1395.3621722062
,,,,,,,25,539.5257971136,9366.744517856001,192.6144449185,147.10377888382,3757.444033013,183.7760048069,7486.03555293,1681.7123969602,659.9431688982,1359.2368248492
,,,,,,,26,539.5257971136,9366.744517856001,192.6144449185,147.10377888382,3757.444033013,183.7760048069,7486.03555293,1681.7123969602,659.9431688982,1359.2368248492
,,,,,,,27,539.5257971136,9366.744517856001,192.6144449185,147.10377888382,3757.444033013,183.7760048069,7486.03555293,1681.7123969602,659.9431688982,1359.2368248492
,,,,,,,28,431.62063745460006,7493.395615860001,154.0915559348,117.68302309918,3005.9552264104004,147.02080384552,5988.828442344,1345.3699174894,527.9545350398,1087.3894598006
,,,,,,,29,323.7154781894,5620.0467099259995,115.5686669511,88.26226735392001,2254.4664198078003,110.26560288414001,4491.621331758,1009.0274380186002,395.96590118140006,815.5420947520001
,,,,,,,30,215.81031880606002,3746.6978075362,77.0457779674,58.84151156928,1502.9776132052002,73.51040192276,2994.414221172,672.6849589416,263.97726755928,543.6947297034
,,,,,,,31,53.95257971136001,936.6744517856001,19.26144447216,14.71037789232,375.74440330130005,18.37760050038,748.603555293,168.17123969602,65.99431688982,135.92368248492
,,,,,,,32,53.95257971136001,936.6744517856001,19.26144447216,14.71037789232,375.74440330130005,18.37760050038,748.603555293,168.17123969602,65.99431688982,135.92368248492
,,,,,,,33,53.95257971136001,936.6744517856001,19.26144447216,14.71037789232,375.74440330130005,18.37760050038,748.603555293,168.17123969602,65.99431688982,135.92368248492
,,,,,,,34,161.8577390947,2810.0233553568005,57.78433345586,44.131133676960005,1127.233209707,55.13280146176,2245.810665879,504.5137192062,197.98295066946002,407.77104737600007
,,,,,,,35,161.8577390947,2810.0233553568005,57.78433345586,44.131133676960005,1127.233209707,55.13280146176,2245.810665879,504.5137192062,197.98295066946002,407.77104737600007
,,,,,,,36,161.8577390947,2810.0233553568005,57.78433345586,44.131133676960005,1127.233209707,55.13280146176,2245.810665879,504.5137192062,197.98295066946002,407.77104737600007
,,,,,,,37,161.8577390947,2810.0233553568005,57.78433345586,44.131133676960005,1127.233209707,55.13280146176,2245.810665879,504.5137192062,197.98295066946002,407.77104737600007
,,,,,,,38,161.8577390947,2810.0233553568005,57.78433345586,44.131133676960005,1127.233209707,55.13280146176,2245.810665879,504.5137192062,197.98295066946002,407.77104737600007
,,,,,,,39,161.8577390947,2810.0233553568005,57.78433345586,44.131133676960005,1127.233209707,55.13280146176,2245.810665879,504.5137192062,197.98295066946002,407.77104737600007
,,,,,,,40,53.95257971136001,936.6744517856001,19.26144447216,14.71037789232,375.74440330130005,18.37760050038,748.603555293,168.17123969602,65.99431688982,135.92368248492
,,,,,,,41,53.95257971136001,936.6744517856001,19.26144447216,14.71037789232,375.74440330130005,18.37760050038,748.603555293,168.17123969602,65.99431688982,135.92368248492
,,,,,,,42,53.95257971136001,936.6744517856001,19.26144447216,14.71037789232,375.74440330130005,18.37760050038,748.603555293,168.17123969602,65.99431688982,135.92368248492
,,,,,,,43,53.95257971136001,936.6744517856001,19.26144447216,14.71037789232,375.74440330130005,18.37760050038,748.603555293,168.17123969602,65.99431688982,135.92368248492
,,,,,,,44,215.81031880606002,3746.6978075362,77.0457779674,58.84151156928,1502.9776132052002,73.51040192276,2994.414221172,672.6849589416,263.97726755928,543.6947297034
,,,,,,,45,215.81031880606002,3746.6978075362,77.0457779674,58.84151156928,1502.9776132052002,73.51040192276,2994.414221172,672.6849589416,263.97726755928,543.6947297034
,,,,,,,46,215.81031880606002,3746.6978075362,77.0457779674,58.84151156928,1502.9776132052002,73.51040192276,2994.414221172,672.6849589416,263.97726755928,543.6947297034
,,,,,,,47,215.81031880606002,3746.6978075362,77.0457779674,58.84151156928,1502.9776132052002,73.51040192276,2994.414221172,672.6849589416,263.97726755928,543.6947297034
,,,,,,,48,593.4783767462001,10303.418968854,211.87588939066,161.81415677613998,4133.188434936001,202.15360530728003,8234.639106254,1849.8836366956002,725.9374858274001,1495.1605071766
,,,,,,,49,551.9663191306,9582.725277752,197.05579740066,150.49573497684003,3844.0841257764,188.01355830686,7658.650450374001,1720.4897459178,675.1603050126,1390.5784504766
,,,,,,,50,551.9663191306,9582.725277752,197.05579740066,150.49573497684003,3844.0841257764,188.01355830686,7658.650450374001,1720.4897459178,675.1603050126,1390.5784504766
,,,,,,,51,551.9663191306,9582.725277752,197.05579740066,150.49573497684003,3844.0841257764,188.01355830686,7658.650450374001,1720.4897459178,675.1603050126,1390.5784504766
,,,,,,,52,441.5730550682,7666.180221414001,157.64463793628,120.39658796572002,3075.2673008574,150.41084666124002,6126.920358724,1376.3917968130002,540.1282441676001,1112.4627605388
,,,,,,,53,331.17979139960005,5749.635165076,118.23347843252002,90.29744099398,2306.4504755446,112.80813497624001,4595.190271012,1032.2938477082,405.09618292880003,834.3470702072
,,,,,,,54,220.78652761286,3833.0901111008,78.82231896814,60.19829398286001,1537.6336502318,75.20542333062001,3063.4601801496,688.1958982096,270.06412200504,556.2313802694
,,,,,,,55,55.19663191306,958.2725277752,19.705579751880002,15.049573505560002,384.40841257764,18.8013558425,765.8650450374,172.04897459178002,67.51603050126,139.05784504766
,,,,,,,56,55.19663191306,958.2725277752,19.705579751880002,15.049573505560002,384.40841257764,18.8013558425,765.8650450374,172.04897459178002,67.51603050126,139.05784504766
,,,,,,,57,55.19663191306,958.2725277752,19.705579751880002,15.049573505560002,384.40841257764,18.8013558425,765.8650450374,172.04897459178002,67.51603050126,139.05784504766
,,,,,,,58,165.58989569980002,2874.8175833256,59.11673921626001,45.1487204773,1153.2252375754001,56.404067488120006,2297.5951351122,516.1469236572,202.54809150378003,417.1735351036
,,,,,,,59,165.58989569980002,2874.8175833256,59.11673921626001,45.1487204773,1153.2252375754001,56.404067488120006,2297.5951351122,516.1469236572,202.54809150378003,417.1735351036
,,,,,,,60,165.58989569980002,2874.8175833256,59.11673921626001,45.1487204773,1153.2252375754001,56.404067488120006,2297.5951351122,516.1469236572,202.54809150378003,417.1735351036
,,,,,,,61,165.58989569980002,2874.8175833256,59.11673921626001,45.1487204773,1153.2252375754001,56.404067488120006,2297.5951351122,516.1469236572,202.54809150378003,417.1735351036
,,,,,,,62,165.58989569980002,2874.8175833256,59.11673921626001,45.1487204773,1153.2252375754001,56.404067488120006,2297.5951351122,516.1469236572,202.54809150378003,417.1735351036
,,,,,,,63,165.58989569980002,2874.8175833256,59.11673921626001,45.1487204773,1153.2252375754001,56.404067488120006,2297.5951351122,516.1469236572,202.54809150378003,417.1735351036
,,,,,,,64,55.19663191306,958.2725277752,19.705579751880002,15.049573505560002,384.40841257764,18.8013558425,765.8650450374,172.04897459178002,67.51603050126,139.05784504766
,,,,,,,65,55.19663191306,958.2725277752,19.705579751880002,15.049573505560002,384.40841257764,18.8013558425,765.8650450374,172.04897459178002,67.51603050126,139.05784504766
,,,,,,,66,55.19663191306,958.2725277752,19.705579751880002,15.049573505560002,384.40841257764,18.8013558425,765.8650450374,172.04897459178002,67.51603050126,139.05784504766
,,,,,,,67,55.19663191306,958.2725277752,19.705579751880002,15.049573505560002,384.40841257764,18.8013558425,765.8650450374,172.04897459178002,67.51603050126,139.05784504766
,,,,,,,68,220.78652761286,3833.0901111008,78.82231896814,60.19829398286001,1537.6336502318,75.20542333062001,3063.4601801496,688.1958982096,270.06412200504,556.2313802694
,,,,,,,69,220.78652761286,3833.0901111008,78.82231896814,60.19829398286001,1537.6336502318,75.20542333062001,3063.4601801496,688.1958982096,270.06412200504,556.2313802694
,,,,,,,70,220.78652761286,3833.0901111008,78.82231896814,60.19829398286001,1537.6336502318,75.20542333062001,3063.4601801496,688.1958982096,270.06412200504,556.2313802694
,,,,,,,71,220.78652761286,3833.0901111008,78.82231896814,60.19829398286001,1537.6336502318,75.20542333062001,3063.4601801496,688.1958982096,270.06412200504,556.2313802694
,,,,,,,72,607.1629507680001,10540.997803952001,216.76137715254,165.54530844302002,4228.492540008,206.81491414936002,8424.515494230001,1892.5387204702001,742.6763356320001,1529.6362956424
,,,,,,,73,557.2044336848,9673.664546942,198.92584058006,151.92392699528,3880.5641648554,189.79779136362,7731.330406778001,1736.8170507006,681.5675204052001,1403.7749243628
,,,,,,,74,557.2044336848,9673.664546942,198.92584058006,151.92392699528,3880.5641648554,189.79779136362,7731.330406778001,1736.8170507006,681.5675204052001,1403.7749243628
,,,,,,,75,557.2044336848,9673.664546942,198.92584058006,151.92392699528,3880.5641648554,189.79779136362,7731.330406778001,1736.8170507006,681.5675204052001,1403.7749243628
,,,,,,,76,445.7635470266,7738.931636766,159.14067244042,121.53914160410001,3104.4513321206005,151.83823308302001,6185.064326210001,1389.453640718,545.2540162454001,1123.0199395690001
,,,,,,,77,334.32266013212,5804.198726590001,119.35550434016001,91.15435621292,2328.338498992,113.8786748418,4638.798245642,1042.0902303416,408.9405120856,842.2649547752001
,,,,,,,78,222.88177343454,3869.4658179892003,79.5703362399,60.769570782360006,1552.2256658634,75.9191165612,3092.5321627112003,694.726820359,272.62700812270003,561.5099699814
,,,,,,,79,55.720443368480005,967.3664546942001,19.89258406982,15.19239271528,388.05641648554,18.9797791403,773.1330406778001,173.68170507006002,68.15675204052,140.37749243628002
,,,,,,,80,55.720443368480005,967.3664546942001,19.89258406982,15.19239271528,388.05641648554,18.9797791403,773.1330406778001,173.68170507006002,68.15675204052,140.37749243628002
,,,,,,,81,55.720443368480005,967.3664546942001,19.89258406982,15.19239271528,388.05641648554,18.9797791403,773.1330406778001,173.68170507006002,68.15675204052,140.37749243628002
,,,,,,,82,167.16133006606,2902.0993636888,59.677752170080005,45.57717810646,1164.169249496,56.9393374209,2319.3991220334,521.0451151708,204.47025608218001,421.13247738760003
,,,,,,,83,167.16133006606,2902.0993636888,59.677752170080005,45.57717810646,1164.169249496,56.9393374209,2319.3991220334,521.0451151708,204.47025608218001,421.13247738760003
,,,,,,,84,167.16133006606,2902.0993636888,59.677752170080005,45.57717810646,1164.169249496,56.9393374209,2319.3991220334,521.0451151708,204.47025608218001,421.13247738760003
,,,,,,,85,167.16133006606,2902.0993636888,59.677752170080005,45.57717810646,1164.169249496,56.9393374209,2319.3991220334,521.0451151708,204.47025608218001,421.13247738760003
,,,,,,,86,167.16133006606,2902.0993636888,59.677752170080005,45.57717810646,1164.169249496,56.9393374209,2319.3991220334,521.0451151708,204.47025608218001,421.13247738760003
,,,,,,,87,167.16133006606,2902.0993636888,59.677752170080005,45.57717810646,1164.169249496,56.9393374209,2319.3991220334,521.0451151708,204.47025608218001,421.13247738760003
,,,,,,,88,55.720443368480005,967.3664546942001,19.89258406982,15.19239271528,388.05641648554,18.9797791403,773.1330406778001,173.68170507006002,68.15675204052,140.37749243628002
,,,,,,,89,55.720443368480005,967.3664546942001,19.89258406982,15.19239271528,388.05641648554,18.9797791403,773.1330406778001,173.68170507006002,68.15675204052,140.37749243628002
,,,,,,,90,55.720443368480005,967.3664546942001,19.89258406982,15.19239271528,388.05641648554,18.9797791403,773.1330406778001,173.68170507006002,68.15675204052,140.37749243628002
,,,,,,,91,55.720443368480005,967.3664546942001,19.89258406982,15.19239271528,388.05641648554,18.9797791403,773.1330406778001,173.68170507006002,68.15675204052,140.37749243628002
,,,,,,,92,222.88177343454,3869.4658179892003,79.5703362399,60.769570782360006,1552.2256658634,75.9191165612,3092.5321627112003,694.726820359,272.62700812270003,561.5099699814
,,,,,,,93,222.88177343454,3869.4658179892003,79.5703362399,60.769570782360006,1552.2256658634,75.9191165612,3092.5321627112003,694.726820359,272.62700812270003,561.5099699814
,,,,,,,94,222.88177343454,3869.4658179892003,79.5703362399,60.769570782360006,1552.2256658634,75.9191165612,3092.5321627112003,694.726820359,272.62700812270003,561.5099699814
,,,,,,,95,222.88177343454,3869.4658179892003,79.5703362399,60.769570782360006,1552.2256658634,75.9191165612,3092.5321627112003,694.726820359,272.62700812270003,561.5099699814
,,,,,,,96,612.924876817,10641.030998092001,218.81842461050002,167.11631967117998,4268.620582798,208.77757050392003,8504.463447062,1910.4987558888001,749.7242722882,1544.1524169566
,,,,,,,97,473.3946012114,8218.636271406,169.00515010346,129.07285454272002,3296.8835384100003,161.25006245546,6568.451096438001,1475.5801737820002,579.0520764864,1192.6313402146002
,,,,,,,98,473.3946012114,8218.636271406,169.00515010346,129.07285454272002,3296.8835384100003,161.25006245546,6568.451096438001,1475.5801737820002,579.0520764864,1192.6313402146002
,,,,,,,99,473.3946012114,8218.636271406,169.00515010346,129.07285454272002,3296.8835384100003,161.25006245546,6568.451096438001,1475.5801737820002,579.0520764864,1192.6313402146002
,,,,,,,100,378.7156808116,6574.909014762,135.20412005914002,103.25828362630001,2637.5068307280003,129.00004998012,5254.760877938,1180.4641390256,463.2416614254001,954.1050719354001
,,,,,,,101,284.03676060870004,4931.1817620560005,101.4030900542,77.44371270988,1978.130123046,96.75003746540001,3941.0706594380003,885.3481042692,347.4312459312201,715.57880405
,,,,,,,102,189.3578404058,3287.4545081686,67.60206004926,51.629141832840006,1318.7534153640001,64.50002499006,2627.380438969,590.2320695128,231.62083063394002,477.0525361646
,,,,,,,103,47.33946012114001,821.8636271406,16.90051502216,12.90728543852,329.68835384100004,16.125006257360003,656.8451096438,147.5580173782,57.90520764864001,119.26313402146002
,,,,,,,104,47.33946012114001,821.8636271406,16.90051502216,12.90728543852,329.68835384100004,16.125006257360003,656.8451096438,147.5580173782,57.90520764864001,119.26313402146002
,,,,,,,105,47.33946012114001,821.8636271406,16.90051502216,12.90728543852,329.68835384100004,16.125006257360003,656.8451096438,147.5580173782,57.90520764864001,119.26313402146002
,,,,,,,106,142.01838032404,2465.5908810280002,50.7015450271,38.72185635494,989.065061523,48.375018732700006,1970.5353293252,442.6740521346,173.71562298530003,357.789402025
,,,,,,,107,142.01838032404,2465.5908810280002,50.7015450271,38.72185635494,989.065061523,48.375018732700006,1970.5353293252,442.6740521346,173.71562298530003,357.789402025
,,,,,,,108,142.01838032404,2465.5908810280002,50.7015450271,38.72185635494,989.065061523,48.375018732700006,1970.5353293252,442.6740521346,173.71562298530003,357.789402025
,,,,,,,109,142.01838032404,2465.5908810280002,50.7015450271,38.72185635494,989.065061523,48.375018732700006,1970.5353293252,442.6740521346,173.71562298530003,357.789402025
,,,,,,,110,142.01838032404,2465.5908810280002,50.7015450271,38.72185635494,989.065061523,48.375018732700006,1970.5353293252,442.6740521346,173.71562298530003,357.789402025
,,,,,,,111,142.01838032404,2465.5908810280002,50.7015450271,38.72185635494,989.065061523,48.375018732700006,1970.5353293252,442.6740521346,173.71562298530003,357.789402025
,,,,,,,112,47.33946012114001,821.8636271406,16.90051502216,12.90728543852,329.68835384100004,16.125006257360003,656.8451096438,147.5580173782,57.90520764864001,119.26313402146002
,,,,,,,113,47.33946012114001,821.8636271406,16.90051502216,12.90728543852,329.68835384100004,16.125006257360003,656.8451096438,147.5580173782,57.90520764864001,119.26313402146002
,,,,,,,114,47.33946012114001,821.8636271406,16.90051502216,12.90728543852,329.68835384100004,16.125006257360003,656.8451096438,147.5580173782,57.90520764864001,119.26313402146002
,,,,,,,115,47.33946012114001,821.8636271406,16.90051502216,12.90728543852,329.68835384100004,16.125006257360003,656.8451096438,147.5580173782,57.90520764864001,119.26313402146002
,,,,,,,116,189.3578404058,3287.4545081686,67.60206004926,51.629141832840006,1318.7534153640001,64.50002499006,2627.380438969,590.2320695128,231.62083063394002,477.0525361646
,,,,,,,117,189.3578404058,3287.4545081686,67.60206004926,51.629141832840006,1318.7534153640001,64.50002499006,2627.380438969,590.2320695128,231.62083063394002,477.0525361646
,,,,,,,118,189.3578404058,3287.4545081686,67.60206004926,51.629141832840006,1318.7534153640001,64.50002499006,2627.380438969,590.2320695128,231.62083063394002,477.0525361646
,,,,,,,119,189.3578404058,3287.4545081686,67.60206004926,51.629141832840006,1318.7534153640001,64.50002499006,2627.380438969,590.2320695128,231.62083063394002,477.0525361646
,,,,,,,120,520.7340612144001,9040.49989579,185.90566508624002,141.98013998124003,3626.5718922510005,177.37506871282,7225.296205688001,1623.1381907664002,636.9572842138,1311.8944739604
,,,,,,,121,401.3705261896,6968.221348594001,143.29205672144002,109.43521415134,2795.2829999908004,136.7168579447,5569.101689976,1251.0797324278,490.9528672994,1011.1798224088001
,,,,,,,122,401.3705261896,6968.221348594001,143.29205672144002,109.43521415134,2795.2829999908004,136.7168579447,5569.101689976,1251.0797324278,490.9528672994,1011.1798224088001
,,,,,,,123,401.3705261896,6968.221348594001,143.29205672144002,109.43521415134,2795.2829999908004,136.7168579447,5569.101689976,1251.0797324278,490.9528672994,1011.1798224088001
,,,,,,,124,321.09642095168005,5574.5770773,114.63364536140001,87.54817130532,2236.2264000714003,109.37348635576001,4455.281353556,1000.8637856272001,392.76229368200006,808.943857612
,,,,,,,125,240.82231571376,4180.932809944001,85.97523404074,65.66112849868001,1677.1698001520003,82.03011476682,3341.4610147732,750.6478392204,294.5717202615,606.7078932090001
,,,,,,,126,160.54821047584002,2787.28853865,57.31682268070001,43.77408565266,1118.1132002326,54.686743177880004,2227.6406763842,500.43189281360003,196.38114684100003,404.471928806
,,,,,,,127,40.137052618960006,696.8221348594001,14.329205680020001,10.94352140332,279.52829999908005,13.671685814160002,556.9101689976001,125.10797324278,49.09528672994,101.11798224088001
