Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
Sum,4.0137393e9,2.4818314e9,2.8106696e9,5.286489e9,1.5408927e9,2.8150907e9,2.8624225e9,0.0,5.491327e8,0.0,1.5725818e9,5.479354e8,4.8903242e8,0.0,9.128656e8,0.0,1.3675853e8,1.3675853e8,2.1700642e8,5.4353536e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2687936e8,2.7743623e10
t1,216070.56698571084,2334.520236984478,411361.37318754906,1035.9680550403411,1977.5917601984077,356551.2908037265,23326.19842371402,0.0,212.6157819857544,0.0,156.88083765575445,48463.08679160946,53268.52833187039,0.0,104955.25742092817,0.0,143.42886851900255,143.42886851900255,37456.66585013653,89947.60618477213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140963.6743919839,1.4883686827809038e6
t2,157509.38723641963,1076.7587985145058,303178.6427791205,2537.2134734585165,2265.0167029240733,356552.0463203015,55249.028325245206,0.0,138.55423477231625,0.0,181.21175766717278,61928.46288411656,38993.19200861588,0.0,104953.45137402166,0.0,165.78946670585844,165.78946670585844,37458.693170412036,89950.01409773444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140964.70531947576,1.3532679574162117e6
t3,114855.09990505541,1086.587299207634,273742.4297912007,1887.918882915879,51476.03124684003,356552.81110999314,62254.08461665583,0.0,120.18917083582424,0.0,270.08618514759996,72730.63976140432,37535.599216384624,0.0,104952.4426075548,0.0,404.3818172778301,404.3818172778301,37460.95475313899,89952.63919735819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140965.65674257936,1.3466519341208278e6
t4,92264.47532366961,1167.9276790494762,392738.2894524028,1397.8238200000221,212714.099942727,356552.8602643192,82605.84697561487,0.0,274.5048910523482,0.0,195.21520283109646,67628.88620877342,48845.098667737744,0.0,104952.24460833796,0.0,70.06424482753367,70.06424482753367,37458.63998527795,89949.66455933714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140964.60470786205,1.629850310778648e6
t5,151875.69942657807,1218.058601877824,378409.23481559806,2191.4752350332938,2230.521207059271,356552.17937002896,22576.85285844892,0.0,190.83479536594425,0.0,210.68982443272924,69168.28121806517,46064.824256111446,0.0,104952.58921705514,0.0,566.591427996559,566.591427996559,37456.63250193311,89947.16271868434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140963.67366662272,1.4051418925688881e6
t6,247.82899092549667,298593.4517624001,226448.73570171848,1015.8493749739476,281.83506842294116,356537.41660017346,15929.35227967863,0.0,257.8604776354136,0.0,2266.3659947007786,89926.31410162145,36660.894067103225,0.0,104960.51641775633,0.0,1826.790913331012,1826.790913331012,21659.217928628634,65573.74454857584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140906.38778488463,1.3649193529258615e6
t7,82337.86248579145,157723.18274140212,123226.13811189604,44194.07898351544,56804.681415038576,356544.8396359413,14840.72541558463,0.0,4127.968175496088,0.0,89525.09141164101,89931.15395624567,32012.602087165717,0.0,104883.86034355348,0.0,13948.555749467121,13948.555749467121,5341.063690605221,7060.775819008831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140908.11727975187,1.3373592530515718e6
t8,117408.9066389135,60113.19638974301,125209.48351094704,633293.1266838484,417918.47504334216,356548.66842792067,14463.699741910159,0.0,149917.5338500732,0.0,299889.02494469576,89948.2293408314,32101.806361126863,0.0,104835.430330437,0.0,26110.511247330684,26110.511247330684,125.3826002168536,133.71757957413368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140875.85278133588,2.5950035567195774e6
t9,115662.53581926253,35671.028816324426,111182.65561006551,524383.2269029466,527392.6469782871,356549.7273176275,14187.752054674447,0.0,149988.0163303495,0.0,299980.79230139026,89962.29666602002,31326.585991161504,0.0,104931.73403575116,0.0,9019.230264976823,9019.230264976823,85.01031580152738,87.0359849450364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133117.64682505504,2.512547152479616e6
t10,235229.0117039488,38700.59237402394,160456.08506176877,626882.063822288,635738.9796057545,356547.71036168636,13877.477310279255,0.0,149988.82814662863,0.0,299980.23843205435,89962.1067284808,34148.199402107086,0.0,104730.67064102394,0.0,11346.97185270483,11346.97185270483,85.4246470233264,87.28479608106953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134192.40728689477,2.9033010240254537e6
t11,272457.16277169,12948.722295990296,99367.5498374835,557124.7854181004,686356.9246535156,356546.4875292853,13930.41156450901,0.0,149987.80718816756,0.0,299979.3685248738,89957.92024456717,30663.464585584577,0.0,104407.44976322776,0.0,11082.526386233301,11082.526386233301,80.97951279660069,81.05592598230487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100941.39628958724,2.7969965388778276e6
t12,217135.2289883501,17583.475007747755,205770.31605467826,237641.7195361675,662981.5804861138,356542.03395127854,13904.330303278273,0.0,149978.0765584935,0.0,299969.02559485234,89956.1695356766,35377.2995687447,0.0,104533.442513909,0.0,25741.65201872645,25741.65201872645,81.03792878277518,81.38153222618513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104407.41859152648,2.5474258401892786e6
t13,260583.59223127938,1136.18986277746,194588.30055385473,1591.1326870187163,628740.5151443853,356545.95747471234,13829.207555419202,0.0,149980.83096714792,0.0,299977.08762159746,89960.66939069542,35293.03749740973,0.0,104697.71085117923,0.0,23915.383836818783,23915.383836818783,79.84613854204899,81.32614006203093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95594.55981997687,2.280510731609695e6
t14,227878.300726659,1566.7862403160589,168289.94365575066,1536.2217530404077,539847.2697344397,356547.65518799826,13854.372162733736,0.0,149957.78141966485,0.0,299966.1095362036,89961.74163444254,34431.58229082372,0.0,104901.6158372939,0.0,19331.986414716597,19331.986414716597,79.973025407802,81.38071105619866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99393.44417852466,2.1269581509237885e6
t15,285691.67016081,526.8092280193949,187958.75256094278,572.0775043989842,455772.1544679475,356547.49406362884,13830.831337104179,0.0,149977.70690028655,0.0,299967.2552738203,89962.8136986722,35230.721762060544,0.0,104791.10789405624,0.0,18634.1926645739,18634.1926645739,82.80263874220654,82.51062093351955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125240.73711923155,2.1435038305598027e6
t16,293467.5181264455,172.46122321572878,113915.12925047785,235.30537032575012,289582.3501019197,356548.52001788275,14104.22274928524,0.0,149976.2340600843,0.0,299976.25517619064,89963.16234476634,28556.003017001072,0.0,104823.15549416612,0.0,15112.817178964142,15112.817178964142,84.94454273567389,86.50765302513898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136057.52860757214,1.9077749320930224e6
