Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10
50000,1,1.0,1.0,2000,5,168,2021.5384615384617,1,10736.483988736547,67075.63663908049,2647.194398069452,2021.7190859227676,67522.7016669395,1160.6814638348144,47279.854164892335,16037.247255683827,15748.671133325854,17512.415814067306
,2,0.9,0.04,1800,,,1347.6923076923078,2,10366.481887287488,65722.29933498517,2612.532101508102,1995.2467459224204,65698.72014533459,1151.8463905593298,46919.9612749811,15609.232858348038,15721.442858055661,17423.151480403412
,3,0.55,0.024,1100,,,1010.7692307692308,3,10103.073193199994,65376.98686266296,2651.224897830579,2024.7972638197973,63906.874979146036,1131.4378797410363,46088.62948142168,15549.477610956297,15701.994102898117,17465.331328534747
,4,0.2,0.003,400,,,2695.3846153846157,4,9987.61063395766,65326.662646536155,2666.0646911665754,2036.130733109349,63546.25124559899,1082.2237441196357,44083.913098377416,15446.522159444168,15825.291925365911,17657.606672192214
,,,,,,,1684.6153846153848,5,10354.893187958649,67748.67734901332,2791.3401753865255,2131.8063042665135,66625.63280927067,1043.5609522276018,42509.001091819635,15877.195049551829,16263.659705727829,18373.696864409478
,,,,,,,,6,11247.968210795892,76085.40677120659,3270.493529536308,2497.7459873357743,72474.69725248357,1055.3498199734697,42989.215480296385,17737.82511252134,17448.859902740547,20138.39770291546
,,,,,,,,7,11809.653879691057,82043.9796023213,3792.9382271404206,2896.748199012555,74703.56416716917,1181.172390633217,48114.543129782316,20575.32372637759,18694.73659228168,21339.56301021992
,,,,,,,,8,11806.579065420121,85007.1280414771,3965.443611774809,3028.4942580952948,75365.71374164558,1339.0864576521387,54547.10390125489,22487.491923767175,19376.415677149187,21791.770215816796
,,,,,,,,9,12003.366897486243,86034.54513633465,4001.718108636135,3056.197869056691,74597.49144561394,1431.9394358783957,58329.42951710339,23476.927793813207,19567.013533847537,21876.129912079457
,,,,,,,,10,12228.497670324688,88807.92416763371,4098.120105345267,3129.822138598496,73507.12230561042,1498.0303372465469,61021.61365403604,23888.38711778616,19515.67611950126,22172.356065155596
,,,,,,,,11,12306.392847990992,90884.0558093036,4052.1724096505254,3094.730898904365,72558.40690986662,1488.6265729136976,60638.55540757997,23950.921695338784,19146.149651177035,22107.614908639243
,,,,,,,,12,12007.111364273047,90615.06084028301,3956.246518499915,3021.4702386526346,70775.13450006329,1473.3650039223828,60016.88205458499,23718.848950930074,18782.457815416623,21978.132585747946
,,,,,,,,13,11835.946957676744,90036.99260044309,3959.4709171222407,3023.9327835411723,68241.31018032302,1455.0213901843922,59269.66291316148,23756.369697461654,18609.36383635455,21922.21976472349
,,,,,,,,14,11681.181543782945,88838.08537188444,3902.237822294107,2980.2226421756313,65495.127071601,1422.7081212654061,57953.39599765262,23550.700439123946,18473.222510141448,21804.50855582139
,,,,,,,,15,11645.308754152493,87951.68733972566,3800.669231082394,2902.6525320770093,63648.13627003485,1405.5865702545568,57255.95700931482,23458.983075430915,18668.682565656753,21827.069874065
,,,,,,,,16,11454.000898112374,85349.6875658033,3768.755228573661,2878.279124708686,61876.523735350675,1382.703654055803,56323.83144249732,23276.81717573628,18784.200888067044,21561.252445272406
,,,,,,,,17,11701.010609542855,86862.61234848671,4137.142897248023,3159.6246812031036,63591.294206674065,1429.7416364699613,58239.90317579515,23560.307227206547,19109.967647259215,22413.677743390963
,,,,,,,,18,12385.668225882575,90056.75306288419,4219.3650898040905,3222.4195318586308,71964.71049829229,1538.34729400726,62663.90735385341,23709.000538221913,19453.238284087667,22477.43798031394
,,,,,,,,19,12207.329259351081,87740.21862635572,3963.0253123136586,3026.6473501705013,70905.26269844493,1622.6968264840023,66099.84880456592,23186.489457062708,19209.156320623355,21969.31795369261
,,,,,,,,20,11785.034963131511,84066.11350583793,3752.5412877169497,2865.8961905863416,68357.1081255615,1591.0503595836835,64810.74378194551,22377.89024534062,19073.80391357616,21548.97030154379
,,,,,,,,21,11158.798727530146,79840.49001284337,3484.1100109431372,2660.8894722406844,65198.612807337406,1493.3224221670043,60829.838797903714,21018.80558033109,18661.49017989431,20658.288853384576
,,,,,,,,22,11403.7585661285,76814.74366915924,3176.1798376968604,2425.716601011532,68118.13629889413,1375.3819245344566,56025.583953018875,19305.358345968478,18017.736171595043,19585.155049665496
,,,,,,,,23,11374.035405039916,70927.79335328014,2881.953363045126,2201.009536412144,67257.76505513664,1235.2872885882541,50318.88993974782,17805.91832030426,17185.329184118695,18438.451734220984
,,,,,,,,24,11173.441788510403,70333.349525465,2843.31473291106,2171.500388473889,66647.13089011857,1176.7696354990562,47935.198807679335,17115.68159300225,16955.08145846402,18381.01954713202
,,,,,,,,25,10726.534080660309,67652.55776178697,2744.117612953507,2095.741421921947,66197.50895211555,1152.6291146198505,46951.84518862778,16241.273689244783,16717.812597908243,18113.158995099097
,,,,,,,,26,10376.005776139198,66537.94291247496,2711.0675157033197,2070.5003538714623,64635.077131749655,1143.3412525244617,46573.50817075423,15836.883467880098,16607.927103190912,18024.875590887164
,,,,,,,,27,10166.918717125807,66890.54685958066,2717.5163159144104,2075.425439693285,63011.60335943385,1117.1753849273405,45507.65294730193,15753.504044517253,16682.80484263569,18063.131731069236
,,,,,,,,28,10096.493477009773,66717.26485394404,2731.5117647792526,2086.1140644601146,62523.56086284714,1068.9658192025256,43543.85729159646,15647.5419818284,16761.835340261023,18163.11675608738
,,,,,,,,29,10398.120201129435,69560.25050673184,2905.1149998339297,2218.6985756772247,65383.57503605269,1020.8214673623436,41582.718068395596,16023.790943667287,17188.99869358691,18933.074713805625
,,,,,,,,30,11398.753661459195,77967.00379393689,3371.3325092403647,2574.7588785550483,70830.23929353227,1024.2392658802028,41721.940611969,17859.179884569417,18704.32022287077,20775.185545790984
,,,,,,,,31,11949.587658649005,83827.3258605361,3863.088043068098,2950.3231158012304,72739.5781540221,1143.212984424216,46568.283257052855,20606.704665692316,20011.185322570745,21930.612952023628
