CO2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_hr_Per_Pipe,Pipe_length_miles,CO2PipeLoss_tonne_per_mile_per_tonne,CO2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,CO2_len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,CO2Pipe_Inv_Cost_per_mile_yr,CO2Pipe_Fixed_OM_Cost_per_mile_yr,CO2Pipe_Energy_MWh_per_mile_per_tonne
1,1,-1,0,0,0,0,0,0,0,0,1000,0,1141.552511,523.989141,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
2,1,0,-1,0,0,0,0,0,0,0,1000,0,1141.552511,797.321239,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
3,1,0,0,-1,0,0,0,0,0,0,1000,0,1141.552511,983.409271,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
4,1,0,0,0,-1,0,0,0,0,0,1000,0,1141.552511,473.130269,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
5,1,0,0,0,0,-1,0,0,0,0,1000,0,1141.552511,1287.60278,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
6,1,0,0,0,0,0,-1,0,0,0,1000,0,1141.552511,804.350152,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
7,1,0,0,0,0,0,0,-1,0,0,1000,0,1141.552511,199.082467,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
8,1,0,0,0,0,0,0,0,-1,0,1000,0,1141.552511,1206.81427,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
9,1,0,0,0,0,0,0,0,0,-1,1000,0,1141.552511,1723.53925,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
10,0,1,-1,0,0,0,0,0,0,0,1000,0,1141.552511,566.335248,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
11,0,1,0,-1,0,0,0,0,0,0,1000,0,1141.552511,596.863592,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
12,0,1,0,0,-1,0,0,0,0,0,1000,0,1141.552511,834.59378,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
13,0,1,0,0,0,-1,0,0,0,0,1000,0,1141.552511,1786.88108,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
14,0,1,0,0,0,0,-1,0,0,0,1000,0,1141.552511,1305.74922,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
15,0,1,0,0,0,0,0,-1,0,0,1000,0,1141.552511,471.975268,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
16,0,1,0,0,0,0,0,0,-1,0,1000,0,1141.552511,1118.98045,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
17,0,1,0,0,0,0,0,0,0,-1,1000,0,1141.552511,1366.23843,3.74E-07,0,0,3.3,0,0.0008379,267852.5,16500,2.95E-05
