H2_Resource,Zone,H2_Electrolyzer,H2_FLEX,H2_GEN_TYPE,H2_STOR,LDS,Blue_H2,Grey_H2,New_Build,etaP2G,etaFuel_MMBtu_p_MWh,Inv_Cost_p_MW_yr,Inv_Cost_Charge_p_MW_yr,Inv_Cost_Energy_p_MWh_yr,Fixed_OM_Cost_p_MW_yr,Fixed_OM_Cost_Charge_p_MW_yr,Fixed_OM_Cost_Energy_p_MWh_yr,Var_OM_Cost_p_MWh,Var_OM_Cost_Charge_p_MWh,Fuel,Max_Cap_MW,Min_Cap_MW,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Max_Energy_Cap_MWh,Min_Energy_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Energy_Cap_MWh,Cap_Size_MW,Ramp_Up_Percentage,Ramp_Down_Percentage,H2Gen_min_output,H2Stor_min_level,H2Stor_max_level,H2Stor_self_discharge_rate_p_hour,H2Stor_Charge_MWh_p_MWh,H2Stor_Charge_MMBtu_p_MWh,H2Stor_eff_charge,H2Stor_eff_discharge,Start_Cost_p_MW,Up_Time,Down_Time,Flexible_Demand_Energy_Eff,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,CCS_Rate
Electrolyzer_1,1,1,0,2,0,0,0,0,1,1.142712036566785,0.0,35415.65505332656,0.0,0.0,906.6407691721686,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,1.0,1.0,0.2,0.0,0,0,0.0,0.0,0,0,0.0,1,1,0,0,0,0.0
Large_ATR_wCCS_94pct_1.0,1,0,0,2,0,0,1,0,1,0.1015744032503809,4.436515997968512,49118.4281361097,0.0,0.0,20963.045454545456,0.0,0.0,8.33621127475876,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.5,0.0,0,0,0.0,0.0,0,0,0.25393600812595224,22,12,0,0,0,0.945
Electrolyzer_2,2,1,0,2,0,0,0,0,1,1.142712036566785,0.0,35415.65505332656,0.0,0.0,906.6407691721686,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,1.0,1.0,0.2,0.0,0,0,0.0,0.0,0,0,0.0,1,1,0,0,0,0.0
Large_ATR_wCCS_94pct_2.0,2,0,0,2,0,0,1,0,1,0.1015744032503809,4.436515997968512,49118.4281361097,0.0,0.0,20963.045454545456,0.0,0.0,8.33621127475876,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.5,0.0,0,0,0.0,0.0,0,0,0.25393600812595224,22,12,0,0,0,0.945
Electrolyzer_3,3,1,0,2,0,0,0,0,1,1.142712036566785,0.0,35415.65505332656,0.0,0.0,906.6407691721686,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,1.0,1.0,0.2,0.0,0,0,0.0,0.0,0,0,0.0,1,1,0,0,0,0.0
Large_ATR_wCCS_94pct_3.0,3,0,0,2,0,0,1,0,1,0.1015744032503809,4.436515997968512,49118.4281361097,0.0,0.0,20963.045454545456,0.0,0.0,8.33621127475876,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.5,0.0,0,0,0.0,0.0,0,0,0.25393600812595224,22,12,0,0,0,0.945
Electrolyzer_4,4,1,0,2,0,0,0,0,1,1.142712036566785,0.0,35415.65505332656,0.0,0.0,906.6407691721686,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,1.0,1.0,0.2,0.0,0,0,0.0,0.0,0,0,0.0,1,1,0,0,0,0.0
Large_ATR_wCCS_94pct_4.0,4,0,0,2,0,0,1,0,1,0.1015744032503809,4.436515997968512,49118.4281361097,0.0,0.0,20963.045454545456,0.0,0.0,8.33621127475876,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.5,0.0,0,0,0.0,0.0,0,0,0.25393600812595224,22,12,0,0,0,0.945
Electrolyzer_5,5,1,0,2,0,0,0,0,1,1.142712036566785,0.0,35415.65505332656,0.0,0.0,906.6407691721686,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,1.0,1.0,0.2,0.0,0,0,0.0,0.0,0,0,0.0,1,1,0,0,0,0.0
Large_ATR_wCCS_94pct_5.0,5,0,0,2,0,0,1,0,1,0.1015744032503809,4.436515997968512,49118.4281361097,0.0,0.0,20963.045454545456,0.0,0.0,8.33621127475876,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.5,0.0,0,0,0.0,0.0,0,0,0.25393600812595224,22,12,0,0,0,0.945
