H2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,Max_No_Pipe,Existing_No_Pipe,Max_Flow_MW_p_pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_MWh_p_mile,Min_pipecap_stor_frac,len_bw_comp_mile,BoosterCompCapex_p_MW_yr,BoosterCompEnergy_MWh_p_MWh,H2PipeCompCapex,H2PipeCompEnergy_MWh_p_MWh
1,1,-1,0,0,0,0,0,0,0,0,20,0,795.476,66678.3,523.9891405,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
2,1,0,-1,0,0,0,0,0,0,0,20,0,795.476,66678.3,797.3212385,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
3,1,0,0,-1,0,0,0,0,0,0,20,0,795.476,66678.3,983.409271,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
4,1,0,0,0,-1,0,0,0,0,0,20,0,795.476,66678.3,473.1302693,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
5,1,0,0,0,0,-1,0,0,0,0,20,0,795.476,66678.3,1287.602782,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
6,1,0,0,0,0,0,-1,0,0,0,20,0,795.476,66678.3,804.3501523,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
7,1,0,0,0,0,0,0,-1,0,0,20,0,795.476,66678.3,199.0824665,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
8,1,0,0,0,0,0,0,0,-1,0,20,0,795.476,66678.3,1206.814272,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
9,1,0,0,0,0,0,0,0,0,-1,20,0,795.476,66678.3,1723.539245,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
10,0,1,-1,0,0,0,0,0,0,0,20,0,795.476,66678.3,566.3352478,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
11,0,1,0,-1,0,0,0,0,0,0,20,0,795.476,66678.3,596.8635916,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
12,0,1,0,0,-1,0,0,0,0,0,20,0,795.476,66678.3,834.5937799,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
13,0,1,0,0,0,-1,0,0,0,0,20,0,795.476,66678.3,1786.881075,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
14,0,1,0,0,0,0,-1,0,0,0,20,0,795.476,66678.3,1305.749215,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
15,0,1,0,0,0,0,0,-1,0,0,20,0,795.476,66678.3,471.9752684,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
16,0,1,0,0,0,0,0,0,-1,0,20,0,795.476,66678.3,1118.98045,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
17,0,1,0,0,0,0,0,0,0,-1,20,0,795.476,66678.3,1366.238432,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
18,0,0,1,-1,0,0,0,0,0,0,20,0,795.476,66678.3,288.5453516,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
19,0,0,1,0,-1,0,0,0,0,0,20,0,795.476,66678.3,1250.135373,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
20,0,0,1,0,0,-1,0,0,0,0,20,0,795.476,66678.3,1766.273904,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
21,0,0,1,0,0,0,-1,0,0,0,20,0,795.476,66678.3,1335.968077,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
22,0,0,1,0,0,0,0,-1,0,0,20,0,795.476,66678.3,612.2626098,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
23,0,0,1,0,0,0,0,0,-1,0,20,0,795.476,66678.3,561.7480857,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
24,0,0,1,0,0,0,0,0,0,-1,20,0,795.476,66678.3,931.3602107,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
25,0,0,0,1,-1,0,0,0,0,0,20,0,795.476,66678.3,1395.510078,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
26,0,0,0,1,0,-1,0,0,0,0,20,0,795.476,66678.3,2046.048162,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
27,0,0,0,1,0,0,-1,0,0,0,20,0,795.476,66678.3,1604.583233,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
28,0,0,0,1,0,0,0,-1,0,0,20,0,795.476,66678.3,823.9759379,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
29,0,0,0,1,0,0,0,0,-1,0,20,0,795.476,66678.3,724.4588638,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
30,0,0,0,1,0,0,0,0,0,-1,20,0,795.476,66678.3,770.7726184,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
31,0,0,0,0,1,-1,0,0,0,0,20,0,795.476,66678.3,1349.199134,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
32,0,0,0,0,1,0,-1,0,0,0,20,0,795.476,66678.3,918.2967296,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
33,0,0,0,0,1,0,0,-1,0,0,20,0,795.476,66678.3,672.0932602,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
34,0,0,0,0,1,0,0,0,-1,0,20,0,795.476,66678.3,1679.828147,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
35,0,0,0,0,1,0,0,0,0,-1,20,0,795.476,66678.3,2158.514257,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
36,0,0,0,0,0,1,-1,0,0,0,20,0,795.476,66678.3,483.4399884,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
37,0,0,0,0,0,1,0,-1,0,0,20,0,795.476,66678.3,1320.112636,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
38,0,0,0,0,0,1,0,0,-1,0,20,0,795.476,66678.3,1778.265372,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
39,0,0,0,0,0,1,0,0,0,-1,20,0,795.476,66678.3,2594.586609,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
40,0,0,0,0,0,0,1,-1,0,0,20,0,795.476,66678.3,843.0302747,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
41,0,0,0,0,0,0,1,0,-1,0,20,0,795.476,66678.3,1453.344048,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
42,0,0,0,0,0,0,1,0,0,-1,20,0,795.476,66678.3,2215.037606,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
43,0,0,0,0,0,0,0,1,-1,0,20,0,795.476,66678.3,1008.271753,14.1768,0,100,1446.3941086846114,0.003809040121889284,3662.0264093448454,0.013712544438801422
