Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10
1269.680041,1,1,1,2000,1,8760,1,1,16955.609258165343,105537.81862169827,4473.443416840898,3430.166860263163,91819.03636,1746.5285746426016,71025.49536879914,26156.54489038366,16561.521744687638,20845.665925309102
,2,0.9,0.04,1800,,,,2,16466.189402103755,102344.31025793264,4434.239713252773,3400.1060698793362,89067.02528103876,1700.0882825943308,69136.92349216944,25854.662105104682,16447.40312,20715.98566606099
,3,0.55,0.024,1100,,,,3,16057.576484027744,99663.05415959304,4389.253272829486,3365.6111667985815,86591.44596282636,1631.474418718904,66346.62636123542,25734.49446791812,16414.87953785905,20679.027053912978
,4,0.2,0.003,400,,,,4,15133.30697156963,93040.42878873764,4180.733717505005,3205.721613775923,79072.68111332395,1467.6470335405968,59684.3127,24797.270373310123,16105.805940331533,19971.361949843013
,,,,,,,,5,14044.415033214447,87173.64742782741,4013.3866337104064,3077.4024717850125,70931.54280987266,1300.8995846499292,52903.249775763776,23856.551790597983,15833.052094333194,19304.969290692567
,,,,,,,,6,13403.658152823366,81076.58015564358,3957.033567799446,3034.191817005229,67941.12106322046,1205.9711983976174,49042.82873483644,23415.49023977421,16096.17267712416,19247.52484607542
,,,,,,,,7,13012.761334274766,71638.08833870354,3900.780298,2991.057684175909,63620.69494770802,1111.5485172032118,45202.973032930604,23362.976766691645,16523.880145110692,19198.88839937707
,,,,,,,,8,13558.916499124154,71427.08217814122,4065.951066485106,3117.708061580453,65606.39510842772,1173.009126732424,47702.371153785236,24445.243406020174,16982.85933863608,19720.455664746827
,,,,,,,,9,14141.002276735919,74562.80866998347,4178.165385857856,3203.752257000547,67478.41432441451,1271.2811355251374,51698.766178022255,25113.660539859593,17293.98954698016,20074.012719683284
,,,,,,,,10,14934.59365485224,82493.84310184086,4423.607922852661,3391.9537783004516,71708.67161178697,1462.1559813822294,59461.009909543995,26206.673790179757,17846.806270836518,21058.658649126934
,,,,,,,,11,15358.09348516223,84822.12164780637,4418.778399378535,3388.250574788489,72489.70412338484,1533.2812032343206,62353.4356,26350.165103782274,17944.518318207127,21169.695066593536
,,,,,,,,12,15219.16727312503,86351.99919440945,4377.110544438944,3356.3003114602516,74678.22810723892,1610.2139475141414,65482.03386557508,26236.104870729174,17934.926825176946,21158.79564
,,,,,,,,13,14976.056091431667,88139.64139751285,4363.311446,3345.7193770127715,73636.30502247551,1646.8413397297572,66971.54782,26204.251675320927,17920.940761360147,21142.90238835833
,,,,,,,,14,14737.704006158936,87887.71039574163,4363.552878392425,3345.904503926347,71721.76024890208,1620.904433654593,65916.78030195345,26158.183792710526,18010.459592386414,21244.62833270636
,,,,,,,,15,14702.12625,86345.87863862808,4382.029923547807,3360.072414875881,70582.51701579962,1567.9236765845415,63762.22951443801,26231.659910127557,18410.906601473234,21699.681752123197
,,,,,,,,16,14232.106594540339,80629.00626530855,4384.191714548312,3361.7300426041834,68122.05368541606,1490.375032416626,60608.58465160946,25768.27285567794,18633.671680919782,21596.37878097831
,,,,,,,,17,14863.99251311555,81026.09644836099,4625.911799825911,3547.0772458029073,71994.49465061768,1542.163336820106,62714.64236401765,26706.40157743726,19076.771440691045,22099.901235263835
,,,,,,,,18,15365.461102938352,83328.91093204447,4561.723024351416,3497.8582907570935,74259.89247970749,1588.0007010514978,64578.69517609425,26411.537801884126,19010.27050782515,22024.331993370775
,,,,,,,,19,15400.649671314817,88353.53019611903,4400.813643647526,3374.4754794046403,73810.08632447204,1591.6648299806861,64727.703085881236,25978.47567853231,18670.307390961287,21638.010269661838
,,,,,,,,20,15969.595962651993,96129.53880010551,4488.740219292796,3441.8962105531336,78139.50931387141,1682.3410645003455,68415.20328968072,26731.344281382768,18533.299429672414,22016.987064880257
,,,,,,,,21,15605.928002849027,93706.86343237042,4304.893979,3300.9257722048906,77830.36221199235,1620.060670122241,65882.46725163779,26146.354959343887,17891.30607594809,21287.44916
,,,,,,,,22,15905.027604258406,90178.06974778618,4130.263085566635,3167.021517907986,81845.93355543583,1664.4826144484273,67688.95965423604,25394.43934660374,17218.116260867453,20522.46074
