Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK0 0 CCGT,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery,BE0 0 CCGT_CCS,DE0 0 CCGT_CCS,DK0 0 CCGT_CCS,DK3 0 CCGT_CCS,FR0 0 CCGT_CCS,GB4 0 CCGT_CCS,GB5 0 CCGT_CCS,NL0 0 CCGT_CCS,NO3 0 CCGT_CCS,SE3 0 CCGT_CCS
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
t1,14.127079999970338,4.901276047639591e-11,6.719999999994602,2.606981101105302e-12,0.0009999999998621958,0.0,0.0,0.0,0.0,0.0,21.72056000000418,6.992354070038059e-11,83.99999999999267,3.825520593591872e-12,3.4863362519798937e-12,0.0009999999998690418,0.0,0.0,4.600788944841897e-12,0.0,0.0,0.0,2.9273207002571714e-11,8.106078943994163,2.8696497376249243e-12,0.0,0.0,0.0,0.0,0.0010000000025136163,2.2861582365699384e-11,1.1113848552136536e-10,2.932568248922373e-11,10.613921059995356,2.805204126164069e-12,0.0,0.0,3.43275218097997e-12,0.0,0.0,21.748039999999467,6.234955048273293e-11,3.311437646941392e-12,62.18099999989635,0.0,0.0,3.838274905276707e-12,0.0,0.0,0.0,9.31073791134682e-12,2.538917271860286e-12,0.0,0.0,2.467857133530643e-12,0.0,0.0,1.1903517374306757e-11,3.1380937495434306e-11,44.19504798999104,2.842239012324346e-12,14.33799999999889,0.0,0.0,2.9284091848483057e-12,0.0,0.0,0.0,33.66999999999642,6.748915828300529e-11,3.5695240441584617e-12,0.0009999999998593324,0.0,0.0,0.0,0.0,7.168951620771618e-11,6.928264753608115e-11,0.0,0.0,0.0,0.0,2.2831891114258114e-12,0.0010000000023582024,2.1044011759207955e-11,78.99999999999845,2.2396023206121288e-12,5.73100000000285,0.0,0.0,3.2800759546948227e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5033542908478413,21.803365053361965,11.308341008181099,33.68624819798468,50.94247076921752,3.343687063095271e-11,11.704125846628582,8.519545123424805,16.840281474623954,2.0964863831166668e-10
t2,14.12707999996606,4.819899861228882e-11,6.719999999994798,2.6008689869983386e-12,0.0009999999998610573,0.0,0.0,0.0,0.0,0.0,21.72056000000924,6.704735298470227e-11,83.99999999999758,3.817675949945267e-12,3.478629237925336e-12,0.0009999999998670111,0.0,0.0,4.473268537399664e-12,0.0,0.0,0.0,2.8823421663876026e-11,8.106078943994284,2.8670480150631803e-12,0.0,0.0,0.0,0.0,0.001000000002510176,2.2153416852068694e-11,1.092104879272361e-10,2.9124013232138954e-11,10.613921059995455,2.8032874465760446e-12,0.0,0.0,3.4182041775117562e-12,0.0,0.0,21.74803999999737,6.114076529041017e-11,3.3053507531625085e-12,62.18099999999872,0.0,0.0,3.762139529952212e-12,0.0,0.0,0.0,9.299607477077561e-12,2.537841341173845e-12,0.0,0.0,2.4406610627362704e-12,0.0,0.0,1.088222462802389e-11,2.977985762730178e-11,44.19504798999094,2.8323077966369494e-12,14.33799999999943,0.0,0.0,2.8187925554893545e-12,0.0,0.0,0.0,33.66999999999049,6.546156287964754e-11,3.5620573006002673e-12,0.000999999999857456,0.0,0.0,0.0,0.0,7.166088727043722e-11,6.916378719729527e-11,0.0,0.0,0.0,0.0,2.2826843809683963e-12,0.001000000002358379,2.094407042859035e-11,78.99999999999768,2.2390381361468103e-12,5.7310000000007495,0.0,0.0,3.270585330670536e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5033542908477937,21.803365053325376,11.308341008181547,33.68624819798414,50.94247076928685,3.3303184280473675e-11,11.704125846626031,8.519545123427164,16.840281474632473,2.0964116697931593e-10
t3,14.127079999967883,4.761363054818097e-11,6.719999999994644,2.5971131308573194e-12,0.0009999999998592597,0.0,0.0,0.0,0.0,0.0,21.720560000005083,6.445225257428003e-11,83.99999999999567,3.81075746215611e-12,3.4718329611496614e-12,0.0009999999998645227,0.0,0.0,4.353313848290785e-12,0.0,0.0,0.0,2.8665227428646435e-11,8.106078943994069,2.866488367801808e-12,0.0,0.0,0.0,0.0,0.0010000000025080457,2.183666495834041e-11,1.0774346725025624e-10,2.8980507208465736e-11,10.613921059995182,2.8033014243868164e-12,0.0,0.0,3.4066352170198637e-12,0.0,0.0,21.74803999998854,6.024164617230826e-11,3.300475359785099e-12,62.18099999999972,0.0,0.0,3.694786511521384e-12,0.0,0.0,0.0,9.42815995721936e-12,2.53898295291863e-12,0.0,0.0,2.430380119506583e-12,0.0,0.0,1.056711322979845e-11,2.929175227914776e-11,44.195047989990805,2.8272058186492967e-12,14.337999999999441,0.0,0.0,2.74511995672247e-12,0.0,0.0,0.0,33.66999999998786,6.40463021320154e-11,3.5557889965898287e-12,0.0009999999998556944,0.0,0.0,0.0,0.0,7.164409911758034e-11,6.907889603068499e-11,0.0,0.0,0.0,0.0,2.282466747799811e-12,0.0010000000023585496,2.0893946290164563e-11,78.9999999999995,2.2386363961044553e-12,5.73100000000012,0.0,0.0,3.2626080278566376e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5033542908477947,21.80336505329857,11.30834100818492,33.68624819798386,50.942470769455966,3.293460466254394e-11,11.70412584662393,8.519545123429117,16.840281474626465,2.0963784177307708e-10
t4,14.127079999966595,4.706633536042209e-11,6.719999999994502,2.593153341856527e-12,0.0009999999998584997,0.0,0.0,0.0,0.0,0.0,21.720559999998223,6.165759619620528e-11,83.99999999999639,3.804816920696822e-12,3.4659954458988023e-12,0.0009999999998613434,0.0,0.0,4.239667967109976e-12,0.0,0.0,0.0,2.859494195753682e-11,8.106078943994202,2.864654769669459e-12,0.0,0.0,0.0,0.0,0.0010000000025067555,2.1678485864619903e-11,1.0624122121748313e-10,2.8675362000045388e-11,10.613921059995148,2.8019085246073583e-12,0.0,0.0,3.3974173235628807e-12,0.0,0.0,21.74803999998346,5.945561968099158e-11,3.296385226081794e-12,62.1809999999978,0.0,0.0,3.635400093054084e-12,0.0,0.0,0.0,9.666636494892253e-12,2.54246372468135e-12,0.0,0.0,2.433565444386277e-12,0.0,0.0,1.0633459120011481e-11,2.933812474825695e-11,44.195047989990535,2.8245714909598235e-12,14.337999999999827,0.0,0.0,2.7005258162421776e-12,0.0,0.0,0.0,33.66999999998548,6.29398623136558e-11,3.550708102152593e-12,0.0009999999998547956,0.0,0.0,0.0,0.0,7.165623439065898e-11,6.906257029700623e-11,0.0,0.0,0.0,0.0,2.2821185327760854e-12,0.001000000002358727,2.088614256727495e-11,78.99999999999824,2.2382150738656625e-12,5.730999999998003,0.0,0.0,3.2561094951261202e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503354290847774,21.80336505333195,11.308341008183671,33.6862481979833,50.942470769288086,3.2945350344948045e-11,11.704125846623127,8.519545123429094,16.84028147462635,2.0963993243849521e-10
t5,14.127079999961621,4.6874872944357374e-11,6.719999999994686,2.590009955464238e-12,0.0009999999998582976,0.0,0.0,0.0,0.0,0.0,21.720559999996773,6.016088437806773e-11,83.99999999999557,3.800316145511842e-12,3.461568478362993e-12,0.0009999999998598478,0.0,0.0,4.144138289655759e-12,0.0,0.0,0.0,2.8552941797858345e-11,8.106078943994182,2.863161041111112e-12,0.0,0.0,0.0,0.0,0.0010000000025061398,2.1620692978154123e-11,1.057265452435549e-10,2.8561573231923575e-11,10.613921059995304,2.8008894396774284e-12,0.0,0.0,3.393026733716343e-12,0.0,0.0,21.74803999998406,5.915613924754139e-11,3.2933955378737167e-12,62.18099999999124,0.0,0.0,3.586271735230481e-12,0.0,0.0,0.0,1.0137872672731028e-11,2.5471279269716778e-12,0.0,0.0,2.453144826395448e-12,0.0,0.0,1.108157040422056e-11,2.992359431236603e-11,44.19504798999076,2.824684908698453e-12,14.337999999999875,0.0,0.0,2.68436186116123e-12,0.0,0.0,0.0,33.669999999983006,6.24615565951189e-11,3.5469032593194316e-12,0.0009999999998543743,0.0,0.0,0.0,0.0,7.170841050633685e-11,6.908775139757142e-11,0.0,0.0,0.0,0.0,2.2811255485543442e-12,0.0010000000023588924,2.0869331040122735e-11,78.99999999999935,2.237087124414101e-12,5.731000000000295,0.0,0.0,3.25046738286631e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503354290847748,21.803365053333437,11.308341008181406,33.686248197984014,50.94247076931461,3.338372124119132e-11,11.704125846622846,8.51954512342906,16.840281474626018,2.0964085290513707e-10
t6,14.127079999967757,4.700479717034513e-11,6.719999999994596,2.5882528394574082e-12,0.0009999999998589497,0.0,0.0,0.0,0.0,0.0,21.720559999994265,5.955890325497936e-11,83.99999999999714,3.797223112937516e-12,3.458516574005519e-12,0.000999999999858969,0.0,0.0,4.06582778553891e-12,0.0,0.0,0.0,2.8585586871914753e-11,8.106078943994122,2.8620042529783774e-12,0.0,0.0,0.0,0.0,0.0010000000025062706,2.169281002401217e-11,1.0612340839495163e-10,2.8590597071165654e-11,10.613921059995077,2.800244901838622e-12,0.0,0.0,3.3932158030022508e-12,0.0,0.0,21.74803999998038,5.933621028067422e-11,3.2915119517368494e-12,62.18100000000777,0.0,0.0,3.5481373510072256e-12,0.0,0.0,0.0,1.1129304573266273e-11,2.5545030221092314e-12,0.0,0.0,2.491979007129391e-12,0.0,0.0,1.218825413464536e-11,3.144421846351895e-11,44.19504798999122,2.827902017293689e-12,14.337999999998896,0.0,0.0,2.6979652000760095e-12,0.0,0.0,0.0,33.66999999998362,6.256268143836468e-11,3.5443581801575973e-12,0.0009999999998546838,0.0,0.0,0.0,0.0,7.17181409000786e-11,6.907774094026508e-11,0.0,0.0,0.0,0.0,2.280824924177871e-12,0.0010000000023590784,2.0858228238112697e-11,78.99999999999939,2.236686019132421e-12,5.731000000002796,0.0,0.0,3.2453658175268937e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503354290847781,21.8033650532914,11.308341008181612,33.68624819798435,50.94247076931221,3.4747515754204267e-11,11.70412584662466,8.519545123429054,16.840281474626046,2.0964105364980832e-10
t7,14.127079999964451,4.753050672151001e-11,6.719999999994671,2.5911385094324538e-12,0.0009999999998589677,0.0,0.0,0.0,0.0,0.0,21.72055999999853,5.980639366719197e-11,83.9999999999957,3.801120863105113e-12,3.462369019026897e-12,0.000999999999858266,0.0,0.0,4.010156775540722e-12,0.0,0.0,0.0,2.8655300577800863e-11,8.106078943994035,2.8657278646708868e-12,0.0,0.0,0.0,0.0,0.0010000000025071293,2.187294306059594e-11,1.0755057883986237e-10,2.8781113375837007e-11,10.613921059995207,2.8044834833635195e-12,0.0,0.0,3.4023585421660948e-12,0.0,0.0,21.748039999980417,6.005655081602939e-11,3.2962021924903197e-12,62.18100000000355,0.0,0.0,3.5262827744351663e-12,0.0,0.0,0.0,1.3599947396831169e-11,2.5660428627490733e-12,0.0,0.0,2.5597992075207746e-12,0.0,0.0,1.5137703219651415e-11,3.5204699299583004e-11,44.19504798999197,2.837527481580036e-12,14.337999999999674,0.0,0.0,2.750129972441766e-12,0.0,0.0,0.0,33.669999999986075,6.330978164923452e-11,3.5486284840327904e-12,0.0009999999998549626,0.0,0.0,0.0,0.0,7.17020350429534e-11,6.903397495911994e-11,0.0,0.0,0.0,0.0,2.2828336608863883e-12,0.0010000000023587705,2.084892198303203e-11,78.99999999999883,2.2383898299616705e-12,5.7310000000032675,0.0,0.0,3.2449313224961497e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5033542908477984,21.803365053228383,11.30834100818161,33.68624819798339,50.94247076932284,3.6608489833471674e-11,11.704125846628646,8.519545123429344,16.840281474626007,2.096398655689448e-10
t8,14.127079999974164,4.8596672783126676e-11,6.719999999994652,2.5914008415694484e-12,0.0009999999998610034,0.0,0.0,0.0,0.0,0.0,21.72056000000042,6.100801828133768e-11,83.99999999999726,3.8007021388492505e-12,3.461927599736425e-12,0.0009999999998606588,0.0,0.0,3.97142573179476e-12,0.0,0.0,0.0,2.8907199900693177e-11,8.106078943994106,2.8652292783524244e-12,0.0,0.0,0.0,0.0,0.0010000000025088863,2.2317352638706444e-11,1.1057220579137146e-10,2.9286427214881175e-11,10.613921059995356,2.804556039301296e-12,0.0,0.0,3.4116565791532186e-12,0.0,0.0,21.748039999991544,6.145502986379139e-11,3.2964563793049817e-12,62.18099999997786,0.0,0.0,3.513880604889406e-12,0.0,0.0,0.0,3.924074060781784e-11,2.5767218231964185e-12,0.0,0.0,2.651327197567272e-12,0.0,0.0,6.264311454304848e-11,4.430753705907891e-11,44.19504798999528,2.845141870791379e-12,14.337999999998912,0.0,0.0,2.8320051334600234e-12,0.0,0.0,0.0,33.669999999989905,6.484442753537768e-11,3.5484738300784644e-12,0.0009999999998569504,0.0,0.0,0.0,0.0,7.166384812047993e-11,6.895718593582167e-11,0.0,0.0,0.0,0.0,2.2825944673381758e-12,0.0010000000023589048,2.086074171311203e-11,78.99999999999966,2.2380472223140587e-12,5.731000000000108,0.0,0.0,3.240260957487476e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5033542908478771,21.80336505336783,11.308341008181452,33.68624819798291,50.94247076931449,4.175710830036147e-11,11.704125846639267,8.5195451234292,16.84028147462596,2.096395074644097e-10
t9,14.12707999998235,5.002305637998294e-11,6.719999999994734,2.592295189154499e-12,0.0009999999998639188,0.0,0.0,0.0,0.0,0.0,21.720560000003474,6.27652890699722e-11,83.99999999999766,3.801426026407107e-12,3.4626005643811975e-12,0.0009999999998609149,0.0,0.0,3.9541684486191785e-12,0.0,0.0,0.0,2.9402137647414235e-11,8.106078943994167,2.8650197565478992e-12,0.0,0.0,0.0,0.0,0.0010000000025115622,2.307374207799441e-11,1.1491331151904556e-10,2.99788468217291e-11,10.613921059995791,2.804878925802443e-12,0.0,0.0,3.4239291231546992e-12,0.0,0.0,21.748039999994564,6.32419590510822e-11,3.2976134487471385e-12,62.180999999983484,0.0,0.0,3.514747871300728e-12,0.0,0.0,0.0,5.99766677029144e-11,2.5870149956211716e-12,0.0,0.0,2.740278127583174e-12,0.0,0.0,1.6442705439606466e-10,4.989470080504566e-11,44.195047989995,2.8532119769595816e-12,14.338000000000955,0.0,0.0,2.912731573637869e-12,0.0,0.0,0.0,33.66999999999957,6.688945902124637e-11,3.549314532196214e-12,0.000999999999859466,0.0,0.0,0.0,0.0,7.162691494485214e-11,6.888063106561416e-11,0.0,0.0,0.0,0.0,2.281706730177829e-12,0.0010000000023589932,2.0828392850545437e-11,78.99999999999876,2.237011299444261e-12,5.730999999998611,0.0,0.0,3.235178490670656e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5033542908479872,21.80336505330664,11.308341008181742,33.68624819798478,50.94247076931667,4.289602230504695e-11,11.704125846642048,8.51954512342936,16.840281474625794,2.0962952818438517e-10
