Zone,1,2,3,4,5,6,7,8,9,10
AnnualMean,82.87552,89.187416,73.721085,78.868324,75.565926,72.3685,74.93136,85.11821,72.65466,72.08916
t1,165.45779087415548,181.03998738587626,160.96576306237841,158.87887372029718,161.49135645276655,81.18355205931067,79.25336677402598,167.13571864410164,168.0874221572852,164.41294546591453
t2,164.42569976151609,177.75763494795646,159.96169228022845,161.49948781344082,160.4840071289154,81.50100429198301,79.56327139868237,166.09316096878266,168.08742215728512,164.41294546591453
t3,164.425699761516,177.75763494795638,160.9657630623775,163.08006389740376,160.48400712891535,81.50100429198407,79.5632713986834,166.0931609687826,168.08742215728512,164.4129454659145
t4,161.5689856574231,166.0495052990564,160.965763062378,159.0922881628684,157.69577556103107,81.50100429198385,79.5632713986832,163.20747657625094,168.08742215728515,164.41294546591453
t5,160.9210956152802,165.3836484172526,160.53564256802036,158.4543296533005,157.06341705325016,81.50100429198355,79.56327139868294,162.5530162016515,168.08742215728503,164.4129454659144
t6,160.92109561528014,165.38364841725252,160.53564256808306,158.4543296533005,157.06341705325013,81.5010042919836,79.56327139868316,162.5530162016514,168.08742215728512,164.41294546591445
t7,160.92109561527965,165.38364841725198,160.53564256808346,158.45432965330062,157.06341705324965,85.94829107739768,88.04152867077305,162.5530162016509,168.08742215728546,164.41294546591473
t8,164.425699761516,168.9854398277982,160.9657630623784,161.9052115812957,160.48400712891535,147.1648109744002,150.74895338016597,166.09316096878257,168.0874221572852,164.41294546591453
t9,172.7930036623662,177.7576349479563,168.10183152697752,170.3098653100952,168.6507259619291,154.65374183326216,158.42027427158652,174.54531872571678,168.0874221572853,164.4129454659146
t10,173.25141065625888,178.05589924809735,168.5477931899202,170.59563279793747,169.09814380100488,158.16998618619346,162.0221554042,175.0083744812116,168.08742215728523,164.41294546591456
t11,173.25141065625846,178.05589924809695,168.54779318991993,170.59563279793747,169.09814380100445,158.16998618619357,162.02215540420008,175.0083744812112,168.0874221572853,164.4129454659146
t12,173.25141065625849,178.0558992480972,168.5477931899201,170.59563279793755,169.09814380100448,161.35819465253547,165.28801146229293,175.00837448121135,168.0874221572853,164.41294546591462
t13,173.25141065625834,178.0558992480975,168.5477931899201,170.59563279793758,169.0981438010043,162.1679130825964,166.11745027348772,175.00837448121138,168.08742215728532,164.41294546591465
t14,173.25141065625823,178.0558992480977,168.54779318992038,170.59563279793758,169.09814380100417,162.1679130825965,166.11745027348772,175.0083744812116,168.08742215728535,164.41294546591465
t15,173.25141065625846,178.05589924809786,168.5477931899208,170.59563279793764,169.09814380100443,162.1679130825951,166.1174502734862,175.0083744812116,168.08742215728537,164.41294546591467
t16,173.25141065625837,178.05589924809684,168.54779318991993,170.59563279793744,169.0981438010044,162.1679130825966,166.1174502734878,175.00837448121112,168.0874221572853,164.4129454659146
t17,176.15497903886282,181.03998738587669,171.37253234448286,170.59563279793758,171.9321064339081,157.6627876910594,161.5026042846679,177.94138830724475,168.08742215728532,164.41294546591465
t18,173.25141065625846,178.05589924809684,168.5477931899199,170.59563279793744,169.09814380100445,155.06402671393076,158.84055148282314,175.00837448121118,168.08742215728532,164.4129454659146
t19,164.42569976151594,177.75763494795777,168.1018315269788,170.3098653100965,160.4840071289153,147.1648109744,150.74895338016574,166.0931609687825,168.08742215728535,164.4129454659146
t20,164.42569976151603,205.71808672433744,161.13567609217188,163.25220875124603,160.48400712891535,147.16481097440013,150.7489533801659,166.0931609687826,168.08742215728532,164.41294546591462
t21,161.56898565742318,181.0399873858767,168.38389409575237,170.595632797937,157.69577556103118,137.2589216331128,140.60180991148314,163.20747657625105,168.08742215728532,164.41294546591462
t22,164.42569976151606,177.75763494795703,160.96576306237884,163.08006389740584,160.48400712891538,147.1648109744004,150.74895338016597,166.0931609687826,168.08742215728535,164.41294546591445
t23,173.25141065625834,178.05589924809675,168.54779318991973,170.59563279793718,169.0981438010043,155.06402671393107,158.84055148282303,175.00837448121104,168.0874221572853,164.41294546591436
t24,230.06241687669555,236.44234909836095,173.66062200105395,171.40914631890595,224.54724902303005,208.07048635248955,210.9260815467156,232.39550809022413,168.08742215728532,164.41294546591465
t25,230.06241687668873,236.04628071715905,173.66062200105065,171.40914631890269,224.54724902302334,208.07048635249026,210.9260815467094,232.00621863747216,168.08742215728532,164.41294546591465
t26,222.66125049819487,224.94866985017967,173.66062200105284,171.4091463189049,217.32350699503593,208.07048635249026,210.92608154670995,221.09854949167806,168.08742215728532,164.41294546591465
t27,222.66125049819013,224.94866985017498,172.8364229014636,170.59563279793792,217.3235069950314,208.07048635249015,210.92608154670845,221.0985494916734,168.08742215728532,164.41294546591465
t28,177.0446830910831,181.03998738587714,171.3725323444832,170.59563279793758,172.8004820690202,173.888833679712,169.75452741286284,177.9413883072452,168.08742215728532,164.41294546591465
t29,173.2514106562582,177.75763494795638,168.26545607113687,170.30986531009592,169.0981438010042,165.96814272285832,162.02215540420002,174.71521513881487,168.08742215728535,164.4129454659146
t30,173.25141065625857,177.7576349479567,168.26545607113718,170.30986531009623,169.0981438010046,165.9681427228582,162.02215540420002,174.71521513881518,168.08742215728535,164.41294546591462
t31,173.2514106562585,177.75763494795663,168.26545607113715,170.30986531009614,169.09814380100454,165.9681427228584,162.02215540420013,174.71521513881513,168.08742215728535,164.41294546591462
t32,173.54211384187852,178.05589924809715,168.54779318992018,170.59563279793758,169.38187810884756,165.96814272285854,166.39618319576945,175.00837448121152,168.08742215728535,164.41294546591465
t33,176.15497903886282,181.0399873858766,171.37253234448275,170.59563279793764,171.9321064339081,165.71851663714074,169.75452741286236,177.94138830724472,168.08742215728535,164.41294546591467
t34,200.16718835491756,205.7180867243377,175.52416706484658,173.24853088882634,195.36868342064426,189.65932299802608,194.2784029105759,202.19710838587105,168.08742215728535,164.41294546591482
t35,740.814161137636,761.3579083566405,175.52416706484664,173.2485308888264,723.0550047203743,701.9247930864135,719.0199016242624,748.3268484929728,168.08742215728537,164.41294546591493
t36,200.16718835491753,205.71808672433775,175.5241670648467,173.24853088882648,195.36868342064423,203.0402199806,207.98518649596537,202.19710838587105,168.08742215728535,166.17725408934342
t37,200.16718835491722,205.7180867243377,175.52416706484675,173.24853088882654,185.77221938689286,193.06693186536236,197.76900278209877,202.197108385871,168.08742215728535,166.96969783987646
t38,200.16718835491727,205.7180867243377,175.5241670648468,173.24853088882668,185.7722193868927,193.0669318653621,197.7690027820986,202.197108385871,168.08742215728535,166.96969783987802
t39,185.4746920717524,190.61814827079922,175.52416706484675,173.2485308888266,169.09814380100406,175.7381158255737,180.01815008831193,187.3556136941506,168.08742215728535,166.96969783987763
t40,176.15497903886245,181.0399873858767,172.8364229014634,170.59563279793787,160.60131786202362,166.90764526303738,170.97261680937967,177.94138830724478,168.08742215728535,164.4129454659147
t41,176.15497903886407,181.03998738587808,172.83642290146364,170.59563279793804,169.0981438010044,166.90764526303866,170.972616809381,177.94138830724614,168.08742215728535,164.41294546591482
t42,173.25141065625857,178.05589924809703,172.83642290146298,170.59563279793764,169.09814380100445,85.66407635016107,166.95645788744105,175.00837448121135,168.08742215728532,164.41294546591467
t43,168.98024220291782,178.05589924809684,172.8364229014607,170.5956327979375,160.48400712891595,80.66652403052332,162.02215540420002,175.0083744812109,168.08742215728535,164.41294546591467
t44,168.98024220291813,185.42582382724194,175.5241670648465,173.2485308888263,164.92936586964177,79.56327139868357,162.02215540420002,182.25215874273718,168.08742215728532,166.96969783987748
t45,173.2514106562582,181.03998738587728,172.83642290146327,170.59563279793784,169.09814380100414,79.56327139868307,162.02215540419516,177.94138830724523,168.0874221572853,164.41294546591473
t46,173.2514106562583,178.0558992480975,172.83642290146238,170.59563279793775,169.09814380100423,79.56327139868299,158.840551482823,175.0083744812115,168.0874221572853,164.4129454659147
