Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9,Load_H2_tonne_per_hr_z10
50000000,1,1,0,5,48,1443.956043956044,1,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,1155.1648351648353,2,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,1010.7692307692308,3,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,2502.8571428571427,4,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,2647.252747252747,5,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,6,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,7,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,8,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,9,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,10,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,11,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,12,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,13,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,14,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,15,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,16,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,17,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,18,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,19,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,20,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,21,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,22,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,23,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,24,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,25,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,26,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,27,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,28,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,29,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,30,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,31,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,32,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,33,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,34,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,35,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,36,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,37,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,38,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,39,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,40,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,41,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,42,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,43,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,44,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,45,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,46,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,47,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,48,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,49,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,50,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,51,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,52,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,53,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,54,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,55,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,56,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,57,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,58,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,59,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,60,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,61,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,62,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,63,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,64,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,65,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,66,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,67,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,68,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,69,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,70,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,71,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,72,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,73,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,74,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,75,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,76,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,77,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,78,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,79,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,80,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,81,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,82,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,83,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
,,,,,,,84,141.7683679,835.7091047,3.526745839,2.704253876,88.55266979,8.458361464,343.9733662,137.6016401,36.92244687,41.95732599
