H2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_Hr_Per_Pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,H2PipeCompCapex,H2PipeCompEnergy
1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000,0,87.545,90608.5,183,0.36,0,31,5.07E+04,0.15,225784,0.289
2,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,1000,0,6.844,90608.5,320,0.36,0,31,5.07E+04,0.15,225784,0.289
3,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1000,0,45.881,90608.5,183,0.36,0,31,5.07E+04,0.15,225784,0.289
4,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,1000,0,14.089,90608.5,320,0.36,0,31,5.07E+04,0.15,225784,0.289
5,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1000,0,64.742,90608.5,340,0.36,0,31,5.07E+04,0.15,225784,0.289
6,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1000,0,64.742,90608.5,205,0.36,0,31,5.07E+04,0.15,225784,0.289
7,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1000,0,39.092,90608.5,115,0.36,0,31,5.07E+04,0.15,225784,0.289
8,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1000,0,49.823,90608.5,340,0.36,0,31,5.07E+04,0.15,225784,0.289
9,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000,0,49.823,90608.5,205,0.36,0,31,5.07E+04,0.15,225784,0.289
10,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1000,0,65.956,90608.5,115,0.36,0,31,5.07E+04,0.15,225784,0.289
11,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,1000,0,37.997,90608.5,350,0.36,0,31,5.07E+04,0.15,225784,0.289
12,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1000,0,37.997,90608.5,215,0.36,0,31,5.07E+04,0.15,225784,0.289
13,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,1000,0,0.456,90608.5,575,0.36,0,31,5.07E+04,0.15,225784,0.289
14,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,1000,0,51.885,90608.5,400,0.36,0,31,5.07E+04,0.15,225784,0.289
15,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1000,0,51.885,90608.5,400,0.36,0,31,5.07E+04,0.15,225784,0.289
16,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1000,0,51.885,90608.5,400,0.36,0,31,5.07E+04,0.15,225784,0.289
17,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,1000,0,38.717,90608.5,350,0.36,0,31,5.07E+04,0.15,225784,0.289
18,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1000,0,38.717,90608.5,215,0.36,0,31,5.07E+04,0.15,225784,0.289
19,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,1000,0,73.511,90608.5,400,0.36,0,31,5.07E+04,0.15,225784,0.289
20,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,1000,0,73.511,90608.5,400,0.36,0,31,5.07E+04,0.15,225784,0.289
21,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1000,0,73.511,90608.5,400,0.36,0,31,5.07E+04,0.15,225784,0.289
22,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,1000,0,30.259,90608.5,240,0.36,0,31,5.07E+04,0.15,225784,0.289
23,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,1000,0,30.259,90608.5,240,0.36,0,31,5.07E+04,0.15,225784,0.289
24,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,30.259,90608.5,240,0.36,0,31,5.07E+04,0.15,225784,0.289
25,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1000,0,40.223,90608.5,50,0.36,0,31,5.07E+04,0.15,225784,0.289
26,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,1000,0,38.672,90608.5,240,0.36,0,31,5.07E+04,0.15,225784,0.289
27,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1000,0,38.672,90608.5,240,0.36,0,31,5.07E+04,0.15,225784,0.289
28,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,38.672,90608.5,240,0.36,0,31,5.07E+04,0.15,225784,0.289
29,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1000,0,53.856,90608.5,50,0.36,0,31,5.07E+04,0.15,225784,0.289
30,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,1000,0,54.075,90608.5,140,0.36,0,31,5.07E+04,0.15,225784,0.289
31,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1000,0,54.075,90608.5,140,0.36,0,31,5.07E+04,0.15,225784,0.289
