region,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE
Resource,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8
zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cluster,1,1,1,2,3,4,1,2,1,2,1,1,0,0,0,0,0,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8
R_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Inv_cost_MW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2171.7189892940332,2156.430306094903,696.9716969696976,1.478552395659299e9,2569.975067850469,558.1033679256341,282.8297741656571,809.2365399067564,6.971498744476386e9,3.786417478099241e9,969.6265630273134,750.7743239454007,759.4525750331355,597.8348230316755,4185.058998060909,22676.02517293663,6.505844775677001e9,19677.88511482525,1.291770834362147e9,790.040831101638,686.6780022242777
Inv_cost_MWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.919923321632534e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed_OM_cost_MW,5.0775251832e8,2.4671590761600003e8,2.489691582413564e8,6167.5126345448,3.529920097048621e8,48261.6671054208,2.3733056822418344e8,17499.504490990774,6.695779029078101e9,4.177989476128477e8,1.140720696e7,1.9458984499828392e8,888.1149177320062,729.6990748770116,216.5672746748003,3.891144153000917e8,1113.790307926412,171.9610005728017,87.14459319261184,249.33933944827973,2.1480355942806835e9,1.1666586792700553e9,298.75819345057425,231.32615097786447,234.00006557152756,303.47036021678804,2124.401779122798,11510.707075608785,3.302469146205291e9,9988.804020846057,6.55723195302478e8,401.0371533470904,348.56855549363826
Fixed_OM_cost_MWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0316162458448524e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Var_OM_cost_out,0.0,0.0,1.568505660423975e7,830.6502176583473,1.621510226300988e8,153.25357103857007,155.16334690863502,358.6326237532679,6.006482573553023e8,4.128426003605164e7,0.0,0.0,416.6123052393578,182.94251257763204,118.44178496895907,0.0,116.18128243577704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel_cost,0.0,0.0,1.1984027837006468e8,5355.445598097699,1.203621462891376e9,1652.523647997004,1253.5901067585303,2682.2184143317572,1.959263278035103e9,1.2292580403028604e8,0.0,0.0,1915.4801352543643,2461.926783744725,857.3497316436483,0.0,377.0392985241107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Var_OM_cost_in,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StartCost,0.0,0.0,7.66590022496043e7,1500.038449646527,4.6690159471337074e8,424.4492926131473,454.63496571717695,968.8023476206835,294.18406282725874,256.5606002809637,0.0,0.0,260.0036982244098,367.5115436543957,362.4461278415489,0.0,141.16969407758623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charge_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4677805767100816e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EnergyRevenue,1.0822321064925745e9,0.0,3.5415593165768516e8,11294.907866577718,3.256459279026014e9,2267.8835294662276,1651.1633365124576,4239.89811180323,1.1089402835511158e10,7.472405355599778e8,1.8315749494085073e7,4.73048377437292e8,3504.992340596163,5988.1318038191075,1284.4316070303898,8.642892209901026e9,2075.8041377259774,520.8259546037292,191.57377202865425,840.8156966789463,8.759872179573164e9,4.715128358907391e9,1037.5652385784479,759.535661409327,767.7811154060305,555.3543842312877,5650.659627494155,32731.591565963354,9.738760489318617e9,28535.799312142197,1.8991646477000313e9,840.5375006515076,689.9508713656821
SubsidyRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ReserveMarginRevenue,4.961494784849031e7,0.0,2.92746551663407e8,4303.778044704069,3.2907364965862834e8,45925.11845790754,2.784036284092973e8,14422.399012761598,3.755288921837702e8,2.487723212458763e7,0.0,1.784723162632463e7,152.3263793731528,298.44760060365473,115.7000344579054,6.44094155180414e8,85.78379448423264,23.824496266671307,5.5126105580775375,30.358752878887284,3.5966204654928964e8,2.3794768561953416e8,33.18523803037011,26.547671672921364,41.61500455968491,18.254910408594565,168.13147898526708,988.6241874312361,8.754569077553168e7,624.0210813865057,4.832917494848885e7,19.867480960795362,14.945211064618645
ESRRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EmissionsCost,0.0,0.0,1.4197409646229783e8,6178.987588472319,1.3998684063004906e9,1903.3399436408174,1467.5630315579424,3139.594924496732,0.0,0.0,0.0,0.0,216.61166064597174,2786.171341363161,970.5768502407915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RegSubsidyRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,1.1318470543410647e9,0.0,6.469024833210921e8,15598.685911281787,3.5855329286846423e9,48193.00198737377,2.784052795726338e8,18662.29712456483,1.1464931727694927e10,7.721177676845654e8,1.8315749494085073e7,4.9089560906361663e8,3657.3187199693157,6286.579404422762,1400.1316414882951,9.28698636508144e9,2161.58793221021,544.6504508704005,197.0863825867318,871.1744495578336,9.119534226122454e9,4.953076044526925e9,1070.750476608818,786.0833330822484,809.3961199657155,573.6092946398823,5818.791106479422,33720.21575339459,9.826306180094149e9,29159.820393528702,1.9474938226485202e9,860.4049816123029,704.8960824303008
Cost,5.0775251832e8,2.4671590761600003e8,6.03127591927563e8,20032.63448841969,3.5855344962401986e9,52395.23356071034,2.3733389917563438e8,24648.75280119321,9.255690858652569e9,5.820092682397857e8,1.140720696e7,1.9458984499828392e8,5868.541706390143,8684.68156231183,3222.3534663394457,9.286986955146858e9,4318.155650814355,730.0643684984358,369.974367358269,1058.5758793550362,9.119534338757069e9,4.953076157369296e9,1268.3847564778875,982.1004749232652,993.4526406046631,901.3051832484634,6309.460777183707,34186.73224854541,9.808313921882292e9,29666.68913567131,1.9474940296646252e9,1191.0779844487283,1035.246557717916
Profit,6.240945360210648e8,-2.4671590761600003e8,4.377489139352918e7,-4433.948577137904,-1567.5555562973022,-4202.2315733365685,4.107138039699942e7,-5986.455676628382,2.2092408690423584e9,1.9010849944477975e8,6.908542534085073e6,2.963057640653327e8,-2211.2229864208275,-2398.102157889067,-1822.2218248511506,-590.0654182434082,-2156.567718604145,-185.41391762803528,-172.8879847715372,-187.4014297972027,-112.63461494445801,-112.84237098693848,-197.6342798690696,-196.01714184101684,-184.05652063894763,-327.6958886085812,-490.66967070428564,-466.5164951508268,1.7992258211856842e7,-506.8687421426075,-207.01610493659973,-330.67300283642544,-330.35047528761515
