Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
SE,SE_conventional_hydroelectric_1,1,1,5.5476146205413714e7,5.5476146205413714e7
SE,SE_hydroelectric_pumped_storage_1,1,1,0.0,0.0
SE,SE_natural_gas_fired_combined_cycle_1,1,1,2.944961931332918e8,2.944961931332918e8
SE,SE_natural_gas_fired_combined_cycle_2,1,2,15.200746399421982,15.200746399421982
SE,SE_natural_gas_fired_combined_cycle_3,1,3,4.793864612829241e8,4.793864612829241e8
SE,SE_natural_gas_fired_combined_cycle_4,1,4,6.026002921353765e7,6.026002921353765e7
SE,SE_natural_gas_fired_combustion_turbine_1,1,1,2.800675128295693e8,2.800675128295693e8
SE,SE_natural_gas_fired_combustion_turbine_2,1,2,61.29477155614411,61.29477155614411
SE,SE_nuclear_1,1,1,3.777676464595433e8,3.777676464595433e8
SE,SE_nuclear_2,1,2,2.5025544367815346e7,2.5025544367815346e7
SE,SE_small_hydroelectric_1,1,1,0.0,0.0
SE,SE_solar_photovoltaic_1,1,1,1.769396464387927e7,1.769396464387927e7
SE,SE_naturalgas_ccccsavgcf_conservative_0,1,0,0.6934469331272558,0.6934469331272558
SE,SE_naturalgas_ccavgcf_moderate_0,1,0,1.7031563244592787,1.7031563244592787
SE,SE_naturalgas_ctavgcf_moderate_0,1,0,0.6317359707103217,0.6317359707103217
SE,SE_battery_moderate_0,1,0,5.97505733093861e8,5.97505733093861e8
SE,SE_nuclear_mid_0,1,0,0.44622137334447165,0.44622137334447165
SE,SE_utilitypv_class1_moderate_70_0_2_1,1,1,0.1292707592270832,0.1292707592270832
SE,SE_utilitypv_class1_moderate_70_0_2_2,1,2,0.03599471278230543,0.03599471278230543
SE,SE_utilitypv_class1_moderate_70_0_2_3,1,3,0.14093083971647183,0.14093083971647183
SE,SE_utilitypv_class1_moderate_70_0_2_4,1,4,3.7308298422712487e8,3.7308298422712487e8
SE,SE_utilitypv_class1_moderate_70_0_2_5,1,5,1.7816641200315124e8,1.7816641200315124e8
SE,SE_utilitypv_class1_moderate_70_0_2_6,1,6,0.15790755470631046,0.15790755470631046
SE,SE_utilitypv_class1_moderate_70_0_2_7,1,7,0.12097607751004097,0.12097607751004097
SE,SE_utilitypv_class1_moderate_70_0_2_8,1,8,0.27891497778355195,0.27891497778355195
SE,SE_landbasedwind_class4_moderate_70_1,1,1,0.11600844303740108,0.11600844303740108
SE,SE_landbasedwind_class4_moderate_70_2,1,2,0.35131036174122127,0.35131036174122127
SE,SE_landbasedwind_class4_moderate_70_3,1,3,1.1092921862625014,1.1092921862625014
SE,SE_landbasedwind_class4_moderate_70_4,1,4,9.613148670739153e7,9.613148670739153e7
SE,SE_landbasedwind_class4_moderate_70_5,1,5,5.112882144807457,5.112882144807457
SE,SE_landbasedwind_class4_moderate_70_6,1,6,26.925508468993062,26.925508468993062
SE,SE_landbasedwind_class4_moderate_70_7,1,7,0.12945613366230943,0.12945613366230943
SE,SE_landbasedwind_class4_moderate_70_8,1,8,0.09220144482456478,0.09220144482456478
