,Power Emissions,HSC Emissions,CSC Emissions,Biorefinery Emissions,Bioresource Emissions,Biomass Capture,Conventional Fuels,Synfuel Production Emissions,Synfuels,Biofuels,Total
AnnualSum,4.379136321972301e7,0.00728445510003561,-0.016442021917827437,1.419337917729877e7,651117.1633972788,-1.1756263550883622e8,4.7658030000180185e7,0.019104016168164296,0.02239396083417796,1.1268745915840907e7,-5.566328763961792e-5
t1,9314.471724440076,8.291671847445104e-7,-1.7272196541623407e-6,1620.24876464529,74.32844331590687,-13420.392182288737,-,2.915219943237614e-6,3.2379834751588407e-6,1286.3865201350784,-1124.956724497236
t2,4732.634676885319,8.283519065977581e-7,-1.7611538218007465e-6,1620.2487646009772,74.32844331353209,-13420.392181881673,-,2.7448398460610244e-6,3.0767364286369164e-6,1286.3865200713497,-5706.79377212172
t3,2898.8031996986274,8.290992012577278e-7,-1.8249943731119294e-6,1620.2487645968213,74.32844331369084,-13420.392181849184,-,1.7904431214421163e-6,2.2013051563810328e-6,1286.3865200646374,-7540.625251179554
t4,2447.093447650992,8.301693012576458e-7,-1.8475085524395673e-6,1620.2487645661415,74.32844331202372,-13420.392181599605,-,1.7486418953762594e-6,2.1725088471951153e-6,1286.3865200495459,-7992.335003117092
t5,2702.791449839834,8.30992521049865e-7,-1.7952129654690978e-6,1620.248764571384,74.32844331249602,-13420.392181648489,-,1.840970154975415e-6,2.265994085053127e-6,1286.3865200490038,-7736.637000733028
t6,2673.745629674445,8.315366857693705e-7,-1.7565408924670514e-6,1620.2487645692772,74.32844331260854,-13420.392181653515,-,1.988116499519231e-6,2.4119337787420344e-6,1286.3865200550501,-7765.682820567086
t7,45.99440992447832,8.317816285225502e-7,-1.8205545294351603e-6,1620.248764583136,74.3284433130695,-13420.392181737754,-,2.0704568553669717e-6,2.495546350590956e-6,1286.386520064561,-10393.434040275279
t8,0.00011623729410144078,8.312390819259395e-7,-2.083406055026456e-6,1620.248764209626,74.3284432912196,-13420.39217909919,-,2.4155568854613814e-6,2.9099581258554987e-6,1286.3865200659643,-10439.42833122174
t9,0.00011092707827964397,8.309850764751705e-7,-2.101879923785398e-6,1620.2487641876046,74.32844329006788,-13420.392178959715,-,2.442487619300584e-6,2.939875711272427e-6,1286.3865200699474,-10439.428336373549
t10,0.00010840534170268208,8.308000321143926e-7,-2.0936147637954567e-6,1620.2487641729465,74.32844328930305,-13420.392178858487,-,2.4193904057738403e-6,2.921714235052187e-6,1286.3865200684054,-10439.428338844202
t11,0.00010721511987145298,8.306835750832423e-7,-2.0847982081021117e-6,1620.2487641620733,74.32844328873888,-13420.392178780561,-,2.4199363369930487e-6,2.924002305892015e-6,1286.3865200659898,-10439.428339958817
t12,0.00010704032918449351,8.305581050195677e-7,-2.075156273427685e-6,1620.24876415884,74.32844328852676,-13420.392178768945,-,2.381183009698929e-6,2.889414517652746e-6,1286.38652007133,-10439.42834018392
t13,0.00010785665751035251,8.30512714551873e-7,-2.071164290786399e-6,1620.24876415364,74.32844328824663,-13420.392178730548,-,2.3797627495032578e-6,2.8884950050090386e-6,1286.3865200692462,-10439.42833933515
t14,0.00010977486889322622,8.304924616272282e-7,-2.069717479481589e-6,1620.2487641527246,74.32844328818231,-13420.392178726559,-,2.354102527036761e-6,2.8651570145931588e-6,1286.3865200700307,-10439.428337460717
t15,0.00011329637235673756,8.305316205782095e-7,-2.0725865638631494e-6,1620.248764152965,74.32844328817566,-13420.392178730463,-,2.3206616957134526e-6,2.8351735168565227e-6,1286.3865200711323,-10439.428334008038
t16,0.0001197410536237511,8.306391038680977e-7,-2.0749102937009564e-6,1620.2487641517082,74.32844328809335,-13420.39217872068,-,2.3370693322803808e-6,2.8493964280530644e-6,1286.3865200710245,-10439.428327526608
t17,0.0001351174582909418,8.307288817243091e-7,-2.0434962605721093e-6,1620.2487641507923,74.32844328800708,-13420.392178717211,-,2.360796890183527e-6,2.8688916570957235e-6,1286.3865200745493,-10439.428312069482
t18,5266.742044512387,8.305684571859237e-7,-1.7615311847034425e-6,1620.2487642429953,74.32844329418337,-13420.39217945931,-,2.27957943989758e-6,2.777797372377199e-6,1286.3865200770329,-5172.686403206297
t19,8853.474386357815,8.292821633610634e-7,-1.5150119048952862e-6,1620.248764180295,74.32844329247382,-13420.39217922835,-,2.219542558331801e-6,2.6612298664050755e-6,1286.386520092769,-1585.954061109956
t20,3527.030338366635,8.307038603335603e-7,-1.7574820441326538e-6,1620.2487642362205,74.32844329370597,-13420.392179399756,-,2.3408978042116168e-6,2.8292348367339135e-6,1286.3865200702248,-6912.398109189616
t21,3527.0303153815325,8.307276554190381e-7,-1.7806850230766357e-6,1620.248764233087,74.32844329350239,-13420.392179376857,-,2.352496293560839e-6,2.840139623163434e-6,1286.386520069146,-6912.398132156909
t22,3527.0302978413147,8.306042245848807e-7,-1.7840845030692782e-6,1620.248764227819,74.32844329317561,-13420.392179344817,-,2.354278828327516e-6,2.8424401368116257e-6,1286.3865200717257,-6912.398149667545
t23,3527.030282109387,8.306151977596699e-7,-1.784404470774531e-6,1620.2487642226874,74.32844329288976,-13420.392179309569,-,2.37765068818687e-6,2.8651079668763477e-6,1286.3865200706282,-6912.398165325007
t24,374.2783899472284,8.306706284974867e-7,-1.8266618704879613e-6,1620.2487642121555,74.32844329231601,-13420.392179238517,-,2.4053590823892856e-6,2.8928654375765954e-6,1286.3865200714647,-10065.150057413119
t25,8.432699093373594e-5,8.310124835522331e-7,-2.185302557955171e-6,1620.24876407341,74.3284432831588,-13420.392178129454,-,2.443701427849336e-6,2.94848250205848e-6,1286.3865200639245,-10439.428362344077
t26,7.297048655919962e-5,8.309665648621794e-7,-2.2041644759447716e-6,1620.2487640788931,74.3284432836717,-13420.392178193326,-,2.454040256043927e-6,2.9590391876217107e-6,1286.386520064735,-10439.428373755658
t27,6.835274472308768e-5,8.308942692204956e-7,-2.2119966403557427e-6,1620.2487640606953,74.32844328260846,-13420.392178068025,-,2.45359727600183e-6,2.9623902751969256e-6,1286.3865200688883,-10439.428378268203
