Resource,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853618.8047723525,0.0,0.0,0.0,0.0,0.0,5.131344218012648,3.5165184963362845,6.418838509392728,1.777787294996249e6,1.7186345026133836e6,8.404195934627623,6.5602576833656725,6.458637552755807,3.494392458205249,9.67230124291904,33.393986143493514,1.829479226049778e6,21.51195959804457,921513.985177822,4.536238089972087,4.398619479334091,7.101147310898991e6
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017100331565333938,0.00030910669007262054,0.0002953319649502545,0.00030150864404276945,0.0002972845530636453,0.0003036423468074645,0.00023948706576626681,0.00027001552334141726,0.002187380103697778
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146800293728507,0.00031128745757463654,0.0002953817125874031,0.0002992906593135558,0.0002966727661639773,0.0003045492298952013,0.0002354271943861958,0.0002682374212972121,0.002157646734946689
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012341753383925586,0.00032811287573126895,0.00031405254760166756,0.00031644552655052394,0.00031413051110094903,0.0003251436914979422,0.0002493755752090447,0.00027669144393116215,0.0022473697054618143
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.012341331252733e-5,0.00033284231624426154,0.00031423653988618683,0.0003164900917909108,0.00031391710684143537,0.0003267225706622412,0.0002481621915616961,0.0002746271678774324,0.0022071213981766915
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008862302531049693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.602570414638529e-5,2.224095995413441e-5,0.0,5.234099201559768e-5,0.00031813442515519867,0.0002953127745081441,0.0002968059307022486,0.00029455088034976984,0.00030649302607344,0.00023384699478283272,0.00025967705713393846,0.0030016589979266588
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003918671962992448,0.0,0.0,0.0,0.0,0.0,0.00014557189252082568,0.00019388585536930076,0.00021793887962229166,0.00026970429462380707,0.00027646135754366696,0.00022538522117488552,0.00022414819752989454,8.736084421248795e-5,4.767225948025071e-5,0.00029099129131055293,0.0002659008105174443,0.0002663925879460294,0.0002648168252260136,0.0002756450958258938,0.00021272971872329078,0.00023361801704327011,0.003890090344969151
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027599171885412943,0.0,0.0,0.0,0.0,0.0,0.000953509568343927,0.0010647553479664574,0.0013637318989736195,0.0018812270172929857,0.0018698844960454153,0.0012157992571414115,0.0012810824691080695,0.0005043784701137047,6.314757881589374e-5,0.0007545202139299146,0.0019750220263616454,0.0020551809648168273,0.0019436879904297377,0.002285355572894332,0.0001910460946598656,0.0006827647480127205,0.022845010903447822
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002365156324685813,0.0,0.0,0.0,0.0,0.0,0.001243693252085681,0.0011994100766190043,0.0015128733087498934,0.0018514262192184106,0.0018653396909940057,0.001391297513043622,0.0014145018113404899,0.0008709595528377865,8.921693687345106e-6,0.00014750146692323122,0.0018011198331387875,0.0020945050273439847,0.0020463560392115637,0.0022774768015096925,0.00015449652880060406,0.0004560959379010011,0.02270113107809092
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023980257892617374,0.0,0.0,0.0,0.0,0.0,0.001327420738837141,0.0012290809924197397,0.0015847446290018705,0.0018642981012817472,0.0018744250046438538,0.001503672049076964,0.0014910363479831174,0.0011096543018197405,2.5234020117523793e-5,0.00010364746897027562,0.0017990199656480708,0.002080509268125752,0.0020526555682171058,0.0022412765074477647,0.00023042857214079738,0.0005783920949692693,0.02349352141996247
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023260257539732265,0.0,0.0,0.0,0.0,0.0,0.001366123570534357,0.0012294574362390525,0.0016085712408110252,0.0018633582221809775,0.001873176617664285,0.0015637099688080667,0.0015115610486997211,0.0012375549495896778,4.5959813959229904e-5,0.00029570034329962243,0.001858514639805237,0.0020449927906156518,0.0020541411149587636,0.0022033226750863832,0.0002622637905170237,0.0006629020754728764,0.024007336052215177
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022951090777496574,0.0,0.0,0.0,0.0,0.0,0.0014201518197511564,0.0012182169384581326,0.0016057703836996826,0.0018711290395003743,0.0018775340577121824,0.0015970230641194783,0.0015277647654117939,0.00125722432643277,8.112470563631749e-5,0.0005626940184884654,0.0019340249948238443,0.001989136952033732,0.0020571953431783654,0.00211539264091698,0.00028827207853349157,0.0007510044136046739,0.0244487686200511
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022698932953062467,0.0,0.0,0.0,0.0,0.0,0.0014453147134856096,0.0012053515150439375,0.0015852803889160778,0.001879214876680635,0.0018801845726557076,0.0016230520095483047,0.0015412900528928488,0.001359436134430952,0.00013653620365169277,0.0009541706523288284,0.0019630220098519335,0.001965917515917681,0.0020567862570806013,0.002076110457892355,0.0003842634410545072,0.00091905458252821,0.025244878679266128
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002266697945742635,0.0,0.0,0.0,0.0,0.0,0.001445259403700775,0.001188125496540033,0.0015593754620977247,0.0018787514854921028,0.001878668408608064,0.001626285260074068,0.0015187204231529652,0.0014282712356076723,0.0002726912773231689,0.0012905027531851642,0.0019730123590733645,0.0019472266285447404,0.0020396659240652197,0.0020430785602911783,0.0006350138313124748,0.0010384206068491837,0.026029767061660533
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002287341342707805,0.0,0.0,0.0,0.0,0.0,0.0014327903692737676,0.0011624050683084154,0.001519803041784954,0.0018829656182788312,0.0018817933596437797,0.0016212369382300681,0.001464889872224786,0.001449622903516471,0.0005083502945860479,0.001617354298641122,0.0019456461725012655,0.001936328029842116,0.0020066155239320885,0.002012116403420805,0.0009010023195273526,0.0010447671706687047,0.02667502872708838
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002330060410713486,0.0,0.0,0.0,0.0,0.0,0.0013838775009454955,0.0011495653986174055,0.0014650831973212226,0.001880102019640617,0.001878202885563951,0.0015867406694319974,0.0013781119053511504,0.0014508980368858476,0.0006756619814705842,0.0016629458411066382,0.0019195933289800626,0.0019404030754230917,0.002011915903832838,0.0019903248930859263,0.0011288137032146985,0.0010121407338944352,0.02684444148547945
