BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.2850705764411333e9,1.2286178664910826e8,-1.4515806551169288e8,0.0,0.0,0.0,0.0031913905839888535,0.0,0.0,-1.2592823600000005e9
t1,89354.86557636918,0.0010764516817218504,-0.015632547727288976,0.0,0.0,0.0,3.6465109783178385e-7,0.0,0.0,-88956.24661775221
t2,82412.67367132718,0.0019700800388849564,-0.0078704526431069,0.0,0.0,0.0,3.6485002704200096e-7,0.0,0.0,-82014.06286035127
t3,78529.6053796856,0.0016317616359665605,-25.932552534889822,0.0,0.0,0.0,3.6498089553718093e-7,0.0,0.0,-78105.06855749624
t4,78469.8378241564,0.001787242186853554,-2563.652425841841,0.0,0.0,0.0,3.651605663001055e-7,0.0,0.0,-75507.58101241064
t5,76906.10268089402,0.0028374190400264933,-0.005141606098995723,0.0,0.0,0.0,3.6532526979092474e-7,0.0,0.0,-76507.49488947511
t6,82971.46824266261,2191.8424360393396,-0.0005800574585252589,0.0,0.0,0.0,3.655831381944456e-7,0.0,0.0,-84764.70622815627
t7,96306.84326132343,0.0006048355535103027,-941.035201946706,0.0,0.0,0.0,3.6516556341439894e-7,0.0,0.0,-94967.1725565491
t8,121404.00053211035,0.012095328201593376,-13631.700904270856,0.0,0.0,0.0,3.653306681836777e-7,0.0,0.0,-107373.67440269674
t9,144922.82574137909,0.011259658545100193,-21055.080201689387,0.0,0.0,0.0,3.651799218590995e-7,0.0,0.0,-123469.11908227499
t10,159970.8115989194,0.011362897619716497,-20111.485798792004,0.0,0.0,0.0,3.6426316123674257e-7,0.0,0.0,-139460.69946828493
t11,183194.47295679027,0.011115553736655629,-33606.23148157999,0.0,0.0,0.0,3.6385171589772257e-7,0.0,0.0,-149189.61503447645
t12,200679.46584549948,0.011093052946010856,-40618.53495020023,0.0,0.0,0.0,3.633800074554571e-7,0.0,0.0,-159662.30456732246
t13,210734.95266384236,0.011144644035079195,-45042.464835513216,0.0,0.0,0.0,3.6327328520477927e-7,0.0,0.0,-165293.8617728317
t14,220367.3811530708,0.011042131584555321,-51998.187270385315,0.0,0.0,0.0,3.632030632359773e-7,0.0,0.0,-167970.56784691007
t15,222815.3041722756,0.011224316445012105,-51135.65647205845,0.0,0.0,0.0,3.6316924732132514e-7,0.0,0.0,-171281.02215293073
t16,210253.0218123341,0.011303210542496264,-32019.3624359793,0.0,0.0,0.0,3.6310350455885494e-7,0.0,0.0,-177835.03511826706
t17,192545.49422157466,0.011980817461842475,-9611.535802940578,0.0,0.0,0.0,3.6291593198496393e-7,0.0,0.0,-182535.3345051722
t18,143793.83684493793,36032.133091399155,-0.011332089894103666,0.0,0.0,0.0,3.6294900657103843e-7,0.0,0.0,-179427.327551022
t19,88629.81722502115,83977.5333181085,-4.490705082161952e-5,0.0,0.0,0.0,3.6501144844926863e-7,0.0,0.0,-172208.75914802402
