Resource,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,4323.123000924993,0.00031742263377235413,13486.969049789906,4.35660757116753e-5,0.00011278769661007254,0.000782320426878989,1.0464966775029537e-6,9.370727036677229e-7,0.0,0.0,3.845084238274506e-5,5.991840993249915e-5,6.625734848925771e-5,0.0,8.645479675872648e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17810.09347428645
t1,0.0,0.0,33.96254831716957,9.946635293437515e-8,16.929377333344103,7.517388293406395e-9,1.587910786885913e-8,9.943963369396852e-8,1.7617367238336277e-10,1.323716853666573e-10,0.0,0.0,4.912049432530205e-9,7.791018803705709e-9,9.077016103178884e-9,0.0,1.125786600029409e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.89192589501736
t2,0.0,0.0,4.6891114917780446e-7,8.895342360536136e-8,16.386673180199313,7.4303564363925676e-9,1.611016989415517e-8,1.0360802929640855e-7,1.7903276100698883e-10,1.3500016612041351e-10,0.0,0.0,4.557167610528831e-9,7.359904789332378e-9,9.046324123564264e-9,0.0,1.1189343716134086e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.386673886601763
t3,0.0,0.0,2.6090398240526265e-7,8.487925421593511e-8,9.245594603517997,7.452999715965614e-9,1.6524753660976312e-8,1.0815012817291374e-7,1.8137788039818501e-10,1.376186191235176e-10,0.0,0.0,4.476834434268552e-9,7.3986799270490785e-9,9.934433193025862e-9,0.0,1.1350400713616418e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.245595103671565
t4,0.0,0.0,2.3287773052885712e-7,8.852176722693787e-8,1.8284382516489361,7.718955559515859e-9,1.7254731586973538e-8,1.1344475075521665e-7,1.8621558647081428e-10,1.4044473378362893e-10,0.0,0.0,4.7260214432155836e-9,7.861869517146036e-9,8.543590774191444e-9,0.0,1.1638761122881832e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8284387330414011
t5,0.0,0.0,7.113803930163147e-8,6.505449289997431e-8,6.123305592719243e-8,7.465898662588025e-9,1.7413578053039884e-8,1.1496588188902965e-7,1.8969101252952756e-10,1.4244984389518954e-10,0.0,0.0,4.860739487835642e-9,7.61567558539288e-9,8.8135359531811e-9,0.0,1.1894177720615868e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5901198039349627e-7
t6,0.0,0.0,6.952988065581431e-8,7.35489481705123e-8,6.11420975029892e-8,8.17649208261625e-9,1.877315112588757e-8,1.2130998748122475e-7,1.9467846168828407e-10,1.4558675076502617e-10,0.0,0.0,5.572008149475369e-9,9.12165171415542e-9,9.918279301602416e-9,0.0,1.2194147671522202e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.775547028734461e-7
t7,0.0,0.0,8.020490061274406e-7,2.4316218164909616e-7,15.331861272172528,1.0651686813011903e-8,2.1998995176227553e-8,1.3426440446129645e-7,2.02890493467634e-10,1.5000031512176135e-10,0.0,0.0,7.503616848675049e-9,1.570256959617272e-8,8.986078209019293e-9,0.0,1.2402656206915675e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.331862516967984
t8,0.0,0.0,5.925952912561462e-7,2.1146239067010698e-7,0.2780445861183894,1.1559416315032919e-8,2.327437580509567e-8,1.3441942535471663e-7,2.0759288429210342e-10,1.5200822266068197e-10,0.0,0.0,8.72174748558792e-9,2.085225957329119e-8,9.52610786892411e-9,0.0,1.239931710205572e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278045599012998
t9,0.0,0.0,1.4444478956772425e-8,3.167008007683599e-8,8.667893721880141e-9,6.723929840538913e-9,1.7428080694925564e-8,1.0553776950572122e-7,2.0028396611076401e-10,1.461275846829554e-10,0.0,0.0,6.8319842350271445e-9,1.2590462110725435e-8,9.212350208152804e-9,0.0,1.219952879098516e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1357543618928322e-7
t10,0.0,0.0,7.828469464780732e-9,1.798895663682588e-8,5.021879657881293e-9,4.887235478951936e-9,1.4202328694031463e-8,8.704341047864974e-8,1.9340593511467975e-10,1.407796828550228e-10,0.0,0.0,5.811733662752999e-9,9.180426246882354e-9,7.2264066878356244e-9,0.0,1.1920512709493638e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5964423775365668e-7
t11,0.0,0.0,5.379749161521456e-9,1.2712381919381652e-8,3.5583991159464517e-9,3.904417731093417e-9,1.2123104353257859e-8,7.411593083715976e-8,1.8665954114989548e-10,1.3578480271047193e-10,0.0,0.0,5.126989283955332e-9,7.320451150731085e-9,6.8687939839770755e-9,0.0,1.1622682782322445e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3154888870870768e-7
t12,0.0,0.0,4.105418259384944e-9,9.88342810470611e-9,2.771339607562126e-9,3.280848610432312e-9,1.0647593801518171e-8,6.455846280093114e-8,1.8127461953182036e-10,1.311212156301222e-10,0.0,0.0,4.610091635411929e-9,6.124743013221024e-9,6.892695233330432e-9,0.0,1.1318009478000586e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1330019699644013e-7
t13,0.0,0.0,3.3194517542486138e-9,8.093633560840484e-9,2.2746606260747114e-9,2.8360057808831198e-9,9.508115849336852e-9,5.718118373286232e-8,1.744308069425174e-10,1.2676675904290985e-10,0.0,0.0,4.168327122414667e-9,5.263268272667878e-9,5.640613539153878e-9,0.0,1.0992744213873009e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.869638524660667e-8
t14,0.0,0.0,2.7890385002372685e-9,6.853796864432689e-9,1.9320017950922755e-9,2.4964005591177066e-9,8.589268496313706e-9,5.132036201246981e-8,1.67824304820508e-10,1.2271082817931474e-10,0.0,0.0,3.760124160620795e-9,4.585823410389745e-9,5.306918630786365e-9,0.0,1.0693678977071258e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.80312063522309e-8
t15,0.0,0.0,2.4065622773996397e-9,5.936134510518633e-9,1.6810818482215492e-9,2.219698442723891e-9,7.805964930140418e-9,4.666604645838605e-8,1.6065541829998793e-10,1.1894243460865196e-10,0.0,0.0,3.2982670640802625e-9,3.930594365380573e-9,5.347351687653432e-9,0.0,1.0439621979442151e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.967569565720751e-8
t16,0.0,0.0,2.116439739065861e-9,5.219981154080826e-9,1.4851786809645943e-9,1.9823507093548586e-9,7.104891423389377e-9,4.278967761563495e-8,1.5350528643380655e-10,1.1541004379737018e-10,0.0,0.0,2.7542147647117554e-9,2.9541306131735657e-9,4.519653364798405e-9,0.0,1.0239472692162695e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1297828122327e-8
t17,0.0,0.0,1.8862167975611514e-9,4.631047259429776e-9,1.3205693961571115e-9,1.7730534064332542e-9,6.461906911054396e-9,3.933332060772787e-8,1.4608099082030306e-10,1.1209799265002653e-10,0.0,0.0,2.352869443693906e-9,2.37291346459235e-9,4.078100274296543e-9,0.0,1.0039935804113025e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.456857590245781e-8
t18,0.0,0.0,1.6934527438103219e-9,4.112070589853356e-9,1.176377729851234e-9,1.5802428168613385e-9,5.851130507613914e-9,3.618514707306017e-8,1.382082408427652e-10,1.0892715676844204e-10,0.0,0.0,2.0301605893968884e-9,1.980120680828864e-9,4.080942004636973e-9,0.0,9.855739096508762e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9035337524489356e-8
