Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,MA_battery,CT_battery,Total
Zone,z1,z1,z2,z2,z2,z1,z2,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1,11567.919271195233,0.0,3308.3816587010283,0.0,0.0,15.725089116145341,0.0,14892.026019012406
t2,11568.316504553572,0.0,3308.4951692281998,0.0,0.0,15.725089116145341,0.0,14892.536762897917
t3,11568.51407035084,0.0,3308.5519244917855,0.0,0.0,15.725089116145341,0.0,14892.791083958771
t4,11568.573970619162,0.0,3308.583540866181,0.0,0.0,15.725089116145341,0.0,14892.882600601488
t5,11568.42247897302,0.0,3308.5812978833924,0.0,0.0,15.725089116145341,0.0,14892.728865972558
t6,11567.926293897042,0.0,3308.5050966542285,0.0,0.0,15.725089116145341,0.0,14892.156479667417
t7,11566.7295098288,0.0,3308.185032262682,0.0,0.0,15.725089116145341,0.0,14890.639631207627
t8,11565.646050589521,0.0,3307.8749803597602,0.0,0.0,15.725089116145341,0.0,14889.246120065427
t9,11565.062811134818,0.0,3307.7089186626017,0.0,0.0,15.725089116145341,0.0,14888.496818913565
t10,11564.655068957476,0.0,3307.5922550652313,0.0,0.0,15.725089116145341,0.0,14887.972413138854
t11,11564.338753505464,0.0,3307.501867052854,0.0,0.0,15.725089116145341,0.0,14887.565709674464
t12,11564.143289471996,0.0,3307.446162812668,0.0,0.0,15.725089116145341,0.0,14887.31454140081
t13,11564.020374429043,0.0,3307.4156831340756,0.0,0.0,15.725089116145341,0.0,14887.161146679264
t14,11563.926769661131,0.0,3307.4129854583775,0.0,0.0,15.725089116145341,0.0,14887.064844235654
t15,11563.926769661131,0.0,3307.4129854583775,0.0,0.0,15.725089116145341,0.0,14887.064844235654
t16,11563.926769661131,0.0,3307.4129854583775,0.0,0.0,15.725089116145341,0.0,14887.064844235654
t17,11563.926769661131,0.0,3307.4129854583775,0.0,0.0,15.709364027029196,0.0,14887.049119146537
t18,11564.007212052464,0.0,3307.4129854583775,0.0,0.0,15.725089116145341,0.0,14887.145286626986
t19,11564.328244686461,0.0,3307.4987139826544,0.0,0.0,15.725089116145341,0.0,14887.552047785262
t20,11564.585710752051,0.0,3307.572285620636,0.0,0.0,15.725089116145341,0.0,14887.883085488833
