,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand
Zone,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
AnnualSum,8.25571875488441e7,0.0,819.9510753418642,0.0,0.0,0.0,0.0,0.0,-575.1596040502537,-5.549741443142296,-62144.03930344204,-8.249431400000001e7,2.4241013266487367e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.1596040502537,-5.549741443142296,-677506.876349975,-2.3564076000000004e7
t1,7583.00073783099,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7564.2479188424495,2342.050466516998,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14635666034,-2160.904109856658
t2,7185.767379492224,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7167.014560503682,2228.539939345539,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14635666034,-2047.3935826851991
t3,6988.201582223207,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-6969.448763234665,2171.78467575981,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14635666034,-1990.63831909947
t4,6928.301313902282,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-6909.548494913741,2140.168301364038,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-166.34635666033998,-1973.8219447036981
t5,7079.792960044586,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-16.81570767724693,-7062.977252367338,2142.4112841529386,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-124.44635666033996,-2017.964927492599
t6,7575.978036021532,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-6.47570767724693,-7569.502328344285,2218.6125133164696,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-55.60635666033996,-2163.0061566561294
t7,8772.762104264624,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-8772.762104264624,2538.676904863119,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-2505.639784969977
t8,9856.221343543113,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-9856.221343543113,2848.728807785159,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-2815.691687892017
