Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,MA_battery,CT_battery
Zone,z1,z1,z2,z2,z2,z1,z2
t1,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t2,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t3,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t4,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t5,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t6,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t7,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t8,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t9,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t10,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t11,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t12,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t13,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t14,0.0,0.0,0.0,0.0,0.0,-70.72945602715525,-84.92785735771636
t15,0.0,0.0,0.0,0.0,0.0,-70.72945602715525,-84.92785735771636
t16,0.0,0.0,0.0,0.0,0.0,-278.0007067664163,-274.59890816709304
t17,0.0,0.0,0.0,0.0,0.0,-562.7979154258487,-558.9173589041096
t18,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t19,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t20,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t21,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t22,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t23,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t24,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t25,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t26,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t27,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t28,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t29,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t30,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t31,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t32,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t33,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t34,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t35,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t36,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t37,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t38,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t39,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
