Time_Index,MA_natural_gas_turbine,MA_natural_gas_combined_cycle,MA_solar_pv,MA_onshore_wind,CT_natural_gas_turbine,CT_natural_gas_combined_cycle,CT_solar_pv,ME_natural_gas_turbine,ME_natural_gas_combined_cycle,ME_onshore_wind,ME_solar_pv,MA_fission,CT_fission,ME_fission,MA_battery,CT_battery,ME_battery,COAST_offshore_wind_fixed,COAST_offshore_wind_floating
1,0.9,0.9,0,0.261,0.9,0.9,0,0.9,0.9,0.357,0,0.9,0.9,0.9,1,1,1,0.626,0.626
2,0.9,0.9,0,0.251,0.9,0.9,0,0.9,0.9,0.388,0,0.9,0.9,0.9,1,1,1,0.579,0.579
3,0.9,0.9,0,0.291,0.9,0.9,0,0.9,0.9,0.225,0,0.9,0.9,0.9,1,1,1,0.663,0.663
4,0.9,0.9,0,0.225,0.9,0.9,0,0.9,0.9,0.293,0,0.9,0.9,0.9,1,1,1,0.699,0.699
5,0.9,0.9,0,0.15,0.9,0.9,0,0.9,0.9,0.273,0,0.9,0.9,0.9,1,1,1,0.714,0.714
6,0.9,0.9,0,0.174,0.9,0.9,0,0.9,0.9,0.246,0,0.9,0.9,0.9,1,1,1,0.636,0.636
7,0.9,0.9,0,0.113,0.9,0.9,0,0.9,0.9,0.34,0,0.9,0.9,0.9,1,1,1,0.582,0.582
8,0.9,0.9,0.01,0.093,0.9,0.9,0.011,0.9,0.9,0.226,0.01,0.9,0.9,0.9,1,1,1,0.522,0.522
9,0.9,0.9,0.125,0.095,0.9,0.9,0.124,0.9,0.9,0.202,0.15,0.9,0.9,0.9,1,1,1,0.384,0.384
10,0.9,0.9,0.313,0.127,0.9,0.9,0.279,0.9,0.9,0.249,0.395,0.9,0.9,0.9,1,1,1,0.267,0.267
11,0.9,0.9,0.384,0.099,0.9,0.9,0.353,0.9,0.9,0.165,0.483,0.9,0.9,0.9,1,1,1,0.173,0.173
12,0.9,0.9,0.385,0.098,0.9,0.9,0.304,0.9,0.9,0.101,0.59,0.9,0.9,0.9,1,1,1,0.104,0.104
13,0.9,0.9,0.313,0.078,0.9,0.9,0.207,0.9,0.9,0.102,0.474,0.9,0.9,0.9,1,1,1,0.085,0.085
14,0.9,0.9,0.205,0.003,0.9,0.9,0.166,0.9,0.9,0.064,0.312,0.9,0.9,0.9,1,1,1,0.048,0.048
15,0.9,0.9,0.098,0,0.9,0.9,0.085,0.9,0.9,0.028,0.151,0.9,0.9,0.9,1,1,1,0.02,0.02
16,0.9,0.9,0.037,0,0.9,0.9,0.026,0.9,0.9,0.007,0.033,0.9,0.9,0.9,1,1,1,0.026,0.026
17,0.9,0.9,0.002,0,0.9,0.9,0.002,0.9,0.9,0.018,0.001,0.9,0.9,0.9,1,1,1,0.018,0.018
18,0.9,0.9,0,0,0.9,0.9,0,0.9,0.9,0.008,0,0.9,0.9,0.9,1,1,1,0.02,0.02
19,0.9,0.9,0,0,0.9,0.9,0,0.9,0.9,0.027,0,0.9,0.9,0.9,1,1,1,0.014,0.014
20,0.9,0.9,0,0,0.9,0.9,0,0.9,0.9,0.021,0,0.9,0.9,0.9,1,1,1,0.025,0.025
21,0.9,0.9,0,0,0.9,0.9,0,0.9,0.9,0.051,0,0.9,0.9,0.9,1,1,1,0.05,0.05
22,0.9,0.9,0,0.019,0.9,0.9,0,0.9,0.9,0.027,0,0.9,0.9,0.9,1,1,1,0.049,0.049
23,0.9,0.9,0,0.05,0.9,0.9,0,0.9,0.9,0,0,0.9,0.9,0.9,1,1,1,0.067,0.067
24,0.9,0.9,0,0.07,0.9,0.9,0,0.9,0.9,0,0,0.9,0.9,0.9,1,1,1,0.102,0.102
25,0.9,0.9,0,0.113,0.9,0.9,0,0.9,0.9,0.004,0,0.9,0.9,0.9,1,1,1,0.126,0.126
26,0.9,0.9,0,0.182,0.9,0.9,0,0.9,0.9,0,0,0.9,0.9,0.9,1,1,1,0.15,0.15
27,0.9,0.9,0,0.132,0.9,0.9,0,0.9,0.9,0.004,0,0.9,0.9,0.9,1,1,1,0.154,0.154
28,0.9,0.9,0,0.224,0.9,0.9,0,0.9,0.9,0.03,0,0.9,0.9,0.9,1,1,1,0.182,0.182
29,0.9,0.9,0,0.211,0.9,0.9,0,0.9,0.9,0.054,0,0.9,0.9,0.9,1,1,1,0.217,0.217
30,0.9,0.9,0,0.267,0.9,0.9,0,0.9,0.9,0.085,0,0.9,0.9,0.9,1,1,1,0.402,0.402
31,0.9,0.9,0,0.263,0.9,0.9,0,0.9,0.9,0.097,0,0.9,0.9,0.9,1,1,1,0.662,0.662
32,0.9,0.9,0.004,0.517,0.9,0.9,0.004,0.9,0.9,0.099,0.001,0.9,0.9,0.9,1,1,1,0.959,0.959
33,0.9,0.9,0.033,0.563,0.9,0.9,0.039,0.9,0.9,0.099,0.014,0.9,0.9,0.9,1,1,1,0.992,0.992
34,0.9,0.9,0.087,0.604,0.9,0.9,0.126,0.9,0.9,0.132,0.037,0.9,0.9,0.9,1,1,1,0.998,0.998
35,0.9,0.9,0.197,0.498,0.9,0.9,0.311,0.9,0.9,0.275,0.062,0.9,0.9,0.9,1,1,1,1,1
36,0.9,0.9,0.29,0.293,0.9,0.9,0.432,0.9,0.9,0.269,0.117,0.9,0.9,0.9,1,1,1,1,1
37,0.9,0.9,0.32,0.227,0.9,0.9,0.492,0.9,0.9,0.273,0.106,0.9,0.9,0.9,1,1,1,1,1
38,0.9,0.9,0.311,0.18,0.9,0.9,0.369,0.9,0.9,0.488,0.08,0.9,0.9,0.9,1,1,1,0.993,0.993
39,0.9,0.9,0.209,0.351,0.9,0.9,0.24,0.9,0.9,0.645,0.066,0.9,0.9,0.9,1,1,1,0.735,0.735
40,0.9,0.9,0.075,0.605,0.9,0.9,0.097,0.9,0.9,0.751,0.024,0.9,0.9,0.9,1,1,1,0.654,0.654
41,0.9,0.9,0.004,0.623,0.9,0.9,0.007,0.9,0.9,0.882,0.003,0.9,0.9,0.9,1,1,1,0.963,0.963
