Resource,Small_Electrolyzer_1,Large_SMR_1,Large_SMR_wCCS_90pct_1,Above_ground_storage_1
Zone,1,1,1,1
t1,0.0,0.0,0.0,108.95285714285728
t2,0.0,0.0,0.0,122.61619047619061
t3,0.0,0.0,0.0,136.27952380952394
t4,0.0,0.0,0.0,147.80285714285728
t5,0.0,0.0,0.0,155.0861904761906
t6,0.0,0.0,0.0,157.19952380952395
t7,0.0,0.0,0.0,155.93285714285727
t8,0.0,0.0,0.0,152.2161904761906
t9,0.0,0.0,0.0,147.49952380952394
t10,0.0,0.0,0.0,141.59285714285727
t11,0.0,0.0,0.0,131.7061904761906
t12,0.0,0.0,0.0,120.16952380952394
t13,0.0,0.0,0.0,107.83285714285726
t14,0.0,0.0,0.0,96.02619047619059
t15,0.0,0.0,0.0,84.48952380952393
t16,0.0,0.0,0.0,74.07285714285726
t17,0.0,0.0,0.0,64.98619047619059
t18,0.0,0.0,0.0,58.74952380952392
t19,0.0,0.0,0.0,56.15285714285725
t20,0.0,0.0,0.0,56.313857142857245
t21,0.0,0.0,0.0,61.33719047619058
t22,0.0,0.0,0.0,69.5405238095239
t23,0.0,0.0,0.0,80.53385714285724
t24,0.0,0.0,0.0,93.37719047619058
t25,0.0,0.0,0.0,104.85819047619057
t26,0.0,0.0,0.0,118.5215238095239
t27,0.0,0.0,0.0,132.18485714285723
t28,0.0,0.0,0.0,143.69585714285722
t29,0.0,0.0,0.0,154.78919047619056
t30,0.0,0.0,0.0,161.49019047619055
t31,0.0,0.0,0.0,166.03352380952387
t32,0.0,0.0,0.0,166.5568571428572
t33,0.0,0.0,0.0,163.13019047619053
t34,0.0,0.0,0.0,157.63352380952387
t35,0.0,0.0,0.0,151.4768571428572
t36,0.0,0.0,0.0,144.38019047619053
t37,0.0,0.0,0.0,135.83352380952385
t38,0.0,0.0,0.0,126.20685714285719
t39,0.0,0.0,0.0,115.41019047619052
t40,0.0,0.0,0.0,103.95352380952386
t41,0.0,0.0,0.0,93.80685714285718
t42,0.0,0.0,0.0,86.09019047619051
t43,0.0,0.0,0.0,82.32352380952385
t44,0.0,0.0,0.0,82.32352380952385
t45,0.0,0.0,0.0,84.89452380952385
t46,0.0,0.0,0.0,90.03552380952385
t47,0.0,0.0,0.0,98.9228571428576
t48,0.0,0.0,0.0,110.49619047619092
t49,0.0,0.0,0.0,124.15952380952425
t50,0.0,0.0,0.0,137.82285714285757
t51,0.0,0.0,0.0,151.4861904761909
t52,0.0,0.0,0.0,162.95952380952423
t53,0.0,0.0,0.0,169.77285714285756
t54,0.0,0.0,0.0,171.2961904761909
t55,0.0,0.0,0.0,169.49952380952422
t56,0.0,0.0,0.0,165.17285714285754
t57,0.0,0.0,0.0,159.78619047619088
t58,0.0,0.0,0.0,155.2995238095242
t59,0.0,0.0,0.0,150.92285714285754
t60,0.0,0.0,0.0,145.81619047619088
t61,0.0,0.0,0.0,139.40952380952422
t62,0.0,0.0,0.0,132.16285714285755
t63,0.0,0.0,0.0,123.06619047619088
t64,0.0,0.0,0.0,112.44952380952421
t65,0.0,0.0,0.0,102.56285714285754
t66,0.0,0.0,0.0,94.19619047619086
t67,0.0,0.0,0.0,90.0395238095242
t68,0.0,0.0,0.0,91.11285714285754
t69,0.0,0.0,0.0,96.17619047619087
t70,0.0,0.0,0.0,103.8295238095242
t71,0.0,0.0,0.0,114.68285714285753
t72,0.0,0.0,0.0,127.56619047619085
t73,0.0,0.0,0.0,141.22952380952418
t74,0.0,0.0,0.0,154.8928571428575
t75,0.0,0.0,0.0,168.55619047619084
t76,0.0,0.0,0.0,179.84952380952416
t77,0.0,0.0,0.0,186.2728571428575
t78,0.0,0.0,0.0,187.17619047619084
t79,0.0,0.0,0.0,184.61952380952417
t80,0.0,0.0,0.0,179.4228571428575
t81,0.0,0.0,0.0,173.10619047619082
t82,0.0,0.0,0.0,167.72952380952415
t83,0.0,0.0,0.0,162.4728571428575
t84,0.0,0.0,0.0,156.45619047619078
t85,0.0,0.0,0.0,149.0895238095241
t86,0.0,0.0,0.0,140.84285714285744
t87,0.0,0.0,0.0,130.65619047619077
t88,0.0,0.0,0.0,118.87952380952412
t89,0.0,0.0,0.0,107.87285714285746
t90,0.0,0.0,0.0,98.4461904761908
t91,0.0,0.0,0.0,93.42952380952417
t92,0.0,0.0,0.0,93.86285714285751
t93,0.0,0.0,0.0,98.46619047619085
t94,0.0,0.0,0.0,105.76952380952417
t95,0.0,0.0,0.0,116.42285714285751
t96,0.0,0.0,0.0,129.18619047619083
t97,0.0,0.0,0.0,142.84952380952416
t98,0.0,0.0,0.0,156.51285714285754
t99,0.0,0.0,0.0,170.11619047619087
t100,0.0,0.0,0.0,181.1795238095242
t101,0.0,0.0,0.0,187.0928571428575
t102,0.0,0.0,0.0,187.17619047619084
t103,0.0,0.0,0.0,183.5995238095242
t104,0.0,0.0,0.0,177.2328571428575
t105,0.0,0.0,0.0,169.68619047619086
t106,0.0,0.0,0.0,163.13952380952418
t107,0.0,0.0,0.0,156.7128571428575
t108,0.0,0.0,0.0,149.47619047619082
t109,0.0,0.0,0.0,140.81952380952416
t110,0.0,0.0,0.0,131.23285714285748
t111,0.0,0.0,0.0,119.59619047619081
t112,0.0,0.0,0.0,106.28952380952416
t113,0.0,0.0,0.0,93.78285714285748
t114,0.0,0.0,0.0,82.95619047619081
t115,0.0,0.0,0.0,76.77952380952415
t116,0.0,0.0,0.0,76.36285714285748
t117,0.0,0.0,0.0,80.35619047619082
t118,0.0,0.0,0.0,87.19952380952415
t119,0.0,0.0,0.0,97.57285714285749
t120,0.0,0.0,0.0,110.18619047619082
t121,0.0,0.0,0.0,122.84952380952414
t122,0.0,0.0,0.0,136.3528571428575
t123,0.0,0.0,0.0,149.91619047619082
t124,0.0,0.0,0.0,162.69952380952415
t125,0.0,0.0,0.0,173.1328571428575
t126,0.0,0.0,0.0,180.29619047619067
t127,0.0,0.0,0.0,183.12952380952402
t128,0.0,0.0,0.0,181.41285714285735
t129,0.0,0.0,0.0,175.08619047619067
t130,0.0,0.0,0.0,166.409523809524
t131,0.0,0.0,0.0,156.9528571428573
t132,0.0,0.0,0.0,146.34619047619066
t133,0.0,0.0,0.0,134.10952380952398
t134,0.0,0.0,0.0,120.65285714285731
