Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,-46.66347826086956
t2,0.0,0.0,0.0,-46.66347826086956
t3,0.0,0.0,0.0,-46.66347826086956
t4,0.0,0.0,0.0,-46.66347826086956
t5,0.0,0.0,0.0,-46.66347826086956
t6,0.0,0.0,0.0,-46.66347826086956
t7,0.0,0.0,0.0,-46.66347826086956
t8,0.0,0.0,0.0,-46.66347826086956
t9,0.0,0.0,0.0,-46.66347826086956
t10,0.0,0.0,0.0,-46.66347826086956
t11,0.0,0.0,0.0,-46.66347826086956
t12,0.0,0.0,0.0,-46.66347826086956
t13,0.0,0.0,0.0,-46.66347826086956
t14,0.0,0.0,0.0,-46.66347826086956
t15,0.0,0.0,0.0,-46.66347826086956
t16,0.0,0.0,0.0,-46.66347826086956
t17,0.0,0.0,0.0,-46.66347826086956
t18,0.0,0.0,0.0,-46.66347826086956
t19,0.0,0.0,0.0,-46.66347826086956
t20,0.0,0.0,0.0,-46.66347826086956
t21,0.0,0.0,0.0,-46.66347826086956
t22,0.0,0.0,0.0,-46.66347826086956
t23,0.0,0.0,0.0,-46.66347826086956
t24,0.0,0.0,0.0,-46.66347826086956
t25,0.0,0.0,0.0,-46.66347826086956
t26,0.0,0.0,0.0,-46.66347826086956
t27,0.0,0.0,0.0,-46.66347826086956
t28,0.0,0.0,0.0,-46.66347826086956
t29,0.0,0.0,0.0,-46.66347826086956
t30,0.0,0.0,0.0,-46.66347826086956
t31,0.0,0.0,0.0,-46.66347826086956
t32,0.0,0.0,0.0,-46.66347826086956
t33,0.0,0.0,0.0,-46.66347826086956
t34,0.0,0.0,0.0,-46.66347826086956
t35,0.0,0.0,0.0,-46.66347826086956
t36,0.0,0.0,0.0,-46.66347826086956
t37,0.0,0.0,0.0,-46.66347826086956
t38,0.0,0.0,0.0,-46.66347826086956
t39,0.0,0.0,0.0,-227.83794441066792
t40,0.0,0.0,0.0,-227.83794441066792
t41,0.0,0.0,0.0,-585.8744371649791
t42,0.0,0.0,0.0,-46.66347826086956
t43,0.0,0.0,0.0,-46.66347826086956
t44,0.0,0.0,0.0,-46.66347826086956
t45,0.0,0.0,0.0,-46.66347826086956
t46,0.0,0.0,0.0,-46.66347826086956
t47,0.0,0.0,0.0,-46.66347826086956
t48,0.0,0.0,0.0,-46.66347826086956
t49,0.0,0.0,0.0,-46.66347826086956
t50,0.0,0.0,0.0,-46.66347826086956
t51,0.0,0.0,0.0,-46.66347826086956
t52,0.0,0.0,0.0,-46.66347826086956
t53,0.0,0.0,0.0,-46.66347826086956
t54,0.0,0.0,0.0,-46.66347826086956
t55,0.0,0.0,0.0,-46.66347826086956
t56,0.0,0.0,0.0,-46.66347826086956
t57,0.0,0.0,0.0,-46.66347826086956
t58,0.0,0.0,0.0,-46.66347826086956
t59,0.0,0.0,0.0,-46.66347826086956
t60,0.0,0.0,0.0,-46.66347826086956
t61,0.0,0.0,0.0,-46.66347826086956
