Time_Index,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
1,1.0,0.0,0.395611078,1.0
2,1.0,0.0,0.423413754,1.0
3,1.0,0.0,0.243006587,1.0
4,1.0,0.0,0.258309305,1.0
5,1.0,0.0,0.311122924,1.0
6,1.0,0.0862,0.223746479,1.0
7,1.0,0.1147,0.149251714,1.0
8,1.0,0.2431,0.058339182,1.0
9,1.0,0.3828,0.112041719,1.0
10,1.0,0.492,0.263480425,1.0
11,1.0,0.5487,0.406454057,1.0
12,1.0,0.5534,0.449652612,1.0
13,1.0,0.558,0.635676682,1.0
14,1.0,0.5522,0.749368668,1.0
15,1.0,0.5321,0.83713603,1.0
16,1.0,0.4367,0.77069056,1.0
17,1.0,0.315,0.746376812,1.0
18,1.0,0.1671,0.584556997,1.0
19,1.0,0.0824,0.591010988,1.0
20,1.0,0.0091,0.472454995,1.0
21,1.0,0.0,0.403234482,1.0
22,1.0,0.0,0.620517254,1.0
23,1.0,0.0,0.687395751,1.0
24,1.0,0.0,0.694238126,1.0
25,1.0,0.0,0.719078302,1.0
26,1.0,0.0,0.695590973,1.0
27,1.0,0.0,0.582375467,1.0
28,1.0,0.0,0.328068644,1.0
29,1.0,0.0,0.219203621,1.0
30,1.0,0.0587,0.160372466,1.0
31,1.0,0.1202,0.163433105,1.0
32,1.0,0.2267,0.288469315,1.0
33,1.0,0.3121,0.210290685,1.0
34,1.0,0.3871,0.301395118,1.0
35,1.0,0.4377,0.413270384,1.0
36,1.0,0.4715,0.551126063,1.0
37,1.0,0.481,0.591716051,1.0
38,1.0,0.4752,0.654024005,1.0
39,1.0,0.4683,0.513331532,1.0
40,1.0,0.3812,0.424813777,1.0
41,1.0,0.2652,0.308118045,1.0
42,1.0,0.1535,0.313441902,1.0
43,1.0,0.0289,0.724045098,1.0
44,1.0,0.0,0.51439184,1.0
45,1.0,0.0,0.469148576,1.0
46,1.0,0.0,0.436568946,1.0
47,1.0,0.0,0.202889666,1.0
48,1.0,0.0,0.215684026,1.0
49,1.0,0.0,0.316270888,1.0
50,1.0,0.0,0.310780317,1.0
51,1.0,0.0,0.299282789,1.0
52,1.0,0.0,0.432175815,1.0
53,1.0,0.0,0.194348484,1.0
54,1.0,0.0,0.209139466,1.0
55,1.0,0.0152,0.228728533,1.0
56,1.0,0.0911,0.312427849,1.0
57,1.0,0.1895,0.217083111,1.0
58,1.0,0.2332,0.153272688,1.0
59,1.0,0.2898,0.085418865,1.0
60,1.0,0.3538,0.055565592,1.0
61,1.0,0.3662,0.005079592,1.0
62,1.0,0.3455,0.013821051,1.0
63,1.0,0.2894,0.028382257,1.0
64,1.0,0.2522,0.013966933,1.0
65,1.0,0.177,0.010335479,1.0
66,1.0,0.1159,0.082700029,1.0
67,1.0,0.0529,0.264066011,1.0
68,1.0,0.048,0.384414434,1.0
69,1.0,0.0,0.545492649,1.0
70,1.0,0.0,0.51424253,1.0
71,1.0,0.0,0.736316085,1.0
72,1.0,0.0,0.6506024,1.0
73,1.0,0.0,0.556405127,1.0
74,1.0,0.0,0.462369353,1.0
75,1.0,0.0,0.590124667,1.0
76,1.0,0.0,0.575042486,1.0
77,1.0,0.0,0.691458404,1.0
78,1.0,0.1017,0.615193188,1.0
79,1.0,0.103,0.351349473,1.0
80,1.0,0.2403,0.224414408,1.0
81,1.0,0.3815,0.338782132,1.0
82,1.0,0.4815,0.345988899,1.0
83,1.0,0.5593,0.291045278,1.0
84,1.0,0.6001,0.162717462,1.0
85,1.0,0.6257,0.131063849,1.0
86,1.0,0.6342,0.095035844,1.0
87,1.0,0.5798,0.040348653,1.0
88,1.0,0.4757,0.057491764,1.0
89,1.0,0.3352,0.053749915,1.0
90,1.0,0.1595,0.070691973,1.0
91,1.0,0.0851,0.123805001,1.0
92,1.0,0.1883,0.308470607,1.0
93,1.0,0.0,0.423288703,1.0
94,1.0,0.0,0.260216504,1.0
95,1.0,0.0,0.204875395,1.0
96,1.0,0.0,0.297252923,1.0
97,1.0,0.0,0.248301715,1.0
98,1.0,0.0,0.112112507,1.0
99,1.0,0.0,0.057916366,1.0
100,1.0,0.0,0.135247335,1.0
101,1.0,0.0,0.249359459,1.0
102,1.0,0.187,0.426526546,1.0
103,1.0,0.093,0.314102888,1.0
104,1.0,0.2452,0.128488302,1.0
105,1.0,0.4187,0.080791995,1.0
106,1.0,0.5509,0.110714242,1.0
107,1.0,0.6487,0.115921974,1.0
108,1.0,0.6968,0.158042431,1.0
109,1.0,0.693,0.18366994,1.0
110,1.0,0.6863,0.220246598,1.0
111,1.0,0.6064,0.221653923,1.0
112,1.0,0.4918,0.183514729,1.0
113,1.0,0.343,0.259554565,1.0
114,1.0,0.1604,0.260095179,1.0
115,1.0,0.087,0.304119915,1.0
116,1.0,0.2318,0.510694981,1.0
117,1.0,0.0,0.482686579,1.0
118,1.0,0.0,0.699062824,1.0
119,1.0,0.0,0.673384309,1.0
120,1.0,0.0,0.432914585,1.0
121,1.0,0.0,0.323145747,1.0
122,1.0,0.0,0.319088399,1.0
123,1.0,0.0,0.260254115,1.0
124,1.0,0.0,0.181786716,1.0
125,1.0,0.0,0.144087076,1.0
126,1.0,0.1887,0.191920087,1.0
127,1.0,0.0929,0.166908354,1.0
128,1.0,0.2427,0.037063673,1.0
