H2_Pipelines,z1,z2,z3,z4,z5,z6,z7,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_Hr_Per_Pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne
1,1,-1,0,0,0,0,0,20,0,38.8,254652.74,197.1042446,1.18,0.1,100,50000,0.8
2,1,0,-1,0,0,0,0,20,0,38.8,254652.74,312.9563493,1.18,0.1,100,50000,0.8
3,1,0,0,-1,0,0,0,20,0,38.8,254652.74,373.899943,1.18,0.1,100,50000,0.8
4,1,0,0,0,-1,0,0,20,0,38.8,254652.74,302.7509737,1.18,0.1,100,50000,0.8
5,1,0,0,0,0,-1,0,20,0,38.8,254652.74,378.0207514,1.18,0.1,100,50000,0.8
6,1,0,0,0,0,0,-1,20,0,38.8,254652.74,1242.742384,1.18,0.1,100,50000,0.8
7,0,1,-1,0,0,0,0,20,0,38.8,254652.74,123.7561954,1.18,0.1,100,50000,0.8
8,0,1,0,-1,0,0,0,20,0,38.8,254652.74,184.7394901,1.18,0.1,100,50000,0.8
9,0,1,0,0,-1,0,0,20,0,38.8,254652.74,111.2550032,1.18,0.1,100,50000,0.8
10,0,1,0,0,0,-1,0,20,0,38.8,254652.74,211.377537,1.18,0.1,100,50000,0.8
11,0,1,0,0,0,0,-1,20,0,38.8,254652.74,1242.742384,1.18,0.1,100,50000,0.8
12,0,0,1,-1,0,0,0,20,0,38.8,254652.74,61.41890846,1.18,0.1,100,50000,0.8
13,0,0,1,0,-1,0,0,20,0,38.8,254652.74,98.07550017,1.18,0.1,100,50000,0.8
14,0,0,1,0,0,-1,0,20,0,38.8,254652.74,206.683456,1.18,0.1,100,50000,0.8
15,0,0,1,0,0,0,-1,20,0,38.8,254652.74,1242.742384,1.18,0.1,100,50000,0.8
16,0,0,0,1,-1,0,0,20,0,38.8,254652.74,134.3793896,1.18,0.1,100,50000,0.8
17,0,0,0,1,0,-1,0,20,0,38.8,254652.74,222.4375089,1.18,0.1,100,50000,0.8
18,0,0,0,1,0,0,-1,20,0,38.8,254652.74,1242.742384,1.18,0.1,100,50000,0.8
19,0,0,0,0,1,-1,0,20,0,38.8,254652.74,115.6323348,1.18,0.1,100,50000,0.8
20,0,0,0,0,1,0,-1,20,0,38.8,254652.74,1242.742384,1.18,0.1,100,50000,0.8
21,0,0,0,0,0,1,-1,20,0,38.8,254652.74,1242.742384,1.18,0.1,100,50000,0.8
