H2_Pipelines,z1,z2,z3,z4,z5,z6,z7,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_Hr_Per_Pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,len_bw_comp_mile,H2PipeCompCapex,BoosterCompCapex_per_tonne_p_hr_yr,H2PipeCompEnergy,BoosterCompEnergy_MWh_per_tonne
1,1,-1,0,0,0,0,0,20,0,38.8,228793.86,197.1042446,1.18,0,70,50804.11,3448.24,1,1
2,1,0,-1,0,0,0,0,20,0,38.8,228793.86,312.9563493,1.18,0,70,50804.11,3448.24,1,1
3,1,0,0,-1,0,0,0,20,0,38.8,228793.86,373.899943,1.18,0,70,50804.11,3448.24,1,1
4,1,0,0,0,-1,0,0,20,0,38.8,228793.86,302.7509737,1.18,0,70,50804.11,3448.24,1,1
5,1,0,0,0,0,-1,0,20,0,38.8,228793.86,378.0207514,1.18,0,70,50804.11,3448.24,1,1
6,1,0,0,0,0,0,-1,20,0,38.8,228793.86,1242.742384,1.18,0,70,50804.11,3448.24,1,1
7,0,1,-1,0,0,0,0,20,0,38.8,228793.86,123.7561954,1.18,0,70,50804.11,3448.24,1,1
8,0,1,0,-1,0,0,0,20,0,38.8,228793.86,184.7394901,1.18,0,70,50804.11,3448.24,1,1
9,0,1,0,0,-1,0,0,20,0,38.8,228793.86,111.2550032,1.18,0,70,50804.11,3448.24,1,1
10,0,1,0,0,0,-1,0,20,0,38.8,228793.86,211.377537,1.18,0,70,50804.11,3448.24,1,1
11,0,1,0,0,0,0,-1,20,0,38.8,228793.86,1242.742384,1.18,0,70,50804.11,3448.24,1,1
12,0,0,1,-1,0,0,0,20,0,38.8,228793.86,61.41890846,1.18,0,70,50804.11,3448.24,1,1
13,0,0,1,0,-1,0,0,20,0,38.8,228793.86,98.07550017,1.18,0,70,50804.11,3448.24,1,1
14,0,0,1,0,0,-1,0,20,0,38.8,228793.86,206.683456,1.18,0,70,50804.11,3448.24,1,1
15,0,0,1,0,0,0,-1,20,0,38.8,228793.86,1242.742384,1.18,0,70,50804.11,3448.24,1,1
16,0,0,0,1,-1,0,0,20,0,38.8,228793.86,134.3793896,1.18,0,70,50804.11,3448.24,1,1
17,0,0,0,1,0,-1,0,20,0,38.8,228793.86,222.4375089,1.18,0,70,50804.11,3448.24,1,1
18,0,0,0,1,0,0,-1,20,0,38.8,228793.86,1242.742384,1.18,0,70,50804.11,3448.24,1,1
19,0,0,0,0,1,-1,0,20,0,38.8,228793.86,115.6323348,1.18,0,70,50804.11,3448.24,1,1
20,0,0,0,0,1,0,-1,20,0,38.8,228793.86,1242.742384,1.18,0,70,50804.11,3448.24,1,1
21,0,0,0,0,0,1,-1,20,0,38.8,228793.86,1242.742384,1.18,0,70,50804.11,3448.24,1,1
