Resource,Small_Electrolyzer_1,Small_Electrolyzer_2,Small_Electrolyzer_3,Flex_Demand_1,Large_SMR_1,Large_SMR_2,Large_SMR_3,Large_SMR_wCCS_90pct_1,Large_SMR_wCCS_90pct_2,Large_SMR_wCCS_90pct_3,Above_ground_storage_1,Above_ground_storage_2,Above_ground_storage_3
Zone,1,2,3,2,1,2,3,1,2,3,1,2,3
t1,0.0,0.0,0.0,0.008712999999999985,0.0,0.0,0.0,0.0,0.0,0.0,65.448799524825,264.73785714285725,1797.9165853487336
t2,0.0,0.0,0.0,0.008712999999999985,0.0,0.0,0.0,0.0,0.0,0.0,70.30952079244291,285.1786904761906,1823.6092050952132
t3,0.0,0.0,0.0,0.0008712999999999985,0.0,0.0,0.0,0.0,0.0,0.0,75.17024206006081,305.6195238095239,1824.3276500840918
t4,0.0,0.0,0.0,0.0008712999999999985,0.0,0.0,0.0,0.0,0.0,0.0,80.03096332767872,326.06035714285724,1857.233240581898
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.89168459529662,346.5011904761906,1900.9044264796953
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.75240586291453,366.94202380952396,1937.6372726722789
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.33387874588931,367.5028571428573,1937.6372726722789
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.46535162886408,367.5028571428573,1937.6372726722789
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.59682451183886,367.5028571428573,1937.6372726722789
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.53829739481364,366.1928571428573,1937.6372726722789
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.49977027778843,341.49285714285725,1937.6372726722789
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.81124316076321,307.04285714285726,1937.6372726722789
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.322716043738,267.91285714285726,1950.0072362508859
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.36418892671278,231.90285714285724,1950.0072362508859
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.67566180968756,197.45285714285723,1966.9971871976472
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.10713469266234,169.6328571428572,2035.1012167378751
t17,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,39.86860757563713,153.6128571428572,2124.539799281041
t18,0.0,0.0,0.0,7.250000000000005,0.0,0.0,0.0,0.0,0.0,0.0,37.48008045861191,153.6128571428572,2213.9783818242063
t19,0.0,0.0,0.0,7.250000000000005,0.0,0.0,0.0,0.0,0.0,0.0,38.73155334158669,153.6128571428572,2303.4169643673717
t20,0.0,0.0,0.0,3.6500000000000057,0.0,0.0,0.0,0.0,0.0,0.0,38.73155334158669,167.71369047619055,2392.855546910537
t21,0.0,0.0,0.0,0.725000000000001,0.0,0.0,0.0,0.0,0.0,0.0,38.73155334158669,188.15452380952388,2482.2941294537027
t22,0.0,0.0,0.0,0.725000000000001,0.0,0.0,0.0,0.0,0.0,0.0,43.592274609204594,208.5953571428572,2571.732711996868
t23,0.0,0.0,0.0,0.36500000000000066,0.0,0.0,0.0,0.0,0.0,0.0,48.4529958768225,229.03619047619054,2661.1712945400336
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3137171444404,249.47702380952387,2750.609877083199
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.17443841205831,269.9178571428572,2840.0484596263645
