,Negative Emissions,Negative Emissions,Negative Emissions
Zone,1,2,3
AnnualSum,454293.3836658262,128885.74402104385,1170.720548999589
t1,2704.1272837251568,767.4620498255557,7.010302688620298
t2,2704.1272837251568,767.4620498255557,7.010302688620298
t3,2704.1272837251568,767.4620498255557,7.010302688620298
t4,2704.1272837251568,767.4620498255557,7.010302688620298
t5,2704.1272837251568,767.4620498255557,7.010302688620298
t6,2704.1272837251568,767.4620498255557,7.010302688620298
t7,2704.1272837251568,767.4620498255557,7.010302688620298
t8,2704.1272837251568,767.4620498255557,7.010302688620298
t9,2704.1272837251568,767.4620498255557,7.010302688620298
t10,2704.1272837251568,767.4620498255557,7.010302688620298
t11,2704.1272837251568,767.4620498255557,7.010302688620298
t12,2704.1272837251568,767.4620498255557,7.010302688620298
t13,2704.1272837251568,767.4620498255557,7.010302688620298
t14,2704.1272837251568,767.4620498255557,7.010302688620298
t15,2704.1272837251568,767.4620498255557,7.010302688620298
t16,2704.1272837251568,767.4620498255557,7.010302688620298
t17,2704.1272837251568,767.4620498255557,7.010302688620298
t18,2704.1272837251568,767.4620498255557,7.010302688620298
t19,2704.1272837251568,767.4620498255557,7.010302688620298
t20,2704.1272837251568,767.4620498255557,7.010302688620298
t21,2704.1272837251568,767.4620498255557,7.010302688620298
t22,2704.1272837251568,767.4620498255557,7.010302688620298
t23,2704.1272837251568,767.4620498255557,7.010302688620298
t24,2704.1272837251568,767.4620498255557,7.010302688620298
t25,2704.1272837251568,767.4620498255557,7.010302688620298
t26,2704.1272837251568,767.4620498255557,7.010302688620298
t27,2704.1272837251568,767.4620498255557,7.010302688620298
t28,2704.1272837251568,767.4620498255557,7.010302688620298
t29,2704.1272837251568,767.4620498255557,7.010302688620298
t30,2704.1272837251568,767.4620498255557,7.010302688620298
t31,2704.1272837251568,767.4620498255557,7.010302688620298
t32,2704.1272837251568,767.4620498255557,7.010302688620298
t33,2704.1272837251568,767.4620498255557,7.010302688620298
t34,2704.1272837251568,767.4620498255557,7.010302688620298
t35,2704.1272837251568,767.4620498255557,7.010302688620298
t36,2704.1272837251568,767.4620498255557,7.010302688620298
t37,2704.1272837251568,767.4620498255557,7.010302688620298
t38,2704.1272837251568,767.4620498255557,7.010302688620298
t39,2704.1272837251568,767.4620498255557,7.010302688620298
t40,2704.1272837251568,767.4620498255557,7.010302688620298
t41,2704.1272837251568,767.4620498255557,7.010302688620298
t42,2704.1272837251568,767.4620498255557,7.010302688620298
t43,2704.1272837251568,767.4620498255557,7.010302688620298
t44,2704.1272837251568,767.4620498255557,7.010302688620298
t45,2704.1272837251568,767.4620498255557,7.010302688620298
t46,2704.1272837251568,767.4620498255557,7.010302688620298
t47,2704.1272837251568,767.4620498255557,7.010302688620298
t48,2704.1272837251568,767.4620498255557,7.010302688620298
t49,2704.1272837251568,767.4620498255557,7.010302688620298
t50,2704.1272837251568,767.4620498255557,7.010302688620298
t51,2704.1272837251568,767.4620498255557,7.010302688620298
t52,2704.1272837251568,767.4620498255557,7.010302688620298
t53,2704.1272837251568,767.4620498255557,7.010302688620298
t54,2704.1272837251568,767.4620498255557,7.010302688620298
t55,2704.1272837251568,767.4620498255557,7.010302688620298
t56,2704.1272837251568,767.4620498255557,7.010302688620298
t57,2704.1272837251568,767.4620498255557,7.010302688620298
t58,2704.1272837251568,767.4620498255557,7.010302688620298
t59,2704.1272837251568,767.4620498255557,7.010302688620298
t60,2704.1272837251568,767.4620498255557,7.010302688620298
t61,2704.1272837251568,767.4620498255557,7.010302688620298
t62,2704.1272837251568,767.4620498255557,7.010302688620298
t63,2704.1272837251568,767.4620498255557,7.010302688620298
t64,2704.1272837251568,767.4620498255557,7.010302688620298
t65,2704.1272837251568,767.4620498255557,7.010302688620298
t66,2704.1272837251568,767.4620498255557,7.010302688620298
t67,2704.1272837251568,767.4620498255557,7.010302688620298
t68,2704.1272837251568,767.4620498255557,7.010302688620298
t69,2704.1272837251568,719.5817001760814,7.010302688620298
t70,2704.1272837251568,767.4620498255557,7.010302688620298
t71,2704.1272837251568,767.4620498255557,7.010302688620298
t72,2704.1272837251568,767.4620498255557,7.010302688620298
t73,2704.1272837251568,767.4620498255557,7.010302688620298
t74,2704.1272837251568,767.4620498255557,7.010302688620298
t75,2704.1272837251568,767.4620498255557,7.010302688620298
t76,2704.1272837251568,767.4620498255557,7.010302688620298
t77,2704.1272837251568,767.4620498255557,7.010302688620298
t78,2704.1272837251568,767.4620498255557,7.010302688620298
t79,2704.1272837251568,767.4620498255557,7.010302688620298
t80,2704.1272837251568,767.4620498255557,7.010302688620298
t81,2704.1272837251568,767.4620498255557,7.010302688620298
t82,2704.1272837251568,767.4620498255557,7.010302688620298
t83,2704.1272837251568,767.4620498255557,7.010302688620298
t84,2704.1272837251568,767.4620498255557,7.010302688620298
t85,2704.1272837251568,767.4620498255557,7.010302688620298
t86,2704.1272837251568,767.4620498255557,7.010302688620298
t87,2704.1272837251568,767.4620498255557,7.010302688620298
t88,2704.1272837251568,767.4620498255557,7.010302688620298
t89,2704.1272837251568,767.4620498255557,7.010302688620298
t90,2704.1272837251568,767.4620498255557,7.010302688620298
t91,2704.1272837251568,767.4620498255557,7.010302688620298
t92,2704.1272837251568,767.4620498255557,7.010302688620298
t93,2704.1272837251568,767.4620498255557,7.010302688620298
t94,2704.1272837251568,767.4620498255557,7.010302688620298
t95,2704.1272837251568,767.4620498255557,7.010302688620298
t96,2704.1272837251568,767.4620498255557,7.010302688620298
t97,2704.1272837251568,767.4620498255557,7.010302688620298
t98,2704.1272837251568,767.4620498255557,7.010302688620298
t99,2704.1272837251568,767.4620498255557,7.010302688620298
t100,2704.1272837251568,767.4620498255557,7.010302688620298
t101,2704.1272837251568,767.4620498255557,7.010302688620298
t102,2704.1272837251568,767.4620498255557,7.010302688620298
t103,2704.1272837251568,767.4620498255557,7.010302688620298
t104,2704.1272837251568,767.4620498255557,7.010302688620298
t105,2704.1272837251568,767.4620498255557,7.010302688620298
t106,2704.1272837251568,767.4620498255557,7.010302688620298
t107,2704.1272837251568,767.4620498255557,7.010302688620298
t108,2704.1272837251568,767.4620498255557,7.010302688620298
t109,2704.1272837251568,767.4620498255557,7.010302688620298
t110,2704.1272837251568,767.4620498255557,7.010302688620298
t111,2704.1272837251568,767.4620498255557,7.010302688620298
t112,2704.1272837251568,767.4620498255557,7.010302688620298
t113,2704.1272837251568,767.4620498255557,7.010302688620298
t114,2704.1272837251568,767.4620498255557,7.010302688620298
t115,2704.1272837251568,767.4620498255557,7.010302688620298
t116,2704.1272837251568,767.4620498255557,7.010302688620298
t117,2704.1272837251568,767.4620498255557,7.010302688620298
t118,2704.1272837251568,767.4620498255557,7.010302688620298
t119,2704.1272837251568,767.4620498255557,7.010302688620298
t120,2704.1272837251568,767.4620498255557,7.010302688620298
t121,2704.1272837251568,767.4620498255557,7.010302688620298
t122,2704.1272837251568,767.4620498255557,7.010302688620298
t123,2704.1272837251568,767.4620498255557,7.010302688620298
t124,2704.1272837251568,767.4620498255557,7.010302688620298
t125,2704.1272837251568,767.4620498255557,7.010302688620298
t126,2704.1272837251568,767.4620498255557,7.010302688620298
t127,2704.1272837251568,767.4620498255557,7.010302688620298
t128,2704.1272837251568,767.4620498255557,7.010302688620298
t129,2704.1272837251568,767.4620498255557,7.010302688620298
t130,2704.1272837251568,767.4620498255557,0.0
t131,2704.1272837251568,767.4620498255557,7.010302688620298
t132,2704.1272837251568,767.4620498255557,7.010302688620298
t133,2704.1272837251568,767.4620498255557,7.010302688620298
t134,2704.1272837251568,767.4620498255557,7.010302688620298
t135,2704.1272837251568,767.4620498255557,7.010302688620298
t136,2704.1272837251568,767.4620498255557,7.010302688620298
t137,2704.1272837251568,767.4620498255557,7.010302688620298
t138,2704.1272837251568,767.4620498255557,7.010302688620298
t139,2704.1272837251568,767.4620498255557,7.010302688620298
t140,2704.1272837251568,767.4620498255557,7.010302688620298
t141,2704.1272837251568,767.4620498255557,7.010302688620298
t142,2704.1272837251568,767.4620498255557,7.010302688620298
t143,2704.1272837251568,767.4620498255557,7.010302688620298
t144,2704.1272837251568,767.4620498255557,7.010302688620298
t145,2704.1272837251568,767.4620498255557,7.010302688620298
t146,2704.1272837251568,767.4620498255557,7.010302688620298
t147,2704.1272837251568,767.4620498255557,7.010302688620298
t148,2704.1272837251568,767.4620498255557,7.010302688620298
t149,2704.1272837251568,767.4620498255557,7.010302688620298
t150,2704.1272837251568,767.4620498255557,7.010302688620298
t151,2704.1272837251568,767.4620498255557,7.010302688620298
t152,2704.1272837251568,767.4620498255557,7.010302688620298
t153,2704.1272837251568,767.4620498255557,7.010302688620298
t154,2704.1272837251568,767.4620498255557,7.010302688620298
t155,2704.1272837251568,767.4620498255557,7.010302688620298
t156,2704.1272837251568,767.4620498255557,7.010302688620298
t157,2704.1272837251568,767.4620498255557,7.010302688620298
t158,2704.1272837251568,767.4620498255557,7.010302688620298
t159,2704.1272837251568,767.4620498255557,7.010302688620298
t160,2704.1272837251568,767.4620498255557,7.010302688620298
t161,2704.1272837251568,767.4620498255557,7.010302688620298
t162,2704.1272837251568,767.4620498255557,7.010302688620298
t163,2704.1272837251568,767.4620498255557,7.010302688620298
t164,2704.1272837251568,767.4620498255557,7.010302688620298
t165,2704.1272837251568,767.4620498255557,7.010302688620298
t166,2704.1272837251568,767.4620498255557,7.010302688620298
t167,2704.1272837251568,767.4620498255557,7.010302688620298
t168,2704.1272837251568,767.4620498255557,7.010302688620298
